,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600022,11.0516922800,12.0034447000,11.0516922800,11.8187763200,10.9096396800,16267238,134690686.0000,8.333332,13.864363,2.189650,0.380514,152.206235
1,2007-01-05,sh.600022,11.7903658000,12.8273497800,11.6199026800,12.0744710000,11.8187763200,9190609,79456597.0000,2.163465,14.164313,2.237022,0.388746,155.499159
2,2007-01-08,sh.600022,12.0460604800,12.2733446400,11.7903658000,12.0034447000,12.0744710000,5778807,48733855.0000,-0.588237,14.080994,2.223863,0.386459,154.584458
3,2007-01-09,sh.600022,12.0318552200,13.0262234200,12.0176499600,13.0120181600,12.0034447000,11004821,96977152.0000,8.402368,15.264130,2.410720,0.418931,167.573211
4,2007-01-10,sh.600022,13.0404286800,13.5802285600,12.9267866000,13.3955601800,13.0120181600,6691214,62335807.0000,2.947603,15.714056,2.481778,0.431280,172.512596
5,2007-01-11,sh.600022,13.3387391400,13.3813549200,12.7847340000,13.0830444600,13.3955601800,5987161,55030698.0000,-2.332983,15.347450,2.423879,0.421218,168.487912
6,2007-01-12,sh.600022,12.8983760800,13.2108918000,12.2875499000,12.6568866600,13.0830444600,5952205,53377706.0000,-3.257331,14.847533,2.344925,0.407498,162.999706
7,2007-01-15,sh.600022,12.5148340600,12.9978129000,12.3727814600,12.9694023800,12.6568866600,10702974,95813753.0000,2.469139,15.214139,2.402825,0.417559,167.024390
8,2007-01-16,sh.600022,12.9551971200,13.0972497200,12.7279129600,12.9125813400,12.9694023800,12266511,111502347.0000,-0.438116,15.147483,2.392297,0.415730,166.292630
9,2007-01-17,sh.600022,12.8699655600,14.1910547400,12.8699655600,13.7080759000,12.9125813400,11461602,109847741.0000,6.160610,16.080661,2.539678,0.441341,176.537280
10,2007-01-18,sh.600022,13.6228443400,13.6512548600,12.5290393200,13.0120181600,13.7080759000,5546611,50851206.0000,-5.077718,15.264130,2.410720,0.418931,167.573211
11,2007-01-19,sh.600022,12.8699655600,13.2393023200,12.6568866600,12.9836076400,13.0120181600,5041663,45923296.0000,-0.218335,15.230803,2.405456,0.418017,167.207331
12,2007-01-22,sh.600022,13.0688392000,13.9211548000,13.0688392000,13.7791022000,12.9836076400,9173724,87657765.0000,6.126909,16.163981,2.552837,0.443628,177.451981
13,2007-01-23,sh.600022,13.7933074600,15.1570124200,13.6228443400,15.0859861200,13.7791022000,21474983,218926411.0000,9.484537,17.697060,2.794961,0.485704,194.282478
14,2007-01-24,sh.600022,15.2706545000,15.8104543800,15.0291650800,15.2422439800,15.0859861200,13630880,148627355.0000,1.035778,17.880362,2.823911,0.490735,196.294820
15,2007-01-25,sh.600022,14.9581387800,14.9581387800,13.9353600600,14.0632074000,15.2422439800,6300648,63943055.0000,-7.735321,16.497259,2.605472,0.452775,181.110785
16,2007-01-26,sh.600022,14.0347968800,14.7308546200,12.8699655600,14.5888020200,14.0632074000,7608505,74465354.0000,3.737382,17.113823,2.702849,0.469697,187.879572
