,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600031,68.9300516000,71.3240294400,66.6599002000,68.0839042600,66.5154360200,2675498,88746298.0000,2.358058,29.782138,6.341306,3.511231,46.526154
1,2007-01-05,sh.600031,68.1045420000,72.4384674000,67.2790324000,70.7461727200,68.0839042600,1674560,57505775.0000,3.910267,30.946702,6.589269,3.648530,48.345455
2,2007-01-08,sh.600031,69.8587499000,69.9825763400,63.7912543400,68.0013533000,70.7461727200,6923307,221137966.0000,-3.879807,29.746027,6.333617,3.506974,46.469741
3,2007-01-09,sh.600031,66.2677831400,69.9619386000,63.9769940000,69.2808931800,68.0013533000,5420805,174048302.0000,1.881636,30.305740,6.452793,3.572962,47.344134
4,2007-01-10,sh.600031,68.9300516000,69.1364290000,66.0407680000,67.4854098000,69.2808931800,3966434,129018302.0000,-2.591597,29.520337,6.285562,3.480365,46.117164
5,2007-01-11,sh.600031,67.4854098000,68.0632665200,64.3897488000,64.7612281200,67.4854098000,5342372,169850538.0000,-4.036702,28.328690,6.031833,3.339874,44.255553
6,2007-01-12,sh.600031,63.9769940000,66.5979869800,63.8738053000,65.9994925200,64.7612281200,3310771,105085853.0000,1.912047,28.870348,6.147165,3.403733,45.101740
7,2007-01-15,sh.600031,65.6280132000,72.6035693200,65.2152584000,72.4178296600,65.9994925200,5111564,172274871.0000,9.724830,31.677939,6.744966,3.734741,49.487807
8,2007-01-16,sh.600031,72.3971919200,76.9374947200,71.8193352000,76.8343060200,72.4178296600,3362400,120774410.0000,6.098602,33.609851,7.156315,3.962508,52.505872
9,2007-01-17,sh.600031,76.1532606000,80.4252727800,70.2715047000,75.7405058000,76.8343060200,2722779,101420887.0000,-1.423580,33.131387,7.054439,3.906098,51.758407
10,2007-01-18,sh.600031,74.2958640000,75.9468832000,70.2715047000,74.4196904400,75.7405058000,2737119,96569556.0000,-1.743867,32.553619,6.931418,3.837981,50.855808
11,2007-01-19,sh.600031,73.2639770000,79.0425442000,73.2639770000,78.4027742600,74.4196904400,2267036,85401902.0000,5.352191,34.295951,7.302401,4.043397,53.577708
12,2007-01-22,sh.600031,78.2376723400,83.3764696000,78.2376723400,79.3727480400,78.4027742600,2950084,115062957.0000,1.237161,34.720249,7.392744,4.093421,54.240554
13,2007-01-23,sh.600031,79.2489216000,81.5190730000,76.3596380000,77.8042798000,79.3727480400,2585411,98584962.0000,-1.976075,34.034150,7.246658,4.012531,53.168718
14,2007-01-24,sh.600031,77.8042798000,81.5190730000,76.3802757400,79.6616764000,77.8042798000,2513771,97480814.0000,2.387262,34.846636,7.419655,4.108321,54.437998
15,2007-01-25,sh.600031,79.3314725600,79.6616764000,76.3596380000,76.8136682800,79.6616764000,4431312,168184029.0000,-3.575123,33.600824,7.154393,3.961443,52.491769
16,2007-01-26,sh.600031,74.2958640000,77.2883363000,72.2320900000,76.6072908800,76.8136682800,1429494,51551870.0000,-0.268679,33.510548,7.135171,3.950800,52.350737
17,2007-01-29,sh.600031,76.9787702000,78.4234120000,75.7405058000,76.9168569800,76.6072908800,1916149,71166168.0000,0.404099,33.645962,7.164003,3.966765,52.562284
18,2007-01-30,sh.600031,77.5979024000,82.7779751400,76.9168569800,79.5997631800,76.9168569800,4189313,161641731.0000,3.488058,34.819553,7.413888,4.105128,54.395688
19,2007-01-31,sh.600031,79.7029518800,82.3033071200,74.1926753000,74.3784149600,79.5997631800,3683310,141178362.0000,-6.559499,32.535564,6.927574,3.835852,50.827602
20,2007-02-01,sh.600031,73.3258902200,75.7405058000,72.8512222000,74.0069356400,74.3784149600,2472830,89181291.0000,-0.499446,32.373067,6.892975,3.816694,50.573746
21,2007-02-02,sh.600031,73.8418337200,75.3071132600,66.8662776000,68.0013533000,74.0069356400,2331956,79609490.0000,-8.114891,29.746027,6.333617,3.506974,46.469741
22,2007-02-05,sh.600031,67.2790324000,70.1476782600,61.9132200000,67.9188023400,68.0013533000,4007406,125990818.0000,-0.121399,29.709917,6.325928,3.502716,46.413329
23,2007-02-06,sh.600031,67.4854098000,69.5491838000,63.5642392000,68.0839042600,67.9188023400,3881654,124229925.0000,0.243093,29.782138,6.341306,3.511231,46.526154
24,2007-02-07,sh.600031,68.2902816600,72.2320900000,68.2902816600,72.0257126000,68.0839042600,1708551,58898000.0000,5.789632,31.506415,6.708444,3.714518,49.219847
25,2007-02-08,sh.600031,71.9844371200,76.0500719000,71.9844371200,75.0181849000,72.0257126000,2442736,88645503.0000,4.154719,32.815420,6.987162,3.868847,51.264798
26,2007-02-09,sh.600031,75.3277510000,78.0519326800,74.7086188000,75.7198680600,75.0181849000,1690878,62606862.0000,0.935351,33.122360,7.052516,3.905034,51.744304
27,2007-02-12,sh.600031,75.9468832000,77.3915250000,73.7386450200,76.3596380000,75.7198680600,1462474,53646514.0000,0.844921,33.402216,7.112104,3.938028,52.181500
28,2007-02-13,sh.600031,76.8136682800,78.8361668000,74.2958640000,76.0500719000,76.3596380000,1304991,48343494.0000,-0.405409,33.266802,7.083271,3.922063,51.969954
29,2007-02-14,sh.600031,76.7723928000,77.5979024000,75.5341284000,76.4834644400,76.0500719000,1939398,71780172.0000,0.569886,33.456382,7.123637,3.944414,52.266119
30,2007-02-15,sh.600031,77.0819589000,78.4234120000,76.2564493000,77.0613211600,76.4834644400,7963166,296550519.0000,0.755528,33.709155,7.177459,3.974215,52.661006
31,2007-02-16,sh.600031,78.2170346000,84.7591981800,78.0106572000,84.7591981800,77.0613211600,9062682,354622639.0000,9.989286,37.076460,7.894436,4.371211,57.921465
32,2007-02-26,sh.600031,84.9862133200,84.9862133200,78.4234120000,80.7761143600,84.7591981800,5726446,227509202.0000,-4.699295,35.334128,7.523453,4.165795,55.199565
33,2007-02-27,sh.600031,79.7855028400,79.7855028400,72.7067580200,72.7067580200,80.7761143600,5379651,195684032.0000,-9.989780,31.804326,6.771877,3.749641,49.685250
34,2007-02-28,sh.600031,70.1683160000,75.1213736000,65.6280132000,71.2414784800,72.7067580200,3612275,123079737.0000,-2.015325,31.163365,6.635401,3.674074,48.683929
35,2007-03-01,sh.600031,70.6223462800,72.5622938400,69.7555612000,72.5622938400,71.2414784800,2470052,84920044.0000,1.853996,31.741133,6.758421,3.742191,49.586528
36,2007-03-02,sh.600031,72.8512222000,75.1213736000,71.3653049200,74.8118075000,72.5622938400,1945738,69522480.0000,3.100114,32.725144,6.967940,3.858203,51.123767
37,2007-03-05,sh.600031,75.3277510000,81.2920578600,74.8324452400,80.6935634000,74.8118075000,4259133,165089621.0000,7.862065,35.298017,7.515764,4.161538,55.143153
38,2007-03-06,sh.600031,80.9412162800,81.2920578600,77.8661930200,80.7348388800,80.6935634000,3153476,122137945.0000,0.051152,35.316073,7.519609,4.163666,55.171359
39,2007-03-07,sh.600031,82.0350165000,87.6691195200,80.7554766200,87.4008289000,80.7348388800,3092219,126704183.0000,8.256645,38.231996,8.140476,4.507446,59.726663
40,2007-03-08,sh.600031,90.4964899000,94.0255434400,87.5040176000,90.3726634600,87.4008289000,4072120,178787092.0000,3.400242,39.531974,8.417272,4.660709,61.757511
41,2007-03-09,sh.600031,91.4251882000,91.8379430000,85.0274888000,86.8848854000,90.3726634600,2513906,106785520.0000,-3.859334,38.006305,8.092421,4.480837,59.374085
42,2007-03-12,sh.600031,86.8848854000,87.8135837000,83.3971073400,85.0894020200,86.8848854000,1923708,78917709.0000,-2.066506,37.220902,7.925191,4.388241,58.147115
43,2007-03-13,sh.600031,85.0068510600,86.6372325200,83.3351941200,86.0800135400,85.0894020200,2407414,98779832.0000,1.164200,37.654228,8.017456,4.439328,58.824064
44,2007-03-14,sh.600031,84.6147340000,85.8529984000,82.5509600000,84.4083566000,86.0800135400,1028395,42270199.0000,-1.941974,36.922990,7.861759,4.353118,57.681712
45,2007-03-15,sh.600031,84.4083566000,86.0387380600,82.7573374000,84.8211114000,84.4083566000,1415142,58056384.0000,0.488990,37.103543,7.900202,4.374404,57.963775
46,2007-03-16,sh.600031,86.2038399800,86.6165947800,83.3764696000,83.7273111800,84.8211114000,1825012,74822415.0000,-1.289535,36.625078,7.798326,4.317995,57.216310
47,2007-03-19,sh.600031,80.7967521000,87.0293495800,80.3839973000,85.5021568200,83.7273111800,2230806,92123242.0000,2.119794,37.401454,7.963635,4.409527,58.429177
48,2007-03-20,sh.600031,85.6466210000,87.0706250600,83.7892244000,84.5734585200,85.5021568200,1542209,63517775.0000,-1.086171,36.995211,7.877136,4.361632,57.794537
49,2007-03-21,sh.600031,84.8211114000,85.4196058600,81.4777975200,82.1382052000,84.5734585200,2995249,119712176.0000,-2.879454,35.929951,7.650318,4.236041,56.130370
50,2007-03-22,sh.600031,82.3445826000,83.9956018000,81.3539710800,82.4477713000,82.1382052000,2088585,83565601.0000,0.376888,36.065366,7.679150,4.252006,56.341917
51,2007-03-23,sh.600031,82.4477713000,83.3764696000,81.4158843000,82.2207561600,82.4477713000,1462599,58274041.0000,-0.275346,35.966062,7.658006,4.240298,56.186783
52,2007-03-26,sh.600031,82.7573374000,83.1494544600,81.3333333400,82.1175674600,82.2207561600,2121669,84103749.0000,-0.125500,35.920924,7.648395,4.234977,56.116267
53,2007-03-27,sh.600031,81.9318278000,83.6860357000,81.5190730000,83.5828470000,82.1175674600,3495366,139886002.0000,1.784366,36.561885,7.784871,4.310544,57.117588
54,2007-03-28,sh.600031,84.2845301600,85.4196058600,81.4984352600,83.9956018000,83.5828470000,2985354,120886944.0000,0.493829,36.742438,7.823315,4.331831,57.399650
55,2007-03-29,sh.600031,83.9956018000,83.9956018000,83.9956018000,83.9956018000,83.9956018000,0,0.0000,0.000000,36.742438,7.823315,4.331831,57.399650
56,2007-03-30,sh.600031,84.4083566000,85.4402436000,82.2620316400,83.9749640600,83.9956018000,2575681,104178987.0000,-0.024575,36.733410,7.821393,4.330767,57.385547
57,2007-04-02,sh.600031,84.6147340000,89.9392709200,84.6147340000,89.1343990600,83.9749640600,4088785,173829208.0000,6.144016,38.990316,8.301940,4.596850,60.911324
58,2007-04-03,sh.600031,89.2582255000,89.7122557800,86.9674363600,89.2582255000,89.1343990600,3862063,164012049.0000,0.138924,39.044482,8.313473,4.603236,60.995943
59,2007-04-04,sh.600031,88.5152668600,91.7966675200,88.3295272000,90.5996786000,89.2582255000,3245970,141636695.0000,1.502894,39.631278,8.438416,4.672417,61.912645
60,2007-04-05,sh.600031,90.5790408600,90.5790408600,88.3708026800,90.2694747600,90.5996786000,2718338,117480639.0000,-0.364464,39.486836,8.407661,4.655388,61.686995
61,2007-04-06,sh.600031,88.7422820000,94.0874566600,88.4946291200,93.3444980200,90.2694747600,3138291,140797999.0000,3.406488,40.831952,8.694067,4.813973,63.788358
62,2007-04-09,sh.600031,94.6859511200,102.6727565000,94.6859511200,99.2468916600,93.3444980200,5158852,248567320.0000,6.323238,43.413853,9.243813,5.118372,67.821847
63,2007-04-10,sh.600031,99.3707181000,109.1736446000,94.5208492000,108.4513237000,99.2468916600,6537918,322456687.0000,9.274276,47.440174,10.101110,5.593064,74.111833
64,2007-04-11,sh.600031,107.3162480000,115.4681553000,105.2524740000,112.9090755400,108.4513237000,8355007,447732175.0000,4.110371,49.390142,10.516303,5.822960,77.158105
65,2007-04-12,sh.600031,118.7289182200,124.1979193200,116.1904762000,119.7401674800,112.9090755400,15942377,940740422.0000,6.050085,52.378286,11.152548,6.175254,81.826234
66,2007-04-13,sh.600031,119.6576165200,121.3499112000,113.5075700000,114.7251966600,119.7401674800,8888686,506348542.0000,-4.188211,50.184573,10.685456,5.916621,78.399178
67,2007-04-16,sh.600031,114.1267022000,126.1997801000,113.9409625400,126.1997801000,114.7251966600,8190088,485398727.0000,10.001800,55.203933,11.754194,6.508390,86.240506
68,2007-04-17,sh.600031,132.9070456000,138.8300769800,130.0383997400,138.8300769800,126.1997801000,14641683,967660691.0000,10.008170,60.728840,12.930575,7.159761,94.871609
69,2007-04-18,sh.600031,145.5373424800,146.1151992000,136.8282162000,140.1508923400,138.8300769800,11044873,756319876.0000,0.951400,61.306608,13.053595,7.227878,95.774208
70,2007-04-19,sh.600031,139.1190053400,139.1190053400,126.1378668800,126.1378668800,140.1508923400,10847697,683421623.0000,-9.998534,55.176850,11.748427,6.505197,86.198197
71,2007-04-20,sh.600031,130.2241394000,136.2090840000,127.9746257400,134.1246722600,126.1378668800,10977850,705648477.0000,6.331804,58.670541,12.492315,6.917093,91.656100
72,2007-04-23,sh.600031,134.1246722600,134.1246722600,134.1246722600,134.1246722600,134.1246722600,0,0.0000,0.000000,117.341082,24.984630,13.834186,183.312200
73,2007-04-24,sh.600031,138.7610680000,139.9201700000,128.6603220000,129.1570800000,134.1246600000,23362775,744643413.0000,-3.703706,56.332386,11.994468,6.641431,88.003395
74,2007-04-25,sh.600031,128.5775290000,128.6603220000,122.4508470000,125.4313950000,129.1570800000,14659773,441477237.0000,-2.884620,54.707413,11.648474,6.449851,85.464835
75,2007-04-26,sh.600031,125.4313950000,128.2877535000,122.8234155000,124.6862580000,125.4313950000,17414884,521353048.0000,-0.594054,54.382419,11.579275,6.411535,84.957124
76,2007-04-27,sh.600031,126.3007215000,129.4882520000,124.2308965000,125.8867565000,124.6862580000,15721210,481604041.0000,0.962812,32.504014,9.552752,4.687760,545.387581
77,2007-04-30,sh.600031,124.8104475000,129.8194240000,119.6358850000,128.0393745000,125.8867565000,21467052,648394066.0000,1.709965,33.059820,9.716101,4.767919,554.713511
78,2007-05-08,sh.600031,129.6952345000,132.5515930000,129.5710450000,130.5231645000,128.0393745000,17346352,549770290.0000,1.939865,33.701136,9.904580,4.860410,565.474200
79,2007-05-09,sh.600031,130.3989750000,130.3989750000,121.7057100000,126.5077040000,130.5231645000,15804610,480353877.0000,-3.076439,32.664342,9.599872,4.710883,548.077753
80,2007-05-10,sh.600031,126.3835145000,126.3835145000,123.3615700000,125.0588265000,126.5077040000,15059125,451669525.0000,-1.145289,32.290242,9.489926,4.656930,541.800685
81,2007-05-11,sh.600031,124.1895000000,124.2308965000,121.3331415000,122.8648120000,125.0588265000,12259722,362935224.0000,-1.754382,31.723746,9.323436,4.575229,532.295410
82,2007-05-14,sh.600031,120.4224185000,122.1196750000,118.3111970000,121.0019695000,122.8648120000,14462007,418833100.0000,-1.516175,31.242759,9.182077,4.505861,524.224893
83,2007-05-15,sh.600031,120.8777800000,125.8453600000,120.2568325000,123.7755350000,121.0019695000,15811604,473699281.0000,2.292166,31.958895,9.392545,4.609142,536.240996
84,2007-05-16,sh.600031,123.8583280000,131.9306455000,123.8583280000,131.0613190000,123.7755350000,22074051,686610464.0000,5.886288,33.840088,9.945417,4.880450,567.805683
85,2007-05-17,sh.600031,132.3860070000,143.9770270000,132.3860070000,138.1401205000,131.0613190000,25117892,842283955.0000,5.401134,35.667837,10.482583,5.144050,598.473646
86,2007-05-18,sh.600031,138.3057065000,142.7765285000,135.8219165000,136.1530885000,138.1401205000,20152256,676693236.0000,-1.438416,35.154785,10.331799,5.070057,589.865095
87,2007-05-21,sh.600031,131.9720420000,142.6523390000,129.2398730000,141.7416160000,136.1530885000,25723095,858094596.0000,4.104598,36.597745,10.755878,5.278162,614.076645
88,2007-05-22,sh.600031,141.7416160000,141.7416160000,141.7416160000,141.7416160000,141.7416160000,0,0.0000,0.000000,36.597745,10.755878,5.278162,614.076645
89,2007-05-23,sh.600031,144.9705430000,154.7401170000,144.9705430000,151.9665515000,141.7416160000,24374132,887209109.0000,7.213778,39.237828,11.531783,5.658917,658.374814
90,2007-05-24,sh.600031,153.0428605000,156.4787700000,146.3366275000,148.8204175000,151.9665515000,22846949,822157989.0000,-2.070276,38.425494,11.293043,5.541762,644.744608
91,2007-05-25,sh.600031,148.6134350000,154.7401170000,145.5086975000,153.4154290000,148.8204175000,18763192,680136275.0000,3.087623,39.611928,11.641730,5.712870,664.651883
