,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600050,5.1921316000,5.5831708000,5.0726474000,5.3767890000,5.0726474000,819762805,4078078128.0000,5.995712,34.117087,2.127102,1.163753,37.946339
1,2007-01-05,sh.600050,5.2790292000,5.3550646000,5.0509230000,5.1160962000,5.3767890000,598322462,2861279690.0000,-4.848481,32.462925,2.023970,1.107329,36.106516
2,2007-01-08,sh.600050,5.0835096000,5.2681670000,4.8554034000,5.1812694000,5.1160962000,501825359,2349570243.0000,1.273884,32.876466,2.049753,1.121435,36.566472
3,2007-01-09,sh.600050,5.1595450000,5.3985134000,5.0509230000,5.3550646000,5.1812694000,431459834,2068027258.0000,3.354295,33.979240,2.118508,1.159051,37.793020
4,2007-01-10,sh.600050,5.3659268000,5.3985134000,5.1486828000,5.2681670000,5.3550646000,428372841,2072934426.0000,-1.622717,33.427853,2.084131,1.140243,37.179746
5,2007-01-11,sh.600050,5.2355804000,5.3550646000,5.1052340000,5.1704072000,5.2681670000,397752700,1907809415.0000,-1.855663,32.807542,2.045456,1.119084,36.489813
6,2007-01-12,sh.600050,5.0835096000,5.1812694000,4.8445412000,4.8771278000,5.1704072000,381521936,1762588178.0000,-5.672278,30.946610,1.929432,1.055607,34.420012
7,2007-01-15,sh.600050,4.8445412000,5.1160962000,4.7793680000,5.1052340000,4.8771278000,343109981,1564996325.0000,4.677062,32.394002,2.019673,1.104978,36.029857
8,2007-01-16,sh.600050,5.1486828000,5.2681670000,5.0291986000,5.1052340000,5.1052340000,343024724,1625850240.0000,0.000000,32.394002,2.019673,1.104978,36.029857
9,2007-01-17,sh.600050,5.1052340000,5.1486828000,4.8336790000,5.0400608000,5.1052340000,385307283,1781540406.0000,-1.276595,31.980461,1.993890,1.090872,35.569901
10,2007-01-18,sh.600050,5.0183364000,5.0617852000,4.8119546000,4.9314388000,5.0400608000,318664091,1439040107.0000,-2.155170,31.291227,1.950918,1.067362,34.803309
11,2007-01-19,sh.600050,4.9314388000,5.0400608000,4.8988522000,5.0291986000,4.9314388000,349343503,1597845308.0000,1.982382,31.911538,1.989593,1.088521,35.493242
12,2007-01-22,sh.600050,5.0943718000,5.3876512000,5.0835096000,5.3767890000,5.0291986000,606463558,2912914039.0000,6.911440,34.117087,2.127102,1.163753,37.946339
13,2007-01-23,sh.600050,5.4202378000,5.4528244000,5.1052340000,5.2681670000,5.3767890000,459570968,2232092738.0000,-2.020200,33.427853,2.084131,1.140243,37.179746
14,2007-01-24,sh.600050,5.2573048000,5.3767890000,5.1269584000,5.2464426000,5.2681670000,422397874,2040280467.0000,-0.412371,33.290006,2.075536,1.135541,37.026427
15,2007-01-25,sh.600050,5.1812694000,5.2247182000,4.9531632000,4.9857498000,5.2464426000,383801868,1810017782.0000,-4.968939,31.635844,1.972404,1.079117,35.186605
16,2007-01-26,sh.600050,4.8879900000,5.0400608000,4.7141948000,4.9423010000,4.9857498000,395057646,1779214828.0000,-0.871459,31.360151,1.955215,1.069713,34.879968
17,2007-01-29,sh.600050,5.1052340000,5.4419622000,5.1052340000,5.4419622000,4.9423010000,673298418,3295315321.0000,10.109890,34.530628,2.152885,1.177859,38.406294
18,2007-01-30,sh.600050,5.7243794000,5.8004148000,5.4311000000,5.5179976000,5.4419622000,852689464,4402737386.0000,1.397200,35.013091,2.182966,1.194317,38.942909
