,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600111,17.9445092800,18.2298460000,17.3896878800,17.6274684800,17.8969531600,7878061,88109110.0000,-1.505758,148.123644,3.812448,4.076325,21.438401
1,2007-01-05,sh.600111,17.5957644000,18.4517745600,17.4530960400,18.3091062000,17.6274684800,5046494,57756173.0000,3.866910,153.851446,3.959872,4.233953,22.267404
2,2007-01-08,sh.600111,18.2932541600,20.1479428400,18.1981419200,20.1479428400,18.3091062000,13686278,167526950.0000,10.043290,169.303193,4.357574,4.659181,24.503784
3,2007-01-09,sh.600111,20.1479428400,22.1611519200,20.1479428400,21.4002540000,20.1479428400,11469735,153860459.0000,6.215578,179.826366,4.628422,4.948776,26.026835
4,2007-01-10,sh.600111,22.1928560000,22.1928560000,21.4002540000,21.7331468400,21.4002540000,6545045,89625709.0000,1.555556,182.623665,4.700420,5.025757,26.431697
5,2007-01-11,sh.600111,21.8758152000,22.1135958000,21.2258815600,21.6063305200,21.7331468400,7272005,99106559.0000,-0.583515,181.558027,4.672992,4.996431,26.277464
6,2007-01-12,sh.600111,21.4161060400,21.7331468400,20.3698714000,20.4174275200,21.6063305200,6221081,82748297.0000,-5.502568,171.567673,4.415857,4.721499,24.831529
7,2007-01-15,sh.600111,20.2906112000,22.1770039600,20.2906112000,22.0026315200,20.4174275200,7686336,104837547.0000,7.763975,184.888145,4.758703,5.088075,26.759443
8,2007-01-16,sh.600111,22.0026315200,22.4306366000,21.5904784800,22.2562641600,22.0026315200,7741925,107320297.0000,1.152737,187.019420,4.813559,5.146727,27.067909
9,2007-01-17,sh.600111,22.5416008800,23.7780600000,21.5270703200,22.5257488400,22.2562641600,10864033,157501910.0000,1.210827,189.283901,4.871843,5.209045,27.395654
10,2007-01-18,sh.600111,22.3513764000,23.2707947200,21.6380346000,22.7476774000,22.5257488400,7430759,104754396.0000,0.985224,191.148767,4.919841,5.260366,27.665562
11,2007-01-19,sh.600111,22.9854580000,24.0158406000,22.7952335200,23.6353916400,22.7476774000,10620108,157510503.0000,3.902435,198.608231,5.111835,5.465648,28.745194
12,2007-01-22,sh.600111,23.8256161200,24.1743610000,23.2232386000,24.0158406000,23.6353916400,9601295,143617829.0000,1.609656,201.805144,5.194118,5.553626,29.207893
13,2007-01-23,sh.600111,23.8573202000,24.1268048800,22.4781927200,23.3183508400,24.0158406000,7379829,108841625.0000,-2.904288,195.944136,5.043266,5.392333,28.359611
14,2007-01-24,sh.600111,23.3342028800,23.9365804000,22.9061978000,23.1756824800,23.3183508400,5462842,80134422.0000,-0.611830,194.745294,5.012409,5.359341,28.186099
15,2007-01-25,sh.600111,22.8269376000,22.8903457600,21.8758152000,21.9550754000,23.1756824800,7254076,101928961.0000,-5.266754,184.488531,4.748418,5.077078,26.701605
16,2007-01-26,sh.600111,21.7172948000,22.6684172000,20.5759479200,22.4940447600,21.9550754000,7748999,104254229.0000,2.454868,189.017491,4.864986,5.201714,27.357096
17,2007-01-29,sh.600111,22.5574529200,22.9379018800,22.0184835600,22.7476774000,22.4940447600,8018306,113926017.0000,1.127560,191.148767,4.919841,5.260366,27.665562
18,2007-01-30,sh.600111,22.7476774000,23.6036875600,22.7476774000,22.8110855600,22.7476774000,6364139,92677003.0000,0.278745,191.681586,4.933555,5.275029,27.742679
19,2007-01-31,sh.600111,22.7952335200,22.7952335200,20.5283918000,20.7661724000,22.8110855600,7540213,102069655.0000,-8.964558,174.498177,4.491283,4.802146,25.255670
20,2007-02-01,sh.600111,20.5600958800,21.6855907200,20.2113510000,21.2575856400,20.7661724000,6129129,80940257.0000,2.366408,178.627523,4.597566,4.915784,25.853323
21,2007-02-02,sh.600111,21.2417336000,21.4002540000,20.7344683200,20.7661724000,21.2575856400,4002641,52906412.0000,-2.311704,174.498177,4.491283,4.802146,25.255670
22,2007-02-05,sh.600111,20.6076520000,21.3368458400,20.4649836400,21.0039530000,20.7661724000,3755707,49741491.0000,1.145035,176.496248,4.542710,4.857132,25.544857
23,2007-02-06,sh.600111,21.1466213600,21.4795142000,20.6076520000,21.3526978800,21.0039530000,3091002,41391856.0000,1.660379,179.426752,4.618137,4.937779,25.968998
24,2007-02-07,sh.600111,21.7807029600,21.7807029600,21.0673611600,21.2100295200,21.3526978800,3542969,47904605.0000,-0.668153,178.227909,4.587280,4.904787,25.795486
25,2007-02-08,sh.600111,21.2100295200,21.7965550000,20.9246928000,21.6380346000,21.2100295200,4551633,61883328.0000,2.017934,181.824437,4.679849,5.003762,26.316023
26,2007-02-09,sh.600111,21.7014427600,21.7014427600,21.0990652400,21.3209938000,21.6380346000,2854283,38370417.0000,-1.465200,179.160342,4.611280,4.930447,25.930440
27,2007-02-12,sh.600111,21.3368458400,22.9696059600,21.3368458400,22.5098968000,21.3209938000,6585518,93360936.0000,5.576208,189.150696,4.868414,5.205379,27.376375
28,2007-02-13,sh.600111,22.5574529200,22.9379018800,22.3196723200,22.7159733200,22.5098968000,3425347,48871725.0000,0.915494,190.882357,4.912984,5.253034,27.627004
29,2007-02-14,sh.600111,22.7318253600,23.9365804000,22.5574529200,23.3500549200,22.7159733200,7665926,113152813.0000,2.791344,196.210546,5.050123,5.399665,28.398169
30,2007-02-15,sh.600111,23.3024988000,24.2694732400,23.3024988000,24.1268048800,23.3500549200,8513681,128711159.0000,3.326549,202.737577,5.218117,5.579287,29.342847
