,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600143,74.3128935800,74.6657916000,68.7222460000,70.2081324000,74.4057614800,826298,32053564.0000,-5.641543,46.444272,10.501435,2.832386,130.869370
1,2007-01-05,sh.600143,70.3938682000,70.5796040000,64.0788510000,65.0632507400,70.2081324000,2996317,106683427.0000,-7.328044,43.040816,9.731885,2.624828,121.279207
2,2007-01-08,sh.600143,63.9859831000,69.5580571000,63.9859831000,68.9265553800,65.0632507400,963490,35491106.0000,5.937773,45.596480,10.309742,2.780684,128.480484
3,2007-01-09,sh.600143,68.9265553800,71.5082830000,67.7935670000,69.2051590800,68.9265553800,523867,19492390.0000,0.404197,45.780782,10.351415,2.791923,128.999807
4,2007-01-10,sh.600143,68.6108045200,74.0900106200,67.7935670000,73.3656410000,69.2051590800,842518,31942796.0000,6.011814,48.533036,10.973722,2.959769,136.755029
5,2007-01-11,sh.600143,73.3656410000,75.7802064000,72.6226978000,75.1858518400,73.3656410000,671111,26869958.0000,2.481011,49.737146,11.245981,3.033201,140.147939
6,2007-01-12,sh.600143,74.8515274000,75.2229990000,72.7155657000,75.1672782600,75.1858518400,481596,19175775.0000,-0.024699,49.724859,11.243203,3.032451,140.113317
7,2007-01-15,sh.600143,75.1301311000,76.7088854000,73.3284938400,76.1145308400,75.1672782600,903792,36838604.0000,1.260189,50.351489,11.384889,3.070666,141.879015
8,2007-01-16,sh.600143,76.3374138000,81.3522804000,76.3374138000,81.3151332400,76.1145308400,1254302,53502480.0000,6.832600,53.791805,12.162773,3.280473,151.573042
9,2007-01-17,sh.600143,79.8663940000,83.4882421000,77.6561379800,82.9124611200,81.3151332400,2033712,88922120.0000,1.964369,54.848474,12.401695,3.344913,154.550494
10,2007-01-18,sh.600143,83.2096384000,83.2096384000,79.8849675800,82.6338574200,82.9124611200,1175704,51526428.0000,-0.336016,54.664171,12.360022,3.333674,154.031171
11,2007-01-19,sh.600143,80.7950730000,90.8991005200,80.7950730000,90.8619533600,82.6338574200,1405824,66388546.0000,9.957285,60.107243,13.590746,3.665617,169.368507
12,2007-01-22,sh.600143,92.8679000000,96.5826160000,91.0105420000,96.5268952600,90.8619533600,537193,27206700.0000,6.234675,63.854731,14.438084,3.894156,179.928072
13,2007-01-23,sh.600143,96.5826160000,100.2973320000,92.8679000000,97.5112950000,96.5268952600,1251593,64625691.0000,1.019817,64.505933,14.585326,3.933870,181.763013
14,2007-01-24,sh.600143,95.6725105800,98.4399740000,93.0536358000,98.3471061000,97.5112950000,840353,43755673.0000,0.857144,65.058841,14.710343,3.967588,183.320982
15,2007-01-25,sh.600143,98.2170910400,98.2170910400,93.0722093800,93.7965790000,98.3471061000,1641857,85026221.0000,-4.627008,62.048564,14.029695,3.784008,174.838708
16,2007-01-26,sh.600143,87.3143995800,97.2884120400,87.3143995800,97.0283819200,93.7965790000,830239,41758610.0000,3.445548,64.186475,14.513094,3.914388,180.862854
17,2007-01-29,sh.600143,95.6539370000,102.4332937000,95.6539370000,102.1546900000,97.0283819200,730485,39940139.0000,5.283304,67.577644,15.279866,4.121197,190.418395
18,2007-01-30,sh.600143,101.9689542000,104.0120480000,98.4399740000,103.6034292400,102.1546900000,391356,21339052.0000,1.418180,68.536018,15.496562,4.179643,193.118874
19,2007-01-31,sh.600143,102.1546900000,103.9934744200,98.5142683200,100.3901999000,103.6034292400,619563,33406097.0000,-3.101469,66.410394,15.015941,4.050012,187.129350
20,2007-02-01,sh.600143,98.4214004200,99.9258604000,92.7007377800,97.5484421600,100.3901999000,1468358,75267700.0000,-2.830710,64.530507,14.590883,3.935368,181.832256
21,2007-02-02,sh.600143,97.4927214200,97.5112950000,92.8679000000,94.3909335600,97.5484421600,1229766,62213844.0000,-3.236863,62.441743,14.118596,3.807986,175.946597
22,2007-02-05,sh.600143,92.8679000000,96.8983668600,90.2861723800,95.8396728000,94.3909335600,375014,19194641.0000,1.534826,63.400117,14.335292,3.866432,178.647076
23,2007-02-06,sh.600143,95.8396728000,95.9325407000,92.0320889000,94.4095071400,95.8396728000,1543650,77295674.0000,-1.492242,62.454030,14.121374,3.808735,175.981218
24,2007-02-07,sh.600143,93.9637412200,97.5112950000,91.3820136000,92.6821642000,94.4095071400,434434,21750587.0000,-1.829629,61.311354,13.863005,3.739049,172.761417
25,2007-02-08,sh.600143,93.5179753000,98.4399740000,91.9949417400,97.6970308000,92.6821642000,1030151,53510673.0000,5.410815,64.628802,14.613108,3.941363,182.109229
26,2007-02-09,sh.600143,96.7683518000,98.3099589400,95.6539370000,98.0313552400,97.6970308000,603593,31593216.0000,0.342206,64.849965,14.663115,3.954850,182.732416
27,2007-02-12,sh.600143,98.0685024000,100.2787584200,97.5112950000,99.7772717600,98.0313552400,1073847,56976906.0000,1.780982,66.004928,14.924262,4.025285,185.986840
28,2007-02-13,sh.600143,100.4830678000,104.0120480000,100.4830678000,103.8077386200,99.7772717600,768285,42638184.0000,4.039460,68.671174,15.527122,4.187885,193.499711
29,2007-02-14,sh.600143,113.9860604600,114.0417812000,103.8263122000,112.0358345600,103.8077386200,1284774,77032514.0000,7.926284,74.114246,16.757845,4.519829,208.837047
30,2007-02-15,sh.600143,111.4414800000,114.1903698400,111.4414800000,112.1844232000,112.0358345600,918680,55956231.0000,0.132629,74.212540,16.780071,4.525823,209.114019
31,2007-02-16,sh.600143,112.1844232000,113.2245436800,109.0269146000,112.8344985000,112.1844232000,1114958,66337956.0000,0.579468,74.642580,16.877306,4.552049,210.325773
32,2007-02-26,sh.600143,112.2215703600,112.3701590000,108.8040316400,108.9711938600,112.8344985000,701189,41398162.0000,-3.423872,72.086916,16.299450,4.396193,203.124495
33,2007-02-27,sh.600143,108.6554430000,108.6554430000,98.4956947400,98.6814305400,108.9711938600,1192167,65530739.0000,-9.442641,65.280005,14.760350,3.981076,183.944170
34,2007-02-28,sh.600143,98.6814305400,103.1762369000,95.0595824400,97.4741478400,98.6814305400,620346,32628375.0000,-1.223417,64.481360,14.579770,3.932371,181.693770
35,2007-03-01,sh.600143,97.5112950000,101.7832184000,95.6539370000,97.1769705600,97.4741478400,809997,42619110.0000,-0.304878,64.284770,14.535320,3.920382,181.139826
36,2007-03-02,sh.600143,97.2326913000,99.3686530000,95.9882614400,97.8827666000,97.1769705600,2011539,106374168.0000,0.726302,64.751670,14.640890,3.948856,182.455444
37,2007-03-05,sh.600143,98.4771211600,103.0833690000,98.4771211600,101.9689542000,97.8827666000,541209,29430680.0000,4.174574,67.454776,15.252084,4.113704,190.072180
38,2007-03-06,sh.600143,101.9503806200,103.7891650400,100.2973320000,103.1576633200,101.9689542000,495959,27305235.0000,1.165755,68.241134,15.429886,4.161659,192.287957
39,2007-03-07,sh.600143,103.2691048000,106.0365682200,102.2289843200,105.6650966200,103.1576633200,565894,31801620.0000,2.430678,69.899858,15.804937,4.262816,196.961863
40,2007-03-08,sh.600143,105.9065531600,113.0202343000,105.9065531600,112.8902192400,105.6650966200,959038,57228947.0000,6.837756,74.679441,16.885641,4.554297,210.429637
41,2007-03-09,sh.600143,112.8902192400,117.9422330000,112.4258797400,115.3976525400,112.8902192400,815915,50778972.0000,2.221129,76.338165,17.260692,4.655454,215.103543
42,2007-03-12,sh.600143,115.3976525400,115.3976525400,115.3976525400,115.3976525400,115.3976525400,0,0.0000,0.000000,76.338165,17.260692,4.655454,215.103543
43,2007-03-13,sh.600143,116.0848750000,116.1034485800,109.2312239800,112.0729817200,115.3976525400,2143768,128130361.0000,-2.881057,74.138819,16.763402,4.521327,208.906290
44,2007-03-14,sh.600143,112.0915553000,115.1561960000,110.5128010000,111.9058195000,112.0729817200,1255430,75797812.0000,-0.149155,74.028238,16.738398,4.514584,208.594696
45,2007-03-15,sh.600143,114.0417812000,123.1056882400,113.8746189800,123.1056882400,111.9058195000,3443555,219530861.0000,10.008300,81.437205,18.413627,4.966417,229.471477
46,2007-03-16,sh.600143,128.6963358200,131.8724180000,124.6287218000,129.3649847000,123.1056882400,3368773,231858508.0000,5.084494,85.577872,19.349866,5.218934,241.138931
47,2007-03-19,sh.600143,124.4429860000,129.2721168000,120.7654171600,126.1703289400,129.3649847000,2175967,146966362.0000,-2.469492,83.464534,18.872023,5.090053,235.184029
48,2007-03-20,sh.600143,127.5506499800,127.5506499800,121.8054613000,123.1111860000,126.1703124400,3140144,103697963.0000,-2.424600,81.093173,18.335839,4.945436,228.502074
49,2007-03-21,sh.600143,121.2458650000,127.5133435600,114.0457259400,126.6552959000,123.1111860000,4795320,155192492.0000,2.878790,83.427674,18.863689,5.087805,235.080164
50,2007-03-22,sh.600143,128.5206169000,128.5206169000,120.1266724000,122.5888961200,126.6552959000,3534825,116661117.0000,-3.210604,80.749142,18.258050,4.924455,227.532671
51,2007-03-23,sh.600143,122.1039126600,124.9765070000,115.6499020000,124.4915235400,122.5888961200,4046278,129160816.0000,1.552034,82.002400,18.541423,5.000885,231.064067
52,2007-03-26,sh.600143,121.7681548800,121.7681548800,119.3432375800,120.2758980800,124.4915235400,3490624,112492040.0000,-3.386267,79.225573,17.913559,4.831541,223.239602
53,2007-03-27,sh.600143,120.2758980800,120.4997366000,115.6872084200,119.9401403000,120.2758980800,4218808,133379403.0000,-0.279157,79.004410,17.863552,4.818054,222.616414
54,2007-03-28,sh.600143,119.6789953600,119.6789953600,115.6499020000,116.8437074400,119.9401403000,3826521,120317661.0000,-2.581654,76.964794,17.402378,4.693668,216.869241
55,2007-03-29,sh.600143,116.7690946000,119.1940119000,114.7545479200,116.8064010200,116.8437074400,3781519,118192788.0000,-0.031929,76.940220,17.396822,4.692170,216.799998
56,2007-03-30,sh.600143,117.1421588000,120.8728008000,116.7690946000,119.9774467200,116.8064010200,2819149,89420046.0000,2.714789,79.028983,17.869108,4.819552,222.685658
57,2007-04-02,sh.600143,120.4997366000,120.4997366000,116.6944817600,117.1421588000,119.9774467200,3488461,109876131.0000,-2.363185,77.161383,17.446829,4.705657,217.423186
58,2007-04-03,sh.600143,117.1421588000,119.5670761000,115.6872084200,117.3659973200,117.1421588000,4305002,135488319.0000,0.191081,77.308825,17.480166,4.714649,217.838644
59,2007-04-04,sh.600143,118.1121257200,123.4842502000,118.1121257200,121.4323971000,117.3659973200,8399992,272780075.0000,3.464718,79.987357,18.085805,4.877998,225.386137
