,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600150,35.7890677000,36.5538875000,34.1694493000,34.3606542500,35.7665730000,1331904,41369655.0000,-3.930818,10.291073,7.241465,1.013640,5.791748
1,2007-01-05,sh.600150,34.3606542500,34.3606542500,33.2584139500,33.5845871000,34.3606542500,360387,10780923.0000,-2.258588,10.058640,7.077909,0.990746,5.660936
2,2007-01-08,sh.600150,33.5845871000,34.1019652000,33.0672090000,34.0794705000,33.5845871000,1486573,43991834.0000,1.473539,10.206858,7.182206,1.005345,5.744353
3,2007-01-09,sh.600150,34.0794705000,34.8667850000,33.6295765000,34.5968486000,34.0794705000,1204241,36599875.0000,1.518155,10.361814,7.291242,1.020607,5.831561
4,2007-01-10,sh.600150,34.5856012500,34.8555376500,33.8545235000,34.4506330500,34.5968486000,2200374,66949208.0000,-0.422630,10.318022,7.260428,1.016294,5.806915
5,2007-01-11,sh.600150,34.4168910000,34.6418380000,33.0672090000,33.4833609500,34.4506330500,3573435,107435502.0000,-2.807701,10.028322,7.056576,0.987760,5.643874
6,2007-01-12,sh.600150,33.4721136000,33.6070818000,32.1674210000,32.4823468000,33.4833609500,3807026,111947776.0000,-2.989591,9.728517,6.845614,0.958230,5.475145
7,2007-01-15,sh.600150,32.4823468000,35.7328309500,32.1674210000,35.6765942000,32.4823468000,2480278,75119117.0000,9.833796,10.685200,7.518797,1.052460,6.013560
8,2007-01-16,sh.600150,35.9015412000,36.2164670000,34.6530853500,35.9802726500,35.6765942000,2089335,65485942.0000,0.851199,10.776152,7.582797,1.061419,6.064747
9,2007-01-17,sh.600150,35.9465306000,37.8585801000,35.4516472000,36.3289405000,35.9802726500,2326998,76172552.0000,0.969051,10.880578,7.656279,1.071704,6.123518
10,2007-01-18,sh.600150,36.4864034000,37.3412020000,33.7420500000,36.8688133000,36.3289405000,1257007,39814285.0000,1.486067,11.042271,7.770056,1.087630,6.214517
11,2007-01-19,sh.600150,37.4424281500,38.8033575000,37.1387497000,38.5671631500,36.8688133000,1474617,50051497.0000,4.606474,11.550930,8.127981,1.137732,6.500787
