,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600216,8.7758163300,8.9357400900,8.5559211600,8.5759116300,8.7758163300,7113670,30832866.0000,-2.277902,24.010972,2.499572,0.862072,40.099493
1,2007-01-05,sh.600216,8.5759116300,8.5759116300,8.3360259900,8.5359306900,8.5759116300,6923240,29139374.0000,-0.466200,23.899033,2.487919,0.858053,39.912549
2,2007-01-08,sh.600216,8.4959497500,8.9957115000,8.4559688100,8.9757210300,8.5359306900,11741449,51811067.0000,5.152220,25.130365,2.616102,0.902262,41.968933
3,2007-01-09,sh.600216,9.0956638500,9.1356447900,8.8757686800,8.9957115000,8.9757210300,9637205,43328057.0000,0.222722,25.186335,2.621928,0.904272,42.062405
4,2007-01-10,sh.600216,8.9957115000,9.2955685500,8.7758163300,9.2555876100,8.9957115000,13547336,61197677.0000,2.888891,25.913940,2.697673,0.930395,43.277542
5,2007-01-11,sh.600216,9.2955685500,9.7553493600,9.1356447900,9.3755304300,9.2555876100,17693778,83839550.0000,1.295895,26.249758,2.732632,0.942452,43.838374
6,2007-01-12,sh.600216,9.2955685500,9.4355018400,8.7558258600,8.7958068000,9.3755304300,9674477,43965942.0000,-6.183368,24.626638,2.563663,0.884177,41.127685
7,2007-01-15,sh.600216,8.7958068000,9.3555399600,8.6958544500,9.2555876100,8.7958068000,8513163,38645561.0000,5.227273,25.913940,2.697673,0.930395,43.277542
8,2007-01-16,sh.600216,9.3155590200,10.0951873500,9.1156543200,9.7753398300,9.2555876100,22303354,107907881.0000,5.615545,27.369150,2.849162,0.982642,45.707814
9,2007-01-17,sh.600216,9.7753398300,9.8952826500,9.2755780800,9.4754827800,9.7753398300,14057084,67495086.0000,-3.067487,26.529606,2.761765,0.952500,44.305734
10,2007-01-18,sh.600216,9.3955209000,10.0552064100,9.3155590200,9.9552540600,9.4754827800,17531306,85907691.0000,5.063296,27.872877,2.901601,1.000727,46.549062
11,2007-01-19,sh.600216,9.9952350000,10.1951397000,9.8752921800,9.9952350000,9.9552540600,15793076,78946113.0000,0.401606,27.984816,2.913254,1.004746,46.736006
