,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600332,8.1632598100,8.4536934500,8.0906514000,8.1528871800,7.9972977300,3052647,24305908.0000,1.945526,28.935613,2.331192,0.648599,-28.248203
1,2007-01-05,sh.600332,8.1217692900,8.6611460500,8.0906514000,8.5366744900,8.1528871800,3886628,31540940.0000,4.707371,30.297722,2.440930,0.679131,-29.577953
2,2007-01-08,sh.600332,8.4018303000,9.3872301500,8.3914576700,9.3872301500,8.5366744900,7897257,69889007.0000,9.963556,33.316450,2.684133,0.746796,-32.524967
3,2007-01-09,sh.600332,9.3457396300,9.5324469700,9.2005228100,9.4287206700,9.3872301500,5113927,46362882.0000,0.441989,33.463705,2.695996,0.750097,-32.668723
4,2007-01-10,sh.600332,9.3976027800,9.9266069100,9.2316407000,9.8954890200,9.4287206700,5107921,47214668.0000,4.950493,35.120324,2.829462,0.787230,-34.285987
5,2007-01-11,sh.600332,9.8954890200,10.7460446800,9.6880364200,10.3622573700,9.8954890200,5713041,56797086.0000,4.716979,36.776943,2.962927,0.824364,-35.903251
6,2007-01-12,sh.600332,10.2481584400,11.2024404000,10.0718237300,10.7149267900,10.3622573700,7001331,72381062.0000,3.403405,38.028611,3.063767,0.852420,-37.125183
7,2007-01-15,sh.600332,10.8808888700,11.7833076800,10.5800826000,11.7833076800,10.7149267900,8436057,92792029.0000,9.970956,41.820428,3.369254,0.937415,-40.826920
8,2007-01-16,sh.600332,11.9907602800,12.4471560000,11.4928740400,12.4367833700,11.7833076800,5952048,68998168.0000,5.545776,44.139694,3.556105,0.989402,-43.091088
9,2007-01-17,sh.600332,12.4056654800,12.4056654800,11.4617561500,11.5758550800,12.4367833700,3937658,45214241.0000,-6.922435,41.084153,3.309936,0.920911,-40.108136
10,2007-01-18,sh.600332,11.4410108900,12.2708212900,11.2854214400,12.2604486600,11.5758550800,5776919,65753888.0000,5.913977,43.513861,3.505685,0.975373,-42.480122
11,2007-01-19,sh.600332,12.3745475900,12.6753538600,11.9492697600,12.2085855100,12.2604486600,3904785,46462393.0000,-0.423005,43.329792,3.490856,0.971247,-42.300426
12,2007-01-22,sh.600332,12.2189581400,12.8620612000,11.9285245000,12.8516885700,12.2085855100,4275343,51454178.0000,5.267628,45.612245,3.674741,1.022409,-44.528656
13,2007-01-23,sh.600332,12.8828064600,13.4221832200,12.4367833700,12.9242969800,12.8516885700,7858568,98187820.0000,0.564969,45.869941,3.695502,1.028186,-44.780230
14,2007-01-24,sh.600332,12.7583349000,12.7583349000,12.0426234300,12.2500760300,12.9242969800,5874514,69934181.0000,-5.216691,43.477047,3.502719,0.974548,-42.444183
15,2007-01-25,sh.600332,12.1359771000,12.2293307700,11.0261056900,11.0883414700,12.2500760300,5715825,63465182.0000,-9.483496,39.353906,3.170539,0.882127,-38.418994
16,2007-01-26,sh.600332,10.9742425400,12.1982128800,10.6941815300,12.0737413200,11.0883414700,6585639,72931459.0000,8.886818,42.851213,3.452299,0.960520,-41.833217
17,2007-01-29,sh.600332,12.0737413200,12.0737413200,12.0737413200,12.0737413200,12.0737413200,0,0.0000,0.000000,42.851213,3.452299,0.960520,-41.833217
18,2007-01-30,sh.600332,12.7583349000,13.2665937700,11.8247982000,11.8766613500,12.0737413200,5584908,66865170.0000,-1.632307,42.151752,3.395947,0.944841,-41.150372
19,2007-01-31,sh.600332,11.9285245000,12.5508823000,11.6692087500,11.8559160900,11.8766613500,4805492,56530542.0000,-0.174668,42.078124,3.390015,0.943191,-41.078494
20,2007-02-01,sh.600332,11.8559160900,12.9657875000,11.8455434600,12.8620612000,11.8559160900,8516805,103212130.0000,8.486433,45.649058,3.677707,1.023234,-44.564595
21,2007-02-02,sh.600332,13.0695138000,13.3599474400,12.1256044700,12.2811939200,12.8620612000,5798328,71285705.0000,-4.516125,43.587488,3.511617,0.977024,-42.552001
22,2007-02-05,sh.600332,12.1359771000,12.6442359700,12.0426234300,12.3330570700,12.2811939200,2234676,26592523.0000,0.422299,43.771557,3.526446,0.981150,-42.731697
