,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600348,16.3469882000,17.1914021600,16.2712074600,16.6176337000,16.0979943400,19361538,299110311.0000,3.227979,11.999213,2.556754,0.904801,-13.649172
1,2007-01-05,sh.600348,16.6176337000,18.2848099800,16.4552464000,18.2523325200,16.6176337000,17905414,290264158.0000,9.837135,13.179592,2.808266,0.993808,-14.991860
2,2007-01-08,sh.600348,18.3822423600,19.0209657400,18.2415067000,18.3822423600,18.2523325200,16719141,286559243.0000,0.711738,13.273397,2.828253,1.000881,-15.098563
3,2007-01-09,sh.600348,18.4038940000,18.5879329400,17.8842546400,18.5229780200,18.3822423600,8891528,149441234.0000,0.765613,13.375019,2.849907,1.008544,-15.214159
4,2007-01-10,sh.600348,18.5662813000,19.3240887000,18.1007710400,18.9668366400,18.5229780200,11100026,192574674.0000,2.396259,13.695519,2.918198,1.032711,-15.578729
5,2007-01-11,sh.600348,18.9668366400,19.9736379000,18.1982034200,18.2848099800,18.9668366400,9813280,172086119.0000,-3.595896,13.203043,2.813263,0.995576,-15.018535
6,2007-01-12,sh.600348,18.1657259600,18.4905005600,16.5202013200,16.6609369800,18.2848099800,15878293,255900794.0000,-8.880989,12.030482,2.563417,0.907159,-13.684740
7,2007-01-15,sh.600348,16.7258919000,17.4945251200,16.3794656600,17.4836993000,16.6609369800,12734356,198515946.0000,4.938267,12.624579,2.690005,0.951957,-14.360530
8,2007-01-16,sh.600348,17.5486542200,17.7002157000,16.9207566600,17.4187443800,17.4836993000,14657377,233034611.0000,-0.371514,12.577677,2.680012,0.948420,-14.307178
9,2007-01-17,sh.600348,17.4187443800,18.1873776000,17.0398406800,17.5378284000,17.4187443800,11871662,194313868.0000,0.683658,12.663665,2.698334,0.954904,-14.404990
10,2007-01-18,sh.600348,17.7543448000,18.1440743200,17.1914021600,17.9383837400,17.5378284000,10859770,177987321.0000,2.283944,12.952897,2.759962,0.976714,-14.733992
11,2007-01-19,sh.600348,18.1982034200,18.8369268000,18.1982034200,18.7827977000,17.9383837400,14154068,242293534.0000,4.707307,13.562629,2.889882,1.022691,-15.427566
12,2007-01-22,sh.600348,19.1833530400,20.1360252000,19.1833530400,20.0169411800,18.7827977000,14865763,272365633.0000,6.570601,14.453776,3.079765,1.089888,-16.441250
13,2007-01-23,sh.600348,20.1360252000,20.4607998000,18.9451850000,19.5622567400,20.0169411800,10238834,185384150.0000,-2.271498,14.125458,3.009808,1.065131,-16.067788
14,2007-01-24,sh.600348,19.5730825600,19.6813407600,19.1183981200,19.3240887000,19.5622567400,10463579,186012026.0000,-1.217484,13.953483,2.973164,1.052163,-15.872164
15,2007-01-25,sh.600348,19.1617014000,19.7571215000,18.7286686000,18.8910559000,19.3240887000,12409677,221205176.0000,-2.240894,13.640800,2.906538,1.028585,-15.516486
16,2007-01-26,sh.600348,18.4905005600,19.5622567400,17.7110415200,19.1833530400,18.8910559000,13205359,227831284.0000,1.547270,13.851861,2.951511,1.044500,-15.756569
17,2007-01-29,sh.600348,19.3890436200,20.1251993800,19.1508755800,19.7246440400,19.1833530400,11965054,217167153.0000,2.821671,14.242714,3.034792,1.073973,-16.201167
