,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600372,3.3024379500,3.3338897400,3.1661468600,3.1871147200,3.2395343700,5025687,15357748.0000,-1.618122,-11.558980,1.109274,0.296288,-3.175884
1,2007-01-05,sh.600372,3.1556629300,3.3024379500,3.1032432800,3.2605022300,3.1871147200,5188113,15974816.0000,2.302629,-11.825141,1.134817,0.303110,-3.249013
2,2007-01-08,sh.600372,3.2395343700,3.4177611800,3.2080825800,3.3967933200,3.2605022300,6423510,20499258.0000,4.180068,-12.319439,1.182253,0.315781,-3.384824
3,2007-01-09,sh.600372,3.4072772500,3.5959879900,3.3758254600,3.5226004800,3.3967933200,8521744,28315124.0000,3.703700,-12.775715,1.226040,0.327476,-3.510188
4,2007-01-10,sh.600372,3.5226004800,3.7008272900,3.4596969000,3.6903433600,3.5226004800,12138352,41736597.0000,4.761908,-13.384082,1.284423,0.343070,-3.677339
5,2007-01-11,sh.600372,3.6693755000,4.0572809100,3.6379237100,4.0572809100,3.6903433600,18547206,69597132.0000,9.943179,-14.714886,1.412135,0.377182,-4.042984
6,2007-01-12,sh.600372,4.1726041400,4.2250237900,3.6798594300,3.7217951500,4.0572809100,26684088,101625839.0000,-8.268733,-13.498151,1.295369,0.345994,-3.708680
7,2007-01-15,sh.600372,3.6693755000,3.8685701700,3.6379237100,3.8580862400,3.7217951500,11803197,42564857.0000,3.661975,-13.992449,1.342805,0.358664,-3.844491
8,2007-01-16,sh.600372,3.8580862400,4.1201844900,3.7217951500,3.9838934000,3.8580862400,13353098,49572920.0000,3.260867,-14.448725,1.386593,0.370360,-3.969855
9,2007-01-17,sh.600372,3.9629255400,3.9838934000,3.7322790800,3.8056665900,3.9838934000,8060979,29737485.0000,-4.473680,-13.802334,1.324561,0.353791,-3.792256
10,2007-01-18,sh.600372,3.7846987300,3.9105058900,3.7427630100,3.8685701700,3.8056665900,5748705,21012083.0000,1.652891,-14.030472,1.346454,0.359639,-3.854938
11,2007-01-19,sh.600372,3.8790541000,4.0887327000,3.8790541000,4.0467969800,3.8685701700,11892435,45443742.0000,4.607041,-14.676863,1.408486,0.376208,-4.032537
12,2007-01-22,sh.600372,4.0992166300,4.4137345300,4.0363130500,4.3403470200,4.0467969800,15894956,64129993.0000,7.253885,-15.741505,1.510656,0.403497,-4.325053
13,2007-01-23,sh.600372,4.3403470200,4.3613148800,4.0887327000,4.2459916500,4.3403470200,12726051,51062776.0000,-2.173905,-15.399299,1.477816,0.394726,-4.231030
14,2007-01-24,sh.600372,4.2459916500,4.4451863200,4.2355077200,4.3508309500,4.2459916500,11274510,46800099.0000,2.469133,-15.779528,1.514305,0.404472,-4.335499
15,2007-01-25,sh.600372,4.3403470200,4.3403470200,3.9209898200,3.9314737500,4.3508309500,10515720,41165260.0000,-9.638556,-14.258610,1.368348,0.365487,-3.917620
16,2007-01-26,sh.600372,3.8580862400,3.9105058900,3.5435683400,3.8161505200,3.9314737500,8201553,29374264.0000,-2.933331,-13.840357,1.328210,0.354766,-3.802703
17,2007-01-29,sh.600372,3.8161505200,4.0153451900,3.7637308700,3.9734094700,3.8161505200,6321121,23600045.0000,4.120875,-14.410702,1.382944,0.369385,-3.959408
18,2007-01-30,sh.600372,3.9734094700,4.1830880700,3.8895380300,4.1306684200,3.9734094700,9766325,37646005.0000,3.957786,-14.981046,1.437678,0.384005,-4.116113
19,2007-01-31,sh.600372,4.0677648400,4.1726041400,3.7217951500,3.8056665900,4.1306684200,6885263,26292774.0000,-7.868019,-13.802334,1.324561,0.353791,-3.792256
20,2007-02-01,sh.600372,3.7846987300,4.0153451900,3.7427630100,4.0048612600,3.8056665900,7209860,26802862.0000,5.234155,-14.524771,1.393890,0.372309,-3.990749
21,2007-02-02,sh.600372,4.0258291200,4.1935720000,3.9419576800,3.9524416100,4.0048612600,8249524,32080284.0000,-1.308899,-14.334656,1.375646,0.367436,-3.938514
22,2007-02-05,sh.600372,3.9209898200,4.2984113000,3.8266344500,4.2459916500,3.9524416100,11183922,43554110.0000,7.427062,-15.399299,1.477816,0.394726,-4.231030
23,2007-02-06,sh.600372,4.2355077200,4.5919613400,4.1516362800,4.4451863200,4.2459916500,22051341,92447783.0000,4.691348,-16.121735,1.547145,0.413244,-4.429522
24,2007-02-07,sh.600372,4.4661541800,4.5709934800,4.3193791600,4.5395416900,4.4451863200,17956768,76355664.0000,2.122645,-16.463942,1.579986,0.422015,-4.523545
