,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600376,16.0999901100,16.5925824000,15.6592496400,15.8925828300,15.9703605600,3846234,23919487.0000,-0.487009,-46.106031,2.274734,7.778224,-9.579465
1,2007-01-05,sh.600376,15.8925828300,16.2814714800,15.6073978200,15.9185087400,15.8925828300,3175748,19492067.0000,0.163128,-46.181245,2.278445,7.790913,-9.595093
2,2007-01-08,sh.600376,15.8407310100,17.3444337900,15.8148051000,16.9814710500,15.9185087400,6804851,43700876.0000,6.677530,-49.265009,2.430588,8.311153,-10.235807
3,2007-01-09,sh.600376,16.9555451400,18.6925811100,16.7481378600,18.6925811100,16.9814710500,11924229,84172601.0000,10.076330,-54.229117,2.675503,9.148613,-11.267202
4,2007-01-10,sh.600376,18.1999888200,19.0555438500,17.7073965300,18.4073961000,18.6925811100,12922012,91468759.0000,-1.525661,-53.401765,2.634684,9.009036,-11.095303
5,2007-01-11,sh.600376,18.4073961000,19.8073952400,18.1999888200,18.6925811100,18.4073961000,11045042,81325663.0000,1.549298,-54.229117,2.675503,9.148613,-11.267202
6,2007-01-12,sh.600376,18.4851738300,19.4444325000,18.3555442800,18.6925811100,18.6925811100,7412914,53890152.0000,0.000000,-54.229117,2.675503,9.148613,-11.267202
7,2007-01-15,sh.600376,18.8999883900,20.3518393500,18.1481370000,20.1703579800,18.6925811100,9076299,68390662.0000,7.905689,-58.516301,2.887019,9.871874,-12.157951
8,2007-01-16,sh.600376,20.1444320700,21.5444312100,19.8592470600,21.1814684700,20.1703579800,7808835,63196988.0000,5.012852,-61.449637,3.031741,10.366736,-12.767412
9,2007-01-17,sh.600376,20.5592466300,21.1296166500,19.0555438500,19.0555438500,21.1814684700,11088046,85035154.0000,-10.036720,-55.282109,2.727454,9.326256,-11.485982
10,2007-01-18,sh.600376,17.8629519900,18.3814701900,17.1629524200,17.6296188000,19.0555438500,12485240,84142868.0000,-7.482989,-51.145353,2.523359,8.628373,-10.626487
11,2007-01-19,sh.600376,17.8370260800,18.0185074500,17.1888783300,17.8629519900,17.6296188000,9242420,62878650.0000,1.323525,-51.822276,2.556756,8.742572,-10.767132
12,2007-01-22,sh.600376,17.9407297200,18.9777661200,17.8370260800,18.8999883900,17.8629519900,8291251,58781862.0000,5.805517,-54.830827,2.705189,9.250123,-11.392219
13,2007-01-23,sh.600376,18.9259143000,18.9777661200,17.9407297200,18.8481365700,18.8999883900,6419251,45763591.0000,-0.274348,-54.680399,2.697767,9.224746,-11.360965
14,2007-01-24,sh.600376,18.7703588400,19.8592470600,18.4333220100,19.4703584100,18.8481365700,8107839,60536556.0000,3.301241,-56.485529,2.786827,9.529276,-11.736017
15,2007-01-25,sh.600376,19.4444325000,19.4444325000,18.1740629100,18.3296183700,19.4703584100,5216870,37918723.0000,-5.858855,-53.176124,2.623551,8.970970,-11.048421
16,2007-01-26,sh.600376,18.0962851800,18.8999883900,17.5259151600,18.7185070200,18.3296183700,5210791,36696426.0000,2.121635,-54.304330,2.679213,9.161302,-11.282829
17,2007-01-29,sh.600376,18.6925811100,19.3148029500,18.6407292900,18.9777661200,18.7185070200,5196022,38028688.0000,1.385047,-55.056468,2.716322,9.288190,-11.439101
18,2007-01-30,sh.600376,19.0555438500,19.5999879600,18.6666552000,19.0296179400,18.9777661200,6334701,46678543.0000,0.273224,-55.206895,2.723743,9.313567,-11.470355
19,2007-01-31,sh.600376,19.0036920300,19.0036920300,17.1370265100,17.1370265100,19.0296179400,6130407,42556469.0000,-9.945504,-49.716291,2.452853,8.387286,-10.329570
