,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600415,81.1520445600,81.9057787200,76.2108984000,76.8494787300,81.1311075000,849741,63228573.0000,-5.277415,31.608845,7.581427,4.931367,-66.341965
1,2007-01-05,sh.600415,76.2946466400,76.3155837000,74.1695350500,74.4207797700,76.8494787300,1053650,75043113.0000,-3.160342,30.609901,7.341829,4.775519,-64.245338
2,2007-01-08,sh.600415,74.3160944700,76.9332269700,73.4158008900,76.4202690000,74.4207797700,2167218,154960235.0000,2.686740,31.432308,7.539084,4.903825,-65.971440
3,2007-01-09,sh.600415,76.4202690000,78.9222476700,74.8499895000,78.7966253100,76.4202690000,1935854,141975509.0000,3.109584,32.409723,7.773519,5.056314,-68.022881
4,2007-01-10,sh.600415,78.7861567800,78.7861567800,75.8968425000,76.5772969500,78.7966253100,1250942,91417021.0000,-2.816521,31.496895,7.554576,4.913901,-66.106998
5,2007-01-11,sh.600415,76.4202690000,78.7233456000,75.4048215900,77.6241499500,76.5772969500,2135484,155818183.0000,1.367054,31.927474,7.657851,4.981077,-67.010717
6,2007-01-12,sh.600415,78.1999191000,78.5139750000,75.5827866000,75.7816886700,77.6241499500,1406342,103986262.0000,-2.373570,31.169654,7.476086,4.862848,-65.420172
7,2007-01-15,sh.600415,75.7398145500,79.8644153700,75.3734160000,79.7387930100,75.7816886700,1414533,105109876.0000,5.221714,32.797245,7.866466,5.116772,-68.836228
8,2007-01-16,sh.600415,80.1889398000,87.7158128700,80.1889398000,87.7158128700,79.7387930100,1545378,126052778.0000,10.003940,36.078261,8.653423,5.628650,-75.722562
9,2007-01-17,sh.600415,91.0866795300,96.4884410100,91.0866795300,92.4266513700,87.7158128700,2289624,207068205.0000,5.370569,38.015869,9.118161,5.930941,-79.789294
10,2007-01-18,sh.600415,93.1699170000,96.6035948400,92.1230640000,95.2636230000,92.4266513700,703004,63098082.0000,3.069429,39.182740,9.398037,6.112987,-82.238371
11,2007-01-19,sh.600415,96.3104760000,102.5915940000,95.2636230000,102.1414472100,95.2636230000,469583,45065115.0000,7.219780,42.011647,10.076554,6.554331,-88.175801
12,2007-01-22,sh.600415,104.1618735000,104.7376426500,99.9849300300,104.0571882000,102.1414472100,917827,89772358.0000,1.875578,42.799608,10.265548,6.677263,-89.829605
13,2007-01-23,sh.600415,103.6279784700,103.9106287800,98.9276085000,101.1469368600,104.0571882000,1653482,161081803.0000,-2.796779,41.602597,9.978443,6.490514,-87.317268
14,2007-01-24,sh.600415,95.7870495000,95.7870495000,91.0343368800,91.0343368800,101.1469368600,836464,73244884.0000,-9.997933,37.443198,8.980805,5.841597,-78.587349
15,2007-01-25,sh.600415,81.9267157800,96.2895389400,81.9267157800,92.6150849100,91.0343368800,4600864,380446981.0000,1.736433,38.093373,9.136750,5.943033,-79.951963
16,2007-01-26,sh.600415,87.4122255000,92.1230640000,84.2716665000,89.2337497200,92.6150849100,1535151,127851941.0000,-3.650959,36.702601,8.803172,5.726055,-77.032953
17,2007-01-29,sh.600415,88.9825050000,88.9825050000,85.1091489000,86.1036592500,89.2337497200,1106152,91526443.0000,-3.507740,35.415169,8.494379,5.525200,-74.330835
18,2007-01-30,sh.600415,86.8573934100,88.9825050000,84.2716665000,84.5961909300,86.1036592500,1350000,111935079.0000,-1.750763,34.795134,8.345663,5.428467,-73.029481
