,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600436,23.1970938300,23.4667020800,22.7333676400,22.9598385700,23.0568975400,1517993,32458407.0000,-0.420946,33.342257,5.210164,5.573539,-83.463874
1,2007-01-05,sh.600436,22.6578773300,24.5343507500,22.6578773300,24.4588604400,22.9598385700,2165240,47693020.0000,6.528883,35.519136,5.550329,5.937429,-88.913136
2,2007-01-08,sh.600436,24.7500373500,26.8314130400,24.7500373500,25.8931763300,24.4588604400,2041416,48649386.0000,5.864197,37.602048,5.875812,6.285611,-94.127178
3,2007-01-09,sh.600436,26.1843532400,26.3353338600,25.5588621000,25.8176860200,25.8931763300,965015,23180443.0000,-0.291544,37.492421,5.858681,6.267286,-93.852755
4,2007-01-10,sh.600436,25.8823920000,26.9069033500,25.4510188000,26.4108241700,25.8176860200,1381067,33412689.0000,2.297407,38.353776,5.993279,6.411271,-96.008938
5,2007-01-11,sh.600436,26.4000398400,27.2196489200,25.6882740600,26.0118039600,26.4108241700,1620868,39883884.0000,-1.510816,37.774319,5.902731,6.314408,-94.558415
6,2007-01-12,sh.600436,25.8931763300,25.9794509700,24.5990567300,25.1274889000,26.0118039600,1746926,41166306.0000,-3.399675,36.490117,5.702058,6.099739,-91.343742
7,2007-01-15,sh.600436,24.9010179700,27.1225899500,24.8147433300,26.9500406700,25.1274889000,1797141,44421725.0000,7.253222,39.136825,6.115641,6.542167,-97.969104
8,2007-01-16,sh.600436,27.4784728400,29.6461231700,26.7451384000,29.6461231700,26.9500406700,1780263,47625657.0000,10.004000,43.052074,6.727449,7.196645,-107.769935
9,2007-01-17,sh.600436,30.3039673000,32.5471079400,29.8725941000,31.4794592700,29.6461231700,3633952,105628555.0000,6.184070,45.714443,7.143479,7.641691,-114.434500
10,2007-01-18,sh.600436,31.4902436000,34.0245611500,30.4333792600,33.9814238300,31.4794592700,2027859,60741403.0000,7.947926,49.347794,7.711238,8.249047,-123.529671
11,2007-01-19,sh.600436,37.3784877800,37.3784877800,34.1647574400,34.7147582700,33.9814238300,2874484,94013825.0000,2.158040,50.412741,7.877650,8.427065,-126.195496
12,2007-01-22,sh.600436,34.0784828000,35.4373083800,32.9784811400,34.9735821900,34.7147582700,3564301,112505106.0000,0.745578,50.788605,7.936384,8.489895,-127.136376
13,2007-01-23,sh.600436,34.7363269300,34.7794642500,32.4608333000,33.3235797000,34.9735821900,1678394,52162700.0000,-4.717856,48.392473,7.561957,8.089354,-121.138268
14,2007-01-24,sh.600436,33.4098543400,33.4098543400,32.1696563900,32.2020093800,33.3235797000,1404199,42350082.0000,-3.365693,46.763730,7.307444,7.817091,-117.061122
15,2007-01-25,sh.600436,32.1912250500,33.7441685700,32.1912250500,32.3529900000,32.2020093800,2164744,66179372.0000,0.468853,46.982984,7.341706,7.853742,-117.609969
16,2007-01-26,sh.600436,32.3529900000,32.8922065000,29.9373000800,31.3931846300,32.3529900000,2053451,59180438.0000,-2.966665,45.589155,7.123902,7.620747,-114.120873
17,2007-01-29,sh.600436,31.4039689600,33.7657372300,31.3931846300,33.1941677400,31.3931846300,1743645,52713757.0000,5.736860,48.204541,7.532590,8.057939,-120.667828
18,2007-01-30,sh.600436,33.0539714500,34.5637776500,32.8922065000,33.0863244400,33.1941677400,1449770,45107617.0000,-0.324887,48.047931,7.508118,8.031760,-120.275795
19,2007-01-31,sh.600436,33.2157364000,33.7010312500,30.7353405000,31.5225965900,33.0863244400,969425,28692060.0000,-4.726208,45.777087,7.153268,7.652162,-114.591313
20,2007-02-01,sh.600436,31.2745570000,31.5980869000,30.2176926600,30.9833800900,31.5225965900,764725,21901904.0000,-1.710571,44.994037,7.030907,7.521267,-112.631147
21,2007-02-02,sh.600436,31.1667137000,31.5980869000,30.6274972000,30.6274972000,30.9833800900,1052049,30327802.0000,-1.148625,44.477225,6.950148,7.434876,-111.337437
22,2007-02-05,sh.600436,30.4980852400,31.2745570000,29.6353388400,30.2069083300,30.6274972000,978667,27652966.0000,-1.373237,43.866446,6.854706,7.332777,-109.808507
23,2007-02-06,sh.600436,30.3255359600,30.8431838000,29.1176910000,30.6922031800,30.2069083300,1096251,30380690.0000,1.606565,44.571190,6.964831,7.450583,-111.572657
