,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
1,2007-01-05,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
2,2007-01-08,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
3,2007-01-09,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
4,2007-01-10,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
5,2007-01-11,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
6,2007-01-12,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
7,2007-01-15,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
8,2007-01-16,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
9,2007-01-17,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
10,2007-01-18,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
11,2007-01-19,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
12,2007-01-22,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
13,2007-01-23,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-5.234122,2.164103,2.313069,-76.799356
14,2007-01-24,sh.600516,5.5073254400,5.5073254400,5.5073254400,5.5073254400,5.5073254400,0,0.0000,0.000000,-10.468245,4.328207,4.626138,-153.598711
15,2007-01-25,sh.600516,7.4713348800,8.3622257600,7.2486121600,7.6130675200,5.5073254400,35490986,137291005.0000,38.235290,-7.235405,2.991555,3.197478,-106.163815
16,2007-01-26,sh.600516,7.2283646400,7.9977704000,7.2283646400,7.9977704000,7.6130675200,14793323,56155474.0000,5.053193,-7.601023,3.142724,3.359052,-111.528476
17,2007-01-29,sh.600516,8.4027208000,8.4027208000,8.3014832000,8.4027208000,7.9977704000,3913922,16234408.0000,5.063293,-7.985885,3.301849,3.529131,-117.175488
