,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600580,17.6578468000,17.6989115600,16.3848392400,16.4669687600,17.5346525200,8564452,70311831.0000,-6.088987,28.058518,2.497069,2.001621,10.210024
1,2007-01-05,sh.600580,16.3232421000,16.7544220800,15.8304649800,16.6928249400,16.4669687600,4643692,36984085.0000,1.371567,28.443360,2.531318,2.029074,10.350062
2,2007-01-08,sh.600580,16.6517601800,17.8221058400,16.6312278000,17.6373144200,16.6928249400,5573308,46901068.0000,5.658057,30.052702,2.674541,2.143880,10.935674
3,2007-01-09,sh.600580,17.7399763200,18.0274296400,17.5757172800,17.6373144200,17.6373144200,5114589,44245462.0000,0.000000,30.052702,2.674541,2.143880,10.935674
4,2007-01-10,sh.600580,17.6783791800,18.8487248400,17.5757172800,18.6228686600,17.6373144200,6631628,59098594.0000,5.587887,31.732015,2.823992,2.263678,11.546748
5,2007-01-11,sh.600580,18.7871277000,19.1361781600,18.2738182000,18.3559477200,18.6228686600,5420330,49409435.0000,-1.433298,31.277201,2.783516,2.231233,11.381249
6,2007-01-12,sh.600580,18.2738182000,18.6639334200,17.0624077800,17.1445373000,18.3559477200,3826444,33190362.0000,-6.599544,29.213045,2.599816,2.083982,10.630138
7,2007-01-15,sh.600580,17.1445373000,18.8692572200,17.1445373000,18.8281924600,17.1445373000,4530531,40509398.0000,9.820355,32.081871,2.855127,2.288636,11.674055
8,2007-01-16,sh.600580,19.0129838800,19.7316171800,18.5818039000,19.4030991000,18.8281924600,5693030,53119804.0000,3.053432,33.061471,2.942307,2.358518,12.030515
9,2007-01-17,sh.600580,19.5057610000,19.9164086000,18.2738182000,18.8076600800,19.4030991000,6520702,60710166.0000,-3.068783,32.046886,2.852014,2.286140,11.661324
10,2007-01-18,sh.600580,18.8076600800,20.0806676400,18.5818039000,19.9780057400,18.8076600800,6283893,58949032.0000,6.222704,34.041070,3.029486,2.428400,12.386975
11,2007-01-19,sh.600580,20.3270562000,21.5589990000,20.3270562000,21.1278190200,19.9780057400,8635467,88027760.0000,5.755400,36.000268,3.203845,2.568164,13.099894
12,2007-01-22,sh.600580,21.2510133000,21.7232580400,20.7787685600,21.6205961400,21.1278190200,5260125,54204692.0000,2.332359,36.839924,3.278571,2.628063,13.405431
13,2007-01-23,sh.600580,21.5384666200,21.5589990000,20.4502504800,21.3536752000,21.6205961400,4448795,45267316.0000,-1.234569,36.385110,3.238094,2.595618,13.239932
14,2007-01-24,sh.600580,21.1483514000,21.4563371000,20.5323800000,20.9224952200,21.3536752000,2748152,28054203.0000,-2.019231,35.650411,3.172710,2.543206,12.972587
15,2007-01-25,sh.600580,20.7377038000,20.7377038000,19.6084229000,19.7110848000,20.9224952200,3984686,39096960.0000,-5.789982,33.586256,2.989010,2.395955,12.221475
16,2007-01-26,sh.600580,19.5057610000,19.6905524200,18.1711563000,19.0745810200,19.7110848000,3757415,34793052.0000,-3.229171,32.501700,2.892490,2.318585,11.826824
17,2007-01-29,sh.600580,19.1977753000,20.2243943000,19.1977753000,19.9164086000,19.0745810200,5365036,51886283.0000,4.413346,33.936113,3.020146,2.420913,12.348782
18,2007-01-30,sh.600580,20.1833295400,20.8814304600,19.9574733600,20.7377038000,19.9164086000,9009432,89949387.0000,4.123717,35.335540,3.144688,2.520744,12.858011
19,2007-01-31,sh.600580,20.7787685600,20.9430276000,18.7049981800,18.8897896000,20.7377038000,5656697,55537729.0000,-8.910896,32.186828,2.864468,2.296123,11.712247
20,2007-02-01,sh.600580,18.5818039000,19.5057610000,18.1095591600,19.0335162600,18.8897896000,5013754,45917135.0000,0.760877,32.431728,2.886263,2.313594,11.801362
21,2007-02-02,sh.600580,19.0540486400,20.1012000200,18.7665953200,19.0951134000,19.0335162600,6509891,61979803.0000,0.323622,32.536685,2.895604,2.321081,11.839554
22,2007-02-05,sh.600580,19.3004372000,20.3681209600,19.2183076800,20.0396028800,19.0951134000,4613508,44833763.0000,4.946237,34.146027,3.038827,2.435887,12.425167
23,2007-02-06,sh.600580,20.1217324000,20.4297181000,19.8342790800,20.3681209600,20.0396028800,4304721,42330951.0000,1.639343,34.705798,3.088644,2.475820,12.628858
24,2007-02-07,sh.600580,20.6350419000,20.9430276000,20.3681209600,20.5118476200,20.3681209600,5561782,55910421.0000,0.705642,34.950697,3.110439,2.493291,12.717973
25,2007-02-08,sh.600580,20.5118476200,22.4008265800,20.3886533400,22.2570999200,20.5118476200,7575872,80116183.0000,8.508512,37.924480,3.375091,2.705432,13.800083
26,2007-02-09,sh.600580,22.2160351600,22.9962656000,21.7848551800,22.2981646800,22.2570999200,5601264,61603276.0000,0.184497,37.994452,3.381318,2.710424,13.825544
27,2007-02-12,sh.600580,22.3802942000,22.8936037000,22.2776323000,22.4213589600,22.2981646800,3959410,43464543.0000,0.552490,38.204366,3.399999,2.725399,13.901928
28,2007-02-13,sh.600580,22.5856180000,22.6882799000,21.8875170800,22.2365675400,22.4213589600,4365343,47133145.0000,-0.824177,37.889495,3.371977,2.702937,13.787352
29,2007-02-14,sh.600580,22.1339056400,23.4069132000,22.1133732600,23.1605246400,22.2365675400,3965471,44560687.0000,4.155123,39.463851,3.512087,2.815247,14.360234
30,2007-02-15,sh.600580,23.1810570200,23.7559636600,22.9141360800,23.3863808200,23.1605246400,4154494,47184502.0000,0.975183,39.848693,3.546336,2.842701,14.500271
31,2007-02-16,sh.600580,23.3863808200,24.6388560000,23.3863808200,23.5711722400,23.3863808200,3012247,35176741.0000,0.790160,40.163564,3.574358,2.865163,14.614848
32,2007-02-26,sh.600580,24.0639493600,24.9263093200,23.7148989000,24.6799207600,23.5711722400,3000135,35726727.0000,4.703841,42.052791,3.742490,2.999935,15.302306
33,2007-02-27,sh.600580,24.8441798000,25.0084388400,22.2160351600,22.2160351600,24.6799207600,5081286,58019199.0000,-9.983367,37.854509,3.368864,2.700441,13.774621
34,2007-02-28,sh.600580,21.5589990000,22.7909418000,21.4152723400,22.5445532400,22.2160351600,4763445,50886800.0000,1.478742,38.414280,3.418680,2.740373,13.978313
35,2007-03-01,sh.600580,22.5650856200,22.5650856200,20.8403657000,20.8608980800,22.5445532400,5414914,56267766.0000,-7.468122,35.545454,3.163369,2.535719,12.934395
36,2007-03-02,sh.600580,20.5529123800,21.7437904200,20.5529123800,21.3331428200,20.8608980800,2394877,24774731.0000,2.263784,36.350125,3.234981,2.593122,13.227201
37,2007-03-05,sh.600580,21.1278190200,22.4418913400,20.9019628400,21.9901789800,21.3331428200,3733512,39454386.0000,3.079881,37.469667,3.334615,2.672987,13.634584
38,2007-03-06,sh.600580,22.0928408800,22.1339056400,21.2510133000,21.8669847000,21.9901789800,2066190,21945035.0000,-0.560228,37.259753,3.315933,2.658012,13.558199
39,2007-03-07,sh.600580,21.8875170800,22.2776323000,21.7643228000,22.1749704000,21.8669847000,2931457,31444353.0000,1.408456,37.784538,3.362637,2.695449,13.749160
40,2007-03-08,sh.600580,22.2776323000,22.5445532400,21.7643228000,22.4829561000,22.1749704000,2806829,30252380.0000,1.388885,38.309323,3.409340,2.732886,13.940120
41,2007-03-09,sh.600580,22.5240208600,22.6882799000,21.7643228000,22.0107113600,22.4829561000,2684520,28905804.0000,-2.100452,37.504652,3.337728,2.675483,13.647314
42,2007-03-12,sh.600580,22.0107113600,22.0107113600,21.2510133000,21.7027256600,22.0107113600,3976526,41651073.0000,-1.399259,36.979867,3.291025,2.638046,13.456354
43,2007-03-13,sh.600580,21.8053875600,22.5240208600,21.3536752000,22.4829561000,21.7027256600,4901400,52309392.0000,3.595082,38.309323,3.409340,2.732886,13.940120
44,2007-03-14,sh.600580,22.3597618200,22.3597618200,21.4563371000,21.8053875600,22.4829561000,3041946,32299841.0000,-3.013698,37.154795,3.306593,2.650525,13.520007
45,2007-03-15,sh.600580,21.8669847000,22.9346684600,21.7643228000,22.7704094200,21.8053875600,7234546,78954748.0000,4.425615,38.799123,3.452930,2.767827,14.118350
46,2007-03-16,sh.600580,22.7704094200,23.1194598800,21.9901789800,22.2160351600,22.7704094200,5887063,64631387.0000,-2.434630,37.854509,3.368864,2.700441,13.774621
47,2007-03-19,sh.600580,21.4768694800,22.2776323000,21.0456895000,21.9491142200,22.2160351600,3320744,35467423.0000,-1.201480,37.399695,3.328387,2.667996,13.609122
48,2007-03-20,sh.600580,22.0312437400,22.6882799000,21.9491142200,22.5034884800,21.9491142200,5132973,55871994.0000,2.525729,38.344309,3.412453,2.735382,13.952851
49,2007-03-21,sh.600580,22.7704094200,23.5095751000,22.5856180000,23.3863808200,22.5034884800,8569388,96118291.0000,3.923360,39.848693,3.546336,2.842701,14.500271
50,2007-03-22,sh.600580,23.5095751000,24.1666112600,23.0578627400,23.2221217800,23.3863808200,6276342,71984951.0000,-0.702370,39.568808,3.521428,2.822734,14.398426
51,2007-03-23,sh.600580,23.2221217800,23.4685103400,22.5445532400,23.1194598800,23.2221217800,4330808,48391678.0000,-0.442088,39.393879,3.505860,2.810255,14.334772
52,2007-03-26,sh.600580,23.2221217800,23.7354312800,23.1605246400,23.7148989000,23.1194598800,5022679,57352778.0000,2.575488,40.408464,3.596153,2.882633,14.703963
53,2007-03-27,sh.600580,23.7148989000,23.8996903200,23.2631865400,23.5917046200,23.7148989000,4662469,53372503.0000,-0.519484,40.198550,3.577472,2.867658,14.627578
54,2007-03-28,sh.600580,23.5917046200,24.0023522200,21.7643228000,22.7704094200,23.5917046200,6204045,69084557.0000,-3.481285,38.799123,3.452930,2.767827,14.118350
55,2007-03-29,sh.600580,22.7498770400,23.2837189200,22.0107113600,22.2981646800,22.7704094200,8101735,89909308.0000,-2.073945,37.994452,3.381318,2.710424,13.825544
56,2007-03-30,sh.600580,22.1133732600,22.5240208600,21.7643228000,22.0723085000,22.2981646800,4574701,48995693.0000,-1.012888,37.609609,3.347069,2.682970,13.685506
57,2007-04-02,sh.600580,22.0723085000,22.7909418000,21.9491142200,22.6677475200,22.0723085000,4823701,52329829.0000,2.697674,38.624194,3.437362,2.755348,14.054697
58,2007-04-03,sh.600580,23.6943665200,23.8175608000,22.7909418000,23.2426541600,22.6677475200,7901411,89066993.0000,2.536229,39.603793,3.524541,2.825230,14.411156
59,2007-04-04,sh.600580,23.2426541600,23.4069132000,22.9552008400,23.1194598800,23.2426541600,6936691,78111976.0000,-0.530031,39.393879,3.505860,2.810255,14.334772
60,2007-04-05,sh.600580,23.1194598800,24.5567264800,23.0989275000,24.2282084000,23.1194598800,11476867,133246669.0000,4.795737,41.283106,3.673992,2.945028,15.022230
61,2007-04-06,sh.600580,23.8791579400,24.6388560000,23.8791579400,24.3103379200,24.2282084000,8263089,98022617.0000,0.338983,41.423049,3.686446,2.955011,15.073153
62,2007-04-09,sh.600580,24.6388560000,25.0495036000,24.1460788800,24.6183236200,24.3103379200,7576713,90804344.0000,1.266889,41.947834,3.733149,2.992448,15.264114
63,2007-04-10,sh.600580,24.4335322000,24.8236474200,23.3863808200,24.4129998200,24.6183236200,7226849,84881441.0000,-0.834024,41.597977,3.702014,2.967490,15.136807
64,2007-04-11,sh.600580,24.2692731600,24.5772588600,23.8175608000,24.5156617200,24.4129998200,6740685,79312920.0000,0.420515,41.772906,3.717581,2.979969,15.200460
65,2007-04-12,sh.600580,24.4335322000,25.8502664200,24.2898055400,25.4601512000,24.5156617200,11010547,135652325.0000,3.852597,43.382247,3.860805,3.094775,15.786072
66,2007-04-13,sh.600580,25.5012159600,26.6715616200,25.1521655000,25.5217483400,25.4601512000,10817850,137167938.0000,0.241941,43.487204,3.870146,3.102262,15.824265
67,2007-04-16,sh.600580,25.8913311800,27.0000797000,25.8913311800,26.4867702000,25.5217483400,8889934,114798695.0000,3.781169,45.131531,4.016483,3.219564,16.422608
68,2007-04-17,sh.600580,26.8152882800,28.0472310800,25.6654750000,27.7187130000,26.4867702000,12205600,159861572.0000,4.651166,47.230672,4.203296,3.369312,17.186450
69,2007-04-18,sh.600580,27.7187130000,27.7187130000,26.6920940000,27.1232739800,27.7187130000,6162824,81793290.0000,-2.148148,46.216087,4.113003,3.296934,16.817259
70,2007-04-19,sh.600580,26.7536911400,27.3696625400,24.4129998200,24.8236474200,27.1232739800,10282010,128872620.0000,-8.478425,42.297691,3.764285,3.017406,15.391421
71,2007-04-20,sh.600580,24.8031150400,26.4046406800,24.8031150400,26.0761226000,24.8236474200,8028907,100521690.0000,5.045489,38.331870,3.723542,2.679960,25.469780
72,2007-04-23,sh.600580,26.1787845000,27.6160511000,26.1171873600,27.4517920600,26.0761226000,9100218,119483737.0000,5.275591,40.354102,3.919981,2.821344,26.813462
73,2007-04-24,sh.600580,27.6776482400,28.5400082000,27.3285977800,27.4928568200,27.4517920600,11565650,157413142.0000,0.149592,40.414468,3.925845,2.825564,26.853572
74,2007-04-25,sh.600580,27.4107273000,27.4517920600,26.0761226000,26.6304968600,27.4928568200,6729272,87059125.0000,-3.136669,39.146800,3.802704,2.736935,26.011264
75,2007-04-26,sh.600580,26.8974178000,27.4107273000,26.6099644800,27.3285977800,26.6304968600,5304494,69900677.0000,2.621435,40.173007,3.902390,2.808682,26.693132
76,2007-04-27,sh.600580,27.3080654000,28.0882958400,27.3080654000,27.5544539600,27.3285977800,6968864,94019428.0000,0.826444,40.505015,3.934641,2.831895,26.913736
77,2007-04-30,sh.600580,27.5544539600,27.5544539600,27.5544539600,27.5544539600,27.5544539600,0,0.0000,0.000000,40.505015,3.934641,2.831895,26.913736
78,2007-05-08,sh.600580,28.8069291400,29.0738500800,27.7187130000,28.4784110600,27.5544539600,9374244,129608441.0000,3.353203,41.863231,4.066577,2.926854,27.816209
79,2007-05-09,sh.600580,28.4784110600,28.4784110600,26.4457054400,27.6776482400,28.4784110600,8655848,116303990.0000,-2.811826,40.686111,3.952232,2.844556,27.034066
80,2007-05-10,sh.600580,27.5133892000,28.2730872600,27.2054035000,27.7187130000,27.6776482400,6945772,93611884.0000,0.148371,40.746476,3.958096,2.848776,27.074176
81,2007-05-11,sh.600580,27.0616768400,27.5955187200,26.4251730600,27.5339215800,27.7187130000,8734044,114952235.0000,-0.666668,40.474833,3.931709,2.829784,26.893681
