,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600667,6.7992288000,6.7992288000,6.7992288000,6.7992288000,6.7992288000,0,0.0000,0.000000,71.298537,2.610135,1.300235,96.611599
1,2007-01-05,sh.600667,6.7992288000,6.7992288000,6.7992288000,6.7992288000,6.7992288000,0,0.0000,0.000000,71.298537,2.610135,1.300235,96.611599
2,2007-01-08,sh.600667,5.9100988800,6.3459468800,5.5962883200,6.1890416000,6.7992288000,29607267,101462673.0000,-8.974362,64.899950,2.375892,1.183547,87.941327
3,2007-01-09,sh.600667,6.1193059200,6.5725878400,6.0147024000,6.4679843200,6.1890416000,27100612,98104069.0000,4.507045,67.825018,2.482975,1.236890,91.904880
4,2007-01-10,sh.600667,6.5377200000,6.7992288000,6.4331164800,6.7469270400,6.4679843200,28490955,107349709.0000,4.312664,70.750086,2.590057,1.290233,95.868433
5,2007-01-11,sh.600667,6.7469270400,7.1304732800,6.4854182400,6.8689644800,6.7469270400,20505325,80601265.0000,1.808790,72.029804,2.636906,1.313571,97.602487
6,2007-01-12,sh.600667,6.8515305600,7.0258697600,6.2762112000,6.2936451200,6.8689644800,13739022,52452473.0000,-8.375639,65.996851,2.416048,1.203551,89.427659
7,2007-01-15,sh.600667,6.2587772800,6.6423235200,6.2239094400,6.6248896000,6.2936451200,11584781,42699688.0000,5.263160,69.470369,2.543209,1.266896,94.134378
8,2007-01-16,sh.600667,6.6423235200,6.9910019200,6.4679843200,6.9735680000,6.6248896000,22040570,84424774.0000,5.263159,73.126704,2.677062,1.333575,99.088819
9,2007-01-17,sh.600667,7.0607376000,7.6709248000,7.0433036800,7.6709248000,6.9735680000,51789378,221321437.0000,10.000000,80.439375,2.944768,1.466932,108.997701
10,2007-01-18,sh.600667,7.8278300800,8.1939424000,7.4094160000,7.8626979200,7.6709248000,30903029,138308528.0000,2.500003,82.450359,3.018387,1.503605,111.722644
11,2007-01-19,sh.600667,7.8278300800,7.9673014400,7.6011891200,7.8975657600,7.8626979200,18597271,82681693.0000,0.443459,82.815993,3.031773,1.510273,112.218088
12,2007-01-22,sh.600667,7.8801318400,8.1590745600,7.7057926400,8.1590745600,7.8975657600,22197492,101378667.0000,3.311250,85.558244,3.132162,1.560282,115.933919
13,2007-01-23,sh.600667,8.1590745600,8.1590745600,7.6709248000,7.9673014400,8.1590745600,18500690,83546638.0000,-2.350420,83.547260,3.058543,1.523609,113.208976
14,2007-01-24,sh.600667,7.9149996800,8.4554512000,7.7057926400,8.4205833600,7.9673014400,27497770,128048367.0000,5.689272,88.300495,3.232552,1.610291,119.649749
15,2007-01-25,sh.600667,8.4205833600,8.4205833600,7.7929622400,7.9498675200,8.4205833600,19825490,91173904.0000,-5.590062,83.364443,3.051851,1.520275,112.961254
16,2007-01-26,sh.600667,8.0196032000,8.1067728000,7.4094160000,7.9149996800,7.9498675200,17778468,79303376.0000,-0.438596,82.998809,3.038465,1.513607,112.465810
17,2007-01-29,sh.600667,8.0544710400,8.4380172800,7.8452640000,8.4205833600,7.9149996800,23021193,108363030.0000,6.387664,88.300495,3.232552,1.610291,119.649749
18,2007-01-30,sh.600667,8.4554512000,8.5774886400,8.0196032000,8.1416406400,8.4205833600,25182111,119882336.0000,-3.312626,85.375427,3.125470,1.556948,115.686197
19,2007-01-31,sh.600667,8.0196032000,8.0544710400,7.3222464000,7.3222464000,8.1416406400,15605929,69033741.0000,-10.064250,76.783040,2.810915,1.400253,104.043260
20,2007-02-01,sh.600667,7.2525107200,7.3048124800,6.7992288000,7.1827750400,7.3222464000,12161465,49372741.0000,-1.904760,75.320505,2.757374,1.373582,102.061484
21,2007-02-02,sh.600667,7.2002089600,7.2873785600,6.9387001600,6.9735680000,7.1827750400,7046254,28580211.0000,-2.912619,73.126704,2.677062,1.333575,99.088819
22,2007-02-05,sh.600667,7.0084358400,7.3919820800,6.9561340800,7.2176428800,6.9735680000,5484203,22502860.0000,3.499997,75.686139,2.770759,1.380250,102.556928
23,2007-02-06,sh.600667,7.2350768000,7.4094160000,7.2002089600,7.3745481600,7.2176428800,5333900,22313584.0000,2.173917,77.331490,2.830993,1.410255,104.786426
24,2007-02-07,sh.600667,7.3745481600,7.5663212800,7.2699446400,7.4094160000,7.3745481600,8752528,37166625.0000,0.472813,77.697123,2.844378,1.416923,105.281871
25,2007-02-08,sh.600667,7.4268499200,7.7929622400,7.3222464000,7.6883587200,7.4094160000,11181446,48958942.0000,3.764702,80.622191,2.951461,1.470266,109.245423
26,2007-02-09,sh.600667,7.7232265600,7.8103961600,7.5488873600,7.6883587200,7.6883587200,6057070,26749969.0000,0.000000,80.622191,2.951461,1.470266,109.245423
27,2007-02-12,sh.600667,7.6360569600,7.7929622400,7.5837552000,7.7232265600,7.6883587200,6626787,29182513.0000,0.453514,80.987825,2.964846,1.476934,109.740867
28,2007-02-13,sh.600667,7.7232265600,7.9324336000,7.6709248000,7.8452640000,7.7232265600,7548127,33852643.0000,1.580139,82.267542,3.011695,1.500271,111.474922
29,2007-02-14,sh.600667,7.8103961600,8.0021692800,7.7755283200,7.9673014400,7.8452640000,12059893,54774992.0000,1.555559,83.547260,3.058543,1.523609,113.208976
30,2007-02-15,sh.600667,8.0021692800,8.7692617600,7.9673014400,8.7692617600,7.9673014400,30772148,148129117.0000,10.065650,91.956831,3.366405,1.676970,124.604190
