,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600803,15.7975141800,16.3285230600,15.5762604800,15.9302664000,15.8417649200,4819366,17319865.0000,0.558659,30.563747,2.473491,1.452093,-43.719064
1,2007-01-05,sh.600803,16.0630186200,16.5055260200,15.7532634400,16.4170245400,15.9302664000,3923204,14390063.0000,3.055559,31.497639,2.549070,1.496463,-45.054924
2,2007-01-08,sh.600803,16.4170245400,17.2577886000,16.2400215800,17.1692871200,16.4170245400,8832076,33700118.0000,4.582212,32.940927,2.665873,1.565034,-47.119435
3,2007-01-09,sh.600803,17.7887974800,18.8950659800,17.4790423000,18.2755556200,17.1692871200,28335635,116185476.0000,6.443299,35.063410,2.837644,1.665874,-50.155481
4,2007-01-10,sh.600803,18.0985526600,18.5410600600,17.6117945200,18.4083078400,18.2755556200,11939630,48823809.0000,0.726386,35.318108,2.858256,1.677974,-50.519807
5,2007-01-11,sh.600803,18.4083078400,19.5588270800,18.3640571000,18.5410600600,18.4083078400,12704617,54007720.0000,0.721159,35.572805,2.878868,1.690075,-50.884132
6,2007-01-12,sh.600803,18.4968093200,18.8508152400,17.3020393400,17.3462900800,18.5410600600,9062011,36927112.0000,-6.443913,33.280524,2.693357,1.581168,-47.605203
7,2007-01-15,sh.600803,17.3462900800,18.3198063600,17.1692871200,18.3198063600,17.3462900800,5945101,24059340.0000,5.612240,35.148309,2.844514,1.669907,-50.276923
8,2007-01-16,sh.600803,18.4968093200,18.6738122800,17.9658004400,18.4083078400,18.3198063600,7507262,31000382.0000,0.483091,35.318108,2.858256,1.677974,-50.519807
9,2007-01-17,sh.600803,18.4525585800,19.1163196800,18.2313048800,18.8508152400,18.4083078400,12550805,53141322.0000,2.403855,36.167101,2.926964,1.718310,-51.734225
10,2007-01-18,sh.600803,18.8950659800,19.4260748600,18.4968093200,19.1605704200,18.8508152400,8792103,37707401.0000,1.643185,36.761396,2.975060,1.746545,-52.584318
11,2007-01-19,sh.600803,19.1605704200,20.1783374400,19.1605704200,19.8685822600,19.1605704200,13408743,59413944.0000,3.695147,38.119784,3.084993,1.811083,-54.527388
12,2007-01-22,sh.600803,20.0013344800,20.4880926200,19.8243315200,20.3995911400,19.8685822600,12185942,55590312.0000,2.672614,39.138576,3.167442,1.859486,-55.984690
13,2007-01-23,sh.600803,20.3553404000,20.5765941000,19.2490719000,20.0013344800,20.3995911400,10432136,46831005.0000,-1.952281,38.374482,3.105605,1.823184,-54.891713
14,2007-01-24,sh.600803,20.0013344800,21.1961044600,19.8243315200,20.8420985400,20.0013344800,13089310,60934120.0000,4.203541,39.987569,3.236150,1.899822,-57.199108
