,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600809,43.1524493400,44.2375206000,41.7335100000,42.0256445700,43.1107158300,3635147,111723165.0000,-2.516943,56.408003,12.024583,9.116142,44.041830
1,2007-01-05,sh.600809,41.7335100000,41.8726217000,39.9250579000,40.3980376800,42.0256445700,2175261,63896845.0000,-3.872884,54.223383,11.558884,8.763084,42.336138
2,2007-01-08,sh.600809,40.0641696000,40.7458169300,39.1182100400,40.7458169300,40.3980376800,3988787,113906701.0000,0.860881,54.690182,11.658392,8.838524,42.700602
3,2007-01-09,sh.600809,40.3423930000,43.5419621000,40.0641696000,42.9994264700,40.7458169300,3813236,114152464.0000,5.530894,57.715040,12.303206,9.327374,45.062329
4,2007-01-10,sh.600809,42.8464036000,45.9764168500,42.4290685000,45.9068610000,42.9994264700,1187606,37467920.0000,6.761567,61.617481,13.135095,9.958050,48.109248
5,2007-01-11,sh.600809,45.9764168500,50.4975471000,45.7399269600,50.1497678500,45.9068610000,3833933,136031030.0000,9.242422,67.312429,14.349097,10.878415,52.555709
6,2007-01-12,sh.600809,50.1636790200,55.1717002200,48.4386939400,55.1717002200,50.1497678500,1930808,74728885.0000,10.013870,74.053008,15.785996,11.967766,57.818569
7,2007-01-15,sh.600809,59.8180310000,59.8180310000,54.9491215000,58.4686475100,55.1717002200,2618312,107656720.0000,5.975791,78.478264,16.729335,12.682935,61.273688
8,2007-01-16,sh.600809,58.4269140000,59.8041198300,55.8116140400,58.1347794300,58.4686475100,1673135,69329302.0000,-0.571016,78.030137,16.633807,12.610513,60.923802
9,2007-01-17,sh.600809,58.1208682600,60.0962544000,56.2011268000,57.7313555000,58.1347794300,2111145,88529769.0000,-0.693948,77.488650,16.518378,12.523003,60.501024
10,2007-01-18,sh.600809,56.6880177500,58.9833608000,56.3541496700,58.2738911300,57.7313555000,1718546,71562445.0000,0.939758,78.216856,16.673610,12.640689,61.069588
11,2007-01-19,sh.600809,58.4269140000,63.9913820000,56.8688629600,63.9774708300,58.2738911300,3580229,156962454.0000,9.787544,85.872361,18.305547,13.877901,67.046797
12,2007-01-22,sh.600809,63.8244479600,66.0780575000,61.8768841600,62.5863538300,63.9774708300,4052018,185306047.0000,-2.174386,84.005165,17.907513,13.576142,65.588941
13,2007-01-23,sh.600809,61.4178155500,62.8089325500,56.3263273300,56.3263273300,62.5863538300,3386516,141774942.0000,-10.002220,75.602781,16.116364,12.218226,59.028589
14,2007-01-24,sh.600809,55.4360124500,57.0218858300,53.2519587600,56.9245076400,56.3263273300,3037285,122069754.0000,1.061982,76.405676,16.287518,12.347982,59.655467
15,2007-01-25,sh.600809,56.7575736000,57.8704672000,54.2674741700,56.5349948800,56.9245076400,1237768,50368396.0000,-0.684259,75.882861,16.176069,12.263490,59.247268
16,2007-01-26,sh.600809,55.9229034000,57.7035331600,53.9753396000,57.6061549700,56.5349948800,1164360,46238989.0000,1.894686,77.320602,16.482555,12.495844,60.369817
17,2007-01-29,sh.600809,57.6617996500,57.6617996500,54.5456975700,56.0898374400,57.6061549700,1911404,77071838.0000,-2.632215,75.285358,16.048698,12.166927,58.780754
18,2007-01-30,sh.600809,55.6168576600,57.3140204000,54.2674741700,55.6168576600,56.0898374400,1621278,65649265.0000,-0.843254,74.650511,15.913367,12.064329,58.285083
19,2007-01-31,sh.600809,55.6168576600,55.8672587200,51.2070167700,52.8485348300,55.6168576600,543094,21037872.0000,-4.977483,70.934790,15.121281,11.463828,55.383949
20,2007-02-01,sh.600809,51.7912859100,54.5317864000,51.4852401700,54.2952965100,52.8485348300,1038617,39381922.0000,2.737555,72.876675,15.535236,11.777658,56.900120
21,2007-02-02,sh.600809,53.2936922700,54.2535630000,52.3199103700,52.5007555800,54.2952965100,503130,19196444.0000,-3.305143,70.467991,15.021773,11.388388,55.019485
22,2007-02-05,sh.600809,52.1668875000,54.0866289600,50.1497678500,51.7217300600,52.5007555800,944739,35521985.0000,-1.483840,69.422361,14.798874,11.219403,54.203086
23,2007-02-06,sh.600809,51.8886641000,51.9164864400,50.3584354000,51.2765726200,51.7217300600,618171,22722697.0000,-0.860677,68.824859,14.671504,11.122840,53.736572
24,2007-02-07,sh.600809,51.3043949600,54.2535630000,51.3043949600,54.0448954500,51.2765726200,594416,22834554.0000,5.398800,72.540579,15.463590,11.723341,56.637706
25,2007-02-08,sh.600809,53.7805832200,56.5628172200,53.3632481200,56.2845938200,54.0448954500,594625,23478805.0000,4.144146,75.546765,16.104423,12.209173,58.984854
26,2007-02-09,sh.600809,56.3402385000,57.0357970000,54.2535630000,55.1995225600,56.2845938200,242121,9691189.0000,-1.927827,74.090352,15.793957,11.973801,57.847726
27,2007-02-12,sh.600809,55.1995225600,55.3664566000,54.2535630000,55.0047661800,55.1995225600,664566,26192793.0000,-0.352821,73.828945,15.738232,11.931555,57.643626
28,2007-02-13,sh.600809,55.6307688300,56.2011268000,53.6971162000,54.3092076800,55.0047661800,726622,28576351.0000,-1.264542,72.895347,15.539216,11.780675,56.914698
29,2007-02-14,sh.600809,54.6291645900,54.6708981000,53.5162709900,54.3787635300,54.3092076800,1204032,46676588.0000,0.128072,72.988706,15.559118,11.795763,56.987591
30,2007-02-15,sh.600809,54.3926747000,57.5922438000,54.3926747000,55.6864135100,54.3787635300,1393283,55998190.0000,2.404704,74.743871,15.933269,12.079417,58.357976
31,2007-02-16,sh.600809,55.9924592500,56.8688629600,52.2086210100,53.3632481200,55.6864135100,2325008,89806548.0000,-4.171866,71.625653,15.268553,11.575479,55.923356
32,2007-02-26,sh.600809,52.8624460000,52.8902683400,49.3846535000,49.7741662600,53.3632481200,2730954,99786922.0000,-6.725760,66.808286,14.241628,10.796941,52.162088
33,2007-02-27,sh.600809,49.7741662600,50.7062146500,44.7939674000,44.7939674000,49.7741662600,3232587,110125366.0000,-10.005580,60.123723,12.816669,9.716643,46.942963
34,2007-02-28,sh.600809,43.9592972000,46.6024195000,43.1385381700,44.5018328300,44.7939674000,4040224,129918518.0000,-0.652177,59.731612,12.733082,9.653274,46.636813
35,2007-03-01,sh.600809,45.1695689900,47.8266024600,44.5296551700,47.2145109800,44.5018328300,3341160,111630614.0000,6.095652,63.372645,13.509247,10.241704,49.479633
36,2007-03-02,sh.600809,46.6024195000,47.8126912900,45.0721908000,47.3258003400,47.2145109800,1621304,54376277.0000,0.235715,63.522021,13.541089,10.265844,49.596261
37,2007-03-05,sh.600809,47.2840668300,47.2840668300,44.6548557000,46.5467748200,47.3258003400,1771262,58237410.0000,-1.646095,62.476391,13.318191,10.096859,48.779862
38,2007-03-06,sh.600809,46.0459727000,48.9394960600,45.2252136700,47.9935365000,46.5467748200,1721880,59090536.0000,3.108192,64.418275,13.732145,10.410689,50.296032
39,2007-03-07,sh.600809,48.0213588400,50.9148822000,48.0213588400,50.4836359300,47.9935365000,1664759,60101524.0000,5.188408,67.760557,14.444625,10.950838,52.905594
40,2007-03-08,sh.600809,50.7757705000,50.7757705000,48.6890950000,49.3011864800,50.4836359300,1247432,44563918.0000,-2.342249,66.173440,14.106296,10.694342,51.666417
41,2007-03-09,sh.600809,49.3707423300,49.3846535000,48.3969604300,48.4108716000,49.3011864800,1648380,58073314.0000,-1.805867,64.978434,13.851555,10.501217,50.733389
42,2007-03-12,sh.600809,48.2717599000,48.2717599000,46.3659296100,46.7832647100,48.4108716000,1567858,52858418.0000,-3.362064,62.793814,13.385856,10.148158,49.027697
43,2007-03-13,sh.600809,47.1588663000,47.1588663000,45.1417466500,45.7399269600,46.7832647100,1695745,55896983.0000,-2.230152,61.393417,13.087331,9.921839,47.934305
44,2007-03-14,sh.600809,45.8651274900,45.8651274900,43.2637387000,44.9052567600,45.7399269600,2011721,64054303.0000,-1.824825,60.273099,12.848511,9.740784,47.059592
45,2007-03-15,sh.600809,44.4461881500,46.7137088600,44.2375206000,46.6580641800,44.9052567600,2131979,70088718.0000,3.903352,62.625767,13.350033,10.121000,48.896490
46,2007-03-16,sh.600809,46.7693535400,47.2840668300,43.8062743300,44.4600993200,46.6580641800,3520342,115576964.0000,-4.710798,59.675596,12.721141,9.644221,46.593078
47,2007-03-19,sh.600809,43.0550711500,45.3504142000,42.8464036000,44.7800562300,44.4600993200,3147010,99992448.0000,0.719648,60.105051,12.812689,9.713625,46.928385
48,2007-03-20,sh.600809,44.7800562300,45.0304572900,42.9855153000,43.1246270000,44.7800562300,4491171,140113856.0000,-3.696796,57.883088,12.339029,9.354532,45.193536
49,2007-03-21,sh.600809,43.8201855000,45.1834801600,43.2915610400,44.9330791000,43.1246270000,4241206,135159790.0000,4.193546,60.310443,12.856472,9.746819,47.088749
50,2007-03-22,sh.600809,45.0026349500,45.6147264300,44.2375206000,44.5713886800,44.9330791000,2752685,88477808.0000,-0.804948,59.824972,12.752984,9.668361,46.709706
51,2007-03-23,sh.600809,44.5713886800,44.6548557000,43.1246270000,44.5018328300,44.5713886800,1904413,60223597.0000,-0.156058,59.731612,12.733082,9.653274,46.636813
52,2007-03-26,sh.600809,44.5852998500,45.6286376000,44.5852998500,45.5451705800,44.5018328300,3859808,125484911.0000,2.344489,61.132009,13.031607,9.879593,47.730205
53,2007-03-27,sh.600809,45.8094828100,46.8528205600,45.8094828100,46.3798407800,45.5451705800,3599265,120039521.0000,1.832616,62.252327,13.270427,10.060648,48.604919
54,2007-03-28,sh.600809,46.2963737600,46.3241961000,43.9592972000,44.9609014400,46.3798407800,4856011,157336001.0000,-3.059389,60.347787,12.864433,9.752854,47.117906
55,2007-03-29,sh.600809,45.1000131400,45.8651274900,44.5157440000,45.2947695200,44.9609014400,4046411,131202071.0000,0.742579,60.795914,12.959961,9.825276,47.467791
