,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2021-05-07,sh.600906,4.5100000000,5.4100000000,4.5100000000,5.4100000000,3.7600000000,5722605,30860182.3500,43.883000,32.477155,1.921770,9.005773,-90.093841
1,2021-05-10,sh.600906,5.9500000000,5.9500000000,5.9500000000,5.9500000000,5.4100000000,2386141,14197538.9500,9.981500,35.718867,2.113591,9.904686,-99.086572
2,2021-05-11,sh.600906,6.5500000000,6.5500000000,6.5500000000,6.5500000000,5.9500000000,1827636,11971015.8000,10.084000,39.320769,2.326727,10.903478,-109.078495
3,2021-05-12,sh.600906,7.2100000000,7.2100000000,7.2100000000,7.2100000000,6.5500000000,1660014,11968700.9400,10.076300,43.282862,2.561175,12.002149,-120.069611
4,2021-05-13,sh.600906,7.9300000000,7.9300000000,7.9300000000,7.9300000000,7.2100000000,5672509,44982996.3700,9.986100,47.605145,2.816938,13.200699,-132.059919
5,2021-05-14,sh.600906,8.7200000000,8.7200000000,8.7200000000,8.7200000000,7.9300000000,5138358,44806481.7600,9.962200,52.347650,3.097566,14.515775,-145.215951
6,2021-05-17,sh.600906,9.5900000000,9.5900000000,9.5900000000,9.5900000000,8.7200000000,3134517,30060018.0300,9.977100,57.570409,3.406612,15.964023,-159.704239
7,2021-05-18,sh.600906,10.5500000000,10.5500000000,10.5500000000,10.5500000000,9.5900000000,3599981,37979799.5500,10.010400,63.333453,3.747628,17.562090,-175.691317
8,2021-05-19,sh.600906,11.6100000000,11.6100000000,11.6100000000,11.6100000000,10.5500000000,3499767,40632294.8700,10.047400,69.696814,4.124167,19.326623,-193.343714
9,2021-05-20,sh.600906,12.7700000000,12.7700000000,12.7700000000,12.7700000000,11.6100000000,26104910,333359700.7000,9.991400,76.660492,4.536229,21.257620,-212.661432
10,2021-05-21,sh.600906,14.0500000000,14.0500000000,14.0500000000,14.0500000000,12.7700000000,34660907,486985743.3500,10.023500,84.344551,4.990918,23.388376,-233.977535
11,2021-05-24,sh.600906,14.3800000000,15.4600000000,14.1100000000,15.4400000000,14.0500000000,398985760,5903245182.2200,9.893200,92.688959,5.484681,25.702244,-257.125491
12,2021-05-25,sh.600906,14.5100000000,16.8800000000,14.2300000000,16.0900000000,15.4400000000,341305264,5260673098.4400,4.209800,96.591020,5.715577,26.784269,-267.950074
13,2021-05-26,sh.600906,16.0000000000,16.3500000000,15.0100000000,15.2100000000,16.0900000000,260712431,4105803288.2700,-5.469200,91.308229,5.402979,25.319374,-253.295254
14,2021-05-27,sh.600906,15.0000000000,16.4200000000,14.6800000000,16.2000000000,15.2100000000,262001307,4022914767.6400,6.508900,97.251368,5.754652,26.967381,-269.781927
