,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2015-04-28,sh.600959,6.5600000000,7.8800000000,6.5600000000,7.8800000000,5.4700000000,251785,1974826.0000,44.058510,30.269202,2.715008,5.348681,73.364111
1,2015-04-29,sh.600959,8.6700000000,8.6700000000,8.6700000000,8.6700000000,7.8800000000,93900,814113.0000,10.025400,32.828363,2.912936,5.773623,57.965404
2,2015-04-30,sh.600959,9.5400000000,9.5400000000,9.5400000000,9.5400000000,8.6700000000,90350,861939.0000,10.034600,36.122559,3.205238,6.352983,63.782002
3,2015-05-04,sh.600959,10.4900000000,10.4900000000,10.4900000000,10.4900000000,9.5400000000,139050,1458635.0000,9.958100,39.719669,3.524418,6.985618,70.133459
4,2015-05-05,sh.600959,11.5400000000,11.5400000000,11.5400000000,11.5400000000,10.4900000000,415100,4790254.0000,10.009500,43.695422,3.877195,7.684846,77.153490
5,2015-05-06,sh.600959,12.6900000000,12.6900000000,12.6900000000,12.6900000000,11.5400000000,619500,7861455.0000,9.965300,48.049819,4.263571,8.450667,84.842096
6,2015-05-07,sh.600959,13.9600000000,13.9600000000,13.9600000000,13.9600000000,12.6900000000,1513364,21126561.0000,10.007900,52.858587,4.690264,9.296399,93.332992
7,2015-05-08,sh.600959,15.3600000000,15.3600000000,15.3600000000,15.3600000000,13.9600000000,1127837,17323576.0000,10.028700,58.159592,5.160634,10.228703,102.693034
8,2015-05-11,sh.600959,16.9000000000,16.9000000000,16.9000000000,16.9000000000,15.3600000000,705300,11919570.0000,10.026000,63.990697,5.678042,11.254237,112.989080
9,2015-05-12,sh.600959,18.5900000000,18.5900000000,18.5900000000,18.5900000000,16.9000000000,626800,11652212.0000,10.000000,70.389766,6.245846,12.379661,124.287988
10,2015-05-13,sh.600959,20.4500000000,20.4500000000,20.4500000000,20.4500000000,18.5900000000,1738950,35561528.0000,10.005400,77.432529,6.870766,13.618293,136.723473
11,2015-05-14,sh.600959,22.5000000000,22.5000000000,22.5000000000,22.5000000000,20.4500000000,982828,22113630.0000,10.024400,85.194714,7.559523,14.983451,150.429249
12,2015-05-15,sh.600959,24.7500000000,24.7500000000,24.7500000000,24.7500000000,22.5000000000,1680812,41600097.0000,10.000000,93.714186,8.315475,16.481797,165.472174
13,2015-05-18,sh.600959,27.2300000000,27.2300000000,27.2300000000,27.2300000000,24.7500000000,3448098,93891709.0000,10.020200,103.104537,9.148703,18.133306,182.052820
14,2015-05-19,sh.600959,29.9500000000,29.9500000000,29.9500000000,29.9500000000,27.2300000000,1898863,56870947.0000,9.989000,113.403631,10.062565,19.944639,200.238045
15,2015-05-20,sh.600959,32.9500000000,32.9500000000,32.9500000000,32.9500000000,29.9500000000,4172981,137499724.0000,10.016700,124.762926,11.070501,21.942432,220.295278
16,2015-05-21,sh.600959,36.2500000000,36.2500000000,36.2500000000,36.2500000000,32.9500000000,22557763,817718912.0000,10.015200,137.258151,12.179231,24.140005,242.358235
17,2015-05-22,sh.600959,39.8800000000,39.8800000000,39.8800000000,39.8800000000,36.2500000000,4638429,184980549.0000,10.013800,151.002898,13.398835,26.557335,266.627487
18,2015-05-25,sh.600959,43.8700000000,43.8700000000,43.8700000000,43.8700000000,39.8800000000,2008800,88126056.0000,10.005000,166.110761,14.739390,29.214401,293.303607
19,2015-05-26,sh.600959,48.2600000000,48.2600000000,46.6400000000,48.2600000000,43.8700000000,59564737,2872322320.0000,10.006800,182.733196,16.214337,32.137839,322.654025
20,2015-05-27,sh.600959,53.0900000000,53.0900000000,53.0900000000,53.0900000000,48.2600000000,6557274,348125680.0000,10.008300,201.021662,17.837114,35.354286,354.946170
21,2015-05-28,sh.600959,58.4000000000,58.4000000000,57.0000000000,58.3600000000,53.0900000000,111217889,6492269568.0000,9.926500,220.976157,19.607723,38.863744,390.180043
22,2015-05-29,sh.600959,53.5200000000,64.2000000000,52.5300000000,64.2000000000,58.3600000000,250497242,14949497344.0000,10.006800,243.088918,21.569839,42.752782,429.224791
23,2015-06-01,sh.600959,68.2400000000,70.6000000000,58.7600000000,59.2000000000,64.2000000000,230191873,14578471424.0000,-7.788200,224.156760,19.889945,39.423126,395.796069
24,2015-06-02,sh.600959,56.0000000000,57.9500000000,53.2800000000,53.2800000000,59.2000000000,151204663,8196026880.0000,-10.000000,201.741084,17.900950,35.480813,356.216462
25,2015-06-03,sh.600959,51.1800000000,55.4800000000,49.1100000000,53.5800000000,53.2800000000,117017726,6160638976.0000,0.563100,202.877013,18.001744,35.680592,358.222185
26,2015-06-04,sh.600959,51.1200000000,52.4000000000,48.2200000000,48.8000000000,53.5800000000,105645197,5214228224.0000,-8.921200,184.777869,16.395765,32.497441,326.264327
27,2015-06-05,sh.600959,49.6600000000,50.4800000000,46.0000000000,47.0500000000,48.8000000000,107992571,5176643328.0000,-3.586100,178.151614,15.807803,31.332062,314.564274
28,2015-06-08,sh.600959,46.0500000000,46.3500000000,42.5800000000,43.0300000000,47.0500000000,114348753,5016517888.0000,-8.544100,162.930158,14.457168,28.655019,287.687582
29,2015-06-09,sh.600959,42.9900000000,44.9000000000,42.6000000000,44.0800000000,43.0300000000,74626279,3283256512.0000,2.440200,166.905912,14.809945,29.354246,294.707613
30,2015-06-10,sh.600959,43.1000000000,47.0000000000,42.7800000000,45.9200000000,44.0800000000,86471731,3943584688.0000,4.174200,173.872946,15.428146,30.579560,307.009383
