,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.600967,6.4470228800,6.5188846000,6.3443632800,6.3648952000,6.3648952000,3272748,20527162.0000,0.000000,84.160595,1.683858,0.601093,22.907191
1,2007-01-05,sh.600967,6.3956930800,6.5496824800,6.2827675200,6.5496824800,6.3648952000,3013942,18824822.0000,2.903231,86.603967,1.732744,0.618544,23.572238
2,2007-01-08,sh.600967,6.5496824800,6.8268634000,6.5188846000,6.8165974400,6.5496824800,4669393,30624658.0000,4.075231,90.133282,1.803357,0.643751,24.532863
3,2007-01-09,sh.600967,6.7755336000,7.1040443200,6.7755336000,6.9192570400,6.8165974400,4921800,33462453.0000,1.506023,91.490711,1.830516,0.653446,24.902333
4,2007-01-10,sh.600967,6.9192570400,7.1861720000,6.8473953200,7.1759060400,6.9192570400,5108177,35044198.0000,3.709199,94.884283,1.898414,0.677684,25.826011
5,2007-01-11,sh.600967,7.2272358400,7.8945232400,7.1861720000,7.8945232400,7.1759060400,12332509,90374821.0000,10.014310,104.386286,2.088527,0.745549,28.412306
6,2007-01-12,sh.600967,7.8637253600,8.1922360800,7.2169698800,7.3606933200,7.8945232400,9719681,73155094.0000,-6.762029,97.327655,1.947300,0.695135,26.491058
7,2007-01-15,sh.600967,7.4222890800,7.6378742400,7.2888316000,7.6173423200,7.3606933200,5745318,41996077.0000,3.486750,100.721228,2.015198,0.719373,27.414735
8,2007-01-16,sh.600967,7.6378742400,8.3770233600,7.6378742400,8.3154276000,7.6173423200,10495745,83627240.0000,9.164424,109.951745,2.199879,0.785299,29.927137
9,2007-01-17,sh.600967,8.5207468000,9.1367044000,8.2127680000,8.7671298400,8.3154276000,10713781,90047663.0000,5.432093,115.924432,2.319378,0.827957,31.552808
10,2007-01-18,sh.600967,9.2393640000,9.2393640000,8.3154276000,8.9519171200,8.7671298400,6338077,53429799.0000,2.107732,118.367804,2.368264,0.845408,32.217856
11,2007-01-19,sh.600967,9.1880342000,9.4036193600,8.8492575200,9.0135128800,8.9519171200,8451622,74781223.0000,0.688067,119.182261,2.384560,0.851225,32.439538
12,2007-01-22,sh.600967,9.0443107600,9.5884066400,8.9519171200,9.3420236000,9.0135128800,11079388,99158077.0000,3.644655,123.526034,2.471469,0.882250,33.621845
13,2007-01-23,sh.600967,9.3933534000,10.0093110000,9.2906938000,9.9579812000,9.3420236000,11211950,105697263.0000,6.593400,131.670608,2.634423,0.940420,35.838670
14,2007-01-24,sh.600967,10.0606408000,10.4507472800,9.8347896800,9.9169173600,9.9579812000,9931665,98041261.0000,-0.412371,131.127636,2.623559,0.936542,35.690881
15,2007-01-25,sh.600967,9.8450556400,9.8450556400,8.9211192400,8.9416511600,9.9169173600,6968824,63195879.0000,-9.834367,118.232061,2.365549,0.844439,32.180909
16,2007-01-26,sh.600967,8.7773958000,9.0135128800,8.2127680000,8.8389915600,8.9416511600,5539479,46652983.0000,-1.148110,116.874632,2.338390,0.834744,31.811438
17,2007-01-29,sh.600967,9.0340448000,9.2393640000,8.7773958000,9.2393640000,8.8389915600,4583678,40362150.0000,4.529621,122.168605,2.444310,0.872555,33.252374
18,2007-01-30,sh.600967,9.2393640000,9.6294704800,8.9313852000,9.0648426800,9.2393640000,4384644,39796275.0000,-1.888890,119.860976,2.398139,0.856073,32.624274
19,2007-01-31,sh.600967,8.9416511600,9.0648426800,8.2640978000,8.3564914400,9.0648426800,4149469,35050928.0000,-7.814265,110.494716,2.210742,0.789177,30.074925
20,2007-02-01,sh.600967,8.3154276000,8.5412787200,8.1409062800,8.4796829600,8.3564914400,3004528,24521411.0000,1.474200,112.123631,2.243333,0.800811,30.518290
21,2007-02-02,sh.600967,8.4899489200,8.7158000400,8.3154276000,8.5618106400,8.4796829600,2511839,20771489.0000,0.968522,113.209574,2.265060,0.808567,30.813867
22,2007-02-05,sh.600967,8.4180872000,8.8492575200,8.4180872000,8.7465979200,8.5618106400,2457553,20933113.0000,2.158277,115.652946,2.313946,0.826018,31.478914
23,2007-02-06,sh.600967,8.7465979200,9.0853746000,8.7260660000,9.0443107600,8.7465979200,2268074,19741318.0000,3.403755,119.589490,2.392708,0.854134,32.550379
24,2007-02-07,sh.600967,9.1983001600,9.3933534000,9.0443107600,9.2701618800,9.0443107600,4263411,38285449.0000,2.497154,122.575834,2.452457,0.875463,33.363215
25,2007-02-08,sh.600967,9.2701618800,9.2701618800,9.2701618800,9.2701618800,9.2701618800,0,0.0000,0.000000,122.575834,2.452457,0.875463,33.363215
26,2007-02-09,sh.600967,9.2701618800,9.2701618800,9.2701618800,9.2701618800,9.2701618800,0,0.0000,0.000000,122.575834,2.452457,0.875463,33.363215
27,2007-02-12,sh.600967,9.3420236000,10.0606408000,9.3420236000,9.9374492800,9.2701618800,5391785,50907049.0000,7.198235,131.399122,2.628991,0.938481,35.764776
28,2007-02-13,sh.600967,9.9579812000,10.1427684800,9.5678747200,10.1119706000,9.9374492800,4515794,43230160.0000,1.756199,133.706751,2.675161,0.954962,36.392876
29,2007-02-14,sh.600967,9.8861194800,10.3172898000,9.8861194800,10.0401088800,10.1119706000,3053802,29938491.0000,-0.710666,132.756551,2.656150,0.948176,36.134246
30,2007-02-15,sh.600967,10.1838323200,10.3788855600,9.9785131200,10.3686196000,10.0401088800,4265320,42538631.0000,3.271990,137.100324,2.743059,0.979200,37.316553
31,2007-02-16,sh.600967,10.3686196000,10.6252686000,10.2146302000,10.2967578800,10.3686196000,3353779,34029795.0000,-0.693076,136.150123,2.724047,0.972414,37.057924
32,2007-02-26,sh.600967,10.2967578800,10.5636728400,9.4446832000,10.2762259600,10.2967578800,4595772,45690653.0000,-0.199397,135.878637,2.718616,0.970475,36.984029
33,2007-02-27,sh.600967,10.5739388000,11.3028219600,9.9785131200,10.0298429200,10.2762259600,10847730,114968331.0000,-2.397600,132.620808,2.653434,0.947206,36.097299
34,2007-02-28,sh.600967,9.9887790800,11.0359070000,9.9682471600,11.0359070000,10.0298429200,7757305,80148677.0000,10.030700,145.923612,2.919592,1.042218,39.718113
35,2007-03-01,sh.600967,11.0359070000,11.1077687200,10.2659600000,10.4712792000,11.0359070000,5349555,55083985.0000,-5.116281,138.457752,2.770218,0.988895,37.686024
36,2007-03-02,sh.600967,10.6765984000,11.1898964000,10.5226090000,11.0461729600,10.4712792000,5796374,61802523.0000,5.490200,146.059355,2.922308,1.043187,39.755061
37,2007-03-05,sh.600967,10.9845772000,11.1898964000,10.2864919200,11.0461729600,11.0461729600,5844663,61552187.0000,0.000000,146.059355,2.922308,1.043187,39.755061
38,2007-03-06,sh.600967,10.9537793200,11.7853220800,10.6355345600,11.3952156000,11.0461729600,8091805,89256810.0000,3.159853,150.674613,3.014649,1.076151,41.011261
39,2007-03-07,sh.600967,11.3952156000,11.5697369200,11.1180346800,11.4773432800,11.3952156000,4366507,48226372.0000,0.720720,151.760556,3.036376,1.083907,41.306838
40,2007-03-08,sh.600967,11.4876092400,11.6826624800,11.1693644800,11.3952156000,11.4773432800,3467527,38272850.0000,-0.715563,150.674613,3.014649,1.076151,41.011261
41,2007-03-09,sh.600967,11.3028219600,11.4876092400,10.8819176000,11.3438858000,11.3952156000,5939268,64548744.0000,-0.450452,149.995899,3.001069,1.071303,40.826526
42,2007-03-12,sh.600967,11.8674497600,12.4012796800,11.8469178400,12.1651626000,11.3438858000,11495344,135313452.0000,7.239821,160.855330,3.218341,1.148863,43.782292
43,2007-03-13,sh.600967,12.1138328000,12.3704818000,11.9906412800,12.1138328000,12.1651626000,4316620,51263194.0000,-0.421942,160.176616,3.204762,1.144016,43.597557
44,2007-03-14,sh.600967,12.1240987600,12.2780881600,11.3746836800,11.8982476400,12.1138328000,4483438,52070768.0000,-1.779661,157.326015,3.147728,1.123656,42.821668
45,2007-03-15,sh.600967,11.9598434000,12.1138328000,11.8674497600,11.9393114800,11.8982476400,3323973,38746943.0000,0.345125,157.868986,3.158591,1.127534,42.969457
46,2007-03-16,sh.600967,11.9393114800,12.3191520000,11.0975027600,11.2617581200,11.9393114800,6066039,69130946.0000,-5.674977,148.909955,2.979342,1.063547,40.530949
47,2007-03-19,sh.600967,10.7792580000,11.3952156000,10.5739388000,11.1077687200,11.2617581200,3830774,41314291.0000,-1.367371,146.873812,2.938603,1.049004,39.976743
48,2007-03-20,sh.600967,11.1077687200,11.4568113600,10.9332474000,11.3644177200,11.1077687200,3288126,35864571.0000,2.310536,150.267384,3.006501,1.073242,40.900420
49,2007-03-21,sh.600967,11.3849496400,11.3849496400,11.1385666000,11.3849496400,11.3644177200,3457482,37903974.0000,0.180673,150.538870,3.011933,1.075181,40.974314
50,2007-03-22,sh.600967,11.4465454000,11.5697369200,11.3130879200,11.3336198400,11.3849496400,4393725,48959277.0000,-0.450858,149.860156,2.998353,1.070334,40.789579
51,2007-03-23,sh.600967,11.2925560000,11.3336198400,10.8408537600,11.1590985200,11.3336198400,3516094,38087131.0000,-1.539856,147.552526,2.952183,1.053852,40.161478
52,2007-03-26,sh.600967,11.0872368000,11.7545242000,11.0872368000,11.7442582400,11.1590985200,3993397,44739318.0000,5.243788,155.289871,3.106989,1.109114,42.267462
53,2007-03-27,sh.600967,11.7545242000,11.9085136000,11.6621305600,11.7442582400,11.7442582400,4094901,46879932.0000,0.000000,155.289871,3.106989,1.109114,42.267462
54,2007-03-28,sh.600967,11.7647901600,11.9906412800,10.9948431600,11.8674497600,11.7442582400,5206340,58825916.0000,1.048958,156.918786,3.139580,1.120748,42.710827
55,2007-03-29,sh.600967,11.8366518800,11.9906412800,11.0872368000,11.0975027600,11.8674497600,3578690,39891144.0000,-6.487889,146.738069,2.935887,1.048035,39.939796
56,2007-03-30,sh.600967,11.0769708400,11.0872368000,10.8100558800,10.8921835600,11.0975027600,2684633,28609020.0000,-1.850146,144.023211,2.881570,1.028645,39.200854
57,2007-04-02,sh.600967,10.8921835600,11.2309602400,10.8305878000,11.0872368000,10.8921835600,2159581,23093738.0000,1.790769,146.602326,2.933172,1.047065,39.902849
58,2007-04-03,sh.600967,11.1385666000,11.1693644800,10.9845772000,11.1283006400,11.0872368000,2653595,28620714.0000,0.370370,147.145298,2.944035,1.050943,40.050637
59,2007-04-04,sh.600967,11.1283006400,11.5492050000,11.0975027600,11.2925560000,11.1283006400,3796223,41820914.0000,1.476013,149.317184,2.987490,1.066456,40.641790
60,2007-04-05,sh.600967,11.3130879200,11.5389390400,11.1693644800,11.4978752000,11.2925560000,3440511,38063791.0000,1.818180,152.032042,3.041808,1.085846,41.380732
61,2007-04-06,sh.600967,11.3849496400,12.0009072400,11.3130879200,11.9598434000,11.4978752000,5544211,63348805.0000,4.017856,158.140472,3.164023,1.129473,43.043351
62,2007-04-09,sh.600967,12.3910137200,12.6271308000,12.1343647200,12.1856945200,11.9598434000,8686052,104708049.0000,1.888414,161.126816,3.223773,1.150802,43.856187
63,2007-04-10,sh.600967,12.2164924000,12.8529819200,12.2164924000,12.6579286800,12.1856945200,6587593,80665095.0000,3.875316,167.370989,3.348704,1.195400,45.555752
64,2007-04-11,sh.600967,12.6271308000,12.6271308000,12.2164924000,12.4731414000,12.6579286800,4461231,53807203.0000,-1.459857,164.927617,3.299818,1.177949,44.890705
65,2007-04-12,sh.600967,12.4731414000,12.5142052400,12.2164924000,12.4526094800,12.4731414000,5094038,61240876.0000,-0.164605,164.656131,3.294386,1.176010,44.816811
66,2007-04-13,sh.600967,12.4731414000,13.1404288000,12.4115456400,12.7605882800,12.4526094800,8271412,103107417.0000,2.473208,168.728418,3.375863,1.205095,45.925223
67,2007-04-16,sh.600967,13.0377692000,13.4073437600,12.9351096000,13.3354820400,12.7605882800,7693714,99031162.0000,4.505225,176.330020,3.527954,1.259387,47.994260
68,2007-04-17,sh.600967,13.3046841600,13.3046841600,12.6271308000,13.0583011200,13.3354820400,6153901,77824875.0000,-2.078518,172.664962,3.454624,1.233210,46.996689
69,2007-04-18,sh.600967,13.0583011200,13.5305352800,12.6784606000,13.4586735600,13.0583011200,7938852,101579252.0000,3.066033,177.958935,3.560544,1.271021,48.437625
70,2007-04-19,sh.600967,13.4792054800,14.3518120800,12.5244712000,13.0993649600,13.4586735600,11862417,158170033.0000,-2.669713,173.207934,3.465488,1.237088,47.144477
71,2007-04-20,sh.600967,13.3252160800,13.8590460000,13.3046841600,13.6639927600,13.0993649600,6090262,80629585.0000,4.310347,180.673793,3.614862,1.290411,49.176567
72,2007-04-23,sh.600967,13.7563864000,14.1567588400,13.7563864000,13.9001098400,13.6639927600,6228844,84599049.0000,1.728021,183.795879,3.677328,1.312710,50.026349
73,2007-04-24,sh.600967,13.9617056000,14.0233013600,13.3662799200,13.5510672000,13.9001098400,7752121,102690266.0000,-2.511079,201.279952,3.524727,1.322181,15.065764
74,2007-04-25,sh.600967,13.5510672000,13.5510672000,12.7195244400,13.1198968800,13.5510672000,5618803,71357378.0000,-3.181819,194.875590,3.412577,1.280112,14.586399
75,2007-04-26,sh.600967,13.1198968800,13.2841522400,12.9145776800,13.1917586000,13.1198968800,3365985,42959433.0000,0.547736,195.942983,3.431269,1.287123,14.666293
76,2007-04-27,sh.600967,13.2225564800,13.2430884000,12.6476627200,13.0377692000,13.1917586000,4241679,53337729.0000,-1.167320,193.655711,3.391215,1.272099,14.495091
77,2007-04-30,sh.600967,12.8837798000,13.1917586000,12.7605882800,13.0377692000,13.0377692000,3822872,48371276.0000,0.000000,193.655711,3.391215,1.272099,14.495091
