,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-07-05,sh.601000,8.0000000000,8.1800000000,7.8600000000,7.8800000000,8.2000000000,44239155,353257148.0000,-3.902435,31.152198,4.508654,4.083040,-62.927423
1,2010-07-06,sh.601000,7.5000000000,7.8800000000,7.4400000000,7.7900000000,7.8800000000,28309292,217796561.0000,-1.142100,30.796398,4.457159,4.036406,-62.208709
2,2010-07-07,sh.601000,7.7100000000,7.7400000000,7.5800000000,7.6800000000,7.7900000000,15720566,120310361.0000,-1.412100,30.361533,4.394221,3.979409,-61.330280
3,2010-07-08,sh.601000,7.7200000000,8.4400000000,7.6600000000,8.0900000000,7.6800000000,48282732,393542655.0000,5.338500,31.982396,4.628808,4.191852,-64.604423
4,2010-07-09,sh.601000,7.9500000000,8.2600000000,7.7200000000,8.1300000000,8.0900000000,38556272,308407672.0000,0.494400,32.140529,4.651695,4.212578,-64.923852
5,2010-07-12,sh.601000,8.1000000000,8.1400000000,7.9600000000,8.1100000000,8.1300000000,18125886,145914097.0000,-0.246000,32.061462,4.640252,4.202215,-64.764137
6,2010-07-13,sh.601000,8.0300000000,8.0300000000,7.7700000000,7.8000000000,8.1100000000,14525599,114013979.0000,-3.822400,30.835932,4.462881,4.041588,-62.288566
7,2010-07-14,sh.601000,7.8000000000,7.9400000000,7.7200000000,7.8200000000,7.8000000000,13729791,107544718.0000,0.256400,30.914998,4.474324,4.051951,-62.448280
8,2010-07-15,sh.601000,7.7700000000,7.8200000000,7.5200000000,7.5300000000,7.8200000000,14636375,112048189.0000,-3.708400,29.768534,4.308396,3.901686,-60.132423
9,2010-07-16,sh.601000,7.5000000000,7.6000000000,7.4500000000,7.5700000000,7.5300000000,7977692,59876555.0000,0.531208,29.926667,4.331283,3.922413,-60.451852
10,2010-07-19,sh.601000,7.4700000000,7.7100000000,7.4500000000,7.6700000000,7.5700000000,8130111,61917580.0000,1.321000,30.321999,4.388499,3.974228,-61.250423
