,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.601006,8.2200000000,8.9000000000,8.1400000000,8.4500000000,8.1000000000,121288824,1031347881.0000,4.320980,26.370199,3.211324,7.068069,21.981998
1,2007-01-05,sh.601006,8.4600000000,8.7900000000,8.3800000000,8.4800000000,8.4500000000,76529853,655190455.0000,0.355026,26.463821,3.222725,7.093162,22.060041
2,2007-01-08,sh.601006,8.4800000000,8.7100000000,8.4700000000,8.6700000000,8.4800000000,48541403,416191454.0000,2.240572,27.056760,3.294932,7.252089,22.554310
3,2007-01-09,sh.601006,8.6900000000,8.8700000000,8.5000000000,8.8000000000,8.6700000000,54751368,473775230.0000,1.499425,27.462456,3.344337,7.360829,22.892495
4,2007-01-10,sh.601006,8.8300000000,9.1000000000,8.6600000000,9.0900000000,8.8000000000,68648265,612204576.0000,3.295454,28.367468,3.454548,7.603402,23.646907
5,2007-01-11,sh.601006,9.1200000000,9.2600000000,8.8200000000,8.8500000000,9.0900000000,47736067,430403032.0000,-2.640261,27.618492,3.363339,7.402652,23.022566
6,2007-01-12,sh.601006,8.8500000000,8.8500000000,8.2500000000,8.2800000000,8.8500000000,61649665,527293541.0000,-6.440685,25.839674,3.146717,6.925871,21.539757
7,2007-01-15,sh.601006,8.2400000000,8.8500000000,8.2000000000,8.8400000000,8.2800000000,43690271,373689652.0000,6.763290,27.587285,3.359539,7.394287,22.996552
8,2007-01-16,sh.601006,8.9500000000,8.9700000000,8.6500000000,8.9100000000,8.8400000000,49463402,438226066.0000,0.791852,27.805736,3.386141,7.452839,23.178651
9,2007-01-17,sh.601006,8.9400000000,9.0400000000,8.5000000000,8.6800000000,8.9100000000,54854033,482180610.0000,-2.581364,27.087968,3.298733,7.260454,22.580325
10,2007-01-18,sh.601006,8.6000000000,8.7700000000,8.3800000000,8.6400000000,8.6800000000,50200105,431149614.0000,-0.460829,26.963138,3.283531,7.226996,22.476268
11,2007-01-19,sh.601006,8.6600000000,9.2100000000,8.6000000000,9.1500000000,8.6400000000,63730923,572643417.0000,5.902769,28.554712,3.477351,7.653589,23.802992
12,2007-01-22,sh.601006,9.2200000000,10.0700000000,9.2200000000,10.0700000000,9.1500000000,87266128,852178119.0000,10.054650,31.425787,3.826986,8.423130,26.196298
13,2007-01-23,sh.601006,10.3000000000,11.0500000000,10.1000000000,10.3200000000,10.0700000000,84830348,891757726.0000,2.482622,32.205971,3.921995,8.632245,26.846653
14,2007-01-24,sh.601006,10.3600000000,11.1000000000,10.1500000000,10.9200000000,10.3200000000,70011711,758588683.0000,5.813957,34.078411,4.150018,9.134119,28.407505
15,2007-01-25,sh.601006,10.7800000000,11.0900000000,10.4000000000,10.6800000000,10.9200000000,50797720,548272603.0000,-2.197800,33.329435,4.058809,8.933370,27.783164
16,2007-01-26,sh.601006,10.5000000000,10.8000000000,9.8100000000,10.7100000000,10.6800000000,45360216,474123144.0000,0.280896,33.423057,4.070210,8.958463,27.861207
17,2007-01-29,sh.601006,10.6000000000,10.9200000000,10.3700000000,10.7600000000,10.7100000000,51982432,552807398.0000,0.466855,33.579094,4.089212,9.000286,27.991278
18,2007-01-30,sh.601006,10.6800000000,11.5000000000,10.6500000000,10.9500000000,10.7600000000,52005097,580226654.0000,1.765795,34.172033,4.161420,9.159213,28.485548
19,2007-01-31,sh.601006,10.9400000000,11.4100000000,10.3100000000,10.5400000000,10.9500000000,53988898,592447248.0000,-3.744291,32.892532,4.005604,8.816265,27.418966
20,2007-02-01,sh.601006,10.2000000000,10.3000000000,9.5800000000,9.9900000000,10.5400000000,111050831,1107793472.0000,-5.218218,31.176129,3.796583,8.356214,25.988185
21,2007-02-02,sh.601006,10.1000000000,10.1600000000,9.7300000000,9.7800000000,9.9900000000,40799642,405863915.0000,-2.102103,30.520775,3.716775,8.180557,25.441886
22,2007-02-05,sh.601006,9.7500000000,10.0800000000,9.7500000000,9.8100000000,9.7800000000,25614126,254736430.0000,0.306756,30.614397,3.728176,8.205651,25.519929
23,2007-02-06,sh.601006,9.8800000000,10.0200000000,9.0300000000,9.6500000000,9.8100000000,47642064,454365625.0000,-1.630997,30.115079,3.667370,8.071818,25.103702
24,2007-02-07,sh.601006,9.7900000000,10.0500000000,9.5800000000,9.8200000000,9.6500000000,44432800,439690762.0000,1.761659,30.645604,3.731976,8.214016,25.545943
25,2007-02-08,sh.601006,9.8700000000,10.8000000000,9.8400000000,10.8000000000,9.8200000000,59855522,632079515.0000,9.979638,33.703923,4.104414,9.033744,28.095335
26,2007-02-09,sh.601006,11.2000000000,11.4500000000,10.7000000000,10.9000000000,10.8000000000,69636640,770345820.0000,0.925921,34.015996,4.142418,9.117390,28.355477
27,2007-02-12,sh.601006,10.8200000000,11.3500000000,10.7000000000,11.1500000000,10.9000000000,39312850,435614918.0000,2.293578,34.796180,4.237427,9.326505,29.005832
28,2007-02-13,sh.601006,11.1500000000,11.9500000000,11.1500000000,11.6800000000,11.1500000000,62117379,725309919.0000,4.753369,36.450168,4.438848,9.769827,30.384584
