,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-02-09,sh.601106,5.4800000000,5.6700000000,5.3400000000,5.5200000000,5.7000000000,168348984,929111363.0000,-3.157892,35.861599,9.629078,3.535827,3234.253718
1,2010-02-10,sh.601106,5.5000000000,5.5800000000,5.4200000000,5.5500000000,5.5200000000,67665301,371751941.0000,0.543500,36.056499,9.681409,3.555043,3251.831184
2,2010-02-11,sh.601106,5.5200000000,5.5400000000,5.4700000000,5.5100000000,5.5500000000,43408672,238836255.0000,-0.720700,35.796632,9.611634,3.529421,3228.394563
3,2010-02-12,sh.601106,5.5400000000,5.5800000000,5.4900000000,5.5200000000,5.5100000000,50412479,279067183.0000,0.181500,35.861599,9.629078,3.535827,3234.253718
4,2010-02-22,sh.601106,5.4900000000,5.5700000000,5.4700000000,5.5200000000,5.5200000000,35470632,195828863.0000,0.000000,35.861599,9.629078,3.535827,3234.253718
5,2010-02-23,sh.601106,5.5000000000,5.5500000000,5.4800000000,5.5400000000,5.5200000000,30834976,170101481.0000,0.362300,35.991532,9.663966,3.548638,3245.972029
6,2010-02-24,sh.601106,5.5000000000,5.6200000000,5.4500000000,5.6000000000,5.5400000000,52665378,292397597.0000,1.083000,36.381332,9.768629,3.587070,3281.126960
7,2010-02-25,sh.601106,5.5900000000,5.8000000000,5.5600000000,5.6800000000,5.6000000000,141919037,806230958.0000,1.428600,36.901065,9.908181,3.638314,3328.000203
8,2010-02-26,sh.601106,5.6000000000,5.6400000000,5.5300000000,5.5600000000,5.6800000000,60360310,336501319.0000,-2.112700,36.121465,9.698853,3.561449,3257.690339
9,2010-03-01,sh.601106,5.5700000000,5.6300000000,5.5400000000,5.6100000000,5.5600000000,31155082,173834538.0000,0.899300,36.446299,9.786073,3.593476,3286.986116
10,2010-03-02,sh.601106,5.6200000000,5.6500000000,5.5300000000,5.5600000000,5.6100000000,28868744,161470140.0000,-0.891300,36.121465,9.698853,3.561449,3257.690339
11,2010-03-03,sh.601106,5.5600000000,5.6900000000,5.4900000000,5.6800000000,5.5600000000,63483123,357052282.0000,2.158300,36.901065,9.908181,3.638314,3328.000203
12,2010-03-04,sh.601106,5.7900000000,5.8000000000,5.5600000000,5.5800000000,5.6800000000,81102111,462527350.0000,-1.760600,36.251399,9.733741,3.574259,3269.408650
13,2010-03-05,sh.601106,5.5800000000,5.6400000000,5.5400000000,5.5800000000,5.5800000000,31859876,177861908.0000,0.000000,36.251399,9.733741,3.574259,3269.408650
14,2010-03-08,sh.601106,5.5700000000,5.6100000000,5.5300000000,5.5700000000,5.5800000000,23768397,132357753.0000,-0.179200,36.186432,9.716297,3.567854,3263.549494
15,2010-03-09,sh.601106,5.5500000000,5.5900000000,5.5100000000,5.5500000000,5.5700000000,22040909,122377820.0000,-0.359100,36.056499,9.681409,3.555043,3251.831184
16,2010-03-10,sh.601106,5.5400000000,5.5800000000,5.4800000000,5.5100000000,5.5500000000,24034509,132580850.0000,-0.720700,35.796632,9.611634,3.529421,3228.394563
