,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-09-19,sh.601169,23.0000000000,25.0000000000,22.4800000000,22.6800000000,12.5000000000,461099147,10932077806.0000,81.440000,65.987935,13.684922,24.236424,-59.641404
1,2007-09-20,sh.601169,23.9000000000,24.6000000000,23.1600000000,24.5700000000,22.6800000000,197740465,4715341972.0000,8.333330,71.486929,14.825332,26.256126,-64.611521
2,2007-09-21,sh.601169,23.4800000000,24.0000000000,22.4500000000,23.4800000000,24.5700000000,130966205,3033619945.0000,-4.436305,68.315552,14.167635,25.091324,-61.745157
3,2007-09-24,sh.601169,23.6200000000,23.6600000000,22.5200000000,22.6100000000,23.4800000000,74426861,1696596388.0000,-3.705276,65.784268,13.642684,24.161620,-59.457326
4,2007-09-25,sh.601169,22.6600000000,22.6900000000,20.9900000000,21.0500000000,22.6100000000,82809998,1781488643.0000,-6.899608,61.245416,12.701393,22.494564,-55.355007
5,2007-09-26,sh.601169,21.0000000000,22.0600000000,20.8000000000,21.3300000000,21.0500000000,43634780,938324500.0000,1.330170,62.060081,12.870343,22.793779,-56.091321
6,2007-09-27,sh.601169,21.5000000000,22.3000000000,21.1200000000,22.0000000000,21.3300000000,41903447,912701465.0000,3.141116,64.009461,13.274615,23.509758,-57.853214
7,2007-09-28,sh.601169,22.2200000000,22.4100000000,21.8300000000,22.0300000000,22.0000000000,49906061,1101913405.0000,0.136367,64.096746,13.292717,23.541817,-57.932105
8,2007-10-08,sh.601169,22.3100000000,23.1800000000,22.2300000000,22.4100000000,22.0300000000,65525509,1495633361.0000,1.724917,65.202364,13.522006,23.947895,-58.931387
9,2007-10-09,sh.601169,22.4100000000,23.2000000000,22.0500000000,23.0200000000,22.4100000000,48262287,1100631675.0000,2.722002,66.977172,13.890075,24.599756,-60.535499
10,2007-10-10,sh.601169,23.0200000000,24.1400000000,23.0200000000,23.7400000000,23.0200000000,70646077,1670448985.0000,3.127712,69.072027,14.324517,25.369167,-62.428877
11,2007-10-11,sh.601169,23.9800000000,23.9900000000,23.0000000000,23.4200000000,23.7400000000,44293028,1036020182.0000,-1.347935,68.140980,14.131431,25.027206,-61.587376
12,2007-10-12,sh.601169,23.5500000000,24.3000000000,22.3800000000,24.1300000000,23.4200000000,76970716,1806349089.0000,3.031593,70.206740,14.559839,25.785930,-63.454457
13,2007-10-15,sh.601169,24.5700000000,25.1500000000,23.7300000000,23.9000000000,24.1300000000,88000694,2146899737.0000,-0.953168,69.537550,14.421059,25.540147,-62.849628
