,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2015-06-26,sh.601211,23.6500000000,28.3800000000,23.6500000000,28.3800000000,19.7100000000,2068078,58507111.0000,43.987830,25.042159,4.822804,9.529023,2.226083
1,2015-06-29,sh.601211,31.2200000000,31.2200000000,29.1800000000,31.2200000000,28.3800000000,314822960,9785779200.0000,10.007000,27.548140,5.305425,10.482597,2.448848
2,2015-06-30,sh.601211,30.6800000000,34.3400000000,29.1800000000,34.3400000000,31.2200000000,521100336,16911142912.0000,9.993600,30.301189,5.835627,11.530185,2.693576
3,2015-07-01,sh.601211,36.0000000000,37.3000000000,34.0300000000,34.8200000000,34.3400000000,529359008,19065216000.0000,1.397800,30.724735,5.917197,11.691352,2.731226
4,2015-07-02,sh.601211,35.8000000000,35.8800000000,31.3500000000,31.4200000000,34.8200000000,355393488,11791880448.0000,-9.764500,27.724617,5.339412,10.549750,2.464535
5,2015-07-03,sh.601211,30.0100000000,33.3000000000,28.3100000000,29.6000000000,31.4200000000,331084336,9997439744.0000,-5.792500,26.118672,5.030127,9.938657,2.321777
6,2015-07-06,sh.601211,32.5600000000,32.5600000000,29.8000000000,31.9500000000,29.6000000000,429413056,13615750656.0000,7.939200,28.192283,5.429478,10.727705,2.506108
7,2015-07-07,sh.601211,30.0000000000,30.9000000000,28.7600000000,28.7600000000,31.9500000000,281586304,8250119168.0000,-9.984400,25.377466,4.887380,9.656614,2.255889
8,2015-07-08,sh.601211,25.8800000000,25.8800000000,25.8800000000,25.8800000000,28.7600000000,42357000,1096199168.0000,-10.013900,22.836190,4.397962,8.689609,2.029986
9,2015-07-09,sh.601211,23.2900000000,28.4700000000,23.2900000000,28.4700000000,25.8800000000,388972336,10128114176.0000,10.007700,25.121574,4.838099,9.559242,2.233142
10,2015-07-10,sh.601211,28.5000000000,31.3200000000,28.4700000000,31.3200000000,28.4700000000,367948224,11304574720.0000,10.010500,27.636378,5.322418,10.516173,2.456692
11,2015-07-13,sh.601211,31.5000000000,33.9800000000,30.3800000000,32.8200000000,31.3200000000,448924416,14484165632.0000,4.789300,28.959960,5.577323,11.019821,2.574349
12,2015-07-14,sh.601211,31.3500000000,32.2500000000,29.9500000000,30.3800000000,32.8200000000,342775696,10652793088.0000,-7.434500,26.806934,5.162678,10.200554,2.382959
13,2015-07-15,sh.601211,29.5600000000,30.3800000000,27.3400000000,27.3400000000,30.3800000000,245602814,6978577408.0000,-10.006600,24.124476,4.646070,9.179827,2.144507
14,2015-07-16,sh.601211,26.5500000000,28.7500000000,25.7000000000,27.6400000000,27.3400000000,168020729,4611822848.0000,1.097300,24.389192,4.697051,9.280556,2.168038
15,2015-07-17,sh.601211,27.6500000000,29.8800000000,27.3300000000,29.3600000000,27.6400000000,194051415,5551298816.0000,6.222900,25.906899,4.989342,9.858073,2.302952
16,2015-07-20,sh.601211,29.0000000000,29.2600000000,28.0000000000,28.3700000000,29.3600000000,169453853,4847215872.0000,-3.371900,25.033335,4.821105,9.525665,2.225298
17,2015-07-21,sh.601211,27.8900000000,29.5800000000,27.5100000000,28.7100000000,28.3700000000,175059549,5019340288.0000,1.198400,25.333347,4.878883,9.639825,2.251967
18,2015-07-22,sh.601211,28.7800000000,29.5000000000,28.4900000000,28.6400000000,28.7100000000,147120763,4251913584.0000,-0.243800,15.329950,4.866988,6.387025,2.246477
19,2015-07-23,sh.601211,28.6800000000,29.9800000000,28.5100000000,29.5900000000,28.6400000000,214972726,6320928256.0000,3.317000,15.838450,5.028428,6.598885,2.320993
20,2015-07-24,sh.601211,29.7800000000,29.8600000000,28.1700000000,28.4100000000,29.5900000000,185325662,5390726144.0000,-3.987800,15.206839,4.827902,6.335732,2.228436
21,2015-07-27,sh.601211,27.5000000000,27.9700000000,25.5700000000,25.5700000000,28.4100000000,170324334,4578846720.0000,-9.996500,13.686690,4.345282,5.702382,2.005671
22,2015-07-28,sh.601211,24.2400000000,28.1300000000,23.4800000000,27.7200000000,25.5700000000,316081344,8465604608.0000,8.408300,14.837507,4.710646,6.181855,2.174313
23,2015-07-29,sh.601211,27.5000000000,27.7700000000,26.2000000000,27.6900000000,27.7200000000,128707389,3480672512.0000,-0.108200,14.821449,4.705548,6.175165,2.171960
24,2015-07-30,sh.601211,27.1000000000,28.1100000000,26.5000000000,26.6600000000,27.6900000000,127825539,3511815920.0000,-3.719800,14.270128,4.530513,5.945464,2.091168
25,2015-07-31,sh.601211,26.1800000000,27.1300000000,25.8000000000,26.3800000000,26.6600000000,85418695,2258887520.0000,-1.050300,14.120254,4.482931,5.883021,2.069206
26,2015-08-03,sh.601211,25.9500000000,26.4500000000,25.1800000000,26.2200000000,26.3800000000,78805348,2034841248.0000,-0.606500,14.034612,4.455741,5.847339,2.056656
27,2015-08-04,sh.601211,26.2200000000,27.2700000000,25.9100000000,27.1200000000,26.2200000000,107286061,2865471632.0000,3.432500,14.516349,4.608684,6.048049,2.127250
