,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2011-05-18,sh.601233,27.1800000000,30.7000000000,27.1800000000,29.7100000000,27.0000000000,76437111,2191342117.0000,10.037030,13.110530,5.416358,0.973602,38.837814
1,2011-05-19,sh.601233,28.9000000000,29.3700000000,27.7100000000,28.0600000000,29.7100000000,34929441,995146769.0000,-5.553700,12.382412,5.115550,0.919531,36.680884
2,2011-05-20,sh.601233,27.5700000000,30.5900000000,27.4100000000,29.3100000000,28.0600000000,42204061,1240443030.0000,4.454700,12.934016,5.343435,0.960494,38.314922
3,2011-05-23,sh.601233,28.9000000000,30.2900000000,28.6000000000,29.7900000000,29.3100000000,30411868,894931573.0000,1.637700,13.145833,5.430942,0.976224,38.942393
4,2011-05-24,sh.601233,29.2400000000,29.2800000000,28.0000000000,28.8400000000,29.7900000000,18572118,533131491.0000,-3.189000,12.726613,5.257750,0.945092,37.700524
5,2011-05-25,sh.601233,28.5900000000,29.5700000000,28.1000000000,28.5600000000,28.8400000000,14900779,429464652.0000,-0.970900,12.603054,5.206704,0.935916,37.334499
6,2011-05-26,sh.601233,28.8500000000,29.1500000000,27.0100000000,27.0900000000,28.5600000000,21675088,607468032.0000,-5.147100,11.954367,4.938712,0.887744,35.412871
7,2011-05-27,sh.601233,26.5800000000,26.6000000000,25.1000000000,25.4000000000,27.0900000000,16483768,425335524.0000,-6.238500,11.208598,4.630612,0.832362,33.203651
8,2011-05-30,sh.601233,25.3800000000,25.3900000000,24.5100000000,24.5500000000,25.4000000000,8334106,207549957.0000,-3.346500,10.833507,4.475651,0.804508,32.092505
9,2011-05-31,sh.601233,24.5100000000,25.4700000000,24.5000000000,25.4400000000,24.5500000000,9951253,249064124.0000,3.625300,11.226250,4.637905,0.833673,33.255940
10,2011-06-01,sh.601233,25.3300000000,26.5400000000,25.0400000000,25.9700000000,25.4400000000,12665142,327954361.0000,2.083300,11.460130,4.734528,0.851041,33.948773
11,2011-06-02,sh.601233,25.2000000000,25.4800000000,24.7600000000,25.2200000000,25.9700000000,8914242,223875154.0000,-2.887900,11.129167,4.597797,0.826464,32.968350
12,2011-06-03,sh.601233,25.1000000000,25.8900000000,25.0300000000,25.5000000000,25.2200000000,7537580,191567631.0000,1.110200,11.252727,4.648843,0.835640,33.334374
13,2011-06-07,sh.601233,25.3200000000,25.4500000000,25.0600000000,25.2900000000,25.5000000000,5949842,150005289.0000,-0.823500,11.160057,4.610558,0.828758,33.059856
14,2011-06-08,sh.601233,25.2500000000,25.2500000000,24.6000000000,25.0200000000,25.2900000000,6723947,167404607.0000,-1.067600,11.040911,4.561335,0.819910,32.706904
15,2011-06-09,sh.601233,25.0000000000,25.4500000000,24.5900000000,24.9500000000,25.0200000000,7694396,193021070.0000,-0.279800,11.010021,4.548574,0.817616,32.615398
16,2011-06-10,sh.601233,24.8500000000,25.6600000000,24.6300000000,25.4100000000,24.9500000000,7726262,194989633.0000,1.843700,11.213011,4.632435,0.832690,33.216724
17,2011-06-13,sh.601233,25.4100000000,25.4100000000,25.4100000000,25.4100000000,25.4100000000,0,0.0000,0.000000,11.213011,4.632435,0.832690,33.216724
18,2011-06-14,sh.601233,25.3900000000,25.9000000000,25.2200000000,25.4700000000,25.4100000000,7342836,187754978.0000,0.236100,11.239488,4.643374,0.834656,33.295157
19,2011-06-15,sh.601233,25.4700000000,26.1600000000,25.3000000000,25.5500000000,25.4700000000,6751594,173642080.0000,0.314100,11.274791,4.657958,0.837278,33.399736
20,2011-06-16,sh.601233,25.3000000000,25.3000000000,24.3100000000,24.3700000000,25.5500000000,6829513,169602447.0000,-4.618400,10.754076,4.442835,0.798609,31.857204
21,2011-06-17,sh.601233,24.0800000000,24.7700000000,23.7000000000,23.7600000000,24.3700000000,5514572,133621088.0000,-2.503100,10.484894,4.331628,0.778619,31.059793
22,2011-06-20,sh.601233,23.7200000000,23.9500000000,23.1200000000,23.4200000000,23.7600000000,4347876,102116149.0000,-1.431000,10.334857,4.269643,0.767478,30.615335
23,2011-06-21,sh.601233,23.5500000000,24.3800000000,23.4100000000,24.2300000000,23.4200000000,6094710,145719468.0000,3.458600,10.692297,4.417312,0.794021,31.674192
24,2011-06-22,sh.601233,24.1200000000,24.3000000000,23.7800000000,24.0000000000,24.2300000000,4354778,104412573.0000,-0.949200,10.590802,4.375382,0.786484,31.373529
25,2011-06-23,sh.601233,23.9300000000,25.6800000000,23.6700000000,25.3900000000,24.0000000000,11651841,289199059.0000,5.791700,11.204186,4.628789,0.832035,33.190579
26,2011-06-24,sh.601233,25.0100000000,26.1100000000,24.9800000000,25.6100000000,25.3900000000,9965375,254573826.0000,0.866500,11.301268,4.668897,0.839244,33.478170
27,2011-06-27,sh.601233,25.5800000000,26.9000000000,25.5800000000,26.3200000000,25.6100000000,13627442,361217264.0000,2.772400,11.614579,4.798335,0.862511,34.406303
28,2011-06-28,sh.601233,26.4000000000,26.9800000000,26.0600000000,26.4300000000,26.3200000000,9346091,248288919.0000,0.417900,11.663120,4.818389,0.866116,34.550099
29,2011-06-29,sh.601233,26.4300000000,27.1500000000,26.1800000000,26.5200000000,26.4300000000,8203197,219748392.0000,0.340500,11.702836,4.834797,0.869065,34.667749
30,2011-06-30,sh.601233,26.3500000000,27.6600000000,26.3500000000,27.2100000000,26.5200000000,8946333,243209315.0000,2.601800,12.007321,4.960589,0.891677,35.569738
31,2011-07-01,sh.601233,27.3900000000,27.5900000000,27.0100000000,27.2700000000,27.2100000000,5673166,154666059.0000,0.220500,12.033798,4.971527,0.893643,35.648172
32,2011-07-04,sh.601233,27.5400000000,28.2600000000,27.3200000000,28.1400000000,27.2700000000,7233518,201664670.0000,3.190300,12.417715,5.130135,0.922153,36.785462
33,2011-07-05,sh.601233,28.0900000000,28.1400000000,27.5000000000,27.7700000000,28.1400000000,6980694,193645309.0000,-1.314900,12.254440,5.062681,0.910028,36.301787
34,2011-07-06,sh.601233,27.4900000000,27.9600000000,27.0300000000,27.7500000000,27.7700000000,6579560,179931613.0000,-0.072000,12.245614,5.059035,0.909372,36.275643
35,2011-07-07,sh.601233,27.7300000000,29.2000000000,27.6800000000,28.4200000000,27.7500000000,9701361,275692908.0000,2.414400,12.541274,5.181181,0.931328,37.151487
36,2011-07-08,sh.601233,28.2000000000,28.6000000000,28.0500000000,28.3000000000,28.4200000000,5015351,141821637.0000,-0.422241,12.488320,5.159304,0.927396,36.994619
37,2011-07-11,sh.601233,28.2000000000,28.4300000000,27.8000000000,28.0200000000,28.3000000000,5761849,162216534.0000,-0.989400,12.364761,5.108258,0.918220,36.628595
38,2011-07-12,sh.601233,27.7000000000,27.7500000000,26.7500000000,26.8000000000,28.0200000000,9289802,252510382.0000,-4.354000,11.826395,4.885843,0.878241,35.033774
