,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.601333,7.2600000000,7.7700000000,7.1200000000,7.3400000000,7.2000000000,223659712,1646196560.0000,1.944449,85.029435,4.927911,16.180873,-95.398533
1,2007-01-05,sh.601333,7.2100000000,7.3500000000,7.1400000000,7.2200000000,7.3400000000,114730969,827160615.0000,-1.634882,83.639308,4.847346,15.916335,-93.838884
2,2007-01-08,sh.601333,7.1700000000,7.4000000000,7.1300000000,7.3600000000,7.2200000000,105856204,767666793.0000,1.939063,85.261123,4.941339,16.224962,-95.658474
3,2007-01-09,sh.601333,7.3700000000,7.4900000000,7.3000000000,7.4200000000,7.3600000000,108670434,802589032.0000,0.815217,85.956186,4.981622,16.357231,-96.438299
4,2007-01-10,sh.601333,7.4500000000,7.7900000000,7.4500000000,7.6800000000,7.4200000000,123080232,938445689.0000,3.504040,88.968128,5.156180,16.930395,-99.817538
5,2007-01-11,sh.601333,7.6500000000,7.7000000000,7.3800000000,7.3900000000,7.6800000000,124140589,933152396.0000,-3.776042,85.608654,4.961480,16.291097,-96.048386
6,2007-01-12,sh.601333,7.3900000000,7.5300000000,7.0100000000,7.1000000000,7.3900000000,106643165,776655909.0000,-3.924222,82.249181,4.766781,15.651798,-92.279235
7,2007-01-15,sh.601333,7.1000000000,7.3500000000,7.0100000000,7.3300000000,7.1000000000,70183202,505783841.0000,3.239437,84.913591,4.921198,16.158828,-95.268562
8,2007-01-16,sh.601333,7.3500000000,7.3900000000,7.1300000000,7.2600000000,7.3300000000,82206025,594290909.0000,-0.954975,84.102683,4.874201,16.004514,-94.358767
9,2007-01-17,sh.601333,7.2600000000,7.3600000000,7.0800000000,7.2000000000,7.2600000000,102892628,745557139.0000,-0.826452,83.407620,4.833919,15.872246,-93.578942
10,2007-01-18,sh.601333,7.2700000000,7.7000000000,7.1900000000,7.5900000000,7.2000000000,156828445,1159075660.0000,5.416672,87.925533,5.095756,16.731992,-98.647802
11,2007-01-19,sh.601333,7.5900000000,7.6700000000,7.4600000000,7.6100000000,7.5900000000,117914839,893485183.0000,0.263504,88.157220,5.109183,16.776082,-98.907743
12,2007-01-22,sh.601333,7.7000000000,8.0500000000,7.6000000000,7.9200000000,7.6100000000,159565374,1249933652.0000,4.073586,91.748382,5.317310,17.459470,-102.936836
13,2007-01-23,sh.601333,7.9300000000,8.0800000000,7.6600000000,7.7900000000,7.9200000000,122419521,958500931.0000,-1.641416,90.242411,5.230031,17.172888,-101.247217
