,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-01-16,sh.601360,11.6500000000,11.6500000000,10.9000000000,10.9900000000,12.4000000000,8119360,91246661.0000,-11.370970,17.745093,5.120847,1.620570,-41.499966
1,2012-01-17,sh.601360,10.7400000000,11.3500000000,10.5100000000,11.2700000000,10.9900000000,5167503,56690538.0000,2.547777,18.197198,5.251314,1.661859,-42.557290
2,2012-01-18,sh.601360,11.2800000000,11.4000000000,10.7300000000,10.7500000000,11.2700000000,3431830,37894925.0000,-4.614024,17.357575,5.009017,1.585180,-40.593688
3,2012-01-19,sh.601360,10.6200000000,10.8700000000,10.6200000000,10.6800000000,10.7500000000,1496867,16066331.0000,-0.651160,17.244549,4.976401,1.574858,-40.329357
4,2012-01-20,sh.601360,10.6900000000,10.9200000000,10.6900000000,10.7900000000,10.6800000000,1371729,14854235.0000,1.029959,17.422162,5.027656,1.591079,-40.744734
5,2012-01-30,sh.601360,10.8300000000,11.0300000000,10.5500000000,10.8000000000,10.7900000000,1049821,11311731.0000,0.092681,17.438308,5.032315,1.592553,-40.782496
6,2012-01-31,sh.601360,10.7100000000,10.9500000000,10.7100000000,10.8800000000,10.8000000000,714408,7740978.0000,0.740740,17.567481,5.069592,1.604350,-41.084588
7,2012-02-01,sh.601360,10.8200000000,10.9000000000,10.6100000000,10.6400000000,10.8800000000,870869,9365534.0000,-2.205880,17.179963,4.957762,1.568960,-40.178311
8,2012-02-02,sh.601360,10.6400000000,10.8000000000,10.6400000000,10.7900000000,10.6400000000,719799,7721636.0000,1.409771,17.422162,5.027656,1.591079,-40.744734
9,2012-02-03,sh.601360,10.7200000000,10.8800000000,10.7000000000,10.8500000000,10.7900000000,1377153,14873492.0000,0.556074,17.519041,5.055613,1.599926,-40.971304
10,2012-02-06,sh.601360,10.8700000000,11.0500000000,10.8500000000,11.0100000000,10.8500000000,1940188,21238154.0000,1.474653,17.777386,5.130166,1.623519,-41.575489
11,2012-02-07,sh.601360,10.9300000000,11.0500000000,10.7000000000,10.9900000000,11.0100000000,2112207,22987488.0000,-0.181657,17.745093,5.120847,1.620570,-41.499966
12,2012-02-08,sh.601360,11.0300000000,11.1000000000,10.9000000000,11.0700000000,10.9900000000,2087535,23011034.0000,0.727934,17.874266,5.158123,1.632367,-41.802058
