,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.601398,6.3000000000,6.7900000000,5.8800000000,6.0500000000,6.2000000000,967834954,6194157171.0000,-2.419349,53.980501,6.194541,11.848321,11.922558
1,2007-01-05,sh.601398,5.8700000000,5.8700000000,5.4500000000,5.4500000000,6.0500000000,808749594,4495265602.0000,-9.917361,48.627063,5.580206,10.673281,10.740156
2,2007-01-08,sh.601398,5.3600000000,5.5500000000,5.2800000000,5.5400000000,5.4500000000,644985062,3498360831.0000,1.651379,49.430079,5.672356,10.849537,10.917516
3,2007-01-09,sh.601398,5.5400000000,5.7900000000,5.4200000000,5.7800000000,5.5400000000,644456371,3586835363.0000,4.332135,51.571454,5.918090,11.319553,11.390477
4,2007-01-10,sh.601398,5.9900000000,5.9900000000,5.6000000000,5.6900000000,5.7800000000,782410090,4509619117.0000,-1.557096,50.768438,5.825940,11.143297,11.213117
5,2007-01-11,sh.601398,5.6600000000,5.6600000000,5.4300000000,5.5100000000,5.6900000000,554847840,3064577904.0000,-3.163442,49.162407,5.641640,10.790785,10.858396
6,2007-01-12,sh.601398,5.4400000000,5.5300000000,5.2800000000,5.3300000000,5.5100000000,424071763,2291842093.0000,-3.266793,47.556375,5.457339,10.438273,10.503675
7,2007-01-15,sh.601398,5.3200000000,5.5800000000,5.2900000000,5.5700000000,5.3300000000,400715166,2178581110.0000,4.502819,49.697751,5.703073,10.908289,10.976636
8,2007-01-16,sh.601398,5.6100000000,5.6700000000,5.3700000000,5.5200000000,5.5700000000,429182673,2361786718.0000,-0.897669,49.251631,5.651878,10.810369,10.878103
9,2007-01-17,sh.601398,5.5300000000,5.6500000000,5.4100000000,5.4400000000,5.5200000000,427397760,2349392909.0000,-1.449274,48.537839,5.569967,10.653697,10.720449
10,2007-01-18,sh.601398,5.4000000000,5.4600000000,5.1100000000,5.2500000000,5.4400000000,477883239,2506958356.0000,-3.492648,46.842584,5.375428,10.281601,10.346022
11,2007-01-19,sh.601398,5.2500000000,5.3300000000,5.2000000000,5.3100000000,5.2500000000,309055619,1628590366.0000,1.142856,47.377927,5.436861,10.399105,10.464262
12,2007-01-22,sh.601398,5.3400000000,5.5000000000,5.3400000000,5.4800000000,5.3100000000,379154999,2061637253.0000,3.201508,48.894735,5.610923,10.732033,10.799276
13,2007-01-23,sh.601398,5.5400000000,5.6500000000,5.3600000000,5.6300000000,5.4800000000,501221801,2765682162.0000,2.737228,50.233094,5.764506,11.025793,11.094877
14,2007-01-24,sh.601398,5.6500000000,5.6700000000,5.5100000000,5.5300000000,5.6300000000,354176544,1973832513.0000,-1.776197,49.340855,5.662117,10.829953,10.897810
15,2007-01-25,sh.601398,5.4500000000,5.4500000000,5.2500000000,5.2800000000,5.5300000000,334956123,1787675204.0000,-4.520795,47.110256,5.406145,10.340353,10.405142
16,2007-01-26,sh.601398,5.1500000000,5.3700000000,4.9000000000,5.2600000000,5.2800000000,418654653,2148738253.0000,-0.378787,46.931808,5.385667,10.301185,10.365728
17,2007-01-29,sh.601398,5.1800000000,5.3800000000,5.1100000000,5.3200000000,5.2600000000,670128658,3530236211.0000,1.140683,47.467151,5.447100,10.418689,10.483969
18,2007-01-30,sh.601398,5.3500000000,5.3900000000,5.1500000000,5.1700000000,5.3200000000,423492130,2222308739.0000,-2.819551,46.128792,5.293517,10.124929,10.188368
19,2007-01-31,sh.601398,5.1700000000,5.2800000000,4.9900000000,5.0100000000,5.1700000000,507815113,2609019237.0000,-3.094774,44.701208,5.129694,9.811585,9.873061
20,2007-02-01,sh.601398,4.9800000000,5.0700000000,4.9200000000,5.0000000000,5.0100000000,249356089,1243631524.0000,-0.199605,44.611984,5.119455,9.792001,9.853354
21,2007-02-02,sh.601398,5.0300000000,5.0600000000,4.8000000000,4.8200000000,5.0000000000,360404402,1762491166.0000,-3.599997,43.005953,4.935155,9.439489,9.498633
22,2007-02-05,sh.601398,4.8000000000,4.8500000000,4.6800000000,4.6900000000,4.8200000000,240420240,1140243105.0000,-2.697098,41.846041,4.802049,9.184897,9.242446
23,2007-02-06,sh.601398,4.7100000000,4.9000000000,4.5600000000,4.8900000000,4.6900000000,493833988,2331107702.0000,4.264388,43.630521,5.006827,9.576577,9.636580
24,2007-02-07,sh.601398,4.9100000000,4.9600000000,4.8400000000,4.8900000000,4.8900000000,469095591,2298275594.0000,0.000000,43.630521,5.006827,9.576577,9.636580
25,2007-02-08,sh.601398,4.9000000000,4.9100000000,4.7900000000,4.8400000000,4.8900000000,231885906,1119563161.0000,-1.022489,43.184401,4.955633,9.478657,9.538047
26,2007-02-09,sh.601398,4.8300000000,4.8400000000,4.7400000000,4.7900000000,4.8400000000,192423912,919395223.0000,-1.033062,42.738281,4.904438,9.380737,9.439513
27,2007-02-12,sh.601398,4.7900000000,4.9300000000,4.7800000000,4.9300000000,4.7900000000,210599752,1026997621.0000,2.922753,43.987417,5.047783,9.654913,9.715407
28,2007-02-13,sh.601398,4.9400000000,4.9800000000,4.8800000000,4.9100000000,4.9300000000,239474109,1180270547.0000,-0.405679,43.808969,5.027305,9.615745,9.675994
29,2007-02-14,sh.601398,4.9000000000,5.0800000000,4.8600000000,5.0400000000,4.9100000000,299094780,1490040929.0000,2.647660,44.968880,5.160411,9.870337,9.932181
30,2007-02-15,sh.601398,5.0700000000,5.1900000000,5.0700000000,5.1700000000,5.0400000000,337329183,1730560271.0000,2.579367,46.128792,5.293517,10.124929,10.188368
31,2007-02-16,sh.601398,5.2100000000,5.2300000000,5.1100000000,5.1400000000,5.1700000000,285213515,1473264480.0000,-0.580275,45.861120,5.262800,10.066177,10.129248
32,2007-02-26,sh.601398,5.1000000000,5.1300000000,4.9900000000,5.1000000000,5.1400000000,372495517,1883782914.0000,-0.778209,45.504224,5.221844,9.987841,10.050421
33,2007-02-27,sh.601398,5.1000000000,5.1000000000,4.6400000000,4.6900000000,5.1000000000,424913647,2087123731.0000,-8.039213,41.846041,4.802049,9.184897,9.242446
34,2007-02-28,sh.601398,4.6900000000,4.9300000000,4.6600000000,4.9000000000,4.6900000000,295281167,1415592338.0000,4.477612,43.719745,5.017066,9.596161,9.656287
35,2007-03-01,sh.601398,4.8000000000,4.8600000000,4.7000000000,4.7500000000,4.9000000000,276189308,1314956363.0000,-3.061226,42.381385,4.863482,9.302401,9.360686
36,2007-03-02,sh.601398,4.7500000000,4.8400000000,4.7100000000,4.8000000000,4.7500000000,178987594,854683521.0000,1.052636,42.827505,4.914677,9.400321,9.459220
37,2007-03-05,sh.601398,4.7900000000,4.8300000000,4.6400000000,4.6900000000,4.8000000000,248823553,1174220766.0000,-2.291669,41.846041,4.802049,9.184897,9.242446
38,2007-03-06,sh.601398,4.6800000000,4.9600000000,4.6500000000,4.8800000000,4.6900000000,331717963,1604126145.0000,4.051174,43.541297,4.996588,9.556993,9.616874
39,2007-03-07,sh.601398,4.8900000000,4.9600000000,4.8800000000,4.9100000000,4.8800000000,265019310,1303665323.0000,0.614749,43.808969,5.027305,9.615745,9.675994
40,2007-03-08,sh.601398,4.9100000000,4.9400000000,4.8500000000,4.9200000000,4.9100000000,168915216,828417162.0000,0.203671,43.898193,5.037544,9.635329,9.695700
41,2007-03-09,sh.601398,4.9400000000,5.0900000000,4.9200000000,5.0500000000,4.9200000000,429776506,2154512419.0000,2.642279,45.058104,5.170650,9.889921,9.951888
42,2007-03-12,sh.601398,5.1000000000,5.1600000000,5.0600000000,5.1100000000,5.0500000000,323012294,1650213418.0000,1.188118,45.593448,5.232083,10.007425,10.070128
43,2007-03-13,sh.601398,5.1000000000,5.1100000000,4.9900000000,5.0400000000,5.1100000000,273393795,1373963434.0000,-1.369866,44.968880,5.160411,9.870337,9.932181
44,2007-03-14,sh.601398,4.9800000000,4.9800000000,4.9000000000,4.9200000000,5.0400000000,233738711,1151162094.0000,-2.380950,43.898193,5.037544,9.635329,9.695700
45,2007-03-15,sh.601398,4.9100000000,5.0200000000,4.9100000000,4.9500000000,4.9200000000,172562551,856079083.0000,0.609751,44.165865,5.068261,9.694081,9.754821
46,2007-03-16,sh.601398,4.9700000000,5.0700000000,4.9000000000,4.9500000000,4.9500000000,309942531,1544522348.0000,0.000000,44.165865,5.068261,9.694081,9.754821
47,2007-03-19,sh.601398,4.8800000000,5.2700000000,4.8500000000,5.1800000000,4.9500000000,603477485,3089249191.0000,4.646465,46.218016,5.303756,10.144513,10.208075
48,2007-03-20,sh.601398,5.1900000000,5.2200000000,5.1100000000,5.1600000000,5.1800000000,241745004,1247608656.0000,-0.386100,46.039568,5.283278,10.105345,10.168661
49,2007-03-21,sh.601398,5.1600000000,5.1600000000,5.1600000000,5.1600000000,5.1600000000,0,0.0000,0.000000,46.039568,5.283278,10.105345,10.168661
50,2007-03-22,sh.601398,5.2200000000,5.2500000000,5.1400000000,5.1900000000,5.1600000000,366076249,1895658061.0000,0.581399,46.307240,5.313994,10.164097,10.227782
51,2007-03-23,sh.601398,5.1900000000,5.1900000000,5.0400000000,5.1500000000,5.1900000000,253250014,1297432734.0000,-0.770712,45.950344,5.273039,10.085761,10.148955
52,2007-03-26,sh.601398,5.1400000000,5.2100000000,5.1000000000,5.1900000000,5.1500000000,281909566,1458037649.0000,0.776698,46.307240,5.313994,10.164097,10.227782
53,2007-03-27,sh.601398,5.1800000000,5.1900000000,5.1200000000,5.1600000000,5.1900000000,247263052,1273611583.0000,-0.578039,46.039568,5.283278,10.105345,10.168661
54,2007-03-28,sh.601398,5.1500000000,5.3200000000,5.1100000000,5.3000000000,5.1600000000,662173916,3474670923.0000,2.713185,47.288704,5.426622,10.379521,10.444555
55,2007-03-29,sh.601398,5.3200000000,5.8200000000,5.3000000000,5.5900000000,5.3000000000,1016163015,5661815199.0000,5.471697,49.876199,5.723551,10.947457,11.016050
56,2007-03-30,sh.601398,5.5400000000,5.6000000000,5.4500000000,5.4900000000,5.5900000000,380298863,2095766421.0000,-1.788916,48.983959,5.621162,10.751617,10.818983
57,2007-04-02,sh.601398,5.5100000000,5.6600000000,5.5100000000,5.5900000000,5.4900000000,322933572,1803909487.0000,1.821501,49.876199,5.723551,10.947457,11.016050
58,2007-04-03,sh.601398,5.6100000000,5.6300000000,5.5300000000,5.6200000000,5.5900000000,298932112,1668147403.0000,0.536668,50.143871,5.754268,11.006209,11.075170
59,2007-04-04,sh.601398,5.6300000000,5.6500000000,5.5000000000,5.5300000000,5.6200000000,316655771,1758955303.0000,-1.601418,37.913837,3.956179,10.325533,8.697670
60,2007-04-05,sh.601398,5.5000000000,5.5700000000,5.4000000000,5.5500000000,5.5300000000,427800224,2330204910.0000,0.361663,38.050958,3.970487,10.362877,8.729127
61,2007-04-06,sh.601398,5.4600000000,5.5200000000,5.4200000000,5.4500000000,5.5500000000,311855662,1702310104.0000,-1.801809,37.365355,3.898947,10.176158,8.571845
62,2007-04-09,sh.601398,5.4500000000,5.5200000000,5.3700000000,5.4800000000,5.4500000000,432905393,2358550469.0000,0.550463,37.571036,3.920409,10.232174,8.619030
63,2007-04-10,sh.601398,5.4800000000,5.5800000000,5.4200000000,5.5800000000,5.4800000000,573743562,3152522779.0000,1.824816,38.256639,3.991949,10.418892,8.776311
64,2007-04-11,sh.601398,5.5800000000,5.6400000000,5.5200000000,5.5900000000,5.5800000000,451336530,2516592242.0000,0.179216,38.325199,3.999103,10.437564,8.792039
65,2007-04-12,sh.601398,5.6000000000,5.6400000000,5.5400000000,5.5600000000,5.5900000000,390973486,2176121266.0000,-0.536676,38.119518,3.977641,10.381548,8.744855
66,2007-04-13,sh.601398,5.5700000000,5.5800000000,5.4500000000,5.4500000000,5.5600000000,398201568,2188009876.0000,-1.978420,37.365355,3.898947,10.176158,8.571845
67,2007-04-16,sh.601398,5.4400000000,5.5500000000,5.4000000000,5.5200000000,5.4500000000,406288037,2224255140.0000,1.284407,37.845277,3.949025,10.306861,8.681942
68,2007-04-17,sh.601398,5.5300000000,5.5800000000,5.3800000000,5.4800000000,5.5200000000,427240151,2340240185.0000,-0.724637,37.571036,3.920409,10.232174,8.619030
69,2007-04-18,sh.601398,5.4600000000,5.4600000000,5.3600000000,5.4300000000,5.4800000000,487436351,2633073433.0000,-0.912412,37.228234,3.884639,10.138814,8.540389
70,2007-04-19,sh.601398,5.4400000000,5.5100000000,5.1100000000,5.2200000000,5.4300000000,549341091,2948321531.0000,-3.867404,35.788469,3.734404,9.746705,8.210097
71,2007-04-20,sh.601398,5.2200000000,5.3500000000,5.2200000000,5.3200000000,5.2200000000,350662568,1854201632.0000,1.915716,36.474071,3.805945,9.933424,8.367379
72,2007-04-23,sh.601398,5.3200000000,5.4500000000,5.2600000000,5.4300000000,5.3200000000,559577137,3002621049.0000,2.067662,37.228234,3.884639,10.138814,8.540389
73,2007-04-24,sh.601398,5.4500000000,5.4800000000,5.3500000000,5.3900000000,5.4300000000,459986161,2478146027.0000,-0.736648,36.953993,3.856023,10.064127,8.477476
74,2007-04-25,sh.601398,5.3800000000,5.6100000000,5.3200000000,5.5300000000,5.3900000000,726100936,3992683234.0000,2.597409,37.913837,3.956179,10.325533,8.697670
75,2007-04-26,sh.601398,5.6200000000,5.6600000000,5.4800000000,5.5300000000,5.5300000000,515702519,2866865458.0000,0.000000,37.913837,3.805741,10.325533,8.697670
76,2007-04-27,sh.601398,5.5500000000,5.5700000000,5.4000000000,5.4100000000,5.5300000000,429371208,2345108596.0000,-2.169988,37.091114,3.723158,10.101471,8.508932
77,2007-04-30,sh.601398,5.3800000000,5.4900000000,5.3600000000,5.4200000000,5.4100000000,382064407,2068177400.0000,0.184847,37.159674,3.730040,10.120142,8.524661
78,2007-05-08,sh.601398,5.5200000000,5.5400000000,5.4300000000,5.4800000000,5.4200000000,484761643,2655550035.0000,1.107010,37.571036,3.771332,10.232174,8.619030
79,2007-05-09,sh.601398,5.5000000000,5.9400000000,5.4600000000,5.7800000000,5.4800000000,1213637382,6910161134.0000,5.474456,39.627844,3.977791,10.792329,9.090874
80,2007-05-10,sh.601398,5.8200000000,5.8700000000,5.7100000000,5.7700000000,5.7800000000,716819683,4146445548.0000,-0.173014,39.559284,3.970909,10.773657,9.075146
81,2007-05-11,sh.601398,5.7200000000,5.7400000000,5.6100000000,5.7100000000,5.7700000000,483402817,2746214635.0000,-1.039860,39.147922,3.929617,10.661626,8.980777
82,2007-05-14,sh.601398,5.6500000000,5.7900000000,5.6200000000,5.7500000000,5.7100000000,449555336,2579265253.0000,0.700525,39.422164,3.957145,10.736314,9.043690
83,2007-05-15,sh.601398,5.7600000000,5.7900000000,5.4900000000,5.5100000000,5.7500000000,522961779,2935441696.0000,-4.173909,37.776717,3.791978,10.288189,8.666214
84,2007-05-16,sh.601398,5.5100000000,5.5800000000,5.4400000000,5.5400000000,5.5100000000,329372236,1812933755.0000,0.544460,37.982398,3.812623,10.344205,8.713398
85,2007-05-17,sh.601398,5.5500000000,5.5900000000,5.5000000000,5.5600000000,5.5400000000,381648830,2117526012.0000,0.361011,38.119518,3.826387,10.381548,8.744855
86,2007-05-18,sh.601398,5.5500000000,5.5500000000,5.4600000000,5.4900000000,5.5600000000,338941081,1862680120.0000,-1.258996,37.639596,3.778214,10.250845,8.634758
87,2007-05-21,sh.601398,5.3200000000,5.4700000000,5.3100000000,5.4500000000,5.4900000000,388372162,2102312226.0000,-0.728597,37.365355,3.750686,10.176158,8.571845
88,2007-05-22,sh.601398,5.4500000000,5.5200000000,5.4100000000,5.4800000000,5.4500000000,402029718,2193073185.0000,0.550463,37.571036,3.771332,10.232174,8.619030
89,2007-05-23,sh.601398,5.5000000000,5.5300000000,5.4300000000,5.5200000000,5.4800000000,420857635,2310618812.0000,0.729926,37.845277,3.798859,10.306861,8.681942
90,2007-05-24,sh.601398,5.5400000000,5.6800000000,5.5000000000,5.5600000000,5.5200000000,575702112,3208312252.0000,0.724637,38.119518,3.826387,10.381548,8.744855
91,2007-05-25,sh.601398,5.5300000000,5.5500000000,5.4600000000,5.4900000000,5.5600000000,400441852,2202624239.0000,-1.258996,37.639596,3.778214,10.250845,8.634758
92,2007-05-28,sh.601398,5.5100000000,5.5800000000,5.4800000000,5.5300000000,5.4900000000,447428514,2471286892.0000,0.728605,37.913837,3.805741,10.325533,8.697670
93,2007-05-29,sh.601398,5.5500000000,5.6400000000,5.5100000000,5.5900000000,5.5300000000,515733510,2872024706.0000,1.084990,38.325199,3.847033,10.437564,8.792039
