,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-12-25,sh.601601,51.0000000000,51.9700000000,47.8800000000,48.1700000000,30.0000000000,340420711,16991184831.0000,60.566660,367.965278,14.668552,6.447676,144.886328
1,2007-12-26,sh.601601,48.5000000000,50.2300000000,48.0100000000,49.9300000000,48.1700000000,103253161,5066422230.0000,3.653731,381.409722,15.204501,6.683256,150.180078
2,2007-12-27,sh.601601,50.0000000000,51.3600000000,49.6500000000,50.3100000000,49.9300000000,78106937,3953647612.0000,0.761068,384.312500,15.320217,6.734120,151.323047
3,2007-12-28,sh.601601,50.2000000000,50.2900000000,49.0100000000,49.4500000000,50.3100000000,41988536,2081515841.0000,-1.709403,377.743056,15.058333,6.619007,148.736328
4,2008-01-02,sh.601601,49.0000000000,49.2500000000,48.0500000000,48.6100000000,49.4500000000,41546193,2010900703.0000,-1.698686,371.326389,14.802539,6.506571,146.209766
5,2008-01-03,sh.601601,48.6100000000,48.8700000000,47.1000000000,48.8100000000,48.6100000000,45495233,2171882841.0000,0.411440,372.854167,14.863442,6.533341,146.811328
6,2008-01-04,sh.601601,48.9100000000,49.3800000000,48.5500000000,48.9900000000,48.8100000000,29943094,1466377414.0000,0.368777,374.229167,14.918255,6.557435,147.352734
7,2008-01-07,sh.601601,48.6000000000,49.1800000000,48.0200000000,48.5400000000,48.9900000000,25454871,1234515118.0000,-0.918556,370.791667,14.781223,6.497201,145.999219
8,2008-01-08,sh.601601,48.6600000000,50.2800000000,48.6600000000,49.1900000000,48.5400000000,46358353,2296892036.0000,1.339097,375.756944,14.979158,6.584205,147.954297
9,2008-01-09,sh.601601,48.8000000000,49.4500000000,48.4500000000,49.1100000000,49.1900000000,23600284,1153652897.0000,-0.162631,375.145833,14.954797,6.573497,147.713672
10,2008-01-10,sh.601601,49.2300000000,49.5000000000,48.5800000000,49.1900000000,49.1100000000,25225159,1235337164.0000,0.162896,375.756944,14.979158,6.584205,147.954297
11,2008-01-11,sh.601601,49.3500000000,50.2500000000,48.8800000000,49.1500000000,49.1900000000,26850210,1330258496.0000,-0.081311,375.451389,14.966978,6.578851,147.833984
12,2008-01-14,sh.601601,49.1900000000,49.5800000000,48.5800000000,48.6100000000,49.1500000000,27007672,1318221038.0000,-1.098679,371.326389,14.802539,6.506571,146.209766
13,2008-01-15,sh.601601,48.5200000000,48.5400000000,47.6000000000,47.7500000000,48.6100000000,36838258,1765303682.0000,-1.769184,364.756944,14.540655,6.391458,143.623047
14,2008-01-16,sh.601601,47.2900000000,47.5000000000,46.2800000000,46.3300000000,47.7500000000,34423654,1614504423.0000,-2.973818,353.909722,14.108242,6.201387,139.351953
15,2008-01-17,sh.601601,45.9000000000,46.5800000000,44.2000000000,45.0400000000,46.3300000000,26040739,1181164861.0000,-2.784375,344.055556,13.715416,6.028717,135.471875
16,2008-01-18,sh.601601,45.0500000000,45.3500000000,44.3100000000,44.9200000000,45.0400000000,16013648,715342414.0000,-0.266436,343.138889,13.678874,6.012655,135.110938
17,2008-01-21,sh.601601,44.9200000000,44.9200000000,40.4300000000,40.9600000000,44.9200000000,36570943,1543335608.0000,-8.815671,312.888889,12.472989,5.482599,123.200000
18,2008-01-22,sh.601601,40.3500000000,40.3500000000,36.8600000000,36.8800000000,40.9600000000,41505784,1586811285.0000,-9.960933,281.722222,11.230562,4.936481,110.928125
19,2008-01-23,sh.601601,37.8000000000,40.0500000000,36.5600000000,39.1900000000,36.8800000000,35162924,1350526205.0000,6.263550,299.368056,11.933995,5.245680,117.876172
20,2008-01-24,sh.601601,39.9000000000,39.9000000000,38.0000000000,38.7600000000,39.1900000000,20861409,808218177.0000,-1.097220,296.083333,11.803053,5.188124,116.582813
21,2008-01-25,sh.601601,40.0000000000,41.0000000000,39.0900000000,39.8100000000,38.7600000000,42084290,1689696779.0000,2.708986,304.104167,12.122795,5.328669,119.741016
22,2008-01-28,sh.601601,39.0000000000,39.1500000000,35.8300000000,35.8300000000,39.8100000000,23937923,887547626.0000,-9.997486,273.701389,10.910820,4.795936,107.769922
23,2008-01-29,sh.601601,36.5800000000,37.6700000000,36.1100000000,37.0200000000,35.8300000000,14775667,544445883.0000,3.321235,282.791667,11.273195,4.955220,111.349219
24,2008-01-30,sh.601601,37.6500000000,37.9000000000,35.9000000000,36.8900000000,37.0200000000,16364618,605164721.0000,-0.351164,281.798611,11.233608,4.937819,110.958203
25,2008-01-31,sh.601601,37.0900000000,37.8000000000,36.5800000000,36.8900000000,36.8900000000,11960397,446752929.0000,0.000000,281.798611,11.233608,4.937819,110.958203
26,2008-02-01,sh.601601,37.1100000000,37.8700000000,35.8600000000,37.2700000000,36.8900000000,16150206,598975707.0000,1.030092,284.701389,11.349324,4.988683,112.101172
27,2008-02-04,sh.601601,38.0000000000,40.0500000000,37.6600000000,39.8200000000,37.2700000000,24688027,963757214.0000,6.841962,304.180556,12.125840,5.330007,119.771094
28,2008-02-05,sh.601601,39.2000000000,39.3900000000,38.2600000000,38.3900000000,39.8200000000,13225105,511845042.0000,-3.591161,293.256944,11.690382,5.138598,115.469922
29,2008-02-13,sh.601601,37.4500000000,37.4500000000,36.6800000000,36.8400000000,38.3900000000,9349737,346246979.0000,-4.037508,281.416667,11.218382,4.931127,110.807812
30,2008-02-14,sh.601601,37.0100000000,37.6200000000,36.9700000000,37.1800000000,36.8400000000,5631568,209636542.0000,0.922910,284.013889,11.321917,4.976637,111.830469
31,2008-02-15,sh.601601,36.7800000000,37.0400000000,36.3000000000,36.9300000000,37.1800000000,7411276,271437767.0000,-0.672404,282.104167,11.245788,4.943174,111.078516
32,2008-02-18,sh.601601,37.5100000000,37.8500000000,37.2400000000,37.3000000000,36.9300000000,8690673,325791126.0000,1.001893,284.930556,11.358459,4.992699,112.191406
33,2008-02-19,sh.601601,37.3000000000,37.8300000000,36.6800000000,37.7700000000,37.3000000000,11596346,430938305.0000,1.260057,288.520833,11.501582,5.055610,113.605078
34,2008-02-20,sh.601601,37.9300000000,37.9500000000,36.6800000000,36.7200000000,37.7700000000,13521781,502714193.0000,-2.779982,280.500000,11.181840,4.915064,110.446875
35,2008-02-21,sh.601601,36.7000000000,36.7000000000,36.0000000000,36.2000000000,36.7200000000,13282838,481573025.0000,-1.416123,276.527778,11.023491,4.845461,108.882812
36,2008-02-22,sh.601601,36.0000000000,36.0500000000,33.9900000000,34.2400000000,36.2000000000,23212722,807610291.0000,-5.414362,261.555556,10.426639,4.583110,102.987500
37,2008-02-25,sh.601601,34.3500000000,34.5000000000,32.8800000000,32.9300000000,34.2400000000,12773770,424319571.0000,-3.825938,251.548611,10.027723,4.407763,99.047266
