,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-07-06,sh.601608,4.6900000000,4.8900000000,4.6300000000,4.7900000000,4.6700000000,359463952,1708242955.0000,2.569591,16.054484,3.736013,1.863998,22.339539
1,2012-07-09,sh.601608,4.7800000000,4.8200000000,4.3200000000,4.4000000000,4.7900000000,187025000,852177807.0000,-8.142000,14.747334,3.431828,1.712232,20.520662
2,2012-07-10,sh.601608,4.2700000000,4.3300000000,4.1700000000,4.1900000000,4.4000000000,94666568,402104328.0000,-4.772700,14.043484,3.268036,1.630512,19.541267
3,2012-07-11,sh.601608,4.1700000000,4.6100000000,4.1500000000,4.4400000000,4.1900000000,165242883,739080044.0000,5.966600,14.881401,3.463027,1.727798,20.707213
4,2012-07-12,sh.601608,4.3700000000,4.5000000000,4.2900000000,4.4700000000,4.4400000000,97483216,427934399.0000,0.675700,14.981951,3.486425,1.739472,20.847127
5,2012-07-13,sh.601608,4.4300000000,4.4800000000,4.3500000000,4.3900000000,4.4700000000,63238305,278906398.0000,-1.789700,14.713817,3.424028,1.708341,20.474024
6,2012-07-16,sh.601608,4.4000000000,4.4100000000,4.1800000000,4.2000000000,4.3900000000,58150874,246768031.0000,-4.328000,14.077001,3.275836,1.634404,19.587905
7,2012-07-17,sh.601608,4.1800000000,4.3400000000,4.1500000000,4.2700000000,4.2000000000,52549666,224670520.0000,1.666700,14.311617,3.330433,1.661644,19.914370
8,2012-07-18,sh.601608,4.2200000000,4.5500000000,4.1700000000,4.4900000000,4.2700000000,83153054,360682865.0000,5.152200,15.048984,3.502025,1.747255,20.940403
9,2012-07-19,sh.601608,4.4200000000,4.5900000000,4.4100000000,4.4400000000,4.4900000000,85041782,383068900.0000,-1.113600,14.881401,3.463027,1.727798,20.707213
10,2012-07-20,sh.601608,4.4100000000,4.5200000000,4.3600000000,4.4400000000,4.4400000000,51215600,226952204.0000,0.000000,14.881401,3.463027,1.727798,20.707213
11,2012-07-23,sh.601608,4.4000000000,4.6500000000,4.3800000000,4.5400000000,4.4400000000,63731479,288844375.0000,2.252300,15.216567,3.541023,1.766712,21.173592
12,2012-07-24,sh.601608,4.4900000000,4.5700000000,4.4100000000,4.5600000000,4.5400000000,67465496,303582945.0000,0.440500,15.283601,3.556622,1.774495,21.266868
13,2012-07-25,sh.601608,4.5100000000,4.6500000000,4.4500000000,4.4800000000,4.5600000000,55601275,252612760.0000,-1.754400,15.015467,3.494225,1.743364,20.893765
14,2012-07-26,sh.601608,4.4500000000,4.8800000000,4.4300000000,4.6600000000,4.4800000000,154261697,726129817.0000,4.017900,15.618767,3.634618,1.813410,21.733246
15,2012-07-27,sh.601608,4.6400000000,4.7700000000,4.5700000000,4.6300000000,4.6600000000,85968467,400696306.0000,-0.643800,15.518217,3.611219,1.801735,21.593333
16,2012-07-30,sh.601608,4.6400000000,4.8400000000,4.5900000000,4.7300000000,4.6300000000,88511917,418752542.0000,2.159800,15.853384,3.689215,1.840650,22.059711
17,2012-07-31,sh.601608,4.7000000000,4.7100000000,4.2600000000,4.2600000000,4.7300000000,125863931,558856270.0000,-9.936600,14.278101,3.322634,1.657752,19.867732
18,2012-08-01,sh.601608,4.1900000000,4.3300000000,4.1200000000,4.2700000000,4.2600000000,70185186,298274372.0000,0.234700,14.311617,3.330433,1.661644,19.914370
19,2012-08-02,sh.601608,4.2200000000,4.3000000000,4.1600000000,4.2400000000,4.2700000000,43199554,182603194.0000,-0.702600,14.211067,3.307034,1.649969,19.774456
20,2012-08-03,sh.601608,4.2400000000,4.3300000000,4.2200000000,4.3100000000,4.2400000000,51362392,219884861.0000,1.650900,14.445684,3.361632,1.677209,20.100921
21,2012-08-06,sh.601608,4.2700000000,4.3500000000,4.2400000000,4.3300000000,4.3100000000,58663096,252236639.0000,0.464000,14.512717,3.377231,1.684992,20.194197
22,2012-08-07,sh.601608,4.3300000000,4.3700000000,4.3000000000,4.3300000000,4.3300000000,46170805,199913331.0000,0.000000,14.512717,3.377231,1.684992,20.194197
23,2012-08-08,sh.601608,4.3200000000,4.4600000000,4.2900000000,4.3800000000,4.3300000000,64807367,283809634.0000,1.154700,14.680301,3.416229,1.704449,20.427386
24,2012-08-09,sh.601608,4.3500000000,4.4500000000,4.3200000000,4.4300000000,4.3800000000,61071099,267867429.0000,1.141600,14.847884,3.455227,1.723907,20.660575
25,2012-08-10,sh.601608,4.4000000000,4.5500000000,4.4000000000,4.4200000000,4.4300000000,59267813,264316998.0000,-0.225700,14.814367,3.447427,1.720015,20.613938
26,2012-08-13,sh.601608,4.3900000000,4.4100000000,4.2200000000,4.2500000000,4.4200000000,45074717,194414616.0000,-3.846200,14.244584,3.314834,1.653861,19.821094
27,2012-08-14,sh.601608,4.2200000000,4.2700000000,4.1600000000,4.2600000000,4.2500000000,36390468,153433314.0000,0.235300,14.278101,3.322634,1.657752,19.867732
28,2012-08-15,sh.601608,4.2300000000,4.2600000000,4.1500000000,4.1500000000,4.2600000000,32833581,137802581.0000,-2.582200,13.909417,3.236838,1.614946,19.354715
29,2012-08-16,sh.601608,4.1700000000,4.1900000000,4.1500000000,4.1700000000,4.1500000000,17393111,72476164.0000,0.481900,13.976451,3.252437,1.622729,19.447991
30,2012-08-17,sh.601608,4.1700000000,4.1800000000,4.0900000000,4.1300000000,4.1700000000,28332129,116698542.0000,-0.959200,13.842384,3.221239,1.607163,19.261439
31,2012-08-20,sh.601608,4.1000000000,4.1200000000,4.0400000000,4.0900000000,4.1300000000,22184544,90306967.0000,-0.968500,13.708317,3.190040,1.591598,19.074888
32,2012-08-21,sh.601608,4.0700000000,4.1400000000,4.0600000000,4.1100000000,4.0900000000,26421540,108252923.0000,0.489000,13.775351,3.205639,1.599381,19.168164
