,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2021-06-18,sh.601665,6.4300000000,7.7200000000,6.4300000000,7.7200000000,5.3600000000,14063267,107798142.8900,44.029900,13.728524,1.546069,4.303933,10.529040
1,2021-06-21,sh.601665,8.4900000000,8.4900000000,8.3600000000,8.4900000000,7.7200000000,56620325,480637304.6900,9.974100,15.097820,1.700276,4.733211,11.579216
2,2021-06-22,sh.601665,9.3400000000,9.3400000000,8.5800000000,9.3400000000,8.4900000000,125117706,1155633899.7800,10.011800,16.609380,1.870504,5.207090,12.738501
3,2021-06-23,sh.601665,10.2700000000,10.2700000000,9.9000000000,10.2700000000,9.3400000000,60056074,614631737.3800,9.957200,18.263205,2.056753,5.725568,14.006896
4,2021-06-24,sh.601665,11.3000000000,11.3000000000,9.5200000000,11.3000000000,10.2700000000,301878048,3221964451.5700,10.029200,20.094861,2.263029,6.299798,15.411677
5,2021-06-25,sh.601665,11.7600000000,12.4300000000,11.7500000000,12.4300000000,11.3000000000,165857961,2025502527.8400,10.000000,22.104347,2.489332,6.929778,16.952845
6,2021-06-28,sh.601665,12.4300000000,12.4300000000,11.1900000000,11.1900000000,12.4300000000,65419211,755635024.5700,-9.975900,19.899247,2.241000,6.238472,15.261652
7,2021-06-29,sh.601665,10.0700000000,10.5600000000,10.0700000000,10.0700000000,11.1900000000,268554304,2729453055.1400,-10.008900,17.907544,2.016699,5.614068,13.734123
8,2021-06-30,sh.601665,9.7500000000,9.7500000000,9.1900000000,9.3000000000,10.0700000000,202150796,1906737391.1900,-7.646500,16.538248,1.862493,5.184789,12.683947
9,2021-07-01,sh.601665,9.3200000000,9.5600000000,8.9400000000,9.0600000000,9.3000000000,178250181,1639447811.5800,-2.580600,16.111455,1.814429,5.050988,12.356619
10,2021-07-02,sh.601665,8.8900000000,8.8900000000,8.4800000000,8.6500000000,9.0600000000,129263630,1120499863.6000,-4.525400,15.382349,1.732319,4.822412,11.797434
11,2021-07-05,sh.601665,8.5700000000,8.6300000000,8.3400000000,8.3900000000,8.6500000000,87819423,743619563.6400,-3.005800,14.919989,1.680249,4.677461,11.442830
12,2021-07-06,sh.601665,8.3500000000,8.6500000000,8.2900000000,8.5800000000,8.3900000000,120260478,1018862419.4900,2.264600,15.257868,1.718300,4.783386,11.701964
13,2021-07-07,sh.601665,8.4300000000,8.4400000000,8.1900000000,8.2300000000,8.5800000000,98434389,813931063.3800,-4.079300,14.635460,1.648206,4.588260,11.224611
14,2021-07-08,sh.601665,8.3200000000,8.3900000000,8.0500000000,8.1100000000,8.2300000000,102708747,841715569.4600,-1.458100,14.422064,1.624174,4.521359,11.060947
15,2021-07-09,sh.601665,8.0400000000,8.1600000000,7.9100000000,8.1400000000,8.1100000000,78828316,634848362.3100,0.369900,14.475413,1.630182,4.538084,11.101863
16,2021-07-12,sh.601665,8.3500000000,8.3500000000,8.0700000000,8.1000000000,8.1400000000,79594834,651321292.2700,-0.491400,14.404281,1.622171,4.515784,11.047309
17,2021-07-13,sh.601665,8.0200000000,8.2200000000,7.9200000000,8.1400000000,8.1000000000,72140839,583043346.8000,0.493800,14.475413,1.630182,4.538084,11.101863
18,2021-07-14,sh.601665,8.0600000000,8.0800000000,7.8900000000,7.9000000000,8.1400000000,61827955,492985553.1200,-2.948400,14.048619,1.582118,4.404283,10.774536
19,2021-07-15,sh.601665,7.8500000000,8.5400000000,7.8500000000,8.1900000000,7.9000000000,138538303,1141175766.3000,3.670900,14.564328,1.640195,4.565960,11.170056
20,2021-07-16,sh.601665,7.9900000000,7.9900000000,7.8100000000,7.8500000000,8.1900000000,90531661,713182185.4600,-4.151400,13.959704,1.572104,4.376408,10.706342
21,2021-07-19,sh.601665,7.8100000000,7.8200000000,7.5000000000,7.5100000000,7.8500000000,66589668,506361362.3700,-4.331200,13.355080,1.504013,4.186857,10.242628
22,2021-07-20,sh.601665,7.4200000000,7.5400000000,7.3200000000,7.4400000000,7.5100000000,44300471,327734906.7200,-0.932100,13.230599,1.489994,4.147831,10.147158
23,2021-07-21,sh.601665,7.4400000000,7.5300000000,7.3900000000,7.4400000000,7.4400000000,39062381,290913907.5100,0.000000,13.230599,1.489994,4.147831,10.147158
24,2021-07-22,sh.601665,7.4600000000,7.5200000000,7.4100000000,7.4200000000,7.4400000000,36978880,275741428.3700,-0.268800,13.195032,1.485989,4.136681,10.119880
25,2021-07-23,sh.601665,7.3800000000,7.4600000000,7.1100000000,7.2000000000,7.4200000000,65168222,472970106.5500,-2.965000,12.803805,1.441930,4.014030,9.819830
26,2021-07-26,sh.601665,7.1400000000,7.1400000000,6.8600000000,6.8700000000,7.2000000000,54411261,380070084.4800,-4.583300,12.216964,1.375842,3.830054,9.369754
27,2021-07-27,sh.601665,6.9000000000,6.9900000000,6.7400000000,6.7600000000,6.8700000000,42813753,294007338.9000,-1.601200,12.021350,1.353812,3.768729,9.219729
28,2021-07-28,sh.601665,6.7500000000,6.9700000000,6.7100000000,6.7300000000,6.7600000000,49379517,336955274.7800,-0.443800,11.968001,1.347804,3.752003,9.178813
29,2021-07-29,sh.601665,6.6600000000,6.8000000000,6.5700000000,6.7900000000,6.7300000000,49656477,332143920.3700,0.891500,12.074699,1.359820,3.785454,9.260645
30,2021-07-30,sh.601665,6.7100000000,6.7200000000,6.5500000000,6.5700000000,6.7900000000,40098096,265121815.9900,-3.240100,11.683472,1.315761,3.662803,8.960595
31,2021-08-02,sh.601665,6.5100000000,6.7800000000,6.4600000000,6.6600000000,6.5700000000,46743128,309346703.5700,1.369900,11.843520,1.333785,3.712978,9.083343
32,2021-08-03,sh.601665,6.6000000000,6.7000000000,6.5700000000,6.6000000000,6.6600000000,33813037,223756768.4900,-0.900900,11.736821,1.321769,3.679528,9.001511
33,2021-08-04,sh.601665,6.6100000000,6.6600000000,6.5600000000,6.5900000000,6.6000000000,25845302,170365819.4800,-0.151500,11.719038,1.319767,3.673953,8.987872
34,2021-08-05,sh.601665,6.5700000000,6.6600000000,6.5000000000,6.5100000000,6.5900000000,34455594,226274765.3500,-1.214000,11.576774,1.303745,3.629353,8.878763
35,2021-08-06,sh.601665,6.5000000000,6.5800000000,6.4300000000,6.5200000000,6.5100000000,29229045,190107162.9700,0.153600,11.594557,1.305748,3.634928,8.892401
36,2021-08-09,sh.601665,6.5500000000,6.7300000000,6.5200000000,6.6600000000,6.5200000000,51071300,340054913.8100,2.147200,11.843520,1.333785,3.712978,9.083343
37,2021-08-10,sh.601665,6.6300000000,6.7700000000,6.5700000000,6.7700000000,6.6600000000,51571046,343477614.9800,1.651700,12.039133,1.355815,3.774304,9.233368
38,2021-08-11,sh.601665,6.8100000000,7.3500000000,6.8100000000,6.9200000000,6.7700000000,99797200,700573289.2500,2.215700,12.305879,1.385855,3.857929,9.437948
39,2021-08-12,sh.601665,6.8400000000,6.9200000000,6.7100000000,6.7100000000,6.9200000000,61609757,418459901.4200,-3.034700,11.932435,1.343799,3.740853,9.151536
40,2021-08-13,sh.601665,6.7200000000,6.7300000000,6.5900000000,6.6500000000,6.7100000000,36728230,243738360.7800,-0.894200,11.825737,1.331783,3.707403,9.069704
41,2021-08-16,sh.601665,6.7000000000,7.1500000000,6.6400000000,6.9600000000,6.6500000000,82714302,570264235.0500,4.661700,12.377012,1.393866,3.880229,9.492502
42,2021-08-17,sh.601665,6.9100000000,7.1100000000,6.8300000000,6.8700000000,6.9600000000,64176298,445557761.8000,-1.293100,12.216964,1.375842,3.830054,9.369754
43,2021-08-18,sh.601665,6.8000000000,7.2700000000,6.8000000000,7.1800000000,6.8700000000,102047730,723058142.6000,4.512400,12.768239,1.437925,4.002880,9.792553
44,2021-08-19,sh.601665,7.1000000000,7.1400000000,6.9000000000,6.9700000000,7.1800000000,61888098,432538804.1700,-2.924800,12.394795,1.395868,3.885805,9.506141
45,2021-08-20,sh.601665,6.9186774000,6.9186774000,6.4772781000,6.5491338000,6.9700029000,62173597,402406161.3600,-6.038300,11.345594,1.277710,3.556877,8.701460
46,2021-08-23,sh.601665,6.4772781000,6.5799291000,6.4670130000,6.5388687000,6.5491338000,29300223,186102169.7900,-0.156700,11.327811,1.275708,3.551302,8.687822
47,2021-08-24,sh.601665,6.5183385000,6.5799291000,6.4670130000,6.4875432000,6.5388687000,29750018,188469713.2200,-0.784900,11.238896,1.265694,3.523427,8.619628
48,2021-08-25,sh.601665,6.4670130000,6.4772781000,6.3438318000,6.3540969000,6.4875432000,37593069,234611201.0300,-2.057000,11.007716,1.239659,3.450951,8.442326
49,2021-08-26,sh.601665,6.3438318000,6.4054224000,6.3130365000,6.3643620000,6.3540969000,26224405,162252687.6200,0.161600,11.025499,1.241662,3.456526,8.455965
50,2021-08-27,sh.601665,6.3438318000,6.3746271000,6.2309157000,6.2514459000,6.3643620000,28853096,176967395.5500,-1.774200,10.829885,1.219632,3.395201,8.305939
51,2021-08-30,sh.601665,6.2617110000,6.2822412000,6.0461439000,6.0564090000,6.2514459000,32637224,194471877.4900,-3.119900,10.100862,1.034262,3.140830,9.958836
52,2021-08-31,sh.601665,6.0461439000,6.0974694000,5.9640231000,6.0666741000,6.0564090000,24300415,143094561.8600,0.169500,10.117982,1.036015,3.146153,9.975715
53,2021-09-01,sh.601665,6.0564090000,6.2617110000,6.0050835000,6.2206506000,6.0666741000,38509565,230646602.1100,2.538100,10.374784,1.062310,3.226005,10.228906
54,2021-09-02,sh.601665,6.2309157000,6.2309157000,6.1282647000,6.1898553000,6.2206506000,24930876,149941965.0700,-0.495000,10.323423,1.057051,3.210035,10.178268
55,2021-09-03,sh.601665,6.2001204000,6.3540969000,6.1590600000,6.2309157000,6.1898553000,35361150,215683241.6800,0.663300,10.391904,1.064063,3.231328,10.245786
56,2021-09-06,sh.601665,6.1898553000,6.2514459000,6.1693251000,6.2411808000,6.2309157000,22212009,134609765.0900,0.164700,10.409024,1.065816,3.236652,10.262665
57,2021-09-07,sh.601665,6.2514459000,6.3130365000,6.1898553000,6.2822412000,6.2411808000,30562980,186203411.1400,0.657900,10.477504,1.072828,3.257946,10.330182
58,2021-09-08,sh.601665,6.2617110000,6.3540969000,6.2514459000,6.3130365000,6.2822412000,30433107,186828818.8600,0.490200,10.528865,1.078087,3.273916,10.380821
59,2021-09-09,sh.601665,6.2925063000,6.4567479000,6.2617110000,6.3848922000,6.3130365000,36074311,223108676.1400,1.138200,10.648705,1.090358,3.311180,10.498976
60,2021-09-10,sh.601665,6.3643620000,6.7133754000,6.3233016000,6.4567479000,6.3848922000,75411992,479730949.2600,1.125400,10.768546,1.102628,3.348444,10.617132
61,2021-09-13,sh.601665,6.3643620000,6.3746271000,6.2822412000,6.3130365000,6.4567479000,37191308,228743697.5700,-2.225800,10.528865,1.078087,3.273916,10.380821
62,2021-09-14,sh.601665,6.3130365000,6.3335667000,6.1179996000,6.1282647000,6.3130365000,34269162,207493931.6800,-2.926800,10.220703,1.046533,3.178094,10.076992
63,2021-09-15,sh.601665,6.1282647000,6.2001204000,6.0974694000,6.1282647000,6.1282647000,16139365,96414678.6600,0.000000,10.220703,1.046533,3.178094,10.076992
64,2021-09-16,sh.601665,6.1282647000,6.1795902000,6.0564090000,6.0564090000,6.1282647000,18047787,107555116.7300,-1.172500,10.100862,1.034262,3.140830,9.958836
65,2021-09-17,sh.601665,6.0564090000,6.0666741000,6.0050835000,6.0153486000,6.0564090000,16733189,98192654.5500,-0.678000,10.032382,1.027250,3.119536,9.891319
66,2021-09-22,sh.601665,5.9126976000,5.9332278000,5.8511070000,5.9024325000,6.0153486000,18509831,106185081.1900,-1.877100,9.844060,1.007967,3.060978,9.705645
67,2021-09-23,sh.601665,5.9024325000,5.9948184000,5.9024325000,5.9332278000,5.9024325000,12519444,72503045.8800,0.521700,9.895421,1.013226,3.076949,9.756283
68,2021-09-24,sh.601665,5.9332278000,5.9537580000,5.8613721000,5.8716372000,5.9332278000,12740287,73031956.8000,-1.038100,9.792700,1.002708,3.045008,9.655007
69,2021-09-27,sh.601665,5.8716372000,5.8921674000,5.7484560000,5.7792513000,5.8716372000,17234493,97292898.8700,-1.573400,9.638619,0.986931,2.997097,9.503093
70,2021-09-28,sh.601665,5.7587211000,5.8921674000,5.7587211000,5.8305768000,5.7792513000,14395085,81830864.2300,0.888100,9.724220,0.995696,3.023714,9.587490
71,2021-09-29,sh.601665,5.7895164000,6.1077345000,5.7484560000,5.9332278000,5.8305768000,27274751,157179304.9000,1.760600,9.895421,1.013226,3.076949,9.756283
72,2021-09-30,sh.601665,5.9024325000,5.9024325000,5.8100466000,5.8716372000,5.9332278000,16724476,95449647.1000,-1.038100,9.792700,1.002708,3.045008,9.655007
73,2021-10-08,sh.601665,5.8921674000,5.9640231000,5.8613721000,5.9332278000,5.8716372000,14252166,82168184.5800,1.049000,9.895421,1.013226,3.076949,9.756283
74,2021-10-11,sh.601665,5.9229627000,6.1898553000,5.9024325000,6.0050835000,5.9332278000,26140853,154059566.2900,1.211100,10.015261,1.025497,3.114213,9.874439
75,2021-10-12,sh.601665,5.9332278000,5.9640231000,5.8716372000,5.8921674000,6.0050835000,16999048,97768890.3300,-1.880300,9.826940,1.006214,3.055655,9.688766
76,2021-10-13,sh.601665,5.8511070000,6.2309157000,5.8100466000,6.1385298000,5.8921674000,49703864,293911797.4500,4.181200,10.237823,1.048286,3.183417,10.093871
77,2021-10-14,sh.601665,6.0256137000,6.0974694000,6.0050835000,6.0358788000,6.1385298000,25467083,149730585.4400,-1.672200,10.066622,1.030756,3.130183,9.925077
78,2021-10-15,sh.601665,6.0153486000,6.0974694000,5.9229627000,5.9434929000,6.0358788000,22406944,130981615.4500,-1.530600,9.912541,1.014979,3.082272,9.773163
79,2021-10-18,sh.601665,5.8716372000,5.9537580000,5.8613721000,5.9229627000,5.9434929000,14030144,80683455.1000,-0.345400,9.878301,1.011473,3.071625,9.739404
80,2021-10-19,sh.601665,5.9126976000,5.9845533000,5.8819023000,5.9434929000,5.9229627000,13238370,76594887.0200,0.346600,9.912541,1.014979,3.082272,9.773163
81,2021-10-20,sh.601665,5.9742882000,5.9742882000,5.8819023000,5.8921674000,5.9434929000,11094600,63845074.0000,-0.863600,9.826940,1.006214,3.055655,9.688766
82,2021-10-21,sh.601665,5.9024325000,6.0769392000,5.9024325000,5.9948184000,5.8921674000,28562113,166923410.0900,1.742200,9.998141,1.023744,3.108889,9.857560
83,2021-10-22,sh.601665,5.9948184000,6.0872043000,5.9640231000,6.0050835000,5.9948184000,22203038,130111561.1600,0.171200,10.015261,1.025497,3.114213,9.874439
84,2021-10-25,sh.601665,5.9640231000,5.9742882000,5.8716372000,5.9332278000,6.0050835000,15026609,86453987.2100,-1.196600,9.895421,1.013226,3.076949,9.756283
85,2021-10-26,sh.601665,5.8921674000,5.9640231000,5.8921674000,5.9126976000,5.9332278000,12185284,70358968.0500,-0.346000,9.861180,1.009720,3.066302,9.722525
86,2021-10-27,sh.601665,5.8921674000,5.9024325000,5.7792513000,5.7792513000,5.9126976000,16200121,91739666.0500,-2.256900,9.638619,0.986931,2.997097,9.503093
87,2021-10-28,sh.601665,5.7792513000,5.7997815000,5.6047446000,5.6047446000,5.7792513000,16592872,91563693.0000,-3.019500,9.347577,0.957131,2.906599,9.216143
88,2021-10-29,sh.601665,5.6047446000,5.6560701000,5.5636842000,5.6150097000,5.6047446000,10414931,56891075.2600,0.183200,9.364697,0.958884,2.911922,9.233023
89,2021-11-01,sh.601665,5.6150097000,5.7073956000,5.5944795000,5.6663352000,5.6150097000,9881519,54530731.8800,0.914100,9.103608,0.979424,2.732734,-37.831392
90,2021-11-02,sh.601665,5.6560701000,5.6663352000,5.5123587000,5.5226238000,5.6663352000,15843444,86095984.3300,-2.536200,8.872719,0.954584,2.663426,-36.871901
91,2021-11-03,sh.601665,5.4815634000,5.5636842000,5.4815634000,5.5328889000,5.5226238000,7593500,40897722.0000,0.185900,8.889212,0.956358,2.668376,-36.940436
92,2021-11-04,sh.601665,5.5226238000,5.5534191000,5.5020936000,5.5431540000,5.5328889000,7634834,41086654.1700,0.185500,8.905704,0.958132,2.673327,-37.008971
93,2021-11-05,sh.601665,5.5431540000,5.5636842000,5.5020936000,5.5123587000,5.5431540000,8076856,43505158.4000,-0.555600,8.856227,0.952809,2.658475,-36.803365
94,2021-11-08,sh.601665,5.5123587000,5.5739493000,5.4815634000,5.5636842000,5.5123587000,8917456,48069011.4500,0.931100,8.938688,0.961681,2.683228,-37.146041
95,2021-11-09,sh.601665,5.5534191000,5.5739493000,5.5328889000,5.5739493000,5.5636842000,7282204,39401338.3700,0.184500,8.955180,0.963455,2.688179,-37.214576
96,2021-11-10,sh.601665,5.5636842000,5.6663352000,5.5226238000,5.6047446000,5.5739493000,11533342,62773679.8100,0.552500,9.004656,0.968778,2.703031,-37.420182
97,2021-11-11,sh.601665,5.5739493000,5.6766003000,5.5636842000,5.6458050000,5.6047446000,13685654,75245915.1400,0.732600,9.070624,0.975876,2.722833,-37.694322
98,2021-11-12,sh.601665,5.6355399000,5.6458050000,5.5739493000,5.6150097000,5.6458050000,9502023,51903777.1200,-0.545500,9.021148,0.970553,2.707981,-37.488717
99,2021-11-15,sh.601665,5.6150097000,5.6355399000,5.5739493000,5.6252748000,5.6150097000,9396072,51409725.5300,0.182800,9.037640,0.972327,2.712932,-37.557252
100,2021-11-16,sh.601665,5.6252748000,5.6458050000,5.5636842000,5.5636842000,5.6252748000,8273900,45157820.0000,-1.094900,8.938688,0.961681,2.683228,-37.146041
101,2021-11-17,sh.601665,5.5534191000,5.5842144000,5.5328889000,5.5534191000,5.5636842000,7373497,39877224.5600,-0.184500,8.922196,0.959907,2.678278,-37.077506
102,2021-11-18,sh.601665,5.5431540000,5.5636842000,5.5328889000,5.5328889000,5.5534191000,7763257,41924789.8000,-0.369700,8.889212,0.956358,2.668376,-36.940436
103,2021-11-19,sh.601665,5.5328889000,5.6150097000,5.5226238000,5.6047446000,5.5328889000,11897795,64600054.0800,1.298700,9.004656,0.968778,2.703031,-37.420182
104,2021-11-22,sh.601665,5.5842144000,5.6047446000,5.5534191000,5.5739493000,5.6047446000,9206500,50024751.0000,-0.549500,8.955180,0.963455,2.688179,-37.214576
105,2021-11-23,sh.601665,5.5636842000,5.6355399000,5.5636842000,5.6355399000,5.5739493000,12528231,68592138.2600,1.105000,9.054132,0.974101,2.717882,-37.625787
106,2021-11-24,sh.601665,5.6355399000,5.8203117000,5.6047446000,5.7176607000,5.6355399000,22626695,125544712.9600,1.457200,9.186068,0.988296,2.757487,-38.174068
107,2021-11-25,sh.601665,5.6971305000,5.7176607000,5.6560701000,5.6766003000,5.7176607000,12255247,67873722.1000,-0.718100,9.120100,0.981198,2.737685,-37.899927
108,2021-11-26,sh.601665,5.6868654000,5.7073956000,5.6355399000,5.6560701000,5.6766003000,9721134,53640322.1200,-0.361700,9.087116,0.977650,2.727784,-37.762857
109,2021-11-29,sh.601665,5.5842144000,5.6766003000,5.5842144000,5.6047446000,5.6560701000,11497177,63111819.3100,-0.907400,9.004656,0.968778,2.703031,-37.420182
110,2021-11-30,sh.601665,5.6355399000,5.6560701000,5.5944795000,5.6355399000,5.6047446000,7928174,43459028.7800,0.549500,9.054132,0.974101,2.717882,-37.625787
111,2021-12-01,sh.601665,5.6150097000,5.7073956000,5.5944795000,5.7073956000,5.6355399000,13939100,77101365.6000,1.275000,9.169576,0.986521,2.752537,-38.105533
112,2021-12-02,sh.601665,5.7279258000,5.7587211000,5.6766003000,5.7176607000,5.7073956000,13347100,74281021.4400,0.179900,9.186068,0.988296,2.757487,-38.174068
113,2021-12-03,sh.601665,5.7279258000,5.7484560000,5.6560701000,5.7279258000,5.7176607000,12908119,71736744.0400,0.179500,9.202560,0.990070,2.762438,-38.242603
114,2021-12-06,sh.601665,5.7997815000,6.0050835000,5.7381909000,5.8100466000,5.7279258000,48401392,277113370.7800,1.433700,9.334497,1.004265,2.802043,-38.790884
115,2021-12-07,sh.601665,5.8613721000,5.9024325000,5.7176607000,5.7689862000,5.8100466000,29279062,165537656.2500,-0.706700,9.268529,0.997167,2.782240,-38.516744
116,2021-12-08,sh.601665,5.7689862000,5.7895164000,5.7176607000,5.7895164000,5.7689862000,17086531,95588117.6700,0.355900,9.301513,1.000716,2.792141,-38.653814
117,2021-12-09,sh.601665,5.7689862000,6.0564090000,5.7484560000,5.9537580000,5.7895164000,57597428,333295270.2800,2.836900,9.565385,1.029105,2.871351,-39.750376
118,2021-12-10,sh.601665,5.8613721000,5.9332278000,5.8305768000,5.8511070000,5.9537580000,37910807,217075837.1900,-1.724100,9.400465,1.011362,2.821845,-39.065025
119,2021-12-13,sh.601665,5.8511070000,5.9434929000,5.7997815000,5.8305768000,5.8511070000,23798470,135797204.2500,-0.350900,9.367481,1.007813,2.811944,-38.927954
120,2021-12-14,sh.601665,5.7997815000,5.8203117000,5.7484560000,5.7587211000,5.8305768000,17410539,97865491.5500,-1.232400,9.252036,0.995393,2.777290,-38.448209
