,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2009-07-29,sh.601668,6.7000000000,7.9600000000,6.2100000000,6.5300000000,4.1800000000,4173160876,29167687993.0000,56.220110,71.353643,12.734188,0.969337,23.447259
1,2009-07-30,sh.601668,6.8000000000,7.0000000000,6.6200000000,6.9400000000,6.5300000000,1648009626,11237231712.0000,6.278700,75.833734,13.533731,1.030199,24.919446
2,2009-07-31,sh.601668,6.8000000000,6.9200000000,6.6800000000,6.8500000000,6.9400000000,1053505797,7145232383.0000,-1.296800,74.850299,13.358222,1.016839,24.596283
3,2009-08-03,sh.601668,6.7900000000,6.8200000000,6.5600000000,6.6700000000,6.8500000000,837175450,5577208545.0000,-2.627700,72.883430,13.007203,0.990120,23.949957
4,2009-08-04,sh.601668,6.6300000000,6.6300000000,6.3800000000,6.4700000000,6.6700000000,742853795,4820713471.0000,-2.998500,70.698020,12.617182,0.960431,23.231818
5,2009-08-05,sh.601668,6.4700000000,6.6100000000,6.4200000000,6.5700000000,6.4700000000,508919902,3316283201.0000,1.545600,71.790725,12.812192,0.975275,23.590887
6,2009-08-06,sh.601668,6.4900000000,6.5500000000,6.3000000000,6.4400000000,6.5700000000,476334765,3059723388.0000,-1.978700,70.370208,12.558679,0.955978,23.124097
7,2009-08-07,sh.601668,6.4500000000,6.5000000000,6.3400000000,6.3700000000,6.4400000000,435538709,2791217927.0000,-1.087000,69.605315,12.422171,0.945586,22.872748
8,2009-08-10,sh.601668,6.4000000000,6.4700000000,6.3300000000,6.4000000000,6.3700000000,318814039,2038182096.0000,0.471000,69.933126,12.480674,0.950040,22.980469
9,2009-08-11,sh.601668,6.4200000000,6.6500000000,6.3500000000,6.5900000000,6.4000000000,613056392,4006083002.0000,2.968800,72.009266,12.851194,0.978244,23.662701
10,2009-08-12,sh.601668,6.5000000000,6.5500000000,6.1300000000,6.2000000000,6.5900000000,540682259,3431300644.0000,-5.918100,67.747716,12.090653,0.920351,22.262329
11,2009-08-13,sh.601668,6.2300000000,6.2400000000,6.0600000000,6.1200000000,6.2000000000,334374318,2046442065.0000,-1.290300,66.873552,11.934645,0.908476,21.975073
12,2009-08-14,sh.601668,6.1300000000,6.1600000000,5.7700000000,5.7800000000,6.1200000000,437289765,2594801716.0000,-5.555600,63.158355,11.271609,0.858005,20.754236
13,2009-08-17,sh.601668,5.6600000000,5.8400000000,5.6100000000,5.6600000000,5.7800000000,397298059,2278675243.0000,-2.076100,61.847109,11.037596,0.840191,20.323352
14,2009-08-18,sh.601668,5.6800000000,5.7500000000,5.5500000000,5.7100000000,5.6600000000,278523734,1576150771.0000,0.883400,62.393461,11.135102,0.847614,20.502887
15,2009-08-19,sh.601668,5.6800000000,5.7000000000,5.2600000000,5.2900000000,5.7100000000,335996555,1829153246.0000,-7.355500,57.804100,10.316057,0.785267,18.994794
16,2009-08-20,sh.601668,5.2800000000,5.5000000000,5.2500000000,5.4500000000,5.2900000000,313995652,1694339225.0000,3.024600,59.552428,10.628074,0.809018,19.569305
17,2009-08-21,sh.601668,5.3600000000,5.4600000000,5.3100000000,5.4000000000,5.4500000000,289163224,1556772647.0000,-0.917400,59.006075,10.530569,0.801596,19.389770
18,2009-08-24,sh.601668,5.4000000000,5.4200000000,5.2700000000,5.3100000000,5.4000000000,264949985,1411411086.0000,-1.666700,58.022641,10.355060,0.788236,19.066608
19,2009-08-25,sh.601668,5.3100000000,5.3200000000,4.9700000000,5.0900000000,5.3100000000,428567619,2175074144.0000,-4.143100,55.618690,9.926036,0.755579,18.276654
20,2009-08-26,sh.601668,5.0900000000,5.3400000000,5.0100000000,5.2200000000,5.0900000000,324064821,1690289810.0000,2.554000,48.874147,10.179550,0.717763,18.743445
21,2009-08-27,sh.601668,5.1600000000,5.2400000000,5.1000000000,5.1800000000,5.2200000000,213538968,1102612590.0000,-0.766300,48.499632,10.101546,0.712263,18.599817
22,2009-08-28,sh.601668,5.1500000000,5.1800000000,5.0300000000,5.0600000000,5.1800000000,169045640,859749350.0000,-2.316600,47.376089,9.867533,0.695763,18.168933
23,2009-08-31,sh.601668,5.0000000000,5.1400000000,4.9600000000,5.0000000000,5.0600000000,288625952,1454839690.0000,-1.185800,46.812768,8.600437,0.687511,8.639687
24,2009-09-01,sh.601668,5.0300000000,5.2200000000,5.0000000000,5.1400000000,5.0000000000,297407133,1529558112.0000,2.800000,48.123526,8.841249,0.706761,8.881598
