,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-02-26,sh.601688,21.0100000000,21.9400000000,21.0000000000,21.0600000000,20.0000000000,310913636,6631744709.0000,5.299997,31.074293,8.471614,12.332249,2.861366
1,2010-03-01,sh.601688,20.6000000000,21.3600000000,20.5300000000,21.1500000000,21.0600000000,95596204,2010405352.0000,0.427400,31.207089,8.507817,12.384951,2.873594
2,2010-03-02,sh.601688,21.2100000000,21.2700000000,20.7300000000,20.8000000000,21.1500000000,59522582,1246284940.0000,-1.654800,30.690660,8.367026,12.179999,2.826040
3,2010-03-03,sh.601688,20.7400000000,21.6700000000,20.6200000000,21.4300000000,20.8000000000,83469099,1766018238.0000,3.028800,31.620233,8.620450,12.548912,2.911636
4,2010-03-04,sh.601688,21.2900000000,21.4300000000,20.7200000000,20.8200000000,21.4300000000,51391060,1081647435.0000,-2.846500,30.720170,8.375071,12.191710,2.828757
5,2010-03-05,sh.601688,20.9900000000,22.9000000000,20.9100000000,22.2500000000,20.8200000000,173176766,3835305285.0000,6.868400,32.830153,8.950304,13.029085,3.023048
6,2010-03-08,sh.601688,22.3200000000,22.5300000000,22.0300000000,22.4300000000,22.2500000000,63005545,1405661120.0000,0.809000,33.095745,9.022711,13.134489,3.047504
7,2010-03-09,sh.601688,22.3000000000,22.7900000000,22.0000000000,22.3800000000,22.4300000000,61894847,1385998021.0000,-0.222900,33.021969,9.002598,13.105210,3.040710
8,2010-03-10,sh.601688,22.4100000000,22.8900000000,22.0800000000,22.3000000000,22.3800000000,54364069,1221344636.0000,-0.357500,32.903928,8.970417,13.058364,3.029841
9,2010-03-11,sh.601688,22.3100000000,23.3100000000,21.9700000000,22.9200000000,22.3000000000,92174741,2092887333.0000,2.780300,33.818746,9.219819,13.421422,3.114079
10,2010-03-12,sh.601688,22.8300000000,23.0500000000,22.4100000000,22.5000000000,22.9200000000,59972202,1359697070.0000,-1.832500,33.199031,9.050869,13.175480,3.057014
11,2010-03-15,sh.601688,22.3500000000,22.6000000000,22.0200000000,22.4100000000,22.5000000000,34719842,773403966.0000,-0.400000,33.066235,9.014666,13.122778,3.044786
