,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2020-02-26,sh.601696,6.5600000000,7.8800000000,6.5600000000,7.8800000000,5.4700000000,1759340,13815023.0000,44.058500,26.976786,1.722708,7.895242,11.235743
1,2020-02-27,sh.601696,8.6700000000,8.6700000000,8.6700000000,8.6700000000,7.8800000000,318022,2757251.0000,10.025400,29.681311,1.895416,8.686771,12.362169
2,2020-02-28,sh.601696,9.5400000000,9.5400000000,9.5400000000,9.5400000000,8.6700000000,844748,8058896.0000,10.034600,32.659713,2.085614,9.558453,13.602664
3,2020-03-02,sh.601696,10.4900000000,10.4900000000,10.4900000000,10.4900000000,9.5400000000,777446,8155409.0000,9.958100,35.911990,2.293301,10.510291,14.957227
4,2020-03-03,sh.601696,11.5400000000,11.5400000000,11.5400000000,11.5400000000,10.4900000000,663750,7659675.0000,10.009500,39.506613,2.522849,11.562322,16.454375
5,2020-03-04,sh.601696,12.6900000000,12.6900000000,12.6900000000,12.6900000000,11.5400000000,1016655,12901352.0000,9.965300,43.443580,2.774260,12.714547,18.094109
6,2020-03-05,sh.601696,13.9600000000,13.9600000000,13.9600000000,13.9600000000,12.6900000000,518648,7240326.0000,10.007900,47.791361,3.051905,13.987003,19.904946
7,2020-03-06,sh.601696,15.3600000000,15.3600000000,15.3600000000,15.3600000000,13.9600000000,1997830,30686669.0000,10.028600,52.584191,3.357969,15.389711,21.901144
8,2020-03-09,sh.601696,16.9000000000,16.9000000000,16.9000000000,16.9000000000,15.3600000000,5289814,89397857.0000,10.026000,57.856304,3.694641,16.932690,24.096962
9,2020-03-10,sh.601696,18.5900000000,18.5900000000,18.5900000000,18.5900000000,16.9000000000,5080493,94446365.0000,10.000000,63.641935,4.064105,18.625959,26.506658
10,2020-03-11,sh.601696,20.4500000000,20.4500000000,20.4500000000,20.4500000000,18.5900000000,1293391,26449846.0000,10.005400,70.009552,4.470734,20.489557,29.158750
11,2020-03-12,sh.601696,22.5000000000,22.5000000000,22.5000000000,22.5000000000,20.4500000000,5724677,128805233.0000,10.024400,77.027624,4.918901,22.543522,32.081754
12,2020-03-13,sh.601696,23.1700000000,24.7500000000,23.1700000000,24.7500000000,22.5000000000,188672721,4542428353.0000,10.000000,84.730386,5.410791,24.797874,35.289930
13,2020-03-16,sh.601696,24.8000000000,24.8000000000,22.2800000000,22.2800000000,24.7500000000,144710282,3376703483.0000,-9.979800,76.274465,4.870805,22.323097,31.768066
14,2020-03-17,sh.601696,23.1600000000,24.0000000000,22.2800000000,23.3700000000,22.2800000000,136864346,3175588680.0000,4.892300,80.006026,5.109098,23.415205,33.322249
15,2020-03-18,sh.601696,22.6000000000,23.4200000000,21.9000000000,22.7500000000,23.3700000000,111271526,2516266850.0000,-2.653000,77.883487,4.973555,22.794006,32.438218
16,2020-03-19,sh.601696,22.8500000000,25.0300000000,22.4100000000,24.3500000000,22.7500000000,171642669,4121016274.0000,7.033000,83.361007,5.323343,24.397101,34.719588
17,2020-03-20,sh.601696,24.2000000000,24.3500000000,22.6000000000,23.5800000000,24.3500000000,126812346,2978608938.0000,-3.162200,80.724950,5.155008,23.625611,33.621679
18,2020-03-23,sh.601696,22.4100000000,23.4500000000,22.1100000000,23.2200000000,23.5800000000,83950458,1918823056.0000,-1.526700,79.492508,5.076305,23.264915,33.108371
19,2020-03-24,sh.601696,24.0000000000,24.1800000000,21.3300000000,22.4900000000,23.2200000000,112850261,2582849393.0000,-3.143800,76.993390,4.916714,22.533503,32.067496
20,2020-03-25,sh.601696,22.7000000000,23.8600000000,22.2200000000,22.9600000000,22.4900000000,102421404,2356734397.0000,2.089800,78.602411,5.019465,23.004412,32.737648
21,2020-03-26,sh.601696,22.1000000000,22.6100000000,21.7100000000,22.2000000000,22.9600000000,77112456,1708950733.0000,-3.310100,77.258215,4.843400,21.209990,12.312783
22,2020-03-27,sh.601696,22.5600000000,23.1100000000,21.8800000000,21.9500000000,22.2000000000,75612793,1689224143.0000,-1.126100,76.388190,4.788858,20.971139,12.174125
23,2020-03-30,sh.601696,21.1200000000,22.0600000000,20.8100000000,21.7900000000,21.9500000000,59849487,1284868068.0000,-0.728900,75.831374,4.753950,20.818274,12.085384
