,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2010-08-16,sh.601718,5.8000000000,6.4400000000,5.7100000000,6.1700000000,3.5000000000,519321363,3121563150.0000,76.285710,48.226060,5.329798,1.736492,-246.560327
1,2010-08-17,sh.601718,6.0000000000,6.1000000000,5.7700000000,6.0000000000,6.1700000000,316584146,1883589656.0000,-2.755300,46.897303,5.182947,1.688647,-239.766930
2,2010-08-18,sh.601718,5.9800000000,6.1200000000,5.8800000000,6.0500000000,6.0000000000,223280238,1340366915.0000,0.833300,47.288114,5.226139,1.702719,-241.764988
3,2010-08-19,sh.601718,6.1000000000,6.1400000000,5.8700000000,5.9600000000,6.0500000000,216961798,1296252768.0000,-1.487600,46.584654,5.148394,1.677389,-238.168484
4,2010-08-20,sh.601718,5.7900000000,5.8200000000,5.6000000000,5.7000000000,5.9600000000,164602966,936490087.0000,-4.362400,44.552438,4.923800,1.604215,-227.778584
5,2010-08-23,sh.601718,5.7000000000,5.8300000000,5.5900000000,5.7800000000,5.7000000000,101486172,576719272.0000,1.403500,45.177735,4.992906,1.626730,-230.975476
6,2010-08-24,sh.601718,5.7100000000,5.9000000000,5.6500000000,5.7900000000,5.7800000000,170261969,985686695.0000,0.173000,45.255897,5.001544,1.629544,-231.375088
7,2010-08-25,sh.601718,5.7000000000,5.7200000000,5.4800000000,5.4900000000,5.7900000000,101323422,567591808.0000,-5.181300,42.911032,4.742397,1.545112,-219.386741
8,2010-08-26,sh.601718,5.4900000000,5.7800000000,5.4200000000,5.6900000000,5.4900000000,98817293,555413592.0000,3.643000,44.474275,4.915162,1.601400,-227.378972
9,2010-08-27,sh.601718,5.6400000000,5.7000000000,5.5900000000,5.6600000000,5.6900000000,53589640,303424383.0000,-0.527200,44.239789,4.889247,1.592957,-226.180137
10,2010-08-30,sh.601718,5.6500000000,5.7400000000,5.6200000000,5.7100000000,5.6600000000,70054647,398772206.0000,0.883400,44.630600,4.932438,1.607029,-228.178195
11,2010-08-31,sh.601718,5.7000000000,5.8600000000,5.5300000000,5.5800000000,5.7100000000,99673049,562073111.0000,-2.276700,43.614492,4.820141,1.570442,-222.983245
12,2010-09-01,sh.601718,5.5800000000,5.6200000000,5.4500000000,5.5000000000,5.5800000000,61109868,337215942.0000,-1.433700,42.989194,4.751035,1.547926,-219.786353
13,2010-09-02,sh.601718,5.5600000000,5.5600000000,5.4400000000,5.4800000000,5.5000000000,53925677,295584570.0000,-0.363600,42.832870,4.733759,1.542298,-218.987130
14,2010-09-03,sh.601718,5.4800000000,5.4800000000,5.2900000000,5.3500000000,5.4800000000,72290658,388474094.0000,-2.372300,41.816762,4.621461,1.505710,-213.792179
15,2010-09-06,sh.601718,5.4000000000,5.5600000000,5.3500000000,5.5300000000,5.3500000000,81044870,442944942.0000,3.364500,43.223681,4.776950,1.556370,-220.985187
16,2010-09-07,sh.601718,5.5400000000,5.5400000000,5.4100000000,5.4600000000,5.5300000000,45856608,250224306.0000,-1.265800,42.676546,4.716482,1.536669,-218.187906
17,2010-09-08,sh.601718,5.4200000000,5.4300000000,5.3600000000,5.4100000000,5.4600000000,35535812,191343946.0000,-0.915754,42.285735,4.673291,1.522597,-216.189849
18,2010-09-09,sh.601718,5.4000000000,5.4500000000,5.3100000000,5.3300000000,5.4100000000,40107277,215372414.0000,-1.478700,41.660437,4.604185,1.500081,-212.992956
19,2010-09-10,sh.601718,5.3300000000,5.5400000000,5.2500000000,5.4600000000,5.3300000000,58340413,314150530.0000,2.439000,42.676546,4.716482,1.536669,-218.187906
20,2010-09-13,sh.601718,5.4300000000,5.5300000000,5.3900000000,5.5100000000,5.4600000000,48655190,265355043.0000,0.915800,43.067356,4.759673,1.550741,-220.185964
21,2010-09-14,sh.601718,5.5300000000,5.5500000000,5.4100000000,5.4300000000,5.5100000000,49590422,270795830.0000,-1.451900,42.442059,4.690567,1.528226,-216.989072
22,2010-09-15,sh.601718,5.4100000000,5.4200000000,5.2600000000,5.2900000000,5.4300000000,35664369,189907452.0000,-2.578300,41.347789,4.569632,1.488824,-211.394510
23,2010-09-16,sh.601718,5.2700000000,5.3700000000,5.1700000000,5.2200000000,5.2900000000,32031972,168343897.0000,-1.323300,40.800653,4.509164,1.469123,-208.597229
24,2010-09-17,sh.601718,5.2500000000,5.2600000000,5.0700000000,5.0900000000,5.2200000000,32973486,169486990.0000,-2.490400,39.784545,4.396867,1.432536,-203.402279
25,2010-09-20,sh.601718,5.1100000000,5.1200000000,4.9200000000,4.9400000000,5.0900000000,30038622,149728387.0000,-2.947000,38.612113,4.267293,1.390319,-197.408106
26,2010-09-21,sh.601718,4.9200000000,4.9500000000,4.8100000000,4.8500000000,4.9400000000,24632694,119936853.0000,-1.821900,37.908653,4.189549,1.364990,-193.811602
27,2010-09-27,sh.601718,4.8600000000,4.9200000000,4.8100000000,4.9100000000,4.8500000000,24760527,120357364.0000,1.237100,38.377626,4.241379,1.381876,-196.209271
28,2010-09-28,sh.601718,4.8900000000,4.8900000000,4.7000000000,4.7100000000,4.9100000000,31164411,148749724.0000,-4.073300,36.814383,4.068614,1.325588,-188.217040
29,2010-09-29,sh.601718,4.6800000000,4.8100000000,4.6000000000,4.8000000000,4.7100000000,34796901,163167973.0000,1.910800,37.517842,4.146358,1.350918,-191.813544
30,2010-09-30,sh.601718,4.7200000000,4.9800000000,4.7200000000,4.9000000000,4.8000000000,48518976,237508945.0000,2.083300,38.299464,4.232740,1.379062,-195.809660
31,2010-10-08,sh.601718,4.9300000000,4.9700000000,4.8500000000,4.9100000000,4.9000000000,31475358,154759921.0000,0.204100,38.377626,4.241379,1.381876,-196.209271
32,2010-10-11,sh.601718,4.9000000000,4.9900000000,4.8800000000,4.9500000000,4.9100000000,37707634,186100017.0000,0.814700,38.690275,4.275932,1.393134,-197.807717
33,2010-10-12,sh.601718,4.9400000000,5.0100000000,4.9100000000,4.9300000000,4.9500000000,28961490,143410021.0000,-0.404000,38.533950,4.258655,1.387505,-197.008494
34,2010-10-13,sh.601718,4.9300000000,4.9600000000,4.8500000000,4.9200000000,4.9300000000,32115282,157132267.0000,-0.202800,38.455788,4.250017,1.384691,-196.608883
35,2010-10-14,sh.601718,4.9200000000,5.0700000000,4.9100000000,4.9300000000,4.9200000000,51175224,255679401.0000,0.203300,38.533950,4.258655,1.387505,-197.008494
36,2010-10-15,sh.601718,4.9100000000,4.9800000000,4.8100000000,4.9800000000,4.9300000000,50809352,247716508.0000,1.014200,38.924761,4.301846,1.401577,-199.006552
37,2010-10-18,sh.601718,5.0500000000,5.4200000000,4.9800000000,5.3000000000,4.9800000000,112433726,589249594.0000,6.425700,41.425951,4.578270,1.491638,-211.794122
38,2010-10-19,sh.601718,5.1900000000,5.2500000000,5.1400000000,5.2400000000,5.3000000000,50544233,262361503.0000,-1.132100,40.956978,4.526441,1.474752,-209.396452
39,2010-10-20,sh.601718,5.1200000000,5.1800000000,5.0700000000,5.1100000000,5.2400000000,44221818,226448855.0000,-2.480900,39.940870,4.414144,1.438164,-204.201502
