,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2018-01-31,sh.601838,8.3900000000,10.0700000000,8.3900000000,10.0700000000,6.9900000000,199080,1999528.0000,44.062950,9.305544,1.521949,3.767907,3.607576
1,2018-02-01,sh.601838,11.0800000000,11.0800000000,11.0800000000,11.0800000000,10.0700000000,137803,1526857.0000,10.029790,10.238870,1.674597,4.145820,3.969408
2,2018-02-02,sh.601838,12.1900000000,12.1900000000,12.1900000000,12.1900000000,11.0800000000,429196,5231899.0000,10.018050,11.264606,1.842359,4.561150,4.367065
3,2018-02-05,sh.601838,13.4100000000,13.4100000000,13.4100000000,13.4100000000,12.1900000000,1715598,23006169.0000,10.008210,12.391990,2.026746,5.017639,4.804130
4,2018-02-06,sh.601838,14.7500000000,14.7500000000,14.7500000000,14.7500000000,13.4100000000,5059394,74626062.0000,9.992544,13.630265,2.229270,5.519029,5.284185
5,2018-02-07,sh.601838,16.2300000000,16.2300000000,16.2200000000,16.2300000000,14.7500000000,50002289,811537077.0000,10.033900,14.997912,2.452953,6.072803,5.814395
6,2018-02-08,sh.601838,16.3300000000,16.6000000000,14.6100000000,14.7000000000,16.2300000000,182702481,2774883193.0000,-9.426986,13.584061,2.221713,5.500321,5.266273
7,2018-02-09,sh.601838,13.8700000000,14.1300000000,13.2400000000,13.4400000000,14.7000000000,121384419,1659674061.0000,-8.571430,12.419713,2.031281,5.028865,4.814878
8,2018-02-12,sh.601838,13.7500000000,14.5400000000,13.2100000000,14.0100000000,13.4400000000,104620358,1443553487.0000,4.241076,12.946442,2.117429,5.242142,5.019080
9,2018-02-13,sh.601838,13.8800000000,14.1700000000,12.8400000000,12.8800000000,14.0100000000,104302879,1412151641.0000,-8.065668,11.902225,1.946644,4.819328,4.614258
10,2018-02-14,sh.601838,12.5100000000,12.8500000000,12.2100000000,12.2300000000,12.8800000000,68537278,851441946.0000,-5.046588,11.301569,1.848405,4.576117,4.381395
11,2018-02-22,sh.601838,12.4500000000,12.8800000000,12.2800000000,12.5400000000,12.2300000000,65818765,828666668.0000,2.534754,11.588036,1.895257,4.692110,4.492453
12,2018-02-23,sh.601838,12.3200000000,12.6000000000,12.3200000000,12.4800000000,12.5400000000,50546152,628429729.0000,-0.478472,11.532591,1.886189,4.669660,4.470958
13,2018-02-26,sh.601838,12.7000000000,13.5000000000,12.5300000000,13.2500000000,12.4800000000,96056564,1243422818.0000,6.169876,12.244137,2.002565,4.957772,4.746810
14,2018-02-27,sh.601838,13.0500000000,13.1700000000,12.8000000000,12.9300000000,13.2500000000,63431235,821296616.0000,-2.415092,11.948429,1.954201,4.838037,4.632170
15,2018-02-28,sh.601838,12.7500000000,12.7700000000,12.3600000000,12.6000000000,12.9300000000,59299743,745361437.0000,-2.552203,11.643481,1.904326,4.714560,4.513948
16,2018-03-01,sh.601838,12.4200000000,12.7500000000,12.3800000000,12.7000000000,12.6000000000,49015644,616502299.0000,0.793646,11.735889,1.919439,4.751978,4.549773
17,2018-03-02,sh.601838,12.5000000000,13.3300000000,12.4300000000,12.9300000000,12.7000000000,85878202,1113773715.0000,1.811028,11.948429,1.954201,4.838037,4.632170
18,2018-03-05,sh.601838,12.8700000000,12.9800000000,12.6100000000,12.7800000000,12.9300000000,50596457,644758631.0000,-1.160097,11.809816,1.931530,4.781911,4.578433
19,2018-03-06,sh.601838,12.9000000000,13.3100000000,12.8500000000,13.2700000000,12.7800000000,86475044,1132047764.0000,3.834122,12.262618,2.005587,4.965255,4.753975
20,2018-03-07,sh.601838,13.8000000000,14.0000000000,12.8800000000,12.9000000000,13.2700000000,96406462,1293465607.0000,-2.788250,11.920707,1.949667,4.826812,4.621423
21,2018-03-08,sh.601838,12.6300000000,12.8300000000,12.5500000000,12.7800000000,12.9000000000,56704142,720038225.0000,-0.930232,11.809816,1.931530,4.781911,4.578433
22,2018-03-09,sh.601838,12.7100000000,12.9900000000,12.6700000000,12.9300000000,12.7800000000,48964232,627859431.0000,1.173713,11.948429,1.954201,4.838037,4.632170
23,2018-03-12,sh.601838,12.9800000000,13.1800000000,12.8000000000,13.0500000000,12.9300000000,64281738,836254036.0000,0.928073,12.059319,1.972337,4.882938,4.675160
24,2018-03-13,sh.601838,13.0000000000,13.4300000000,12.8500000000,12.8800000000,13.0500000000,63552334,832656601.0000,-1.302683,11.902225,1.946644,4.819328,4.614258
25,2018-03-14,sh.601838,12.6000000000,12.7500000000,12.5500000000,12.6500000000,12.8800000000,43527696,549774686.0000,-1.785718,11.689685,1.911882,4.733269,4.531860
26,2018-03-15,sh.601838,12.5100000000,12.5600000000,11.9000000000,12.0700000000,12.6500000000,56805500,693567329.0000,-4.584980,11.153715,1.824223,4.516250,4.324075
27,2018-03-16,sh.601838,12.0300000000,12.1400000000,11.8400000000,11.8600000000,12.0700000000,31022232,371740682.0000,-1.739851,10.959657,1.792484,4.437674,4.248843
28,2018-03-19,sh.601838,11.8100000000,11.9700000000,11.6400000000,11.9400000000,11.8600000000,26761989,316409957.0000,0.674536,11.033584,1.804575,4.467607,4.277503
29,2018-03-20,sh.601838,11.7600000000,11.9500000000,11.7200000000,11.8800000000,11.9400000000,21998727,260179863.0000,-0.502508,10.978139,1.795507,4.445157,4.256008
30,2018-03-21,sh.601838,11.9000000000,12.2600000000,11.8500000000,11.9300000000,11.8800000000,44150969,532573563.0000,0.420877,11.024343,1.803064,4.463866,4.273921
31,2018-03-22,sh.601838,11.9200000000,11.9700000000,11.5800000000,11.6500000000,11.9300000000,33809873,396494027.0000,-2.347030,10.765599,1.760745,4.359098,4.173611
32,2018-03-23,sh.601838,11.2000000000,11.2800000000,10.5000000000,10.6300000000,11.6500000000,46122816,503210592.0000,-8.755361,9.823032,1.606586,3.977443,3.808196
33,2018-03-26,sh.601838,10.3600000000,10.8500000000,10.1700000000,10.7700000000,10.6300000000,26779262,282233165.0000,1.317030,9.952404,1.627745,4.029827,3.858351
34,2018-03-27,sh.601838,10.8800000000,11.0900000000,10.8100000000,10.8900000000,10.7700000000,27841946,303590734.0000,1.114205,10.063294,1.645881,4.074727,3.901341
35,2018-03-28,sh.601838,10.7400000000,11.6300000000,10.6700000000,10.9900000000,10.8900000000,41569182,463048437.0000,0.918268,10.155703,1.660995,4.112144,3.937166
36,2018-03-29,sh.601838,10.9300000000,11.2000000000,10.7700000000,11.1500000000,10.9900000000,35248507,388284238.0000,1.455868,10.303557,1.685177,4.172012,3.994486
37,2018-03-30,sh.601838,11.1000000000,11.1600000000,11.0200000000,11.0500000000,11.1500000000,24338286,269198341.0000,-0.896856,10.211148,1.670063,4.134595,3.958661
38,2018-04-02,sh.601838,11.0500000000,11.1700000000,10.8500000000,10.8600000000,11.0500000000,23074072,253863306.0000,-1.719462,10.035572,1.641347,4.063502,3.890593
39,2018-04-03,sh.601838,10.6600000000,10.7400000000,10.5700000000,10.6200000000,10.8600000000,20860568,222131644.0000,-2.209943,9.813791,1.605074,3.973701,3.804613
40,2018-04-04,sh.601838,10.6900000000,10.9100000000,10.6100000000,10.6400000000,10.6200000000,23634296,254536443.0000,0.188328,9.832273,1.608097,3.981184,3.811778
41,2018-04-09,sh.601838,10.6400000000,10.7800000000,10.4500000000,10.7600000000,10.6400000000,21481771,229050933.0000,1.127818,9.943163,1.626234,4.026085,3.854768
42,2018-04-10,sh.601838,10.8300000000,11.2500000000,10.7700000000,11.2400000000,10.7600000000,45213190,498355644.0000,4.460962,10.386724,1.698779,4.205687,4.026728
43,2018-04-11,sh.601838,11.3500000000,11.3500000000,11.0500000000,11.1100000000,11.2400000000,39955970,446399307.0000,-1.156585,10.266593,1.679131,4.157045,3.980156
44,2018-04-12,sh.601838,11.0000000000,11.7000000000,10.9700000000,11.5200000000,11.1100000000,52644686,596532059.0000,3.690377,10.645468,1.741098,4.310455,4.127038
45,2018-04-13,sh.601838,11.5600000000,11.6600000000,11.2100000000,11.2300000000,11.5200000000,42794134,487487040.0000,-2.517369,10.377483,1.697268,4.201946,4.023146
46,2018-04-16,sh.601838,11.1000000000,11.1600000000,10.7500000000,10.8000000000,11.2300000000,30366655,331541440.0000,-3.829024,9.980126,1.632279,4.041052,3.869098
47,2018-04-17,sh.601838,10.8200000000,10.9700000000,10.6000000000,10.6200000000,10.8000000000,22835816,246584584.0000,-1.666670,9.813791,1.605074,3.973701,3.804613
48,2018-04-18,sh.601838,10.9400000000,11.0800000000,10.7600000000,10.9900000000,10.6200000000,41780667,458147639.0000,3.483991,10.155703,1.660995,4.112144,3.937166
49,2018-04-19,sh.601838,10.8300000000,10.9400000000,10.7700000000,10.8500000000,10.9900000000,27798313,301428683.0000,-1.273880,10.026331,1.639836,4.059760,3.887011
50,2018-04-20,sh.601838,10.8000000000,10.8100000000,10.2900000000,10.3400000000,10.8500000000,34686386,365158733.0000,-4.700463,9.555047,1.562756,3.868933,3.704303
51,2018-04-23,sh.601838,10.3200000000,10.4700000000,10.2900000000,10.4200000000,10.3400000000,16267757,168859038.0000,0.773694,9.628974,1.574847,3.898867,3.732963
52,2018-04-24,sh.601838,10.4200000000,10.8500000000,10.3800000000,10.6900000000,10.4200000000,27010671,287795345.0000,2.591166,9.878477,1.615654,3.999893,3.829691
53,2018-04-25,sh.601838,10.6100000000,10.6400000000,10.5000000000,10.6300000000,10.6900000000,17939001,189474772.0000,-0.561267,9.823032,1.606586,3.977443,3.808196
54,2018-04-26,sh.601838,10.6600000000,10.6600000000,10.3300000000,10.3700000000,10.6300000000,18946336,198282960.0000,-2.445910,9.172766,1.317042,3.692569,-112.074314
55,2018-04-27,sh.601838,10.4900000000,10.6100000000,10.3600000000,10.5300000000,10.3700000000,16535651,173289975.0000,1.542911,9.314294,1.337363,3.749542,-113.803523
56,2018-05-02,sh.601838,10.6900000000,10.7500000000,10.4800000000,10.5500000000,10.5300000000,17375405,184104596.0000,0.189938,9.331985,1.339903,3.756664,-114.019674
57,2018-05-03,sh.601838,10.4300000000,10.6600000000,10.4000000000,10.6300000000,10.5500000000,18047094,190183524.0000,0.758293,9.402749,1.350064,3.785150,-114.884278
58,2018-05-04,sh.601838,10.5800000000,10.6200000000,10.4300000000,10.4400000000,10.6300000000,15976581,167786209.0000,-1.787399,9.234685,1.325933,3.717495,-112.830843
59,2018-05-07,sh.601838,10.4600000000,10.6400000000,10.4200000000,10.6300000000,10.4400000000,19167879,202314381.0000,1.819929,9.402749,1.350064,3.785150,-114.884278
60,2018-05-08,sh.601838,10.6000000000,10.7500000000,10.5600000000,10.6900000000,10.6300000000,26893509,286909799.0000,0.564435,9.455822,1.357684,3.806515,-115.532731
61,2018-05-09,sh.601838,10.6500000000,10.6700000000,10.5600000000,10.6300000000,10.6900000000,16339063,173447911.0000,-0.561267,9.402749,1.350064,3.785150,-114.884278
62,2018-05-10,sh.601838,10.6600000000,10.6900000000,10.5300000000,10.6400000000,10.6300000000,14033848,148795796.0000,0.094076,9.411594,1.351334,3.788711,-114.992353
