,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2018-07-20,sh.601869,32.0500000000,38.4600000000,32.0500000000,38.4600000000,26.7100000000,57621,2215463.0000,43.991020,20.538648,5.216189,2.647858,49.130767
1,2018-07-23,sh.601869,42.3100000000,42.3100000000,42.3100000000,42.3100000000,38.4600000000,30506,1290709.0000,10.010410,22.594649,5.738350,2.912919,54.048953
2,2018-07-24,sh.601869,46.5400000000,46.5400000000,46.5400000000,46.5400000000,42.3100000000,49544,2305778.0000,9.997635,24.853580,6.312050,3.204142,59.452571
3,2018-07-25,sh.601869,51.1900000000,51.1900000000,51.1900000000,51.1900000000,46.5400000000,130214,6665655.0000,9.991400,27.336802,6.942712,3.524281,65.392718
4,2018-07-26,sh.601869,56.3100000000,56.3100000000,56.3100000000,56.3100000000,51.1900000000,220755,12430714.0000,10.001960,30.071016,7.637119,3.876778,71.933267
5,2018-07-27,sh.601869,61.9400000000,61.9400000000,61.9400000000,61.9400000000,56.3100000000,353075,21869466.0000,9.998219,33.077583,8.400695,4.264387,79.125317
6,2018-07-30,sh.601869,68.1300000000,68.1300000000,68.1300000000,68.1300000000,61.9400000000,731074,49808072.0000,9.993541,36.383206,9.240222,4.690550,87.032739
7,2018-07-31,sh.601869,74.9400000000,74.9400000000,61.3200000000,61.3200000000,68.1300000000,36666513,2386906668.0000,-9.995593,32.746487,8.316607,4.221702,78.333297
8,2018-08-01,sh.601869,59.0000000000,59.5100000000,56.7100000000,58.6600000000,61.3200000000,27876817,1620339852.0000,-4.337899,31.325977,7.955841,4.038569,74.935277
9,2018-08-02,sh.601869,57.5000000000,58.3600000000,54.1800000000,55.5500000000,58.6600000000,20256358,1141046017.0000,-5.301740,29.665156,7.534043,3.824454,70.962405
10,2018-08-03,sh.601869,55.0800000000,55.7200000000,51.5900000000,51.6900000000,55.5500000000,17709358,940470367.0000,-6.948696,27.603815,7.010525,3.558705,66.031444
11,2018-08-06,sh.601869,50.5600000000,50.6000000000,47.6600000000,47.7100000000,51.6900000000,15523830,763555458.0000,-7.699748,25.478390,6.470732,3.284693,60.947189
12,2018-08-07,sh.601869,48.4900000000,49.2800000000,47.6600000000,48.9600000000,47.7100000000,14941172,726506332.0000,2.619996,26.145923,6.640265,3.370752,62.544002
13,2018-08-08,sh.601869,48.3300000000,48.3300000000,44.1300000000,44.2500000000,48.9600000000,18108233,839725136.0000,-9.620096,23.630660,6.001465,3.046482,56.527208
14,2018-08-09,sh.601869,43.8800000000,48.2200000000,43.2000000000,46.2600000000,44.2500000000,17072171,792475233.0000,4.542369,24.704052,6.274074,3.184865,59.094885
15,2018-08-10,sh.601869,45.4000000000,47.8000000000,45.2800000000,47.0900000000,46.2600000000,14122576,658292547.0000,1.794211,25.147294,6.386644,3.242008,60.155169
16,2018-08-13,sh.601869,46.0000000000,51.8000000000,45.5000000000,50.7400000000,47.0900000000,25387945,1277795010.0000,7.751118,27.096490,6.881680,3.493300,64.817865
17,2018-08-14,sh.601869,49.0000000000,50.3100000000,48.6000000000,49.5000000000,50.7400000000,17824641,880213065.0000,-2.443835,26.434297,6.713504,3.407930,63.233826
18,2018-08-15,sh.601869,49.5500000000,51.2000000000,48.8100000000,49.2500000000,49.5000000000,14221876,710973900.0000,-0.505050,26.300791,6.679597,3.390718,62.914463
19,2018-08-16,sh.601869,48.0000000000,51.5700000000,46.2700000000,50.4300000000,49.2500000000,19830540,990677183.0000,2.395940,26.930942,6.839636,3.471957,64.421855
20,2018-08-17,sh.601869,50.6600000000,51.0900000000,47.4800000000,47.5900000000,50.4300000000,15052508,742214329.0000,-5.631568,25.414307,6.454457,3.276432,60.793894
21,2018-08-20,sh.601869,46.4900000000,49.8900000000,46.2800000000,49.7200000000,47.5900000000,12830823,620613183.0000,4.475732,26.551783,6.743341,3.423076,63.514865
22,2018-08-21,sh.601869,49.7900000000,51.4200000000,48.5000000000,50.1400000000,49.7200000000,15452458,771323155.0000,0.844727,26.776074,6.800304,3.451992,64.051395
23,2018-08-22,sh.601869,49.6700000000,49.9600000000,47.6300000000,47.7700000000,50.1400000000,11532019,561533573.0000,-4.726763,25.510432,6.478870,3.288824,61.023836
24,2018-08-23,sh.601869,47.8300000000,49.8600000000,47.8100000000,49.3600000000,47.7700000000,12204866,597179906.0000,3.328449,26.359534,6.694516,3.398291,63.054983
25,2018-08-24,sh.601869,48.7000000000,49.9500000000,48.2000000000,48.6500000000,49.3600000000,9760832,478943936.0000,-1.438410,25.980375,6.598221,3.349410,62.147993
