,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2007-01-04,sh.601988,5.6900000000,5.9700000000,5.3700000000,5.6300000000,5.4300000000,728133333,4224852614.0000,3.683247,47.002614,3.777239,14.655480,-56.081093
1,2007-01-05,sh.601988,5.3000000000,5.3400000000,5.0700000000,5.0700000000,5.6300000000,786730684,4050377943.0000,-9.946712,42.327398,3.401528,13.197741,-50.502867
2,2007-01-08,sh.601988,4.8700000000,5.1400000000,4.8300000000,5.0800000000,5.0700000000,556575649,2763751983.0000,0.197234,42.410884,3.408237,13.223772,-50.602478
3,2007-01-09,sh.601988,5.0600000000,5.1900000000,4.9500000000,5.1800000000,5.0800000000,433445833,2198327249.0000,1.968502,43.245744,3.475328,13.484083,-51.598590
4,2007-01-10,sh.601988,5.2500000000,5.2900000000,5.0500000000,5.1000000000,5.1800000000,372117125,1915221182.0000,-1.544400,42.577856,3.421655,13.275835,-50.801700
5,2007-01-11,sh.601988,5.0700000000,5.0700000000,4.9000000000,4.9300000000,5.1000000000,327402649,1625223442.0000,-3.333335,41.158595,3.307600,12.833307,-49.108310
6,2007-01-12,sh.601988,4.8800000000,4.9700000000,4.7000000000,4.7300000000,4.9300000000,232917887,1126547904.0000,-4.056792,39.488875,3.173417,12.312686,-47.116087
7,2007-01-15,sh.601988,4.7100000000,5.0000000000,4.6500000000,4.9900000000,4.7300000000,248732537,1200380073.0000,5.496823,41.659511,3.347855,12.989493,-49.705977
8,2007-01-16,sh.601988,5.0500000000,5.1000000000,4.8500000000,4.9400000000,4.9900000000,259592495,1286327202.0000,-1.001998,41.242081,3.314309,12.859338,-49.207921
9,2007-01-17,sh.601988,4.9400000000,5.0400000000,4.8200000000,4.8800000000,4.9400000000,237250449,1166197579.0000,-1.214574,40.741165,3.274054,12.703151,-48.610254
10,2007-01-18,sh.601988,4.8300000000,4.8900000000,4.6500000000,4.7600000000,4.8800000000,203668605,967241970.0000,-2.459014,39.739333,3.193545,12.390779,-47.414920
11,2007-01-19,sh.601988,4.7800000000,4.8500000000,4.7100000000,4.8500000000,4.7600000000,176917683,848877424.0000,1.890749,40.490707,3.253927,12.625058,-48.311421
12,2007-01-22,sh.601988,4.8900000000,5.0200000000,4.8600000000,5.0200000000,4.8500000000,317348446,1574601626.0000,3.505156,41.909969,3.367982,13.067586,-50.004811
