,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2018-01-16,sh.603056,6.9700000000,6.9700000000,6.9700000000,6.9700000000,4.8400000000,44511,310242.0000,44.008260,17.611305,2.321357,0.393578,-74.409866
1,2018-01-17,sh.603056,7.6700000000,7.6700000000,7.6700000000,7.6700000000,6.9700000000,15427,118325.0000,10.043050,19.380015,2.554491,0.433105,-81.882879
2,2018-01-18,sh.603056,8.4400000000,8.4400000000,8.4400000000,8.4400000000,7.6700000000,8373,70668.0000,10.039110,21.325597,2.810940,0.476585,-90.103195
3,2018-01-19,sh.603056,9.2800000000,9.2800000000,9.2800000000,9.2800000000,8.4400000000,43200,400896.0000,9.952609,23.448050,3.090702,0.524018,-99.070811
4,2018-01-22,sh.603056,10.2100000000,10.2100000000,10.2100000000,10.2100000000,9.2800000000,50200,512542.0000,10.021550,25.797908,3.400438,0.576533,-108.999244
5,2018-01-23,sh.603056,11.2300000000,11.2300000000,11.2300000000,11.2300000000,10.2100000000,76808,862554.0000,9.990201,28.375172,3.740149,0.634130,-119.888492
6,2018-01-24,sh.603056,12.3500000000,12.3500000000,12.3500000000,12.3500000000,11.2300000000,114790,1417657.0000,9.973293,31.205110,4.113164,0.697373,-131.845314
7,2018-01-25,sh.603056,13.5900000000,13.5900000000,13.5900000000,13.5900000000,12.3500000000,80427,1093003.0000,10.040480,34.338254,4.526146,0.767393,-145.083224
8,2018-01-26,sh.603056,14.9500000000,14.9500000000,14.9500000000,14.9500000000,13.5900000000,619856,9266847.0000,10.007360,37.774606,4.979094,0.844189,-159.602223
9,2018-01-29,sh.603056,16.4500000000,16.4500000000,16.4500000000,16.4500000000,14.9500000000,744345,12244475.0000,10.033450,41.564701,5.478668,0.928890,-175.615824
10,2018-01-30,sh.603056,18.1000000000,18.1000000000,18.1000000000,18.1000000000,16.4500000000,363322,6576128.0000,10.030390,45.733804,6.028200,1.022061,-193.230785
11,2018-01-31,sh.603056,19.9100000000,19.9100000000,19.9100000000,19.9100000000,18.1000000000,405154,8066616.0000,9.999997,50.307185,6.631020,1.124267,-212.553863
12,2018-02-01,sh.603056,21.9000000000,21.9000000000,21.9000000000,21.9000000000,19.9100000000,8352201,182913202.0000,9.994976,55.335376,7.293789,1.236637,-233.798574
13,2018-02-02,sh.603056,23.4100000000,24.0900000000,23.1200000000,24.0900000000,21.9000000000,36878750,876055441.0000,10.000000,60.868914,8.023168,1.360301,-257.178431
