,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-07-31,sh.603077,16.0000000000,16.7700000000,15.6500000000,16.4200000000,17.5000000000,19818983,322702149.0000,-6.171428,14.532801,4.488298,3.615258,318.373862
1,2012-08-01,sh.603077,16.0200000000,16.2300000000,15.6600000000,15.9500000000,16.4200000000,11462129,182527512.0000,-2.862400,14.116820,4.359827,3.511776,309.260846
2,2012-08-02,sh.603077,15.9500000000,17.1900000000,15.9500000000,16.7200000000,15.9500000000,16047747,268337183.0000,4.827600,14.798321,4.570302,3.681310,324.190680
3,2012-08-03,sh.603077,16.5100000000,17.3600000000,16.4600000000,17.0300000000,16.7200000000,14167427,239725635.0000,1.854100,15.072692,4.655038,3.749564,330.201393
4,2012-08-06,sh.603077,16.8000000000,17.0800000000,16.5300000000,16.9800000000,17.0300000000,11503382,193032549.0000,-0.293600,15.028439,4.641371,3.738555,329.231923
5,2012-08-07,sh.603077,16.9900000000,17.1800000000,16.5500000000,16.8300000000,16.9800000000,8951969,150418520.0000,-0.883400,14.895679,4.600369,3.705529,326.323514
6,2012-08-08,sh.603077,16.7400000000,17.0000000000,16.1000000000,16.3100000000,16.8300000000,8724613,143781618.0000,-3.089700,14.435444,4.458231,3.591039,316.241029
7,2012-08-09,sh.603077,16.3000000000,17.8800000000,16.2900000000,17.4000000000,16.3100000000,25977767,450059895.0000,6.683000,15.400167,4.756175,3.831028,337.375469
8,2012-08-10,sh.603077,17.2100000000,17.7000000000,17.0100000000,17.2300000000,17.4000000000,13571353,234990200.0000,-0.977000,15.249706,4.709707,3.793599,334.079272
9,2012-08-13,sh.603077,17.3200000000,17.6200000000,17.0300000000,17.3400000000,17.2300000000,11701603,203095609.0000,0.638400,15.347063,4.739774,3.817818,336.212105
10,2012-08-14,sh.603077,17.2900000000,17.7100000000,17.1100000000,17.5800000000,17.3400000000,16596740,290299200.0000,1.384100,15.559479,4.805377,3.870660,340.865560
11,2012-08-15,sh.603077,17.5400000000,17.6600000000,16.4100000000,16.5200000000,17.5800000000,15459966,261517090.0000,-6.029600,14.621308,4.515633,3.637275,320.312802
12,2012-08-16,sh.603077,16.3800000000,16.5000000000,15.9800000000,16.2500000000,16.5200000000,7724992,125541972.0000,-1.634400,14.382340,4.441830,3.577828,315.077665
13,2012-08-17,sh.603077,16.4800000000,16.7500000000,16.3000000000,16.5100000000,16.2500000000,7042866,116289973.0000,1.600000,14.612457,4.512899,3.635074,320.118908
14,2012-08-20,sh.603077,16.2900000000,16.8400000000,16.1600000000,16.7400000000,16.5100000000,6330142,105049032.0000,1.393100,14.816023,4.575768,3.685714,324.578468
15,2012-08-21,sh.603077,16.6200000000,16.8900000000,16.5900000000,16.7200000000,16.7400000000,6921802,115656841.0000,-0.119500,14.798321,4.570302,3.681310,324.190680
16,2012-08-22,sh.603077,16.6700000000,16.8000000000,16.3200000000,16.5100000000,16.7200000000,5594530,92354767.0000,-1.256000,14.612457,4.512899,3.635074,320.118908
17,2012-08-23,sh.603077,16.4500000000,17.2800000000,16.4100000000,17.0700000000,16.5100000000,10710416,181222164.0000,3.391900,15.108095,4.665972,3.758371,330.976969
18,2012-08-24,sh.603077,16.9900000000,17.2400000000,16.5200000000,16.5500000000,17.0700000000,8448426,142786119.0000,-3.046300,14.647860,4.523833,3.643880,320.894483
19,2012-08-27,sh.603077,16.2000000000,16.3800000000,16.0500000000,16.0800000000,16.5500000000,5025620,81253177.0000,-2.839900,14.231879,4.395362,3.540399,311.781468
20,2012-08-28,sh.603077,15.9600000000,16.3000000000,15.8500000000,16.0900000000,16.0800000000,5190842,83497898.0000,0.062200,14.240729,4.398095,3.542600,311.975362
21,2012-08-29,sh.603077,15.9700000000,16.2600000000,15.8300000000,15.9500000000,16.0900000000,4757450,76270017.0000,-0.870100,14.116820,4.359827,3.511776,309.260846
22,2012-08-30,sh.603077,15.8000000000,16.1800000000,15.2500000000,15.6100000000,15.9500000000,6266734,98321902.0000,-2.131662,13.815897,4.266890,3.436917,302.668452
23,2012-08-31,sh.603077,15.4800000000,15.6300000000,15.2100000000,15.3300000000,15.6100000000,4521985,69479555.0000,-1.793700,13.568078,4.190354,3.375268,297.239422
24,2012-09-03,sh.603077,15.3000000000,15.6100000000,15.2600000000,15.5500000000,15.3300000000,3632165,56242209.0000,1.435100,13.762793,4.250490,3.423706,301.505089
25,2012-09-04,sh.603077,15.5500000000,15.6400000000,15.2400000000,15.5700000000,15.5500000000,4475518,69064241.0000,0.128600,13.780494,4.255957,3.428110,301.892876
26,2012-09-05,sh.603077,15.4800000000,15.9600000000,15.4200000000,15.7600000000,15.5700000000,4742796,74631667.0000,1.220300,13.948657,4.307892,3.469943,305.576861
27,2012-09-06,sh.603077,15.6300000000,15.9500000000,15.6300000000,15.8400000000,15.7600000000,3224410,51062527.0000,0.507600,14.019462,4.329759,3.487557,307.128013
28,2012-09-07,sh.603077,16.0300000000,16.4700000000,15.9000000000,16.2100000000,15.8400000000,8038688,130134681.0000,2.335900,14.346937,4.430896,3.569021,314.302089
29,2012-09-10,sh.603077,16.2100000000,16.6600000000,16.1600000000,16.3100000000,16.2100000000,6094553,100025171.0000,0.616900,14.435444,4.458231,3.591039,316.241029
30,2012-09-11,sh.603077,16.2000000000,16.5300000000,16.0600000000,16.4200000000,16.3100000000,5326768,86957616.0000,0.674400,14.532801,4.488298,3.615258,318.373862
31,2012-09-12,sh.603077,16.5300000000,16.8000000000,16.2600000000,16.6000000000,16.4200000000,6727740,111304541.0000,1.096200,14.692113,4.537500,3.654889,321.863953
32,2012-09-13,sh.603077,16.5000000000,16.5100000000,15.9800000000,16.0100000000,16.6000000000,5042856,82051375.0000,-3.554200,14.169924,4.376228,3.524986,310.424210
33,2012-09-14,sh.603077,16.2000000000,16.4200000000,15.9700000000,16.2600000000,16.0100000000,4756538,77113790.0000,1.561500,14.391191,4.444564,3.580030,315.271559
34,2012-09-17,sh.603077,16.2000000000,16.3000000000,15.5800000000,15.6500000000,16.2600000000,5012047,79298325.0000,-3.751500,13.851300,4.277824,3.445724,303.444028
35,2012-09-18,sh.603077,15.5500000000,15.8300000000,15.5100000000,15.6100000000,15.6500000000,2445703,38352111.0000,-0.255600,13.815897,4.266890,3.436917,302.668452
36,2012-09-19,sh.603077,15.6600000000,15.8200000000,15.5500000000,15.7200000000,15.6100000000,2221961,34812200.0000,0.704700,13.913254,4.296958,3.461136,304.801286
37,2012-09-20,sh.603077,15.6900000000,15.6900000000,15.3000000000,15.3100000000,15.7200000000,3648187,56323133.0000,-2.608100,13.550377,4.184887,3.370865,296.851634
38,2012-09-21,sh.603077,15.3300000000,15.6500000000,15.2500000000,15.4800000000,15.3100000000,3049799,47260096.0000,1.110400,13.700838,4.231356,3.408294,300.147831
39,2012-09-24,sh.603077,15.2700000000,15.7000000000,15.2300000000,15.6700000000,15.4800000000,2822366,43833269.0000,1.227400,13.869001,4.283291,3.450127,303.831816
40,2012-09-25,sh.603077,15.6100000000,15.9200000000,15.5100000000,15.5700000000,15.6700000000,2754381,43364283.0000,-0.638200,13.780494,4.255957,3.428110,301.892876
41,2012-09-26,sh.603077,15.5200000000,15.5600000000,14.4300000000,14.5300000000,15.5700000000,5921935,88191930.0000,-6.679500,12.860025,3.971679,3.199129,281.727906
42,2012-09-27,sh.603077,14.4500000000,14.8500000000,14.2300000000,14.7500000000,14.5300000000,5992882,87214354.0000,1.514100,13.054739,4.031815,3.247567,285.993573
43,2012-09-28,sh.603077,14.5000000000,15.0500000000,14.4300000000,14.9500000000,14.7500000000,5085866,75259182.0000,1.355900,13.231753,4.086484,3.291602,289.871452
44,2012-10-08,sh.603077,14.9700000000,15.0400000000,14.5900000000,14.7000000000,14.9500000000,3604641,53089247.0000,-1.672200,13.010486,4.018148,3.236558,285.024103
