,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2016-10-17,sh.603160,23.3000000000,27.9600000000,23.3000000000,27.9600000000,19.4200000000,14500,404954.0000,43.975280,23.137347,9.040940,6.729456,133.283050
1,2016-10-18,sh.603160,30.7600000000,30.7600000000,30.7600000000,30.7600000000,27.9600000000,4136,127223.0000,10.014310,25.454392,9.946327,7.403365,146.630422
2,2016-10-19,sh.603160,33.8400000000,33.8400000000,33.8400000000,33.8400000000,30.7600000000,4600,155664.0000,10.013000,28.003141,10.942254,8.144664,161.312532
3,2016-10-20,sh.603160,37.2200000000,37.2200000000,37.2200000000,37.2200000000,33.8400000000,15731,585508.0000,9.988183,30.800145,12.035186,8.958167,177.424718
4,2016-10-21,sh.603160,40.9400000000,40.9400000000,40.9400000000,40.9400000000,37.2200000000,10435,427209.0000,9.994619,33.878505,13.238057,9.853503,195.157656
5,2016-10-24,sh.603160,45.0300000000,45.0300000000,45.0300000000,45.0300000000,40.9400000000,44933,2023333.0000,9.990231,37.263045,14.560570,10.837890,214.654353
6,2016-10-25,sh.603160,49.5300000000,49.5300000000,49.5300000000,49.5300000000,45.0300000000,33300,1649349.0000,9.993338,40.986867,16.015657,11.920957,236.105488
7,2016-10-26,sh.603160,54.4800000000,54.4800000000,54.4800000000,54.4800000000,49.5300000000,25426,1385208.0000,9.993945,45.083071,17.616252,13.112331,259.701736
8,2016-10-27,sh.603160,59.9300000000,59.9300000000,59.9300000000,59.9300000000,54.4800000000,63143,3784160.0000,10.003670,49.593033,19.378524,14.424045,285.681444
9,2016-10-28,sh.603160,65.9200000000,65.9200000000,65.9200000000,65.9200000000,59.9300000000,72400,4772608.0000,9.994990,38.797059,17.519695,11.693674,-197.674101
10,2016-10-31,sh.603160,72.5100000000,72.5100000000,72.5100000000,72.5100000000,65.9200000000,172904,12537269.0000,9.996972,42.675588,19.271133,12.862686,-217.435514
11,2016-11-01,sh.603160,79.7600000000,79.7600000000,79.7600000000,79.7600000000,72.5100000000,142194,11341393.0000,9.998620,46.942558,21.197981,14.148778,-239.176067
12,2016-11-02,sh.603160,87.7400000000,87.7400000000,87.7400000000,87.7400000000,79.7600000000,75369,6612876.0000,10.005010,51.639168,23.318842,15.564365,-263.105668
13,2016-11-03,sh.603160,96.5100000000,96.5100000000,96.5100000000,96.5100000000,87.7400000000,97024,9363786.0000,9.995446,56.800731,25.649663,17.120092,-289.404240
14,2016-11-04,sh.603160,106.1600000000,106.1600000000,106.1600000000,106.1600000000,96.5100000000,295886,31411258.0000,9.998965,62.480215,28.214363,18.831924,-318.341666
15,2016-11-07,sh.603160,116.7800000000,116.7800000000,116.7800000000,116.7800000000,106.1600000000,312682,36515004.0000,10.003760,68.730591,31.036863,20.715826,-350.187827
16,2016-11-08,sh.603160,128.4600000000,128.4600000000,128.4600000000,128.4600000000,116.7800000000,378147,48576764.0000,10.001720,75.604827,34.141081,22.787763,-385.212607
17,2016-11-09,sh.603160,141.3100000000,141.3100000000,141.3100000000,141.3100000000,128.4600000000,785875,111051996.0000,10.003110,83.167664,37.556252,25.067249,-423.745862
18,2016-11-10,sh.603160,155.4400000000,155.4400000000,155.4400000000,155.4400000000,141.3100000000,2657035,413009520.0000,9.999296,91.483842,41.311611,27.573796,-466.117450
19,2016-11-11,sh.603160,170.9800000000,170.9800000000,170.9800000000,170.9800000000,155.4400000000,968111,165527619.0000,9.997422,100.629872,45.441709,30.330466,-512.717200
20,2016-11-14,sh.603160,178.0000000000,178.0000000000,153.8800000000,153.8800000000,170.9800000000,26670406,4341645568.0000,-10.001160,90.565708,40.897007,27.297065,-461.439483
21,2016-11-15,sh.603160,150.0000000000,153.4900000000,142.7800000000,145.5400000000,153.8800000000,14712357,2172375232.0000,-5.419815,85.657221,38.680468,25.817617,-436.430350
22,2016-11-16,sh.603160,145.1800000000,147.9800000000,142.7000000000,144.6600000000,145.5400000000,8026712,1162727552.0000,-0.604638,85.139299,38.446588,25.661512,-433.791497
23,2016-11-17,sh.603160,143.9900000000,147.0000000000,140.6100000000,143.8800000000,144.6600000000,7452746,1070581264.0000,-0.539195,84.680232,38.239286,25.523146,-431.452514
24,2016-11-18,sh.603160,142.4700000000,145.6800000000,141.5200000000,141.9400000000,143.8800000000,5245827,750829040.0000,-1.348348,83.538449,37.723688,25.179006,-425.635042
25,2016-11-21,sh.603160,141.9200000000,141.9200000000,136.0000000000,137.4400000000,141.9400000000,6059959,837641968.0000,-3.170354,80.889985,36.527714,24.380742,-412.140905
26,2016-11-22,sh.603160,137.7000000000,141.8300000000,137.7000000000,139.2400000000,137.4400000000,5691776,794686496.0000,1.309665,81.949371,37.006104,24.700048,-417.538560
27,2016-11-23,sh.603160,138.7900000000,140.8600000000,138.0100000000,139.1500000000,139.2400000000,3543344,494191952.0000,-0.064645,81.896402,36.982184,24.684082,-417.268677
28,2016-11-24,sh.603160,138.5000000000,144.9700000000,138.1600000000,141.3300000000,139.1500000000,5636071,799809328.0000,1.566660,83.179435,37.561567,25.070797,-423.805836
29,2016-11-25,sh.603160,139.9500000000,140.7000000000,132.0000000000,136.6600000000,141.3300000000,5521567,751781296.0000,-3.304322,80.430918,36.320412,24.242377,-409.801922
30,2016-11-28,sh.603160,136.0000000000,138.0000000000,134.0100000000,134.8600000000,136.6600000000,2855878,387609872.0000,-1.317140,79.371532,35.842022,23.923071,-404.404267
