,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2019-05-15,sh.603267,29.1500000000,29.1500000000,29.1500000000,29.1500000000,20.2400000000,39342,1146819.0000,44.021740,19.158561,4.008046,5.068363,-968.043625
1,2019-05-16,sh.603267,32.0700000000,32.0700000000,32.0700000000,32.0700000000,29.1500000000,15300,490671.0000,10.017150,21.077704,4.409538,5.576069,-1065.014032
2,2019-05-17,sh.603267,35.2800000000,35.2800000000,35.2800000000,35.2800000000,32.0700000000,52350,1846908.0000,10.009350,23.187446,4.850905,6.134197,-1171.615063
3,2019-05-20,sh.603267,38.8100000000,38.8100000000,38.8100000000,38.8100000000,35.2800000000,175750,6820858.0000,10.005680,25.507505,5.336270,6.747965,-1288.842987
4,2019-05-21,sh.603267,42.6900000000,42.6900000000,42.6900000000,42.6900000000,38.8100000000,488003,20832848.0000,9.997416,28.057598,5.869759,7.422587,-1417.694077
5,2019-05-22,sh.603267,46.0000000000,46.8600000000,43.6000000000,44.6300000000,42.6900000000,24880985,1115980176.0000,4.544395,29.332645,6.136504,7.759898,-1482.119621
6,2019-05-23,sh.603267,43.0000000000,45.2900000000,42.5000000000,44.5700000000,44.6300000000,16764197,739078533.0000,-0.134442,29.293210,6.128254,7.749466,-1480.127079
7,2019-05-24,sh.603267,44.0000000000,45.2400000000,42.6300000000,42.6300000000,44.5700000000,12378385,543103175.0000,-4.352701,28.018164,5.861510,7.412155,-1415.701534
8,2019-05-27,sh.603267,41.9100000000,44.7000000000,41.1200000000,43.5800000000,42.6300000000,12494672,535810512.0000,2.228479,28.642542,5.992132,7.577333,-1447.250125
9,2019-05-28,sh.603267,43.1100000000,46.4700000000,42.8000000000,44.9100000000,43.5800000000,16500803,739517599.0000,3.051854,29.516672,6.175003,7.808583,-1491.418154
10,2019-05-29,sh.603267,44.6800000000,47.4700000000,44.5000000000,45.1100000000,44.9100000000,16546158,761346655.0000,0.445337,29.648120,6.202503,7.843357,-1498.059962
11,2019-05-30,sh.603267,45.8800000000,49.6200000000,44.9100000000,49.6200000000,45.1100000000,18408439,864409783.0000,9.997779,32.612275,6.822616,8.627519,-1647.832750
12,2019-05-31,sh.603267,50.0800000000,54.5800000000,50.0000000000,51.5000000000,49.6200000000,23939878,1257775349.0000,3.788797,33.847887,7.081111,8.954398,-1710.265752
13,2019-06-03,sh.603267,51.0400000000,52.5200000000,46.3500000000,46.3500000000,51.5000000000,18044723,872926690.0000,-10.000000,30.463098,6.373000,8.058958,-1539.239177
14,2019-06-04,sh.603267,45.3500000000,45.6000000000,43.2300000000,43.7600000000,46.3500000000,12318821,546626285.0000,-5.587919,28.760845,6.016882,7.608630,-1453.227753
