,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2017-01-04,sh.603444,77.7600000000,77.7600000000,77.7600000000,77.7600000000,54.0000000000,8800,684288.0000,44.000000,11.090148,6.154116,5.586392,10.648960
1,2017-01-05,sh.603444,85.5400000000,85.5400000000,85.5400000000,85.5400000000,77.7600000000,4400,376376.0000,10.005140,12.199733,6.769844,6.145318,11.714404
2,2017-01-06,sh.603444,94.0900000000,94.0900000000,94.0900000000,94.0900000000,85.5400000000,4000,376360.0000,9.995318,13.419136,7.446512,6.759563,12.885296
3,2017-01-09,sh.603444,103.5000000000,103.5000000000,103.5000000000,103.5000000000,94.0900000000,10326,1068741.0000,10.001070,14.761192,8.191242,7.435591,14.173963
4,2017-01-10,sh.603444,113.8500000000,113.8500000000,113.8500000000,113.8500000000,103.5000000000,16600,1889910.0000,9.999999,16.237311,9.010366,8.179150,15.591359
5,2017-01-11,sh.603444,125.2400000000,125.2400000000,125.2400000000,125.2400000000,113.8500000000,17200,2154128.0000,10.004390,17.861755,9.911799,8.997424,17.151180
6,2017-01-12,sh.603444,137.7600000000,137.7600000000,137.7600000000,137.7600000000,125.2400000000,15200,2093952.0000,9.996804,19.647360,10.902662,9.896879,18.865750
7,2017-01-13,sh.603444,151.5400000000,151.5400000000,151.5400000000,151.5400000000,137.7600000000,524203,79437723.0000,10.002900,21.612667,11.993245,10.886854,20.752873
8,2017-01-16,sh.603444,166.6900000000,166.6900000000,166.6900000000,166.6900000000,151.5400000000,469273,78223116.0000,9.997367,23.773363,13.192253,11.975252,22.827613
9,2017-01-17,sh.603444,183.3600000000,183.3600000000,183.3600000000,183.3600000000,166.6900000000,155105,28440053.0000,10.000600,26.150842,14.511557,13.172850,25.110511
10,2017-01-18,sh.603444,201.7000000000,201.7000000000,201.7000000000,201.7000000000,183.3600000000,100955,20362624.0000,10.002180,28.766496,15.963030,14.490422,27.622110
11,2017-01-19,sh.603444,221.8700000000,221.8700000000,185.1000000000,200.6200000000,201.7000000000,12765374,2574772096.0000,-0.535450,28.612466,15.877556,14.412833,27.474207
