,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2017-11-15,sh.603605,22.0900000000,22.0900000000,22.0900000000,22.0900000000,15.3400000000,21148,467159.0000,44.002610,21.653235,6.439892,2.431244,13.740832
1,2017-11-16,sh.603605,24.3000000000,24.3000000000,24.3000000000,24.3000000000,22.0900000000,8569,208227.0000,10.004520,23.819539,7.084173,2.674478,15.115538
2,2017-11-17,sh.603605,26.7300000000,26.7300000000,26.7300000000,26.7300000000,24.3000000000,16672,445643.0000,10.000000,26.201493,7.792590,2.941926,16.627091
3,2017-11-20,sh.603605,29.4000000000,29.4000000000,29.4000000000,29.4000000000,26.7300000000,44124,1297246.0000,9.988777,28.818701,8.570975,3.235788,18.287934
4,2017-11-21,sh.603605,32.3400000000,32.3400000000,32.3400000000,32.3400000000,29.4000000000,49670,1606328.0000,10.000000,31.700572,9.428072,3.559367,20.116728
5,2017-11-22,sh.603605,35.5700000000,35.5700000000,35.5700000000,35.5700000000,32.3400000000,604661,21507792.0000,9.987630,34.866708,10.369713,3.914864,22.125913
6,2017-11-23,sh.603605,35.9000000000,39.1300000000,35.0100000000,39.1300000000,35.5700000000,29612280,1113481011.0000,10.008440,38.356319,11.407559,4.306680,24.340370
7,2017-11-24,sh.603605,36.8700000000,37.8500000000,35.2200000000,35.2200000000,39.1300000000,18674959,678896228.0000,-9.992332,34.523628,10.267678,3.876342,21.908199
8,2017-11-27,sh.603605,33.7700000000,34.4400000000,31.7000000000,31.7000000000,35.2200000000,15123059,499562379.0000,-9.994322,31.073226,9.241493,3.488928,19.718623
9,2017-11-28,sh.603605,31.3500000000,33.5000000000,31.3500000000,32.4100000000,31.7000000000,11529232,375456781.0000,2.239745,31.769188,9.448479,3.567071,20.160271
10,2017-11-29,sh.603605,32.0500000000,32.4100000000,30.5000000000,31.7500000000,32.4100000000,11146905,348839686.0000,-2.036408,31.122237,9.256070,3.494431,19.749725
11,2017-11-30,sh.603605,31.4200000000,32.4400000000,31.1000000000,31.9000000000,31.7500000000,9594889,305351897.0000,0.472440,31.269271,9.299799,3.510940,19.843031
12,2017-12-01,sh.603605,31.5600000000,32.8000000000,30.8000000000,31.3800000000,31.9000000000,8633094,275334285.0000,-1.630096,30.759553,9.148204,3.453709,19.519571
13,2017-12-04,sh.603605,30.7000000000,30.8000000000,28.2400000000,28.2400000000,31.3800000000,12086565,349955211.0000,-10.006370,27.681637,8.232800,3.108118,17.566370
14,2017-12-05,sh.603605,27.8200000000,28.5000000000,27.3800000000,27.8500000000,28.2400000000,6219749,174088344.0000,-1.381018,27.299348,8.119104,3.065194,17.323775
15,2017-12-06,sh.603605,27.7300000000,28.6500000000,27.7300000000,28.5800000000,27.8500000000,6576747,186460593.0000,2.621183,28.014915,8.331920,3.145538,17.777863
16,2017-12-07,sh.603605,28.7000000000,28.7900000000,27.7400000000,27.8300000000,28.5800000000,4595423,129757903.0000,-2.624213,27.279744,8.113273,3.062993,17.311334
17,2017-12-08,sh.603605,27.7200000000,28.8800000000,27.5300000000,28.2600000000,27.8300000000,6422361,182213529.0000,1.545096,27.701242,8.238631,3.110319,17.578810
18,2017-12-11,sh.603605,28.0800000000,28.4800000000,27.8800000000,28.3900000000,28.2600000000,4696275,132581207.0000,0.460011,27.828671,8.276530,3.124627,17.659676
19,2017-12-12,sh.603605,28.3300000000,28.4600000000,26.6600000000,26.7000000000,28.3900000000,7016507,191831688.0000,-5.952796,26.172086,7.783844,2.938624,16.608430
20,2017-12-13,sh.603605,26.7000000000,27.1500000000,26.7000000000,26.9900000000,26.7000000000,3184089,85721686.0000,1.086139,26.456352,7.868388,2.970542,16.788821
21,2017-12-14,sh.603605,27.0200000000,27.6500000000,26.7800000000,27.4700000000,26.9900000000,4814235,131324719.0000,1.778435,26.926862,8.008322,3.023371,17.087400
22,2017-12-15,sh.603605,27.2100000000,27.4700000000,27.0200000000,27.0600000000,27.4700000000,3124477,84944003.0000,-1.492537,26.524968,7.888795,2.978246,16.832364
23,2017-12-18,sh.603605,27.2300000000,27.5700000000,26.9100000000,27.2000000000,27.0600000000,2995731,81618045.0000,0.517374,26.662200,7.929609,2.993654,16.919450
24,2017-12-19,sh.603605,27.1000000000,27.7700000000,27.1000000000,27.6400000000,27.2000000000,4004936,110340424.0000,1.617642,27.093500,8.057882,3.042081,17.193147
25,2017-12-20,sh.603605,27.5200000000,28.1600000000,27.0200000000,27.0900000000,27.6400000000,4264713,117669324.0000,-1.989867,26.554375,7.897541,2.981548,16.851025
26,2017-12-21,sh.603605,26.8000000000,26.8800000000,25.5800000000,26.6300000000,27.0900000000,5835910,153502337.0000,-1.698047,26.103470,7.763437,2.930920,16.564888
27,2017-12-22,sh.603605,26.6800000000,27.2800000000,26.4600000000,26.8900000000,26.6300000000,3839458,103674077.0000,0.976343,26.358329,7.839235,2.959536,16.726618
28,2017-12-25,sh.603605,26.7900000000,27.6500000000,26.0800000000,27.2600000000,26.8900000000,5317163,142448674.0000,1.375979,26.721014,7.947101,3.000258,16.956772
29,2017-12-26,sh.603605,27.1900000000,28.6200000000,27.1600000000,28.4000000000,27.2600000000,8384684,235336925.0000,4.181950,27.838474,8.279445,3.125727,17.665896
30,2017-12-27,sh.603605,28.2000000000,29.4800000000,27.8900000000,28.4600000000,28.4000000000,9573314,273828123.0000,0.211266,27.897287,8.296937,3.132331,17.703218
