,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2016-09-01,sh.603658,17.5000000000,21.0000000000,17.5000000000,21.0000000000,14.5800000000,17389,364819.0000,44.032900,27.844305,10.181857,10.532594,42.916031
1,2016-09-02,sh.603658,23.1000000000,23.1000000000,23.1000000000,23.1000000000,21.0000000000,8000,184800.0000,10.000000,30.628735,11.200043,11.585853,47.207634
2,2016-09-05,sh.603658,25.4100000000,25.4100000000,25.4100000000,25.4100000000,23.1000000000,6600,167706.0000,9.999997,33.691609,12.320047,12.744438,51.928397
3,2016-09-06,sh.603658,27.9500000000,27.9500000000,27.9500000000,27.9500000000,25.4100000000,7600,212420.0000,9.996069,37.059444,13.551567,14.018381,57.119194
4,2016-09-07,sh.603658,30.7500000000,30.7500000000,30.7500000000,30.7500000000,27.9500000000,3800,116850.0000,10.017890,40.772018,14.909148,15.422726,62.841331
5,2016-09-08,sh.603658,33.8300000000,33.8300000000,33.8300000000,33.8300000000,30.7500000000,13300,449939.0000,10.016270,44.855849,16.402487,16.967507,69.135682
6,2016-09-09,sh.603658,37.2100000000,37.2100000000,37.2100000000,37.2100000000,33.8300000000,20904,777838.0000,9.991123,49.337456,18.041281,18.662753,76.043120
7,2016-09-12,sh.603658,40.9300000000,40.9300000000,40.9300000000,40.9300000000,37.2100000000,49735,2035654.0000,9.997315,54.269876,19.844924,20.528526,83.645388
8,2016-09-13,sh.603658,45.0200000000,45.0200000000,45.0200000000,45.0200000000,40.9300000000,59646,2685263.0000,9.992671,59.692886,21.827962,22.579874,92.003796
9,2016-09-14,sh.603658,49.5200000000,49.5200000000,49.5200000000,49.5200000000,45.0200000000,94622,4685681.0000,9.995558,65.659523,24.009789,24.836859,101.200088
10,2016-09-19,sh.603658,54.4700000000,54.4700000000,54.4700000000,54.4700000000,49.5200000000,112232,6113277.0000,9.995963,72.222823,26.409798,27.319542,111.316010
11,2016-09-20,sh.603658,59.9200000000,59.9200000000,59.9200000000,59.9200000000,54.4700000000,230629,13819290.0000,10.005500,79.449083,29.052232,30.053000,122.453742
12,2016-09-21,sh.603658,65.9100000000,65.9100000000,57.5000000000,57.5800000000,59.9200000000,22603945,1363370096.0000,-3.905201,76.346432,27.917683,28.879369,117.671670
13,2016-09-22,sh.603658,57.1200000000,57.6000000000,54.8100000000,55.6500000000,57.5800000000,15194516,850707264.0000,-3.351859,73.787408,26.981922,27.911373,113.727482
14,2016-09-23,sh.603658,56.6000000000,56.8100000000,53.9200000000,54.0000000000,55.6500000000,10980274,610564272.0000,-2.964962,71.599641,26.181918,27.083812,110.355508
15,2016-09-26,sh.603658,52.7700000000,53.4700000000,50.0000000000,50.1300000000,54.0000000000,8291594,429606528.0000,-7.166665,66.468334,24.305548,25.142806,102.446697
