,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2020-02-24,sh.603719,17.1400000000,17.1400000000,17.1400000000,17.1400000000,11.9000000000,208178,3568171.0000,44.033600,20.334734,4.945915,0.890303,35.991883
1,2020-02-25,sh.603719,18.8500000000,18.8500000000,18.8500000000,18.8500000000,17.1400000000,54031,1018484.0000,9.976700,22.363462,5.439352,0.979126,39.582672
2,2020-02-26,sh.603719,20.7400000000,20.7400000000,20.7400000000,20.7400000000,18.8500000000,31402,651277.0000,10.026500,24.605740,5.984730,1.077298,43.551439
3,2020-02-27,sh.603719,22.8100000000,22.8100000000,22.8100000000,22.8100000000,20.7400000000,75926,1731872.0000,9.980700,27.061568,6.582049,1.184820,47.898183
4,2020-02-28,sh.603719,25.0900000000,25.0900000000,25.0900000000,25.0900000000,22.8100000000,270154,6778164.0000,9.995600,29.766538,7.239966,1.303250,52.685902
5,2020-03-02,sh.603719,27.6000000000,27.6000000000,27.6000000000,27.6000000000,25.0900000000,94695,2613582.0000,10.004000,32.744379,7.964251,1.433627,57.956592
6,2020-03-03,sh.603719,30.3600000000,30.3600000000,30.3600000000,30.3600000000,27.6000000000,76914,2335109.0000,10.000000,36.018817,8.760676,1.576990,63.752251
7,2020-03-04,sh.603719,33.4000000000,33.4000000000,33.4000000000,33.4000000000,30.3600000000,96142,3211143.0000,10.013200,39.625444,9.637897,1.734896,70.135875
8,2020-03-05,sh.603719,36.7400000000,36.7400000000,36.7400000000,36.7400000000,33.4000000000,797394,29296256.0000,10.000000,43.587988,10.601687,1.908386,77.149463
9,2020-03-06,sh.603719,40.4100000000,40.4100000000,40.4100000000,40.4100000000,36.7400000000,327803,13246519.0000,9.989100,47.942041,11.660702,2.099017,84.856010
10,2020-03-09,sh.603719,44.4500000000,44.4500000000,44.4500000000,44.4500000000,40.4100000000,189965,8443944.0000,9.997500,52.735059,12.826483,2.308867,93.339511
11,2020-03-10,sh.603719,48.9000000000,48.9000000000,48.9000000000,48.9000000000,44.4500000000,501783,24537189.0000,10.011200,58.014497,14.110574,2.540013,102.683961
12,2020-03-11,sh.603719,53.7900000000,53.7900000000,53.7900000000,53.7900000000,48.9000000000,612481,32945353.0000,10.000000,63.815947,15.521632,2.794014,112.952357
13,2020-03-12,sh.603719,59.1700000000,59.1700000000,59.1700000000,59.1700000000,53.7900000000,1068744,63237582.0000,10.001900,70.198728,17.074084,3.073468,124.249693
14,2020-03-13,sh.603719,63.0000000000,65.0900000000,63.0000000000,65.0900000000,59.1700000000,18932855,1213460245.0000,10.005100,77.222160,18.782358,3.380970,136.680962
15,2020-03-16,sh.603719,66.0000000000,66.9900000000,60.2400000000,61.2500000000,65.0900000000,24905341,1560859192.0000,-5.899500,72.666420,17.674288,3.181509,128.617436
16,2020-03-17,sh.603719,62.8900000000,62.8900000000,55.2400000000,58.1600000000,61.2500000000,20756731,1212642843.0000,-5.044900,69.000473,16.782638,3.021005,122.128818
17,2020-03-18,sh.603719,59.4000000000,61.0600000000,58.0000000000,59.0100000000,58.1600000000,19168577,1142267691.0000,1.461500,70.008905,17.027914,3.065157,123.913713
18,2020-03-19,sh.603719,58.1800000000,60.8800000000,56.5100000000,60.8800000000,59.0100000000,17195271,1017536024.0000,3.169000,72.227456,17.567521,3.162290,127.840482
19,2020-03-20,sh.603719,58.7800000000,59.3600000000,55.6900000000,57.1000000000,60.8800000000,14033843,812681248.0000,-6.208900,67.742899,16.476765,2.965946,119.902948
20,2020-03-23,sh.603719,54.0000000000,55.0000000000,51.3900000000,51.3900000000,57.1000000000,11864884,629221417.0000,-10.000000,60.968609,14.829088,2.669351,107.912654
21,2020-03-24,sh.603719,52.2000000000,53.5000000000,50.2000000000,53.5000000000,51.3900000000,12266108,637495717.0000,4.105900,63.471893,15.437950,2.778951,112.343393
22,2020-03-25,sh.603719,54.0000000000,58.8500000000,53.6000000000,56.1800000000,53.5000000000,12799236,717222175.0000,5.009300,66.651420,16.211290,2.918158,117.971062
23,2020-03-26,sh.603719,54.8000000000,60.0800000000,54.0100000000,58.0900000000,56.1800000000,13579333,783512742.0000,3.399800,68.917426,16.762439,3.017369,121.981826
24,2020-03-27,sh.603719,58.0500000000,60.0000000000,56.2200000000,56.4900000000,58.0900000000,10705243,620725713.0000,-2.754300,67.019201,16.300743,2.934260,118.622024
25,2020-03-30,sh.603719,56.4000000000,58.3000000000,53.3000000000,56.4500000000,56.4900000000,10060980,563020723.0000,-0.070800,66.971746,16.289201,2.932183,118.538029
26,2020-03-31,sh.603719,57.0000000000,62.1000000000,56.4500000000,62.1000000000,56.4500000000,14031598,834061031.0000,10.008900,73.674852,17.919564,3.225661,130.402331
27,2020-04-01,sh.603719,61.0000000000,63.8500000000,59.0000000000,62.8000000000,62.1000000000,14659365,899156201.0000,1.127200,74.505325,18.121556,3.262021,131.872245
28,2020-04-02,sh.603719,61.3100000000,61.7800000000,59.7900000000,61.2200000000,62.8000000000,10097256,613261978.0000,-2.515900,72.630828,17.665631,3.179951,128.554440
29,2020-04-03,sh.603719,60.6000000000,63.2100000000,58.7500000000,58.8800000000,61.2200000000,10629089,649469632.0000,-3.822300,69.854675,16.990401,3.058404,123.640729
30,2020-04-07,sh.603719,59.6000000000,63.5000000000,58.5100000000,62.8000000000,58.8800000000,12335634,754678453.0000,6.657600,74.505325,18.121556,3.262021,131.872245
31,2020-04-08,sh.603719,62.0000000000,62.0000000000,59.5500000000,60.3300000000,62.8000000000,9759201,589719262.0000,-3.933100,71.574941,17.408813,3.133722,126.685550
