,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2016-04-18,sh.603868,25.9600000000,25.9600000000,25.9600000000,25.9600000000,18.0300000000,43800,1137048.0000,43.982200,22.539206,10.239264,4.063849,-49.794450
1,2016-04-19,sh.603868,28.5600000000,28.5600000000,28.5600000000,28.5600000000,25.9600000000,10282,293654.0000,10.015400,24.796599,11.264768,4.470860,-54.781568
2,2016-04-20,sh.603868,31.4200000000,31.4200000000,31.4200000000,31.4200000000,28.5600000000,15083,473908.0000,10.014000,27.279732,12.392822,4.918573,-60.267397
3,2016-04-21,sh.603868,34.5600000000,34.5600000000,34.5600000000,34.5600000000,31.4200000000,35000,1209600.0000,9.993600,30.005969,13.631316,5.410117,-66.290301
4,2016-04-22,sh.603868,38.0200000000,38.0200000000,38.0200000000,38.0200000000,34.5600000000,81462,3097185.0000,10.011600,33.010039,14.996025,5.951755,-72.927003
5,2016-04-25,sh.603868,41.8200000000,41.8200000000,41.8200000000,41.8200000000,38.0200000000,137299,5741844.0000,9.994700,36.309306,16.494839,6.546617,-80.215867
6,2016-04-26,sh.603868,46.0000000000,46.0000000000,46.0000000000,46.0000000000,41.8200000000,148636,6837256.0000,9.995200,39.938500,18.143534,7.200966,-88.233618
7,2016-04-27,sh.603868,50.6000000000,50.6000000000,50.6000000000,50.6000000000,46.0000000000,183143,9267036.0000,10.000000,43.932350,19.957887,7.921062,-97.056980
8,2016-04-28,sh.603868,55.6600000000,55.6600000000,55.6600000000,55.6600000000,50.6000000000,603494,33590476.0000,10.000000,46.172914,19.405537,8.444751,-2482.367057
9,2016-04-29,sh.603868,60.2300000000,61.2300000000,58.3500000000,61.2300000000,55.6600000000,23473068,1423326880.0000,10.007200,50.793524,21.347485,9.289833,-2730.782157
10,2016-05-03,sh.603868,60.0000000000,60.0000000000,56.0200000000,58.0900000000,61.2300000000,16617500,959515936.0000,-5.128200,48.188728,20.252742,8.813432,-2590.742047
11,2016-05-04,sh.603868,57.2000000000,58.5000000000,56.7000000000,57.5400000000,58.0900000000,10883275,625196912.0000,-0.946800,47.732474,20.060988,8.729986,-2566.212728
12,2016-05-05,sh.603868,57.0000000000,57.0000000000,55.2500000000,55.9600000000,57.5400000000,11014755,616067104.0000,-2.745900,46.421780,19.510130,8.490267,-2495.746685
13,2016-05-06,sh.603868,56.0600000000,56.8000000000,53.0000000000,53.0700000000,55.9600000000,10396728,572237472.0000,-5.164400,44.024372,18.502548,8.051796,-2366.856265
14,2016-05-09,sh.603868,52.1000000000,52.1000000000,47.9800000000,48.7300000000,53.0700000000,8631095,429605632.0000,-8.177900,40.424113,16.989432,7.393330,-2173.297640
15,2016-05-10,sh.603868,48.2000000000,52.0000000000,48.2000000000,50.3700000000,48.7300000000,9405132,475453824.0000,3.365500,41.784579,17.561209,7.642151,-2246.439609
16,2016-05-11,sh.603868,50.8800000000,50.9800000000,48.3100000000,48.3800000000,50.3700000000,6960088,343157936.0000,-3.950800,40.133769,16.867407,7.340228,-2157.688074
17,2016-05-12,sh.603868,47.0100000000,47.8500000000,45.9000000000,47.8000000000,48.3800000000,5994303,281727136.0000,-1.198800,39.652628,16.665193,7.252230,-2131.820792
18,2016-05-13,sh.603868,47.6000000000,49.4000000000,47.4000000000,48.1700000000,47.8000000000,6569982,317464608.0000,0.774100,39.959563,16.794191,7.308366,-2148.322334
19,2016-05-16,sh.603868,47.9300000000,48.7300000000,47.5000000000,48.6000000000,48.1700000000,4824838,232668331.0000,0.892700,40.316271,16.944108,7.373606,-2167.499801
20,2016-05-17,sh.603868,48.5800000000,49.6800000000,48.0100000000,48.1300000000,48.6000000000,5486460,267257136.0000,-0.967100,39.926381,16.780246,7.302298,-2146.538384
21,2016-05-18,sh.603868,47.4100000000,47.4100000000,44.0100000000,44.9500000000,48.1300000000,6753106,308310576.0000,-6.607100,37.288403,15.671557,6.819827,-2004.714323
22,2016-05-19,sh.603868,45.1300000000,45.6900000000,44.4800000000,44.6600000000,44.9500000000,4667575,210822391.0000,-0.645200,37.047832,15.570450,6.775828,-1991.780682
23,2016-05-20,sh.603868,44.0000000000,45.8600000000,43.6700000000,45.6000000000,44.6600000000,5333506,239112875.0000,2.104800,37.827612,15.898176,6.918445,-2033.703517
24,2016-05-23,sh.603868,45.5700000000,47.7400000000,45.2800000000,46.8800000000,45.6000000000,7177647,335472576.0000,2.807000,38.889440,16.344440,7.112647,-2090.789932
25,2016-05-24,sh.603868,46.5300000000,46.5500000000,45.0100000000,45.4600000000,46.8800000000,4588540,209387137.0000,-3.029000,37.711475,15.849366,6.897204,-2027.459691
26,2016-05-25,sh.603868,45.9500000000,47.2000000000,45.6200000000,47.0900000000,45.4600000000,6187085,286061296.0000,3.585600,39.063646,16.417656,7.144508,-2100.155672
27,2016-05-26,sh.603868,46.8000000000,48.0600000000,45.3900000000,47.8800000000,47.0900000000,6865688,320894368.0000,1.677600,39.718993,16.693085,7.264368,-2135.388693
28,2016-05-27,sh.603868,47.4400000000,48.9800000000,47.1200000000,47.4800000000,47.8800000000,7350440,353970176.0000,-0.835400,39.387171,16.553627,7.203679,-2117.549189
29,2016-05-30,sh.603868,46.7000000000,47.8900000000,45.9000000000,46.9700000000,47.4800000000,4982874,234290781.0000,-1.074100,38.964100,16.375818,7.126302,-2094.803820
30,2016-05-31,sh.603868,47.1500000000,50.3400000000,47.1200000000,50.1300000000,46.9700000000,9331000,459125792.0000,6.727700,41.585487,17.477534,7.605738,-2235.735906
31,2016-06-01,sh.603868,50.2000000000,52.4800000000,49.6600000000,50.4700000000,50.1300000000,9760921,498110544.0000,0.678200,41.867535,17.596073,7.657323,-2250.899485
32,2016-06-02,sh.603868,50.0300000000,54.8500000000,49.9000000000,53.7400000000,50.4700000000,11214116,581969936.0000,6.479100,44.580173,18.736140,8.153448,-2396.737435
33,2016-06-03,sh.603868,53.7000000000,54.2800000000,52.3100000000,52.6300000000,53.7400000000,9199278,488537792.0000,-2.065500,43.659369,18.349145,7.985039,-2347.232810
34,2016-06-06,sh.603868,53.2000000000,53.4500000000,51.9000000000,52.7200000000,52.6300000000,5819808,306214304.0000,0.171000,43.734029,18.380523,7.998694,-2351.246698
35,2016-06-07,sh.603868,52.7400000000,55.8000000000,52.6200000000,55.1400000000,52.7200000000,10109262,550282752.0000,4.590300,45.741547,19.224242,8.365857,-2459.175701
36,2016-06-08,sh.603868,54.1800000000,54.4900000000,52.0100000000,52.4600000000,55.1400000000,8392591,446470032.0000,-4.860400,43.518345,18.289875,7.959246,-2339.651020
37,2016-06-13,sh.603868,50.8800000000,50.8800000000,47.2100000000,47.2100000000,52.4600000000,8208742,403775536.0000,-10.007600,39.163192,16.459493,7.162715,-2105.507523
38,2016-06-14,sh.603868,46.1900000000,48.1500000000,46.1900000000,47.6400000000,47.2100000000,4433404,209585498.0000,0.910800,39.519900,16.609410,7.227955,-2124.684991
39,2016-06-15,sh.603868,47.0000000000,50.0500000000,46.5100000000,49.3000000000,47.6400000000,6359999,310862896.0000,3.484500,40.896958,17.188159,7.479810,-2198.718934
40,2016-06-16,sh.603868,49.4000000000,49.9700000000,47.9200000000,48.2000000000,49.3000000000,5008963,244833000.0000,-2.231200,39.984450,16.804651,7.312918,-2149.660297
41,2016-06-17,sh.603868,48.5000000000,49.5000000000,48.2300000000,49.4500000000,48.2000000000,5048513,247268078.0000,2.593400,41.021391,17.240456,7.502568,-2205.408749
42,2016-06-20,sh.603868,49.8000000000,54.3900000000,48.6800000000,53.9600000000,49.4500000000,11281073,584719024.0000,9.120300,44.762674,18.812841,8.186827,-2406.549162
43,2016-06-21,sh.603868,53.9600000000,57.3500000000,53.4200000000,54.8200000000,53.9600000000,13384758,734476064.0000,1.593800,45.476090,19.112675,8.317306,-2444.904097
44,2016-06-22,sh.603868,53.9900000000,57.5100000000,53.5000000000,57.0500000000,54.8200000000,11594628,651188432.0000,4.067900,47.325993,19.890152,8.655643,-2544.359335
45,2016-06-23,sh.603868,56.3100000000,58.3000000000,56.0900000000,57.2800000000,57.0500000000,9235272,528483888.0000,0.403200,47.516790,19.970340,8.690538,-2554.617050
46,2016-06-24,sh.603868,56.7000000000,57.2500000000,52.4600000000,55.0100000000,57.2800000000,9107837,503337424.0000,-3.963000,45.633705,19.178918,8.346133,-2453.377862
47,2016-06-27,sh.603868,54.0300000000,60.3000000000,53.8200000000,59.7600000000,55.0100000000,9310396,532850096.0000,8.634800,49.574081,20.834978,9.066805,-2665.221978
48,2016-06-28,sh.603868,59.0000000000,60.2900000000,58.0100000000,59.6100000000,59.7600000000,7537832,446187824.0000,-0.251000,49.449648,20.782681,9.044047,-2658.532164
49,2016-06-29,sh.603868,60.1500000000,61.8500000000,58.2800000000,59.4900000000,59.6100000000,11801139,706911136.0000,-0.201300,49.350102,20.740844,9.025840,-2653.180312
50,2016-06-30,sh.603868,57.0000000000,59.6200000000,56.5000000000,59.1500000000,59.4900000000,9396095,542432816.0000,-0.571500,49.068054,20.622305,8.974255,-2638.016734
51,2016-07-01,sh.603868,58.3000000000,60.9500000000,58.3000000000,59.5400000000,59.1500000000,7696198,459425280.0000,0.659300,49.391579,20.758276,9.033426,-2655.410251
52,2016-07-04,sh.603868,59.3800000000,62.4600000000,58.5000000000,60.9200000000,59.5400000000,8843901,537758336.0000,2.317800,50.536362,21.239405,9.242800,-2716.956541
53,2016-07-05,sh.603868,60.9200000000,62.6600000000,60.0000000000,62.2600000000,60.9200000000,13228016,813368928.0000,2.199600,51.647963,21.706588,9.446105,-2776.718881
54,2016-07-06,sh.603868,61.6100000000,61.9900000000,59.8000000000,60.5000000000,62.2600000000,8458605,513714368.0000,-2.826900,50.187950,21.092975,9.179078,-2698.225061
55,2016-07-07,sh.603868,59.8900000000,60.9600000000,58.0500000000,60.0500000000,60.5000000000,7032589,417376320.0000,-0.743800,49.814651,20.936085,9.110803,-2678.155619
56,2016-07-08,sh.603868,60.2300000000,61.8000000000,59.6300000000,60.2900000000,60.0500000000,6582157,399889824.0000,0.399700,50.013744,21.019759,9.147216,-2688.859322
57,2016-07-11,sh.603868,59.9900000000,59.9900000000,55.4100000000,56.0700000000,60.2900000000,8205224,472224672.0000,-6.999500,46.513031,19.548481,8.506957,-2500.652549
58,2016-07-12,sh.603868,56.0000000000,57.5900000000,53.7000000000,57.3300000000,56.0700000000,5863530,328445232.0000,2.247200,47.558268,19.987772,8.698124,-2556.846988
59,2016-07-13,sh.603868,57.0000000000,57.9100000000,56.4100000000,56.6300000000,57.3300000000,4703212,268591328.0000,-1.221000,46.977580,19.743721,8.591920,-2525.627855
