,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2017-09-08,sh.603882,9.9800000000,9.9800000000,9.9800000000,9.9800000000,6.9300000000,23363,233163.0000,44.011540,26.874952,3.858982,1.418462,35.907888
1,2017-09-11,sh.603882,10.9800000000,10.9800000000,10.9800000000,10.9800000000,9.9800000000,5234,57469.0000,10.020040,29.567833,4.245654,1.560592,39.505873
2,2017-09-12,sh.603882,12.0800000000,12.0800000000,12.0800000000,12.0800000000,10.9800000000,9800,118384.0000,10.018220,32.530002,4.670992,1.716936,43.463656
3,2017-09-13,sh.603882,13.2900000000,13.2900000000,13.2900000000,13.2900000000,12.0800000000,8652,114985.0000,10.016560,35.788388,5.138865,1.888914,47.817217
4,2017-09-14,sh.603882,14.6200000000,14.6200000000,14.6200000000,14.6200000000,13.2900000000,20100,293862.0000,10.007520,39.369920,5.653138,2.077947,52.602537
5,2017-09-15,sh.603882,16.0800000000,16.0800000000,16.0800000000,16.0800000000,14.6200000000,46963,755165.0000,9.986320,43.301526,6.217679,2.285458,57.855595
6,2017-09-18,sh.603882,17.6900000000,17.6900000000,17.6900000000,17.6900000000,16.0800000000,67197,1188715.0000,10.012440,47.637065,6.840220,2.514288,63.648350
7,2017-09-19,sh.603882,19.4600000000,19.4600000000,19.4600000000,19.4600000000,17.6900000000,117497,2286492.0000,10.005640,52.403464,7.524628,2.765859,70.016783
8,2017-09-20,sh.603882,21.4100000000,21.4100000000,21.4100000000,21.4100000000,19.4600000000,159068,3405646.0000,10.020560,57.654582,8.278638,3.043013,77.032854
9,2017-09-21,sh.603882,23.5500000000,23.5500000000,23.5500000000,23.5500000000,21.4100000000,135139,3182523.0000,9.995326,63.417347,9.106115,3.347172,84.732541
10,2017-09-22,sh.603882,25.9100000000,25.9100000000,25.9100000000,25.9100000000,23.5500000000,264917,6863999.0000,10.021230,69.772546,10.018660,3.682600,93.223785
11,2017-09-25,sh.603882,28.5000000000,28.5000000000,28.5000000000,28.5000000000,25.9100000000,400606,11417271.0000,9.996141,76.747108,11.020139,4.050718,102.542566
12,2017-09-26,sh.603882,31.3500000000,31.3500000000,31.3500000000,31.3500000000,28.5000000000,329111,10317630.0000,10.000000,84.421819,12.122153,4.455790,112.796822
13,2017-09-27,sh.603882,34.4900000000,34.4900000000,34.4900000000,34.4900000000,31.3500000000,539766,18616529.0000,10.015950,92.877465,13.336302,4.902079,124.094494
14,2017-09-28,sh.603882,37.9400000000,37.9400000000,37.9400000000,37.9400000000,34.4900000000,1308013,49626013.0000,10.002890,102.167905,14.670319,5.392429,136.507542
15,2017-09-29,sh.603882,41.7300000000,41.7300000000,41.7300000000,41.7300000000,37.9400000000,1915705,79942370.0000,9.989460,112.373924,16.135804,5.931104,150.143904
16,2017-10-09,sh.603882,43.7900000000,43.7900000000,39.0000000000,39.5100000000,41.7300000000,40382715,1650693166.0000,-5.319917,106.395728,15.277393,5.615574,142.156378
17,2017-10-10,sh.603882,39.6300000000,43.4600000000,39.6300000000,43.4600000000,39.5100000000,26220153,1102678238.0000,9.997472,117.032608,16.804746,6.176989,156.368418
18,2017-10-11,sh.603882,47.0000000000,47.8100000000,41.6600000000,42.1600000000,43.4600000000,35874041,1610798305.0000,-2.991255,113.531863,16.302073,5.992220,151.691037
19,2017-10-12,sh.603882,40.5000000000,41.4400000000,38.1000000000,39.4400000000,42.1600000000,23219100,923680500.0000,-6.451616,106.207226,15.250326,5.605625,141.904519
20,2017-10-13,sh.603882,38.6000000000,40.5500000000,38.2900000000,38.8300000000,39.4400000000,15714173,622007748.0000,-1.546645,104.564569,15.014457,5.518925,139.709748
21,2017-10-16,sh.603882,37.9600000000,37.9600000000,36.5000000000,36.5900000000,38.8300000000,13574467,503712169.0000,-5.768739,98.532515,14.148312,5.200553,131.650262
22,2017-10-17,sh.603882,36.8800000000,37.7800000000,36.6700000000,37.3600000000,36.5900000000,9286319,346053573.0000,2.104401,100.606034,14.446049,5.309994,134.420711
23,2017-10-18,sh.603882,37.0500000000,39.9200000000,36.9300000000,38.1400000000,37.3600000000,13891075,536823707.0000,2.087791,102.706481,14.747653,5.420855,137.227139
24,2017-10-19,sh.603882,38.2000000000,39.9900000000,37.6100000000,39.4500000000,38.1400000000,13175765,517795320.0000,3.434718,106.234155,15.254193,5.607046,141.940499
25,2017-10-20,sh.603882,38.6100000000,39.1900000000,37.1800000000,37.6300000000,39.4500000000,10362562,393282248.0000,-4.613434,101.333112,14.550451,5.348369,135.392167
26,2017-10-23,sh.603882,37.3900000000,38.4200000000,36.6100000000,38.0000000000,37.6300000000,7209188,270515758.0000,0.983255,102.329478,14.693519,5.400957,136.723421
27,2017-10-24,sh.603882,37.6300000000,37.9500000000,36.5400000000,36.9100000000,38.0000000000,6202889,230339774.0000,-2.868421,99.394237,14.272047,5.246035,132.801617
28,2017-10-25,sh.603882,36.9400000000,38.2500000000,36.7400000000,37.5100000000,36.9100000000,5571945,209752193.0000,1.625572,101.009966,14.504050,5.331313,134.960408
29,2017-10-26,sh.603882,37.7900000000,37.8700000000,36.8800000000,37.1900000000,37.5100000000,6045781,225179976.0000,-0.853105,100.148244,14.380315,5.285831,133.809053
30,2017-10-27,sh.603882,37.1200000000,37.8500000000,34.9900000000,35.2600000000,37.1900000000,10640770,387434208.0000,-5.189568,81.447997,9.717234,4.376013,52.375913
31,2017-10-30,sh.603882,34.1500000000,34.6800000000,31.7500000000,33.2500000000,35.2600000000,9068456,302175034.0000,-5.700506,76.805046,9.163302,4.126558,49.390219
32,2017-10-31,sh.603882,33.1500000000,34.9000000000,32.9300000000,34.5000000000,33.2500000000,6619687,225396990.0000,3.759398,79.692454,9.507787,4.281691,51.246994
