,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2015-05-27,sh.603885,16.1000000000,16.1000000000,16.1000000000,16.1000000000,11.1800000000,23600,379960.0000,44.007160,15.421101,4.560431,1.317821,80.661318
1,2015-05-28,sh.603885,17.7100000000,17.7100000000,17.7100000000,17.7100000000,16.1000000000,6881,121863.0000,10.000000,16.963211,5.016474,1.449603,88.727450
2,2015-05-29,sh.603885,19.4800000000,19.4800000000,19.4800000000,19.4800000000,17.7100000000,7825,152431.0000,9.994400,18.658574,5.517838,1.594481,97.595185
3,2015-06-01,sh.603885,21.4300000000,21.4300000000,21.4300000000,21.4300000000,19.4800000000,4500,96435.0000,10.010300,20.526348,6.070188,1.754093,107.364724
4,2015-06-02,sh.603885,23.5700000000,23.5700000000,23.5700000000,23.5700000000,21.4300000000,5000,117850.0000,9.986000,22.576109,6.676357,1.929257,118.086166
5,2015-06-03,sh.603885,25.9300000000,25.9300000000,25.9300000000,25.9300000000,23.5700000000,8252,213974.0000,10.012700,24.836593,7.344842,2.122428,129.909813
6,2015-06-04,sh.603885,28.5200000000,28.5200000000,28.5200000000,28.5200000000,25.9300000000,31300,892676.0000,9.988400,27.317379,8.078477,2.334425,142.885764
7,2015-06-05,sh.603885,31.3700000000,31.3700000000,31.3700000000,31.3700000000,28.5200000000,15000,470550.0000,9.993000,30.047201,8.885758,2.567704,157.164320
8,2015-06-08,sh.603885,34.5100000000,34.5100000000,34.5100000000,34.5100000000,31.3700000000,24600,848946.0000,10.009600,33.054795,9.775184,2.824720,172.895783
9,2015-06-09,sh.603885,37.9600000000,37.9600000000,37.9600000000,37.9600000000,34.5100000000,31100,1180556.0000,9.997100,36.359317,10.752419,3.107110,190.180351
10,2015-06-10,sh.603885,41.7600000000,41.7600000000,41.7600000000,41.7600000000,37.9600000000,56400,2355264.0000,10.010500,39.999079,11.828794,3.418148,209.218426
11,2015-06-11,sh.603885,45.9400000000,45.9400000000,45.9400000000,45.9400000000,41.7600000000,35500,1630870.0000,10.009600,44.002819,13.012806,3.760291,230.160309
12,2015-06-12,sh.603885,50.5300000000,50.5300000000,50.5300000000,50.5300000000,45.9400000000,37900,1915087.0000,9.991300,48.399269,14.312954,4.135992,253.156299
13,2015-06-15,sh.603885,55.5800000000,55.5800000000,55.5800000000,55.5800000000,50.5300000000,98294,5463181.0000,9.994100,53.236323,15.743399,4.549346,278.456899
14,2015-06-16,sh.603885,61.1400000000,61.1400000000,61.1400000000,61.1400000000,55.5800000000,522300,31933422.0000,10.003600,58.561871,17.318306,5.004444,306.312609
15,2015-06-17,sh.603885,67.2500000000,67.2500000000,67.2500000000,67.2500000000,61.1400000000,668342,44946000.0000,9.993500,64.414226,19.049003,5.504561,336.923830
16,2015-06-18,sh.603885,73.9800000000,73.9800000000,73.9800000000,73.9800000000,67.2500000000,1986526,146963193.0000,10.007400,70.860438,20.955320,6.055427,370.641263
17,2015-06-19,sh.603885,67.0200000000,80.1000000000,66.5800000000,68.1700000000,73.9800000000,32593597,2230480864.0000,-7.853500,65.295432,19.309599,5.579865,341.533048
18,2015-06-23,sh.603885,65.1100000000,68.1700000000,61.4000000000,65.4200000000,68.1700000000,17612269,1150351648.0000,-4.034000,62.661393,18.530644,5.354772,327.755494
19,2015-06-24,sh.603885,68.0400000000,71.9600000000,66.0000000000,69.4400000000,65.4200000000,22771760,1599856832.0000,6.144900,66.511879,19.669335,5.683818,347.895774
20,2015-06-25,sh.603885,66.5000000000,74.1800000000,63.0000000000,67.7500000000,69.4400000000,20113043,1389808672.0000,-2.433800,64.893143,19.190632,5.545487,339.428840
21,2015-06-26,sh.603885,65.0100000000,72.7800000000,63.0000000000,68.9600000000,67.7500000000,18420177,1261220528.0000,1.786000,66.052120,19.533372,5.644529,345.490964
