,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2015-02-17,sh.603939,28.0400000000,28.0400000000,28.0400000000,28.0400000000,19.4700000000,42862,1201850.0000,44.016450,31.917769,7.599124,2.011635,378.396024
1,2015-02-25,sh.603939,30.8400000000,30.8400000000,30.8400000000,30.8400000000,28.0400000000,21600,666144.0000,9.985700,35.104992,8.357952,2.212512,416.181647
2,2015-02-26,sh.603939,33.9200000000,33.9200000000,33.9200000000,33.9200000000,30.8400000000,21000,712320.0000,9.987000,38.610938,9.192663,2.433476,457.745832
3,2015-02-27,sh.603939,37.3100000000,37.3100000000,37.3100000000,37.3100000000,33.9200000000,72600,2708706.0000,9.994100,42.469756,10.111387,2.676680,503.493426
4,2015-03-02,sh.603939,41.0400000000,41.0400000000,41.0400000000,41.0400000000,37.3100000000,391499,16067119.0000,9.997300,46.715593,11.122255,2.944276,553.829274
5,2015-03-03,sh.603939,45.1400000000,45.1400000000,40.0000000000,45.1400000000,41.0400000000,25238758,1099504128.0000,9.990200,51.382599,12.233397,3.238417,609.158222
6,2015-03-04,sh.603939,43.2100000000,49.5000000000,42.4600000000,48.1900000000,45.1400000000,19386331,879896224.0000,6.756800,54.854396,13.059977,3.457229,650.317561
7,2015-03-05,sh.603939,49.7800000000,53.0100000000,49.0000000000,53.0100000000,48.1900000000,14735515,753155648.0000,10.002100,60.340974,14.366246,3.803023,715.362812
8,2015-03-06,sh.603939,52.0000000000,52.8000000000,49.6600000000,50.0900000000,53.0100000000,13055347,663741536.0000,-5.508400,57.017155,13.574897,3.593538,675.957805
9,2015-03-09,sh.603939,49.3500000000,49.4900000000,46.5100000000,48.2400000000,50.0900000000,7695673,370537136.0000,-3.693300,54.911311,13.073528,3.460816,650.992304
10,2015-03-10,sh.603939,48.0000000000,49.4700000000,47.2100000000,49.2900000000,48.2400000000,6892756,334315104.0000,2.176600,56.106520,13.358089,3.536144,665.161913
11,2015-03-11,sh.603939,48.7900000000,48.8000000000,45.8000000000,46.1600000000,49.2900000000,7979483,377379904.0000,-6.350200,52.543659,12.509827,3.311593,622.922984
12,2015-03-12,sh.603939,45.9600000000,46.5200000000,43.2900000000,44.8500000000,46.1600000000,9117272,406015952.0000,-2.838000,51.052494,12.154804,3.217612,605.244711
13,2015-03-13,sh.603939,44.5500000000,46.1500000000,44.3500000000,45.3400000000,44.8500000000,4678180,212138687.0000,1.092500,51.610258,12.287599,3.252765,611.857195
14,2015-03-16,sh.603939,46.0000000000,48.3500000000,45.5000000000,47.1500000000,45.3400000000,7240511,341524528.0000,3.992100,53.670570,12.778127,3.382617,636.282901
15,2015-03-17,sh.603939,46.9100000000,47.4000000000,45.8000000000,46.3100000000,47.1500000000,5349504,247941876.0000,-1.781500,52.714403,12.550478,3.322354,624.947214
16,2015-03-18,sh.603939,46.4000000000,47.1900000000,46.2000000000,46.5100000000,46.3100000000,5990705,279155392.0000,0.431900,52.942062,12.604680,3.336703,627.646187
17,2015-03-19,sh.603939,46.4300000000,48.0000000000,46.4300000000,47.6300000000,46.5100000000,5598147,264883527.0000,2.408100,54.216952,12.908212,3.417053,642.760436
18,2015-03-20,sh.603939,47.8600000000,48.3900000000,47.0500000000,48.0500000000,47.6300000000,5460787,260739683.0000,0.881800,54.695035,13.022036,3.447185,648.428280
19,2015-03-23,sh.603939,48.6000000000,51.6500000000,47.8000000000,51.0100000000,48.0500000000,6653806,328323776.0000,6.160200,58.064386,13.824226,3.659540,688.373081
20,2015-03-24,sh.603939,50.8100000000,50.8100000000,48.0000000000,49.1800000000,51.0100000000,5541166,273686432.0000,-3.587500,55.981308,13.328277,3.528253,663.677478
21,2015-03-25,sh.603939,49.2100000000,51.5100000000,49.1100000000,50.8000000000,49.1800000000,5898959,298310464.0000,3.294000,57.825344,13.767314,3.644474,685.539159
22,2015-03-26,sh.603939,49.9500000000,52.9900000000,48.5100000000,50.2000000000,50.8000000000,4872579,247014660.0000,-1.181100,57.142368,13.604708,3.601429,677.442240
23,2015-03-27,sh.603939,50.6000000000,55.2200000000,50.6000000000,55.2200000000,50.2000000000,7040138,376461504.0000,10.000000,62.856604,14.965179,3.961572,745.186464
24,2015-03-30,sh.603939,55.6000000000,56.2000000000,53.4100000000,54.5500000000,55.2200000000,6859124,374891120.0000,-1.213300,62.093947,14.783602,3.913505,736.144904
25,2015-03-31,sh.603939,53.8000000000,54.9000000000,53.0400000000,53.9000000000,54.5500000000,3779324,203968357.0000,-1.191600,61.354056,14.607445,3.866873,727.373242
26,2015-04-01,sh.603939,53.9000000000,55.1600000000,53.5700000000,54.7200000000,53.9000000000,2899388,157505428.0000,1.521300,62.287457,14.829674,3.925701,738.439032
27,2015-04-02,sh.603939,56.1000000000,58.6100000000,55.4200000000,56.2600000000,54.7200000000,4991534,283740496.0000,2.814300,64.040430,15.247029,4.036184,759.221124
28,2015-04-03,sh.603939,55.0000000000,58.5000000000,54.0000000000,56.3400000000,56.2600000000,3922392,220208917.0000,0.142200,64.131494,15.268710,4.041923,760.300713
29,2015-04-07,sh.603939,57.3000000000,61.9700000000,56.4000000000,61.9700000000,56.3400000000,7552778,458758848.0000,9.992900,70.540090,16.794497,4.445828,836.276805
30,2015-04-08,sh.603939,62.6000000000,65.8000000000,61.7700000000,63.2400000000,61.9700000000,6272785,399207504.0000,2.049400,71.985724,17.138680,4.536940,853.415284
31,2015-04-09,sh.603939,63.3300000000,69.5000000000,60.1000000000,69.1700000000,63.2400000000,5205205,336060416.0000,9.377000,78.735808,18.745770,4.962368,933.439836
32,2015-04-10,sh.603939,66.9000000000,75.4000000000,66.5300000000,71.2900000000,69.1700000000,4124169,293891040.0000,3.064900,81.148992,19.320311,5.114460,962.048950
33,2015-04-13,sh.603939,71.2000000000,78.4200000000,70.1900000000,78.4200000000,71.2900000000,3900487,292157216.0000,10.001400,89.265029,21.252613,5.625978,1058.267340
34,2015-04-14,sh.603939,79.0800000000,84.0000000000,73.9800000000,76.4300000000,78.4200000000,4576161,353683952.0000,-2.537600,86.999824,20.713303,5.483212,1031.412558
35,2015-04-15,sh.603939,73.5800000000,75.8600000000,70.0000000000,73.3100000000,76.4300000000,3289405,237102786.0000,-4.082200,83.448346,19.867752,5.259378,989.308578
36,2015-04-16,sh.603939,72.6000000000,77.0000000000,69.0200000000,72.4600000000,73.3100000000,3366421,246054617.0000,-1.159500,82.480796,19.637393,5.198398,977.837943
37,2015-04-17,sh.603939,73.0000000000,74.2000000000,70.7000000000,71.7800000000,72.4600000000,2181811,156827023.0000,-0.938400,81.706756,19.453106,5.149613,968.661434
38,2015-04-20,sh.603939,70.6000000000,72.9900000000,70.1000000000,70.9900000000,71.7800000000,2412749,170999774.0000,-1.100600,80.807504,19.239008,5.092938,958.000491
