,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2012-10-09,sh.603993,8.7000000000,9.6800000000,8.6600000000,9.6300000000,3.0000000000,175040418,1571741690.0000,221.000000,38.620996,4.384790,8.221596,-99.002891
1,2012-10-10,sh.603993,9.8800000000,10.5900000000,8.9900000000,10.5900000000,9.6300000000,146349124,1397022023.0000,9.968800,42.471064,4.821903,9.041194,-108.872338
2,2012-10-11,sh.603993,10.1100000000,10.4400000000,9.5300000000,9.6800000000,10.5900000000,120872279,1213281052.0000,-8.593000,38.821521,4.407556,8.264283,-99.516925
3,2012-10-12,sh.603993,9.4500000000,9.7600000000,9.0300000000,9.0900000000,9.6800000000,75998677,709372476.0000,-6.095000,36.455333,4.138914,7.760572,-93.451327
4,2012-10-15,sh.603993,9.1000000000,9.2700000000,8.8500000000,9.1100000000,9.0900000000,55633510,504666843.0000,0.220000,36.535543,4.148020,7.777647,-93.656941
5,2012-10-16,sh.603993,9.0000000000,9.1500000000,8.7900000000,8.8600000000,9.1100000000,43095012,386985012.0000,-2.744200,35.532921,4.034189,7.564210,-91.086772
6,2012-10-17,sh.603993,8.8800000000,8.9500000000,8.5300000000,8.7600000000,8.8600000000,45126451,393767565.0000,-1.128700,35.131872,3.988656,7.478835,-90.058705
7,2012-10-18,sh.603993,8.7500000000,9.1000000000,8.6900000000,9.0100000000,8.7600000000,55210820,491810765.0000,2.853900,36.134494,4.102488,7.692272,-92.628873
8,2012-10-19,sh.603993,8.9800000000,8.9800000000,8.6600000000,8.6900000000,9.0100000000,35181409,310167487.0000,-3.551616,34.851138,3.956784,7.419072,-89.339058
9,2012-10-22,sh.603993,8.5000000000,8.5700000000,8.3000000000,8.5300000000,8.6900000000,31156050,263086740.0000,-1.841200,34.209460,3.883931,7.282473,-87.694150
10,2012-10-23,sh.603993,8.6000000000,9.2800000000,8.5100000000,8.9400000000,8.5300000000,65124957,582180336.0000,4.806600,35.853760,4.070615,7.632509,-91.909226
11,2012-10-24,sh.603993,8.7900000000,8.8300000000,8.6200000000,8.7900000000,8.9400000000,31220333,272258058.0000,-1.677900,35.252187,4.002316,7.504447,-90.367125
12,2012-10-25,sh.603993,8.7000000000,8.8600000000,8.3600000000,8.5000000000,8.7900000000,32584679,280109595.0000,-3.299200,36.734898,3.612354,7.648581,31.556964
13,2012-10-26,sh.603993,8.5100000000,8.5500000000,7.9000000000,7.9900000000,8.5000000000,33099025,269476876.0000,-6.000000,34.530804,3.395613,7.189666,29.663546
14,2012-10-29,sh.603993,7.9100000000,8.0600000000,7.8400000000,8.0100000000,7.9900000000,16396693,130437190.0000,0.250300,34.617239,3.404113,7.207663,29.737798
