,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2021-04-20,sh.605117,39.2900000000,47.1500000000,39.2900000000,47.1500000000,32.7400000000,386447,18219427.6300,44.013400,21.040764,9.278441,2.661353,79.699231
1,2021-04-21,sh.605117,51.8700000000,51.8700000000,51.8700000000,51.8700000000,47.1500000000,124800,6473376.0000,10.010600,23.147072,10.207269,2.927770,87.677605
2,2021-04-22,sh.605117,57.0600000000,57.0600000000,57.0600000000,57.0600000000,51.8700000000,64774,3696004.4400,10.005800,25.463118,11.228587,3.220717,96.450437
3,2021-04-23,sh.605117,62.7700000000,62.7700000000,62.7700000000,62.7700000000,57.0600000000,392592,24642999.8400,10.007000,28.011215,12.352232,3.543014,106.102242
4,2021-04-26,sh.605117,69.0500000000,69.0500000000,56.7200000000,57.6400000000,62.7700000000,23937620,1511622241.1300,-8.172700,25.721944,11.342722,3.253455,97.430831
5,2021-04-27,sh.605117,55.6400000000,56.0000000000,51.8800000000,52.0400000000,57.6400000000,16265882,863761592.6500,-9.715500,23.222935,10.240723,2.937366,87.964962
6,2021-04-28,sh.605117,50.0000000000,52.0000000000,49.4200000000,50.3200000000,52.0400000000,8970213,453476521.8300,-3.305100,22.455382,9.902252,2.840282,85.057588
7,2021-04-29,sh.605117,50.0800000000,52.5000000000,50.0800000000,51.3300000000,50.3200000000,7852170,404392081.6500,2.007200,22.906096,10.101005,2.897290,86.764825
8,2021-04-30,sh.605117,51.0000000000,51.0200000000,47.4300000000,47.7500000000,51.3300000000,8838598,431102998.3500,-6.974500,18.644030,8.422947,2.419584,15.668409
9,2021-05-06,sh.605117,46.9500000000,49.0800000000,46.3600000000,48.1800000000,47.7500000000,5635799,271033611.3600,0.900500,18.811924,8.498798,2.441373,15.809507
10,2021-05-07,sh.605117,48.1900000000,49.2000000000,47.3100000000,47.4500000000,48.1800000000,5349234,258081323.5400,-1.515200,18.526895,8.370028,2.404382,15.569969
