,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2020-09-11,sh.605358,5.9000000000,7.0800000000,5.9000000000,7.0800000000,4.9200000000,146297,1034257.0200,43.902400,22.771343,1.804009,2.263176,10.360263
1,2020-09-14,sh.605358,7.7900000000,7.7900000000,7.7900000000,7.7900000000,7.0800000000,45907,357615.5300,10.028200,25.054910,1.984919,2.490133,11.399216
2,2020-09-15,sh.605358,8.5700000000,8.5700000000,8.5700000000,8.5700000000,7.7900000000,27128,232486.9600,10.012800,27.563617,2.183666,2.739466,12.540601
3,2020-09-16,sh.605358,9.4300000000,9.4300000000,9.4300000000,9.4300000000,8.5700000000,40715,383942.4500,10.035000,30.329628,2.402797,3.014372,13.799051
4,2020-09-17,sh.605358,10.3700000000,10.3700000000,10.3700000000,10.3700000000,9.4300000000,107299,1112690.6300,9.968200,33.352942,2.642312,3.314850,15.174566
5,2020-09-18,sh.605358,11.4100000000,11.4100000000,11.4100000000,11.4100000000,10.3700000000,62357,711493.3700,10.028900,36.697885,2.907308,3.647294,16.696412
6,2020-09-21,sh.605358,12.5500000000,12.5500000000,12.5500000000,12.5500000000,11.4100000000,65835,826229.2500,9.991200,40.364457,3.197784,4.011704,18.364590
7,2020-09-22,sh.605358,13.8100000000,13.8100000000,13.8100000000,13.8100000000,12.5500000000,88112,1216826.7200,10.039800,44.416984,3.518836,4.414472,20.208366
8,2020-09-23,sh.605358,15.1900000000,15.1900000000,15.1900000000,15.1900000000,13.8100000000,183031,2780240.8900,9.992800,48.855467,3.870465,4.855600,22.227739
9,2020-09-24,sh.605358,16.7100000000,16.7100000000,16.7100000000,16.7100000000,15.1900000000,172238,2878096.9800,10.006600,53.744229,4.257766,5.341480,24.451976
10,2020-09-25,sh.605358,18.3800000000,18.3800000000,18.3800000000,18.3800000000,16.7100000000,129194,2374585.7200,9.994000,59.115436,4.683288,5.875308,26.895710
11,2020-09-28,sh.605358,20.2200000000,20.2200000000,20.2200000000,20.2200000000,18.3800000000,212322,4293150.8400,10.010900,65.033412,5.152126,6.463478,29.588208
12,2020-09-29,sh.605358,22.2400000000,22.2400000000,22.2400000000,22.2400000000,20.2200000000,257750,5732360.0000,9.990100,71.530321,5.666829,7.109186,32.544102
13,2020-09-30,sh.605358,24.4600000000,24.4600000000,24.4600000000,24.4600000000,22.2400000000,479051,11717587.4600,9.982000,78.670488,6.232493,7.818826,35.792659
14,2020-10-09,sh.605358,26.9100000000,26.9100000000,26.9100000000,26.9100000000,24.4600000000,1148943,30918056.1300,10.016400,86.550402,6.856761,8.601988,39.377779
15,2020-10-12,sh.605358,29.6000000000,29.6000000000,29.6000000000,29.6000000000,26.9100000000,336670,9965432.0000,9.996300,95.202226,7.542183,9.461867,43.314093
16,2020-10-13,sh.605358,32.5600000000,32.5600000000,32.5600000000,32.5600000000,29.6000000000,166930,5435240.8000,10.000000,104.722448,8.296401,10.408053,47.645502
17,2020-10-14,sh.605358,35.8200000000,35.8200000000,35.8200000000,35.8200000000,32.5600000000,114086,4086560.5200,10.012300,115.207558,9.127060,11.450137,52.415906
18,2020-10-15,sh.605358,39.4000000000,39.4000000000,39.4000000000,39.4000000000,35.8200000000,175632,6919900.8000,9.994400,126.721882,10.039257,12.594512,57.654570
19,2020-10-16,sh.605358,43.3400000000,43.3400000000,43.3400000000,43.3400000000,39.4000000000,655344,28402608.9600,10.000000,139.394070,11.043182,13.853963,63.420027
