,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2019-07-22,sh.688009,11.7000000000,15.2100000000,7.6900000000,12.2700000000,5.8500000000,923624416,9762393837.0000,109.743600,37.515307,4.859317,3.166698,112.844354
1,2019-07-23,sh.688009,9.8800000000,10.9800000000,9.6100000000,10.0100000000,12.2700000000,411158512,4234132942.0000,-18.418910,30.605397,3.964284,2.583427,92.059657
2,2019-07-24,sh.688009,10.0900000000,10.2600000000,9.9000000000,10.2000000000,10.0100000000,311232976,3139970856.0000,1.898098,31.186319,4.039530,2.632463,93.807043
3,2019-07-25,sh.688009,10.1400000000,10.9000000000,10.1000000000,10.6100000000,10.2000000000,351993488,3726893993.0000,4.019607,32.439886,4.201903,2.738278,97.577718
4,2019-07-26,sh.688009,10.3900000000,10.4400000000,9.9600000000,10.0100000000,10.6100000000,231952760,2354692960.0000,-5.655000,30.605397,3.964284,2.583427,92.059657
5,2019-07-29,sh.688009,10.1000000000,10.4200000000,10.0500000000,10.2800000000,10.0100000000,198419330,2037957478.0000,2.697298,31.430917,4.071213,2.653110,94.542784
6,2019-07-30,sh.688009,10.2300000000,10.3400000000,10.1000000000,10.2300000000,10.2800000000,180915589,1852742681.0000,-0.486400,31.278043,4.051411,2.640206,94.082946
7,2019-07-31,sh.688009,10.2300000000,10.5300000000,10.1900000000,10.3300000000,10.2300000000,203908274,2113686162.0000,0.977500,31.583791,4.091014,2.666014,95.002623
8,2019-08-01,sh.688009,10.1800000000,10.6400000000,10.1300000000,10.5800000000,10.3300000000,288884368,3002194277.0000,2.420100,32.348162,4.190022,2.730535,97.301815
9,2019-08-02,sh.688009,10.3500000000,12.6800000000,10.3200000000,12.1200000000,10.5800000000,602930304,7015715630.0000,14.555800,37.056684,4.799912,3.127985,111.464839
10,2019-08-05,sh.688009,12.1200000000,12.6000000000,11.6400000000,12.5600000000,12.1200000000,405434992,4990728831.0000,3.630400,38.401977,4.974167,3.241543,115.511417
11,2019-08-06,sh.688009,12.3800000000,13.7700000000,11.5500000000,12.0300000000,12.5600000000,552891584,7108867991.0000,-4.219800,36.781511,4.764269,3.104758,110.637130
12,2019-08-07,sh.688009,12.3000000000,12.4700000000,11.3300000000,11.8300000000,12.0300000000,335031888,3971673723.0000,-1.662500,36.170015,4.685063,3.053141,108.797776
