,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2019-07-22,sh.688012,109.8000000000,125.0000000000,62.0000000000,81.0300000000,29.0100000000,36520183,3090029229.0000,179.317500,271.794417,20.336638,22.165481,360.505232
1,2019-07-23,sh.688012,74.9600000000,89.7900000000,74.9000000000,83.2800000000,81.0300000000,17441884,1465149109.0000,2.776749,279.341467,20.901336,22.780961,370.515559
2,2019-07-24,sh.688012,84.0000000000,85.9800000000,81.2000000000,85.0000000000,83.2800000000,13791161,1154103564.0000,2.065323,285.110767,21.333015,23.251461,378.167897
3,2019-07-25,sh.688012,84.3000000000,89.8900000000,83.8000000000,87.1100000000,85.0000000000,16005684,1392563677.0000,2.482354,292.188222,21.862576,23.828644,387.555359
4,2019-07-26,sh.688012,85.0000000000,86.5000000000,78.0000000000,78.5900000000,87.1100000000,12001208,981437289.0000,-9.780700,263.610061,19.724255,21.498027,349.649589
5,2019-07-29,sh.688012,78.8000000000,83.5000000000,78.8000000000,82.0300000000,78.5900000000,9232525,754175976.0000,4.377151,275.148661,20.587615,22.439027,364.954266
6,2019-07-30,sh.688012,82.2000000000,84.5000000000,80.5800000000,83.7800000000,82.0300000000,10526392,876202420.0000,2.133400,281.018589,21.026824,22.917734,372.740076
7,2019-07-31,sh.688012,83.8100000000,91.8800000000,83.8100000000,88.4800000000,83.7800000000,16798110,1490764789.0000,5.609900,296.783537,22.206414,24.203403,393.650536
8,2019-08-01,sh.688012,86.6500000000,91.5900000000,85.9300000000,91.0500000000,88.4800000000,16036874,1423165416.0000,2.904600,305.403945,22.851424,24.906418,405.084554
9,2019-08-02,sh.688012,88.6000000000,102.3000000000,88.0600000000,95.5000000000,91.0500000000,21739755,2066907062.0000,4.887400,320.330332,23.968270,26.123700,424.882755
10,2019-08-05,sh.688012,94.9900000000,99.5100000000,90.1100000000,99.3700000000,95.5000000000,16109072,1547800241.0000,4.052400,333.311258,24.939550,27.182325,442.100517
11,2019-08-06,sh.688012,97.0000000000,106.5000000000,87.5000000000,91.0000000000,99.3700000000,21003763,2109266742.0000,-8.423100,305.236233,22.838875,24.892740,404.862102
12,2019-08-07,sh.688012,92.9900000000,94.3500000000,85.7000000000,90.0100000000,91.0000000000,12660483,1138874592.0000,-1.087900,301.915531,22.590409,24.621929,400.457558
13,2019-08-08,sh.688012,90.0000000000,92.5500000000,86.5000000000,86.5000000000,90.0100000000,9782281,874599345.0000,-3.899600,290.142133,21.709480,23.661781,384.841448
14,2019-08-09,sh.688012,87.0000000000,87.8000000000,81.5100000000,81.8800000000,86.5000000000,9546931,801101422.0000,-5.341000,274.645525,20.549968,22.397995,364.286911
15,2019-08-12,sh.688012,81.7500000000,84.4500000000,78.9800000000,82.9300000000,81.8800000000,7021680,575536805.0000,1.282400,278.167481,20.813494,22.685219,368.958397
16,2019-08-13,sh.688012,82.8000000000,83.8700000000,81.0200000000,83.7400000000,82.9300000000,5595248,463306203.0000,0.976700,280.884419,21.016785,22.906792,372.562114
17,2019-08-14,sh.688012,84.6700000000,85.0600000000,83.0000000000,84.0000000000,83.7400000000,5915410,497940268.0000,0.310500,281.756522,21.082039,22.977914,373.718863
18,2019-08-15,sh.688012,81.4700000000,83.1700000000,80.9000000000,83.0100000000,84.0000000000,5346393,439399673.0000,-1.178600,278.435821,20.833572,22.707103,369.314320
19,2019-08-16,sh.688012,83.0100000000,84.4100000000,82.2000000000,82.6000000000,83.0100000000,4841838,402648199.0000,-0.493900,277.060580,20.730672,22.594949,367.490216
20,2019-08-19,sh.688012,82.6100000000,83.3800000000,80.6100000000,82.9500000000,82.6000000000,6210595,509520901.0000,0.423700,278.234566,20.818513,22.690690,369.047377
21,2019-08-20,sh.688012,83.0000000000,85.0000000000,82.5200000000,84.0500000000,82.9500000000,6855238,574183791.0000,1.326100,281.924235,21.094588,22.991592,373.941315
22,2019-08-21,sh.688012,83.6900000000,84.6600000000,79.5000000000,79.6000000000,84.0500000000,7440739,606012852.0000,-5.294500,266.997847,19.977742,21.774309,354.143113
23,2019-08-22,sh.688012,80.9900000000,86.5100000000,80.2600000000,82.6000000000,79.6000000000,11053404,925638495.0000,3.768800,328.492539,20.569669,22.372712,-4657.356449
24,2019-08-23,sh.688012,81.0200000000,81.8000000000,74.0100000000,75.4500000000,82.6000000000,11264204,876105433.0000,-8.656200,300.057652,18.789122,20.436091,-4254.207556
25,2019-08-26,sh.688012,75.3000000000,76.7600000000,74.0800000000,74.9200000000,75.4500000000,4700089,353410541.0000,-0.702500,297.949891,18.657138,20.292537,-4224.323792
26,2019-08-27,sh.688012,74.6000000000,75.6400000000,74.1800000000,75.3100000000,74.9200000000,3908419,292896992.0000,0.520600,299.500885,18.754258,20.398171,-4246.313731
27,2019-08-28,sh.688012,75.0000000000,75.5000000000,72.5100000000,72.6000000000,75.3100000000,4661423,345094238.0000,-3.598500,288.723466,18.079394,19.664151,-4093.511843
28,2019-08-29,sh.688012,72.8000000000,73.0800000000,69.6900000000,71.5000000000,72.6000000000,5494909,389484281.0000,-1.515100,284.348868,17.805464,19.366209,-4031.488936
29,2019-08-30,sh.688012,71.7900000000,72.3600000000,70.6500000000,70.7100000000,71.5000000000,3367142,241119809.0000,-1.104900,281.207112,17.608732,19.152233,-3986.945212
30,2019-09-02,sh.688012,71.7100000000,73.8600000000,70.7100000000,72.8200000000,70.7100000000,4209172,305846002.0000,2.984000,289.598386,18.134180,19.723740,-4105.916424
31,2019-09-03,sh.688012,72.2900000000,78.3800000000,72.2800000000,76.8600000000,72.8200000000,7565368,575654777.0000,5.547900,305.665091,19.140251,20.817998,-4333.709645
32,2019-09-04,sh.688012,77.8200000000,82.8900000000,76.8900000000,77.4000000000,76.8600000000,9248514,739900142.0000,0.702600,307.812621,19.274726,20.964260,-4364.157254
33,2019-09-05,sh.688012,76.8000000000,79.3000000000,76.0100000000,77.9000000000,77.4000000000,5786848,449703454.0000,0.646000,309.801075,19.399240,21.099688,-4392.349484
34,2019-09-06,sh.688012,77.0000000000,78.1800000000,75.0000000000,75.2000000000,77.9000000000,4509972,344287254.0000,-3.466000,299.063425,18.726865,20.368377,-4240.111441
35,2019-09-09,sh.688012,75.5000000000,77.4200000000,75.2000000000,76.2800000000,75.2000000000,3400839,260159204.0000,1.436200,303.358485,18.995815,20.660902,-4301.006658
36,2019-09-10,sh.688012,76.3100000000,78.5000000000,76.3000000000,76.9500000000,76.2800000000,3453237,267366630.0000,0.878300,306.023013,19.162664,20.842375,-4338.784247
37,2019-09-11,sh.688012,76.9100000000,77.7600000000,76.1300000000,76.1300000000,76.9500000000,2840615,218384378.0000,-1.065600,302.761949,18.958461,20.620273,-4292.548989
38,2019-09-12,sh.688012,76.1300000000,76.2800000000,72.6200000000,73.0400000000,76.1300000000,3993047,293891851.0000,-4.058800,290.473305,18.188966,19.783328,-4118.321006
39,2019-09-16,sh.688012,73.0500000000,73.8600000000,72.8300000000,73.2200000000,73.0400000000,1824180,133578479.0000,0.246400,291.189149,18.233791,19.832082,-4128.470208
40,2019-09-17,sh.688012,72.8300000000,73.5000000000,71.4600000000,71.4800000000,73.2200000000,2020646,145816134.0000,-2.376400,284.269330,17.800483,19.360792,-4030.361247
41,2019-09-18,sh.688012,71.5100000000,71.8400000000,70.0200000000,70.5000000000,71.4800000000,1900315,134071204.0000,-1.371000,280.371961,17.556436,19.095353,-3975.104475
42,2019-09-19,sh.688012,70.5000000000,73.2300000000,70.2400000000,72.5300000000,70.5000000000,3092492,224029842.0000,2.879400,288.445083,18.061962,19.645191,-4089.564931
43,2019-09-20,sh.688012,72.0300000000,73.9300000000,72.0300000000,73.4300000000,72.5300000000,2681099,196235885.0000,1.240900,292.024299,18.286087,19.888962,-4140.310945
44,2019-09-23,sh.688012,73.3100000000,76.6800000000,71.1700000000,75.9800000000,73.4300000000,3753503,278171155.0000,3.472700,302.165413,18.921107,20.579645,-4284.091320
45,2019-09-24,sh.688012,75.5000000000,84.3000000000,75.2300000000,81.5700000000,75.9800000000,11289066,916838553.0000,7.357200,324.396324,20.313170,22.093730,-4599.280455
46,2019-09-25,sh.688012,80.8900000000,81.9000000000,76.8800000000,77.2000000000,81.5700000000,6255140,492648318.0000,-5.357400,307.017240,19.224920,20.910089,-4352.880362
47,2019-09-26,sh.688012,77.8900000000,78.0000000000,70.9000000000,70.9700000000,77.2000000000,6068111,445279986.0000,-8.069900,282.241107,17.673479,19.222656,-4001.605172
48,2019-09-27,sh.688012,70.9800000000,73.8000000000,69.9800000000,72.5700000000,70.9700000000,3232391,232385744.0000,2.254500,288.604159,18.071923,19.656025,-4091.820309
49,2019-09-30,sh.688012,72.5000000000,72.9500000000,67.9700000000,68.8500000000,72.5700000000,3680576,256385792.0000,-5.126100,273.810064,17.145541,18.648441,-3882.070115
50,2019-10-08,sh.688012,67.9100000000,69.4500000000,66.6600000000,66.9100000000,68.8500000000,2498744,169964172.0000,-2.817700,266.094864,16.662428,18.122980,-3772.684262
51,2019-10-09,sh.688012,66.8000000000,68.5000000000,66.3600000000,68.3000000000,66.9100000000,1543275,104680616.0000,2.077400,271.622765,17.008576,18.499470,-3851.058662
52,2019-10-10,sh.688012,68.7000000000,69.8100000000,68.1600000000,69.3400000000,68.3000000000,1693131,116835558.0000,1.522700,275.758749,17.267564,18.781160,-3909.698501
53,2019-10-11,sh.688012,69.5800000000,69.5800000000,67.6500000000,67.9500000000,69.3400000000,1706595,116375060.0000,-2.004600,270.230848,16.921416,18.404670,-3831.324101
54,2019-10-14,sh.688012,68.6400000000,68.9700000000,67.0000000000,68.3600000000,67.9500000000,2151170,146959571.0000,0.603400,271.861380,17.023518,18.515721,-3854.441730
55,2019-10-15,sh.688012,68.2300000000,68.7600000000,66.6800000000,66.7300000000,68.3600000000,1988198,134219899.0000,-2.384400,265.379021,16.617603,18.074226,-3762.535059
56,2019-10-16,sh.688012,66.9000000000,67.2900000000,64.7300000000,64.8000000000,66.7300000000,2181753,143481191.0000,-2.892300,257.703590,16.136980,17.551474,-3653.713050
57,2019-10-17,sh.688012,64.7400000000,65.1500000000,63.4700000000,63.6900000000,64.8000000000,1730317,110874031.0000,-1.713000,253.289223,15.860559,17.250824,-3591.126298
58,2019-10-18,sh.688012,64.0000000000,65.7400000000,63.8000000000,64.1500000000,63.6900000000,2104100,136530350.0000,0.722300,255.118600,15.975112,17.375417,-3617.063150
59,2019-10-21,sh.688012,63.6000000000,63.9900000000,60.0800000000,61.4600000000,64.1500000000,2415364,149199242.0000,-4.193300,244.420720,15.305228,16.646814,-3465.388951
60,2019-10-22,sh.688012,61.0000000000,62.6200000000,61.0000000000,62.0300000000,61.4600000000,1163414,71998959.0000,0.927400,246.687557,15.447174,16.801202,-3497.528094
