,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2019-07-22,sh.688029,113.0200000000,136.3700000000,87.1000000000,110.5100000000,52.4500000000,20091446,2146542190.0000,110.695900,64.659679,20.167248,13.407716,115.921210
1,2019-07-23,sh.688029,126.0000000000,133.3000000000,119.6600000000,123.4600000000,110.5100000000,13109892,1653966709.0000,11.718390,72.236756,22.530526,14.978886,129.505317
2,2019-07-24,sh.688029,123.9000000000,128.9900000000,118.0000000000,128.5800000000,123.4600000000,10490032,1304623366.0000,4.147095,75.232481,23.464888,15.600074,134.876022
3,2019-07-25,sh.688029,126.0000000000,138.9800000000,125.2800000000,130.7500000000,128.5800000000,11089888,1455802046.0000,1.687664,76.502154,23.860896,15.863351,137.152277
4,2019-07-26,sh.688029,128.0000000000,128.9800000000,120.1000000000,122.8800000000,130.7500000000,7628348,946405401.0000,-6.019100,71.897397,22.424680,14.908517,128.896917
5,2019-07-29,sh.688029,124.1100000000,129.8800000000,124.1100000000,129.0300000000,122.8800000000,7428607,946355116.0000,5.004884,75.495777,23.547009,15.654671,135.348056
6,2019-07-30,sh.688029,128.0000000000,135.4200000000,125.6000000000,135.0700000000,129.0300000000,10189712,1328903310.0000,4.681100,79.029797,24.649264,16.387479,141.683810
7,2019-07-31,sh.688029,133.0000000000,134.6000000000,128.5000000000,132.9900000000,135.0700000000,7987360,1056385091.0000,-1.539900,77.812783,24.269680,16.135121,139.501961
8,2019-08-01,sh.688029,129.5000000000,136.9000000000,127.9100000000,135.2700000000,132.9900000000,8574617,1140674850.0000,1.714400,79.146817,24.685762,16.411744,141.893603
9,2019-08-02,sh.688029,132.0000000000,148.6600000000,131.2000000000,138.3600000000,135.2700000000,13204754,1831466977.0000,2.284300,80.954784,25.249664,16.786641,145.134907
10,2019-08-05,sh.688029,137.0000000000,139.6700000000,132.0000000000,139.2800000000,138.3600000000,8347632,1146695838.0000,0.664900,81.493078,25.417557,16.898260,146.099956
11,2019-08-06,sh.688029,136.0200000000,143.5000000000,128.0000000000,129.2600000000,139.2800000000,10568626,1454148096.0000,-7.194100,75.630351,23.588982,15.682576,135.589318
12,2019-08-07,sh.688029,131.0000000000,132.0000000000,123.6000000000,127.0700000000,129.2600000000,6839929,871653182.0000,-1.694300,74.348976,23.189324,15.416872,133.292083
