,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2020-12-30,sh.688063,200.0100000000,260.0500000000,193.7700000000,235.2900000000,56.0000000000,27304678,5848337315.1900,320.160700,134.841258,56.768922,31.557147,330.426404
1,2020-12-31,sh.688063,245.0000000000,261.0000000000,240.1000000000,258.6200000000,235.2900000000,9792473,2458007028.4000,9.915400,148.211339,62.397801,34.686172,363.189581
2,2021-01-04,sh.688063,269.8000000000,318.0000000000,260.1800000000,301.0100000000,258.6200000000,8813642,2488008016.0300,16.390800,172.504428,72.625327,40.371528,422.719418
3,2021-01-05,sh.688063,301.8700000000,324.0000000000,286.1200000000,300.1300000000,301.0100000000,7680894,2317841583.7200,-0.292300,172.000113,72.413007,40.253502,421.483601
4,2021-01-06,sh.688063,307.0000000000,330.0000000000,301.0000000000,313.0000000000,300.1300000000,6547570,2056984632.0200,4.288100,179.375722,75.518180,41.979630,439.557416
5,2021-01-07,sh.688063,310.0300000000,348.0000000000,298.0300000000,344.0000000000,313.0000000000,6075752,1957374455.8600,9.904200,197.141369,82.997616,46.137357,483.091856
6,2021-01-08,sh.688063,343.0000000000,346.0000000000,309.6000000000,319.0000000000,344.0000000000,5709383,1843097857.2200,-7.267400,182.814234,76.965813,42.784351,447.983436
7,2021-01-11,sh.688063,322.0000000000,327.5200000000,280.0000000000,287.6000000000,319.0000000000,6683112,1994160041.7200,-9.843300,164.819354,69.389867,38.572976,403.887261
8,2021-01-12,sh.688063,288.0100000000,304.5800000000,279.5100000000,295.0000000000,287.6000000000,4582615,1341220754.9500,2.573000,169.060185,71.175281,39.565466,414.279353
9,2021-01-13,sh.688063,291.9000000000,308.0000000000,269.8000000000,279.8000000000,295.0000000000,4911948,1418838936.5500,-5.152500,160.349288,67.507945,37.526838,392.933434
10,2021-01-14,sh.688063,275.0000000000,291.9800000000,274.0000000000,275.1000000000,279.8000000000,3743147,1059111466.3600,-1.679800,157.655786,66.373966,36.896473,386.333051
11,2021-01-15,sh.688063,274.0000000000,282.8000000000,256.6000000000,279.6000000000,275.1000000000,4814255,1291018259.0200,1.635800,160.234671,67.459690,37.500014,392.652567
12,2021-01-18,sh.688063,270.4500000000,285.0000000000,265.0000000000,276.2800000000,279.6000000000,3745257,1033254006.8500,-1.187400,158.332027,66.658667,37.054735,387.990169
13,2021-01-19,sh.688063,275.3900000000,297.9000000000,275.0000000000,280.5000000000,276.2800000000,3196743,919621661.1900,1.527400,160.750447,67.676835,37.620722,393.916470
14,2021-01-20,sh.688063,280.5000000000,293.9800000000,273.0000000000,290.3800000000,280.5000000000,3056958,872255243.9600,3.522300,166.412531,70.060604,38.945830,407.791318
15,2021-01-21,sh.688063,289.0000000000,296.1900000000,281.2200000000,282.0100000000,290.3800000000,2985538,859674325.0100,-2.882400,161.615806,68.041156,37.823244,396.037019
16,2021-01-22,sh.688063,287.0000000000,306.6000000000,287.0000000000,297.0100000000,282.0100000000,4359285,1301987082.0900,5.319000,170.212087,71.660238,39.835047,417.102070
17,2021-01-25,sh.688063,303.0000000000,342.6600000000,302.4000000000,321.0000000000,297.0100000000,4886414,1576594390.3400,8.077200,183.960405,77.448357,43.052591,450.792110
18,2021-01-26,sh.688063,321.0000000000,332.0000000000,306.7000000000,322.5000000000,321.0000000000,3269773,1041608204.9600,0.467300,184.820033,77.810265,43.253772,452.898615
19,2021-01-27,sh.688063,318.7900000000,325.9800000000,290.0000000000,309.0000000000,322.5000000000,3325048,1015268941.0900,-4.186000,177.083381,74.553091,41.443149,433.940069
20,2021-01-28,sh.688063,296.0000000000,302.5000000000,274.0000000000,274.0000000000,309.0000000000,4189310,1199372633.4000,-11.326900,157.025392,66.108566,36.748941,384.788281
21,2021-01-29,sh.688063,266.0000000000,269.9100000000,231.0000000000,238.0000000000,274.0000000000,5259034,1320831204.2100,-13.138700,136.394319,57.422769,31.920613,334.232156
22,2021-02-01,sh.688063,239.6400000000,240.8800000000,220.0100000000,230.0000000000,238.0000000000,3640285,831140359.5900,-3.361300,131.809636,55.492592,30.847651,322.997462
23,2021-02-02,sh.688063,231.2400000000,238.4700000000,218.3200000000,237.7700000000,230.0000000000,4076321,925204965.7800,3.378300,136.262509,57.367277,31.889765,333.909159
24,2021-02-03,sh.688063,234.0000000000,235.0000000000,209.6600000000,210.1100000000,237.7700000000,4638119,1024855105.0200,-11.633100,120.410968,50.693689,28.180000,295.065203
25,2021-02-04,sh.688063,207.2000000000,214.8300000000,198.5000000000,208.7500000000,210.1100000000,3478219,710605812.9000,-0.647300,119.631572,50.365559,27.997597,293.155305
26,2021-02-05,sh.688063,208.9800000000,213.1700000000,181.0500000000,182.0000000000,208.7500000000,4625111,906283798.3500,-12.814400,104.301538,43.911529,24.409881,255.589296
27,2021-02-08,sh.688063,180.0000000000,181.9000000000,165.9500000000,170.8700000000,182.0000000000,4950450,853497702.0500,-6.115400,97.923098,41.226170,22.917122,239.959028
28,2021-02-09,sh.688063,172.0000000000,188.0000000000,168.9500000000,183.0000000000,170.8700000000,4070845,730287922.4600,7.099000,104.874623,44.152802,24.544001,256.993633
29,2021-02-10,sh.688063,181.1700000000,183.5500000000,172.3000000000,175.0800000000,183.0000000000,3157366,555935678.9700,-4.327900,100.335787,42.241926,23.481769,245.871285
30,2021-02-18,sh.688063,180.0500000000,183.0000000000,171.0000000000,175.7200000000,175.0800000000,2507092,442243904.9500,0.365500,100.702562,42.396340,23.567606,246.770061
31,2021-02-19,sh.688063,173.1800000000,175.3100000000,168.0000000000,168.7500000000,175.7200000000,2952457,500916644.5900,-3.966500,96.708157,40.714674,22.632788,236.981834
32,2021-02-22,sh.688063,170.0500000000,171.2300000000,159.3500000000,159.8100000000,168.7500000000,3365410,554588717.0800,-5.297800,91.584774,38.557701,21.433753,224.427063
33,2021-02-23,sh.688063,158.0000000000,164.8800000000,156.2700000000,162.3800000000,159.8100000000,2089322,337332456.1400,1.608200,93.057603,39.177770,21.778442,228.036208
34,2021-02-24,sh.688063,163.0000000000,163.0000000000,151.0200000000,152.0500000000,162.3800000000,2686568,417104744.1200,-6.361600,87.137631,36.685429,20.392980,213.529409
35,2021-02-25,sh.688063,151.0100000000,155.9900000000,146.9700000000,147.7800000000,152.0500000000,1976558,300537245.4900,-2.808300,84.690557,35.655197,19.820287,207.532891
36,2021-02-26,sh.688063,143.0200000000,148.4800000000,138.0000000000,146.1800000000,147.7800000000,2978161,429344791.8000,-1.082700,83.773620,35.269161,19.605694,205.285952
37,2021-03-01,sh.688063,150.0000000000,158.2400000000,149.0000000000,156.3000000000,146.1800000000,2452686,379025301.3100,6.923000,87.912832,37.710835,21.574096,219.497841
38,2021-03-02,sh.688063,159.8600000000,160.3100000000,153.0800000000,157.0000000000,156.3000000000,1978431,309576639.8700,0.447900,88.306556,37.879726,21.670717,220.480876
39,2021-03-03,sh.688063,157.5000000000,180.0000000000,156.9900000000,178.0600000000,157.0000000000,5510327,937757852.3100,13.414000,100.152008,42.960917,24.577630,250.056209
40,2021-03-04,sh.688063,174.1800000000,176.6800000000,168.2800000000,171.0000000000,178.0600000000,3520380,608812048.3000,-3.965000,96.181026,41.257536,23.603138,240.141591
41,2021-03-05,sh.688063,171.5000000000,178.9900000000,168.9900000000,169.2400000000,171.0000000000,2540026,441422555.2400,-1.029200,95.191092,40.832897,23.360205,237.669959
42,2021-03-08,sh.688063,170.0000000000,172.6800000000,153.2800000000,154.3400000000,169.2400000000,3020577,488593715.2200,-8.804100,86.810406,37.237942,21.303557,216.745340
43,2021-03-09,sh.688063,152.5000000000,162.5900000000,147.0600000000,155.0000000000,154.3400000000,2581133,403323025.5100,0.427600,87.181631,37.397182,21.394657,217.672203
