,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2020-04-20,sh.688126,9.5000000000,11.0900000000,8.9600000000,10.9100000000,3.8900000000,320011200,3088643130.0000,180.462700,-300.948502,5.335091,18.130290,-390.808995
1,2020-04-21,sh.688126,10.2000000000,11.0600000000,10.0900000000,10.3800000000,10.9100000000,212826350,2225092396.0000,-4.857900,-286.328639,5.075916,17.249534,-371.823774
2,2020-04-22,sh.688126,10.6000000000,12.3100000000,10.6000000000,11.8000000000,10.3800000000,197706942,2263472650.0000,13.680200,-325.498838,5.770310,19.609297,-422.689839
3,2020-04-23,sh.688126,11.7100000000,12.1400000000,11.1100000000,11.2700000000,11.8000000000,155196819,1805882806.0000,-4.491500,-310.878975,5.511135,18.728540,-403.704618
4,2020-04-24,sh.688126,11.0600000000,11.5600000000,10.7100000000,11.3000000000,11.2700000000,113148394,1258423465.0000,0.266200,-311.706514,5.525805,18.778394,-404.779253
5,2020-04-27,sh.688126,11.3800000000,12.5000000000,11.1600000000,11.7600000000,11.3000000000,127799772,1506328618.0000,4.070800,-324.395452,5.750749,19.542824,-421.256992
6,2020-04-28,sh.688126,11.5800000000,13.5800000000,11.5700000000,13.5000000000,11.7600000000,163314312,2054162295.0000,14.795900,-372.392738,6.601625,22.434365,-483.585833
7,2020-04-29,sh.688126,13.6500000000,13.8400000000,12.9100000000,13.2000000000,13.5000000000,107382892,1438901860.0000,-2.222200,-364.117344,6.454923,21.935823,-472.839481
8,2020-04-30,sh.688126,13.4000000000,15.8400000000,13.2100000000,15.8400000000,13.2000000000,119720905,1742665747.0000,20.000000,-253.428589,9.292278,23.928973,-158.965934
9,2020-05-06,sh.688126,16.1000000000,19.0100000000,16.1000000000,19.0100000000,15.8400000000,142911751,2457150532.0000,20.012600,-304.146306,11.151907,28.717789,-190.779192
10,2020-05-07,sh.688126,19.4200000000,20.1000000000,17.2000000000,17.6600000000,19.0100000000,205797885,3800341706.0000,-7.101500,-282.547278,10.359952,26.678388,-177.230959
11,2020-05-08,sh.688126,17.3800000000,18.3500000000,16.7500000000,17.7200000000,17.6600000000,152336863,2669117598.0000,0.339700,-283.507235,10.395150,26.769028,-177.833103
12,2020-05-11,sh.688126,17.8100000000,19.0100000000,17.2300000000,18.2700000000,17.7200000000,129599006,2342241134.0000,3.103800,-292.306839,10.717798,27.599895,-183.352753
13,2020-05-12,sh.688126,17.8600000000,18.1300000000,16.7600000000,17.6800000000,18.2700000000,115095300,2004356395.0000,-3.229300,-282.867264,10.371684,26.708601,-177.431674
14,2020-05-13,sh.688126,17.4900000000,19.0700000000,17.4100000000,18.2800000000,17.6800000000,119068164,2188935030.0000,3.393700,-292.466832,10.723665,27.615002,-183.453111
15,2020-05-14,sh.688126,18.4800000000,21.8000000000,18.1200000000,19.2000000000,18.2800000000,163063496,3205150156.0000,5.032800,-307.186169,11.263368,29.004816,-192.685980
16,2020-05-15,sh.688126,19.4500000000,20.5600000000,18.9000000000,19.9400000000,19.2000000000,131032744,2587194184.0000,3.854200,-319.025636,11.697477,30.122710,-200.112419
17,2020-05-18,sh.688126,21.0100000000,21.8800000000,20.1900000000,20.6000000000,19.9400000000,135487000,2843501195.0000,3.309900,-329.585161,12.084655,31.119750,-206.736000
18,2020-05-19,sh.688126,20.5000000000,22.7000000000,20.3500000000,22.7000000000,20.6000000000,126978942,2694382043.0000,10.194200,-363.183648,13.316586,34.292152,-227.811029
19,2020-05-20,sh.688126,22.0000000000,24.6800000000,21.9700000000,23.5600000000,22.7000000000,133861034,3131790764.0000,3.788500,-376.943028,13.821091,35.591326,-236.441755
20,2020-05-21,sh.688126,23.8900000000,24.7000000000,21.5700000000,22.4900000000,23.5600000000,134946217,3148336641.0000,-4.541600,-359.823799,13.193393,33.974912,-225.703526
21,2020-05-22,sh.688126,22.0700000000,23.1000000000,21.5200000000,22.7600000000,22.4900000000,106578844,2379431288.0000,1.200500,-364.143605,13.351784,34.382792,-228.413173
22,2020-05-25,sh.688126,22.9000000000,23.5200000000,22.1000000000,22.1800000000,22.7600000000,99515131,2268519298.0000,-2.548300,-354.864022,13.011536,33.506605,-222.592450
23,2020-05-26,sh.688126,22.3600000000,26.2200000000,22.3100000000,26.2100000000,22.1800000000,148434626,3574433507.0000,18.169500,-419.341119,15.375670,39.594595,-263.036435
24,2020-05-27,sh.688126,26.5000000000,29.3500000000,26.0000000000,27.7000000000,26.2100000000,140822318,3845330347.0000,5.684900,-443.180046,16.249754,41.845490,-277.989670
25,2020-05-28,sh.688126,27.0000000000,31.4500000000,26.3000000000,31.3200000000,27.7000000000,128464138,3623145220.0000,13.068600,-501.097438,18.373368,47.314106,-314.319006
26,2020-05-29,sh.688126,30.6000000000,34.7500000000,29.5000000000,30.8000000000,31.3200000000,148400043,4738036721.0000,-1.660300,-492.777813,18.068319,46.528559,-309.100427
27,2020-06-01,sh.688126,31.4500000000,33.6500000000,31.4500000000,33.5600000000,30.8000000000,120327195,3913353121.0000,8.961000,-536.935825,19.687428,50.698001,-336.799037
28,2020-06-02,sh.688126,34.5300000000,36.3400000000,33.1500000000,36.3000000000,33.5600000000,100028119,3463814964.0000,8.164500,-580.773851,21.294804,54.837230,-364.296932
29,2020-06-03,sh.688126,35.0500000000,37.9900000000,34.4000000000,35.2200000000,36.3000000000,107151980,3840948472.0000,-2.975200,-563.494629,20.661240,53.205709,-353.458345
30,2020-06-04,sh.688126,34.7500000000,35.5800000000,29.8500000000,30.3700000000,35.2200000000,153057533,4923708257.0000,-13.770600,-485.898123,17.816066,45.878972,-304.785064
31,2020-06-05,sh.688126,31.0000000000,31.9600000000,29.0400000000,30.5900000000,30.3700000000,125904728,3864651827.0000,0.724400,-489.417964,17.945126,46.211319,-306.992924
32,2020-06-08,sh.688126,30.7700000000,30.7700000000,27.9200000000,28.3900000000,30.5900000000,116940527,3404672703.0000,-7.191900,-454.219549,16.654532,42.887850,-284.914322
33,2020-06-09,sh.688126,28.4000000000,32.3800000000,28.2000000000,32.1000000000,28.3900000000,130093401,3907863776.0000,13.068000,-513.576876,18.830943,48.492427,-322.146874
34,2020-06-10,sh.688126,31.4000000000,33.2800000000,30.8200000000,32.4400000000,32.1000000000,111049477,3566195140.0000,1.059200,-519.016631,19.030398,49.006054,-325.559021
35,2020-06-11,sh.688126,32.4900000000,34.9000000000,32.2300000000,33.6300000000,32.4400000000,108406193,3652951112.0000,3.668300,-538.055774,19.728492,50.803748,-337.501538
36,2020-06-12,sh.688126,32.8900000000,33.9700000000,31.8000000000,32.4000000000,33.6300000000,90723836,2985805625.0000,-3.657400,-518.376660,19.006933,48.945627,-325.157592
37,2020-06-15,sh.688126,31.8000000000,32.2300000000,30.0200000000,30.9000000000,32.4000000000,77652606,2422663447.0000,-4.629600,-494.377741,18.126982,46.679626,-310.104000
38,2020-06-16,sh.688126,31.4800000000,33.1200000000,31.2700000000,31.5500000000,30.9000000000,82994462,2671878303.0000,2.103600,-504.777273,18.508294,47.661560,-316.627223
39,2020-06-17,sh.688126,31.6700000000,31.6700000000,28.9000000000,30.2200000000,31.5500000000,91585333,2748027854.0000,-4.215500,-483.498231,17.728071,45.652372,-303.279705
40,2020-06-18,sh.688126,29.6600000000,31.6000000000,29.6600000000,29.8700000000,30.2200000000,82958023,2555917772.0000,-1.158200,-477.898483,17.522749,45.123638,-299.767200
41,2020-06-19,sh.688126,29.3100000000,30.7700000000,28.6200000000,29.8700000000,29.8700000000,77637919,2289408826.0000,0.000000,-477.898483,17.522749,45.123638,-299.767200
42,2020-06-22,sh.688126,29.7300000000,33.9700000000,29.6000000000,32.9700000000,29.8700000000,124996634,3993794051.0000,10.378300,-527.496250,19.341314,49.806707,-330.877957
43,2020-06-23,sh.688126,32.6600000000,33.2000000000,32.0900000000,32.3900000000,32.9700000000,67095254,2182224022.0000,-1.759200,-518.216667,19.001066,48.930520,-325.057235
44,2020-06-24,sh.688126,32.8200000000,35.0900000000,32.8200000000,33.2000000000,32.3900000000,101200319,3444950451.0000,2.500800,-531.176084,19.476240,50.154161,-333.186174
45,2020-06-29,sh.688126,33.4300000000,34.2200000000,32.4000000000,34.2200000000,33.2000000000,71455423,2385650601.0000,3.072300,-547.495349,20.074606,51.695042,-343.422617
46,2020-06-30,sh.688126,34.7900000000,35.9000000000,33.8900000000,34.2800000000,34.2200000000,79922882,2779093207.0000,0.175300,-548.455306,20.109804,51.785682,-344.024761
47,2020-07-01,sh.688126,33.9800000000,34.2700000000,32.4200000000,33.0300000000,34.2800000000,74981718,2490563806.0000,-3.646400,-528.456206,19.376512,49.897347,-331.480101
