,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2020-02-21,sh.688169,470.0000000000,538.8800000000,448.0300000000,500.1000000000,271.1200000000,11290190,5422484551.0000,84.457100,46.529221,25.848346,8.399687,269.152965
1,2020-02-24,sh.688169,487.1300000000,494.9700000000,458.0000000000,462.0000000000,500.1000000000,5028162,2375684554.0000,-7.618500,42.984404,23.879096,7.759759,248.647611
2,2020-02-25,sh.688169,440.0000000000,477.0000000000,435.0600000000,468.9900000000,462.0000000000,3484208,1614741306.0000,1.513000,43.634752,24.240384,7.877163,252.409617
3,2020-02-26,sh.688169,461.0000000000,465.0000000000,438.0000000000,443.0100000000,468.9900000000,2677434,1207154611.0000,-5.539600,41.217577,22.897572,7.440802,238.427225
4,2020-02-27,sh.688169,446.4700000000,446.4700000000,417.1700000000,418.1600000000,443.0100000000,2580896,1098502740.0000,-5.609400,38.905537,21.613166,7.023421,225.052997
5,2020-02-28,sh.688169,410.0000000000,442.5000000000,404.0000000000,433.0000000000,418.1600000000,2587394,1104547508.0000,3.548900,36.873406,22.380192,6.865003,233.039860
6,2020-03-02,sh.688169,433.3900000000,447.6500000000,422.0000000000,443.6300000000,433.0000000000,1885147,827155113.0000,2.455000,37.778636,22.929618,7.033537,238.760908
7,2020-03-03,sh.688169,449.8800000000,453.0400000000,432.0300000000,432.1000000000,443.6300000000,1655589,732376323.0000,-2.599000,36.796764,22.333674,6.850734,232.555482
8,2020-03-04,sh.688169,424.4000000000,427.0000000000,415.0100000000,421.5200000000,432.1000000000,1356538,568427744.0000,-2.448500,35.895793,21.786832,6.682994,226.861344
9,2020-03-05,sh.688169,426.6800000000,444.0000000000,426.6800000000,435.2300000000,421.5200000000,1343904,586910386.0000,3.252500,37.063308,22.495452,6.900359,234.240042
10,2020-03-06,sh.688169,429.5900000000,468.0000000000,426.0500000000,458.0300000000,435.2300000000,1953709,885557403.0000,5.238600,39.004910,23.673901,7.261842,246.510963
11,2020-03-09,sh.688169,450.0000000000,452.1400000000,438.8800000000,438.8800000000,458.0300000000,1247205,553539481.0000,-4.180900,37.374135,22.684108,6.958228,236.204466
12,2020-03-10,sh.688169,438.8900000000,447.9800000000,422.2000000000,447.6300000000,438.8800000000,1528095,668574772.0000,1.993700,38.119267,23.136363,7.096955,240.913701
13,2020-03-11,sh.688169,445.0100000000,448.0000000000,430.1100000000,431.0000000000,447.6300000000,1008877,442580670.0000,-3.715100,36.703090,22.276819,6.833294,231.963463
14,2020-03-12,sh.688169,421.0000000000,424.4000000000,413.0200000000,416.5900000000,431.0000000000,976464,408111973.0000,-3.343400,35.475964,21.532019,6.604831,224.208026
15,2020-03-13,sh.688169,390.0000000000,412.8500000000,388.0100000000,404.5000000000,416.5900000000,983895,392466729.0000,-2.902100,34.446404,20.907131,6.413150,217.701209
16,2020-03-16,sh.688169,409.5000000000,409.6600000000,374.1800000000,374.9700000000,404.5000000000,1210667,469789877.0000,-7.300400,31.931688,19.380833,5.944966,201.808213
17,2020-03-17,sh.688169,381.0000000000,384.9000000000,348.2800000000,365.9200000000,374.9700000000,1120005,406363654.0000,-2.413500,31.161009,18.913071,5.801483,196.937519
18,2020-03-18,sh.688169,367.9900000000,372.5500000000,348.0100000000,348.5000000000,365.9200000000,898179,324791098.0000,-4.760600,29.677557,18.012695,5.525297,187.562104
19,2020-03-19,sh.688169,346.0000000000,353.0000000000,333.3900000000,348.0000000000,348.5000000000,1054321,361482203.0000,-0.143500,29.634978,17.986852,5.517370,187.293005
20,2020-03-20,sh.688169,351.9900000000,353.9900000000,345.0000000000,351.1900000000,348.0000000000,622626,217882264.0000,0.916700,29.906632,18.151731,5.567946,189.009858
21,2020-03-23,sh.688169,340.0000000000,340.0000000000,325.5700000000,326.1600000000,351.1900000000,815473,269761691.0000,-7.127200,27.775127,16.858022,5.171107,175.538755
22,2020-03-24,sh.688169,335.1000000000,337.4500000000,319.6000000000,332.0900000000,326.1600000000,631858,208485575.0000,1.818100,28.280114,17.164522,5.265125,178.730271
23,2020-03-25,sh.688169,338.0000000000,355.1000000000,338.0000000000,345.7000000000,332.0900000000,948076,330734737.0000,4.098300,29.439114,17.867973,5.480905,186.055149
24,2020-03-26,sh.688169,340.2200000000,343.0000000000,332.4500000000,335.2000000000,345.7000000000,547569,183934153.0000,-3.037300,28.544956,17.325266,5.314432,180.404067
25,2020-03-27,sh.688169,338.8900000000,342.9900000000,327.4100000000,329.8300000000,335.2000000000,658888,218109177.0000,-1.602000,28.087657,17.047711,5.229294,177.513942
26,2020-03-30,sh.688169,319.5000000000,345.4900000000,315.1100000000,344.0000000000,329.8300000000,1144082,372588921.0000,4.296200,29.294346,17.780106,5.453952,185.140212
27,2020-03-31,sh.688169,343.1500000000,351.6900000000,343.0700000000,345.5000000000,344.0000000000,635586,220429948.0000,0.436000,29.422083,17.857636,5.477734,185.947510
28,2020-04-01,sh.688169,345.0000000000,351.5100000000,338.1000000000,340.1200000000,345.5000000000,520107,178883559.0000,-1.557200,28.963933,17.579563,5.392436,183.052003
29,2020-04-02,sh.688169,340.2000000000,349.6200000000,335.0000000000,348.5000000000,340.1200000000,664961,228349976.0000,2.463800,29.677557,18.012695,5.525297,187.562104
30,2020-04-03,sh.688169,347.6700000000,347.6700000000,338.0000000000,338.0000000000,348.5000000000,598647,205044654.0000,-3.012900,28.783398,17.469988,5.358825,181.911022
31,2020-04-07,sh.688169,343.0000000000,347.5900000000,340.0000000000,340.0000000000,338.0000000000,600124,206555677.0000,0.591700,28.953714,17.573361,5.390534,182.987419
32,2020-04-08,sh.688169,338.0000000000,338.5000000000,333.5100000000,333.5900000000,340.0000000000,441554,148097556.0000,-1.885300,28.407851,17.242051,5.288906,179.537568
33,2020-04-09,sh.688169,335.9000000000,338.5800000000,333.9000000000,335.9000000000,333.5900000000,353455,118652310.0000,0.692500,28.604566,17.361447,5.325530,180.780806
34,2020-04-10,sh.688169,337.0000000000,337.0000000000,321.0000000000,322.6000000000,335.9000000000,488803,159592525.0000,-3.959500,27.471965,16.674018,5.114665,173.622769
35,2020-04-13,sh.688169,319.0100000000,325.9400000000,315.2600000000,320.0000000000,322.6000000000,467031,148477147.0000,-0.806000,27.250554,16.539634,5.073444,172.223453
36,2020-04-14,sh.688169,320.0500000000,329.7000000000,319.0000000000,328.6400000000,320.0000000000,324991,105851841.0000,2.700000,27.986319,16.986204,5.210427,176.873486
37,2020-04-15,sh.688169,328.0000000000,337.8000000000,327.1100000000,331.4400000000,328.6400000000,419138,139963982.0000,0.852000,28.224762,17.130926,5.254819,178.380442
38,2020-04-16,sh.688169,332.5000000000,333.9500000000,325.3000000000,331.0000000000,331.4400000000,205144,67828846.0000,-0.132800,28.187292,17.108184,5.247843,178.143634
39,2020-04-17,sh.688169,332.7100000000,336.5500000000,328.2000000000,331.0200000000,331.0000000000,294012,98122291.0000,0.006000,28.188995,17.109217,5.248160,178.154398
40,2020-04-20,sh.688169,328.0000000000,330.0000000000,320.0800000000,322.5800000000,331.0200000000,439076,142045747.0000,-2.549700,27.470262,16.672984,5.114348,173.612005
41,2020-04-21,sh.688169,320.0000000000,323.4800000000,318.0500000000,319.2000000000,322.5800000000,239176,76461875.0000,-1.047800,27.182428,16.498285,5.060760,171.792895
42,2020-04-22,sh.688169,318.1500000000,329.4800000000,316.7300000000,326.7000000000,319.2000000000,383785,124251418.0000,2.349600,27.821113,16.885932,5.179669,175.829382
43,2020-04-23,sh.688169,326.7000000000,355.6000000000,326.7000000000,349.2200000000,326.7000000000,834814,284489342.0000,6.893200,29.738870,18.049909,5.536713,187.949607
44,2020-04-24,sh.688169,350.0000000000,369.5200000000,343.2200000000,366.5700000000,349.2200000000,1100435,396771146.0000,4.968200,31.216361,18.946667,5.811788,197.287348
45,2020-04-27,sh.688169,365.0100000000,375.6600000000,358.8000000000,360.1800000000,366.5700000000,588975,214411543.0000,-1.743200,30.672202,18.616391,5.710478,193.848261
46,2020-04-28,sh.688169,350.0000000000,351.8000000000,316.2000000000,339.3400000000,360.1800000000,1107550,369161193.0000,-5.786000,28.897508,15.237762,5.380070,101.930826
47,2020-04-29,sh.688169,333.1100000000,348.6000000000,330.3300000000,339.3800000000,339.3400000000,510046,173843789.0000,0.011800,29.306927,3.783656,5.728484,5.517860
48,2020-04-30,sh.688169,342.5200000000,380.0000000000,342.0000000000,376.0000000000,339.3800000000,1074188,392672335.0000,10.790300,32.469222,4.191922,6.346603,6.113251
49,2020-05-06,sh.688169,368.9900000000,386.7000000000,366.8100000000,384.7000000000,376.0000000000,792551,300520494.0000,2.313800,33.220504,4.288916,6.493453,6.254701
50,2020-05-07,sh.688169,382.0000000000,384.0000000000,368.2800000000,368.5800000000,384.7000000000,560170,210379192.0000,-4.190300,31.828473,4.109199,6.221359,5.992612
51,2020-05-08,sh.688169,372.0000000000,376.8800000000,370.0000000000,374.7000000000,368.5800000000,595771,222270788.0000,1.660400,32.356961,4.177429,6.324660,6.092115
52,2020-05-11,sh.688169,374.7000000000,378.0000000000,364.7000000000,365.3700000000,374.7000000000,428794,158562200.0000,-2.490000,31.551276,4.073411,6.167176,5.940422
53,2020-05-12,sh.688169,365.3700000000,367.5900000000,349.0000000000,357.9900000000,365.3700000000,584041,208414891.0000,-2.019900,30.913981,3.991134,6.042607,5.820433
54,2020-05-13,sh.688169,356.3300000000,374.9700000000,356.0000000000,372.9200000000,357.9900000000,617731,227296843.0000,4.170500,32.203251,4.157584,6.294615,6.063175
55,2020-05-14,sh.688169,372.5000000000,376.0000000000,369.8000000000,374.5900000000,372.9200000000,406505,151771650.0000,0.447800,32.347462,4.176203,6.322803,6.090327
56,2020-05-15,sh.688169,375.1400000000,383.0000000000,373.3000000000,376.6200000000,374.5900000000,472561,179100188.0000,0.541900,32.522762,4.198834,6.357068,6.123332
57,2020-05-18,sh.688169,378.8300000000,382.3900000000,361.1300000000,364.9800000000,376.6200000000,614539,225265721.0000,-3.090600,31.517597,4.069063,6.160594,5.934081
58,2020-05-19,sh.688169,371.0000000000,385.0000000000,365.3400000000,382.7000000000,364.9800000000,667184,250240107.0000,4.855100,33.047796,4.266619,6.459694,6.222184
59,2020-05-20,sh.688169,384.5100000000,400.0000000000,381.1300000000,392.2000000000,382.7000000000,1008780,396459772.0000,2.482400,33.868162,4.372532,6.620047,6.376641
60,2020-05-21,sh.688169,393.0100000000,404.6900000000,386.0300000000,387.9900000000,392.2000000000,763013,302754570.0000,-1.073400,33.504610,4.325596,6.548985,6.308192
61,2020-05-22,sh.688169,388.9000000000,398.0000000000,373.1000000000,380.0800000000,387.9900000000,626285,238581293.0000,-2.038700,32.821547,4.237409,6.415470,6.179587
62,2020-05-25,sh.688169,380.0000000000,383.3000000000,370.1800000000,377.3000000000,380.0800000000,454041,171746131.0000,-0.731400,32.581482,4.206416,6.368546,6.134387
63,2020-05-26,sh.688169,384.0000000000,399.7500000000,381.5100000000,399.6200000000,377.3000000000,707497,278896330.0000,5.915700,34.508911,4.455255,6.745291,6.497280
64,2020-05-27,sh.688169,398.5000000000,404.0000000000,387.3300000000,388.4300000000,399.6200000000,501822,197460092.0000,-2.800200,33.542606,4.330501,6.556412,6.315346
65,2020-05-28,sh.688169,389.0000000000,391.9800000000,375.6500000000,383.3800000000,388.4300000000,484421,185519445.0000,-1.300100,33.106517,4.274200,6.471172,6.233240
66,2020-05-29,sh.688169,383.3900000000,398.5000000000,382.0400000000,393.5000000000,383.3800000000,608859,239766177.0000,2.639700,33.980422,4.387025,6.641990,6.397778
