,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2020-02-13,sh.688208,80.4000000000,80.4000000000,68.8800000000,74.1000000000,24.3600000000,32775721,2403350966.0000,204.187200,109.121907,31.005470,31.087257,-737.786044
1,2020-02-14,sh.688208,73.5000000000,73.5000000000,65.8100000000,66.0600000000,74.1000000000,16832520,1157344860.0000,-10.850200,97.281959,27.641314,27.714227,-657.734765
2,2020-02-17,sh.688208,64.4900000000,68.8700000000,63.8800000000,67.0000000000,66.0600000000,12832732,850749329.0000,1.423000,98.666232,28.034636,28.108586,-667.093994
3,2020-02-18,sh.688208,65.7300000000,67.6800000000,63.9000000000,64.7600000000,67.0000000000,10420090,677413999.0000,-3.343300,95.367540,27.097358,27.168836,-644.791150
4,2020-02-19,sh.688208,64.6000000000,65.0000000000,60.5000000000,60.8900000000,64.7600000000,9659946,599563499.0000,-5.975900,95.367540,27.097358,27.168836,-644.791150
5,2020-02-20,sh.688208,61.2100000000,61.9500000000,57.7700000000,58.0200000000,60.8900000000,9077342,534919496.0000,-4.713400,85.442011,24.277158,24.341196,-577.683486
6,2020-02-21,sh.688208,57.7100000000,60.6000000000,56.0800000000,58.0500000000,58.0200000000,9399360,547532813.0000,0.051700,85.486190,24.289711,24.353782,-577.982184
7,2020-02-24,sh.688208,57.5000000000,59.2000000000,56.5200000000,58.2000000000,58.0500000000,5825798,337540494.0000,0.258400,85.707085,24.352475,24.416712,-579.475678
8,2020-02-25,sh.688208,56.7900000000,60.3000000000,56.1300000000,59.7500000000,58.2000000000,8008109,472379753.0000,2.663200,87.989662,25.001037,25.066985,-594.908450
9,2020-02-26,sh.688208,59.0300000000,60.1500000000,56.3000000000,56.7100000000,59.7500000000,6481511,376099502.0000,-5.087900,78.046631,23.729018,21.340950,-564.640304
10,2020-02-27,sh.688208,56.7800000000,57.4700000000,52.5000000000,52.8000000000,56.7100000000,6933098,378081099.0000,-6.894700,72.665528,22.092967,19.869550,-525.709894
11,2020-02-28,sh.688208,49.6900000000,50.6600000000,47.7600000000,47.8200000000,52.8000000000,6554467,323519810.0000,-9.431800,65.811848,20.009198,17.995490,-476.125892
12,2020-03-02,sh.688208,48.5200000000,50.4300000000,48.0300000000,49.5500000000,47.8200000000,4914655,241688312.0000,3.617700,68.192745,20.733078,18.646519,-493.350857
13,2020-03-03,sh.688208,50.4900000000,52.4400000000,49.7600000000,50.3600000000,49.5500000000,5777755,294164100.0000,1.634700,69.307500,21.072004,18.951336,-501.415724
14,2020-03-04,sh.688208,49.4900000000,50.0000000000,47.8700000000,49.3400000000,50.3600000000,4317973,211219085.0000,-2.025400,67.903734,20.645208,18.567492,-491.259965
15,2020-03-05,sh.688208,49.9000000000,51.2400000000,49.7000000000,50.1200000000,49.3400000000,3825203,192617187.0000,1.580900,68.977202,20.971581,18.861020,-499.026134
16,2020-03-06,sh.688208,49.0500000000,51.2000000000,49.0000000000,50.2700000000,50.1200000000,3826180,191620729.0000,0.299300,69.183638,21.034345,18.917467,-500.519628
17,2020-03-09,sh.688208,49.0400000000,49.7600000000,47.6100000000,47.6200000000,50.2700000000,3406445,165325513.0000,-5.271500,65.536599,19.925513,17.920227,-474.134567
