,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2020-07-17,sh.688567,34.0000000000,37.0000000000,27.0100000000,27.9600000000,15.9000000000,92286652,2837974877.0000,75.849100,959.260926,4.258195,14.052926,46.247996
1,2020-07-20,sh.688567,27.5000000000,30.8700000000,27.0000000000,29.4500000000,27.9600000000,48233006,1398811753.0000,5.329000,1010.380339,4.485116,14.801812,48.712571
2,2020-07-21,sh.688567,29.2500000000,31.2100000000,28.4200000000,29.7800000000,29.4500000000,39783194,1192323789.0000,1.120500,1021.702088,4.535374,14.967673,49.258416
3,2020-07-22,sh.688567,28.9000000000,29.5600000000,28.2500000000,29.1500000000,29.7800000000,29181670,844529806.0000,-2.115500,1000.087840,4.439427,14.651029,48.216348
4,2020-07-23,sh.688567,28.8000000000,29.1500000000,27.3100000000,28.3000000000,29.1500000000,29091404,819179597.1500,-2.916000,970.925759,4.309976,14.223812,46.810382
5,2020-07-24,sh.688567,27.9000000000,29.5400000000,27.3300000000,27.7400000000,28.3000000000,31403822,896393537.0000,-1.978800,951.713093,4.224690,13.942352,45.884099
6,2020-07-27,sh.688567,27.8800000000,28.7000000000,25.7500000000,26.3600000000,27.7400000000,26552808,714400393.0000,-4.974800,904.367597,4.014522,13.248753,43.601472
7,2020-07-28,sh.688567,26.4000000000,27.0000000000,25.8800000000,26.0900000000,26.3600000000,13751343,361959860.0000,-1.024300,895.104348,3.973402,13.113048,43.154872
8,2020-07-29,sh.688567,26.3000000000,27.2400000000,25.9400000000,27.0200000000,26.0900000000,14956904,398002010.0000,3.564600,927.011095,4.115037,13.580474,44.693163
9,2020-07-30,sh.688567,27.0400000000,28.0000000000,26.8400000000,27.1600000000,27.0200000000,13578071,371151319.3900,0.518100,931.814262,4.136358,13.650839,44.924734
10,2020-07-31,sh.688567,27.1600000000,27.4700000000,26.8400000000,27.2000000000,27.1600000000,13258796,359542468.0000,0.147300,933.186595,4.142450,13.670943,44.990897
11,2020-08-03,sh.688567,27.4400000000,28.9500000000,27.4000000000,28.6400000000,27.2000000000,21471298,609654495.0000,5.294100,982.590591,4.361756,14.394699,47.372768
12,2020-08-04,sh.688567,28.7200000000,29.5000000000,27.9800000000,28.2400000000,28.6400000000,15049554,430526843.0000,-1.396600,968.867259,4.300838,14.193656,46.711137
13,2020-08-05,sh.688567,28.2100000000,29.2200000000,27.8100000000,28.9000000000,28.2400000000,13488371,387252973.1500,2.337100,991.510757,4.401353,14.525377,47.802828
14,2020-08-06,sh.688567,28.8000000000,29.3200000000,28.0300000000,28.4400000000,28.9000000000,13458553,383962246.3800,-1.591700,975.728925,4.331297,14.294178,47.041953
15,2020-08-07,sh.688567,28.4900000000,28.4900000000,26.8500000000,27.7400000000,28.4400000000,15360962,423341248.0000,-2.461300,951.713093,4.224690,13.942352,45.884099
16,2020-08-10,sh.688567,27.4400000000,27.6000000000,27.0000000000,27.3000000000,27.7400000000,7885346,215040448.0000,-1.586200,936.617428,4.157680,13.721204,45.156305
17,2020-08-11,sh.688567,27.2000000000,27.6500000000,26.0000000000,26.0300000000,27.3000000000,11439342,304902641.0000,-4.652000,893.045848,3.964264,13.082892,43.055627
18,2020-08-12,sh.688567,26.0500000000,26.8300000000,25.7100000000,26.6600000000,26.0300000000,7533297,197844353.0000,2.420300,914.660096,4.060210,13.399535,44.097696
19,2020-08-13,sh.688567,26.6400000000,26.8200000000,26.0100000000,26.1700000000,26.6600000000,4878390,128948555.0000,-1.838000,897.849014,3.985585,13.153257,43.287198
20,2020-08-14,sh.688567,26.1000000000,26.5500000000,25.9700000000,26.3900000000,26.1700000000,4675713,122679969.0000,0.840700,905.396847,4.019090,13.263831,43.651095
21,2020-08-17,sh.688567,26.4200000000,26.8500000000,26.2700000000,26.7600000000,26.3900000000,5526817,147425257.0000,1.402000,918.090929,4.075440,13.449796,44.263103
22,2020-08-18,sh.688567,26.7200000000,26.7600000000,26.0000000000,26.2600000000,26.7600000000,6656983,175229739.0000,-1.868500,900.936764,3.999292,13.198492,43.436065
23,2020-08-19,sh.688567,26.2800000000,26.3500000000,25.6800000000,25.6800000000,26.2600000000,6232614,161875882.0000,-2.208700,881.037932,3.910960,12.906979,42.476700
24,2020-08-20,sh.688567,25.5900000000,25.5900000000,24.6600000000,24.7000000000,25.6800000000,8326273,207905443.9000,-3.816200,847.415768,3.761710,12.414423,40.855704
25,2020-08-21,sh.688567,24.9700000000,25.1600000000,24.7100000000,24.8700000000,24.7000000000,3739560,93187386.3000,0.688300,853.248184,3.787601,12.499866,41.136898
26,2020-08-24,sh.688567,24.8800000000,24.9500000000,23.8800000000,24.0500000000,24.8700000000,6813854,164473246.7900,-3.297100,825.115353,3.662718,12.087728,39.780554
27,2020-08-25,sh.688567,24.1900000000,24.2900000000,23.0800000000,23.4500000000,24.0500000000,10520807,248157621.0000,-2.494800,804.530355,3.571340,11.786163,38.788108
28,2020-08-26,sh.688567,23.7700000000,23.7700000000,22.6600000000,22.7700000000,23.4500000000,6170397,142612807.0000,-2.899800,781.200690,3.467779,11.444389,37.663336
29,2020-08-27,sh.688567,22.7900000000,23.1400000000,22.4000000000,22.8700000000,22.7700000000,6978807,159007667.0300,0.439200,784.631523,3.483009,11.494650,37.828743
30,2020-08-28,sh.688567,22.7900000000,24.2800000000,22.7100000000,23.7900000000,22.8700000000,9318622,221541950.0000,4.022700,816.195187,3.623121,11.957049,39.350494
31,2020-08-31,sh.688567,23.6800000000,25.8100000000,23.3400000000,25.2500000000,23.7900000000,14869973,370736219.0000,6.137000,-276.362846,3.874087,15.701000,28.391915
