,date,code,open,high,low,close,preclose,volume,amount,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
0,2021-06-23,sh.688690,93.0000000000,120.9000000000,88.9900000000,110.8800000000,8.0700000000,28539229,2700506896.1200,1273.977700,487.248102,79.281775,180.303726,-783.408470
1,2021-06-24,sh.688690,107.0000000000,128.8800000000,101.5800000000,115.2900000000,110.8800000000,21106696,2386876621.4400,3.977300,506.627288,82.435027,187.474897,-814.566762
2,2021-06-25,sh.688690,110.0000000000,113.9800000000,98.9700000000,103.3000000000,115.2900000000,15353251,1611566187.1200,-10.399900,453.938753,73.861899,167.977768,-729.852949
3,2021-06-28,sh.688690,103.3000000000,113.4000000000,99.0300000000,107.0000000000,103.3000000000,9679028,1033127563.8600,3.581800,470.197934,76.507485,173.994397,-755.994826
4,2021-06-29,sh.688690,108.0000000000,117.3000000000,105.0000000000,117.3000000000,107.0000000000,9842423,1099004926.8400,9.626200,515.459978,83.872224,190.743390,-828.768160
5,2021-06-30,sh.688690,116.5000000000,125.2000000000,111.8800000000,117.5000000000,117.3000000000,9632702,1141494594.0700,0.170500,516.338853,84.015228,191.068613,-830.181234
6,2021-07-01,sh.688690,116.0000000000,126.1000000000,115.0300000000,116.5000000000,117.5000000000,7546247,908239244.5300,-0.851100,511.944480,83.300205,189.442498,-823.115862
7,2021-07-02,sh.688690,116.1000000000,119.9000000000,108.5800000000,110.1100000000,116.5000000000,6827635,768072420.1300,-5.485000,483.864435,78.731207,179.051617,-777.968134
8,2021-07-05,sh.688690,108.3900000000,109.0700000000,101.0100000000,104.8000000000,110.1100000000,6136383,644482247.0100,-4.822500,460.530313,74.934433,170.416942,-740.451007
9,2021-07-06,sh.688690,105.0000000000,106.6600000000,96.8000000000,99.5500000000,104.8000000000,6271438,631972858.3300,-5.009500,437.459854,71.180562,161.879834,-703.357803
10,2021-07-07,sh.688690,97.6000000000,104.9800000000,96.2800000000,103.5000000000,99.5500000000,6103910,618105636.1900,3.967900,454.817628,74.004903,168.302991,-731.266023
11,2021-07-08,sh.688690,102.8800000000,107.9900000000,102.2000000000,104.1900000000,103.5000000000,4774142,504941657.7200,0.666700,457.849745,74.498269,169.425011,-736.141130
12,2021-07-09,sh.688690,103.2100000000,105.0000000000,98.0100000000,101.4900000000,104.1900000000,2817908,284578219.9100,-2.591400,445.984938,72.567707,165.034498,-717.064625
13,2021-07-12,sh.688690,101.9600000000,114.8000000000,100.1100000000,113.0800000000,101.4900000000,5965551,651023617.0300,11.419800,496.915723,80.854826,183.881181,-798.952289
14,2021-07-13,sh.688690,112.1100000000,118.4800000000,109.0000000000,114.5500000000,113.0800000000,4582351,521541817.8300,1.300000,503.375452,81.905910,186.271572,-809.338386
15,2021-07-14,sh.688690,114.2000000000,116.9800000000,110.0000000000,112.7900000000,114.5500000000,2790342,315674804.8300,-1.536400,495.641355,80.647469,183.409608,-796.903331
16,2021-07-15,sh.688690,110.1100000000,114.6000000000,110.0100000000,111.8000000000,112.7900000000,2531609,283858971.8400,-0.877700,491.290926,79.939596,181.799753,-789.908613
17,2021-07-16,sh.688690,109.5600000000,112.9700000000,104.4000000000,105.0000000000,111.8000000000,3136057,339466488.3300,-6.082300,461.409188,75.077438,170.742165,-741.864082
18,2021-07-19,sh.688690,103.3000000000,107.0000000000,100.3600000000,104.9900000000,105.0000000000,2455392,255921392.5200,-0.009500,461.365244,75.070288,170.725904,-741.793428
19,2021-07-20,sh.688690,103.8900000000,108.8900000000,102.2800000000,107.4800000000,104.9900000000,2153842,229689656.7800,2.371700,472.307233,76.850696,174.774932,-759.386205
20,2021-07-21,sh.688690,107.5000000000,113.8700000000,105.1700000000,112.0000000000,107.4800000000,2778680,301967917.4900,4.205400,492.169800,80.082601,182.124976,-791.321687
21,2021-07-22,sh.688690,111.1800000000,111.6600000000,102.8800000000,103.9900000000,112.0000000000,2593042,276291204.9400,-7.151800,456.970871,74.355265,169.099788,-734.728056
22,2021-07-23,sh.688690,102.5100000000,105.0000000000,100.0000000000,101.5000000000,103.9900000000,2098057,214671819.1700,-2.394500,446.028882,72.574857,165.050760,-717.135279
23,2021-07-26,sh.688690,100.0000000000,101.8000000000,95.1200000000,96.4000000000,101.5000000000,3048466,298831819.5600,-5.024600,423.617578,68.928238,156.757569,-681.101881
